"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","expression_cluster","n_cluster_genes","pathway_theme","pathway_scope"
"ko05110","Vibrio cholerae infection","1/194","8/698",0.125,0.449742268041237,-0.970484464689327,0.927249303730493,1,1,"LOC126335781",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko05152","Tuberculosis","1/194","8/698",0.125,0.449742268041237,-0.970484464689327,0.927249303730493,1,1,"LOC126353858",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko05224","Breast cancer","1/194","8/698",0.125,0.449742268041237,-0.970484464689327,0.927249303730493,1,1,"LOC126267711",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Reference disease pathway","Reference disease pathway"
"ko04624","Toll and Imd signaling pathway","3/194","19/698",0.157894736842105,0.568095496473142,-1.18340018176341,0.933476469928971,1,1,"LOC126281204/LOC126281928/LOC126355041",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00270","Cysteine and methionine metabolism","1/194","9/698",0.111111111111111,0.399770904925544,-1.12364900831088,0.947703847319311,1,1,"LOC126282346",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko04068","FoxO signaling pathway","1/194","9/698",0.111111111111111,0.399770904925544,-1.12364900831088,0.947703847319311,1,1,"LOC126278052",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00860","Porphyrin metabolism","2/194","15/698",0.133333333333333,0.479725085910653,-1.26290344999976,0.950530316383134,1,1,"LOC126272928/LOC126336627",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko04218","Cellular senescence","2/194","15/698",0.133333333333333,0.479725085910653,-1.26290344999976,0.950530316383134,1,1,"LOC126328409/LOC126353858",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00030","Pentose phosphate pathway","1/194","10/698",0.1,0.35979381443299,-1.26423448504813,0.96242874371997,1,1,"LOC126298400",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00052","Galactose metabolism","1/194","10/698",0.1,0.35979381443299,-1.26423448504813,0.96242874371997,1,1,"LOC126298123",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko04360","Axon guidance","1/194","10/698",0.1,0.35979381443299,-1.26423448504813,0.96242874371997,1,1,"LOC126344332",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Cellular process","Eukaryote/metazoan-compatible"
"ko05203","Viral carcinogenesis","1/194","10/698",0.1,0.35979381443299,-1.26423448504813,0.96242874371997,1,1,"LOC126274964",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Reference disease pathway","Reference disease pathway"
