"expression_cluster","Treatment","Diet","sample_group","n_samples","mean_z","sd_z","se_z","sample_group_plot","tile_label"
"DEG cluster 1","Infected","33","Infected 33",9,-0.406229789892155,0.43946778769193,0.146489262563977,"Infected 33","-0.41"
"DEG cluster 1","Infected","50","Infected 50",9,-0.528118692011737,0.404003872878821,0.134667957626274,"Infected 50","-0.53"
"DEG cluster 1","Infected","83","Infected 83",6,-0.594518152546753,0.446426157628268,0.182252715670091,"Infected 83","-0.59"
"DEG cluster 1","Control","33","Control 33",7,0.669071763390896,0.127486808476417,0.0481854843814172,"Control 33","0.67"
"DEG cluster 1","Control","50","Control 50",6,0.637823806577044,0.0843909767225725,0.0344524719775659,"Control 50","0.64"
"DEG cluster 1","Control","83","Control 83",7,0.496296308447328,0.309484376478216,0.116974099260178,"Control 83","0.50"
"DEG cluster 2","Infected","33","Infected 33",9,0.308877549261415,0.502121788439968,0.167373929479989,"Infected 33","0.31"
"DEG cluster 2","Infected","50","Infected 50",9,0.686647876712949,0.344764549171566,0.114921516390522,"Infected 50","0.69"
"DEG cluster 2","Infected","83","Infected 83",6,0.451707794629544,0.4756630668689,0.194188633886027,"Infected 83","0.45"
"DEG cluster 2","Control","33","Control 33",7,-0.580824692177019,0.125821758758157,0.0475561547421208,"Control 33","-0.58"
"DEG cluster 2","Control","50","Control 50",6,-0.684580969104989,0.0903506837161282,0.0368855121693505,"Control 50","-0.68"
"DEG cluster 2","Control","83","Control 83",7,-0.509151872306185,0.168613179356231,0.0637297914777883,"Control 83","-0.51"
"DEG cluster 3+4","Infected","33","Infected 33",9,-0.116491783969746,0.140181722330476,0.0467272407768254,"Infected 33","-0.12"
"DEG cluster 3+4","Infected","50","Infected 50",9,0.239358772621584,0.421304467912595,0.140434822637532,"Infected 50","0.24"
"DEG cluster 3+4","Infected","83","Infected 83",6,0.197012626667409,0.320444331638588,0.130820850580289,"Infected 83","0.20"
"DEG cluster 3+4","Control","33","Control 33",7,-0.198867503417997,0.280832168053651,0.106144582402437,"Control 33","-0.20"
"DEG cluster 3+4","Control","50","Control 50",6,-0.231053620230482,0.190828444331053,0.077905386170031,"Control 50","-0.23"
"DEG cluster 3+4","Control","83","Control 83",7,-0.0280817435923763,0.4259072687355,0.160977816378413,"Control 83","-0.03"
