"database","background","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","Description","gene_biotype"
"GO","Expressed rRNA-filtered genes","GO:0007143","female meiotic nuclear division","8/334","28/5969",0.000102321992293595,0.0175956080851671,0.0175956080851671,8,"LOC126334614","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.5596869341511,4.32771375002358e-05,2.47201935973855,"1016","Lower than gene mean","kinesin-like protein KIF20B","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0007143","female meiotic nuclear division","8/334","28/5969",0.000102321992293595,0.0175956080851671,0.0175956080851671,8,"LOC126335501","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.17892512588517,3.23578719368072e-06,2.56892201569981,"1002","Lower than gene mean","serine/threonine-protein kinase polo","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0007143","female meiotic nuclear division","8/334","28/5969",0.000102321992293595,0.0175956080851671,0.0175956080851671,8,"LOC126347975","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.20820871628402,1.26716803068087e-06,2.08737765945395,"1041","Higher than gene mean","calponin homology domain-containing protein DDB_G0272472-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","7/334","22/5969",0.000132428819020866,0.0175956080851671,0.0175956080851671,7,"LOC126266657","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60384344902197,0.000294437787544098,2.78253431138757,"1030","Higher than gene mean","UDP-glucose 6-dehydrogenase","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","7/334","22/5969",0.000132428819020866,0.0175956080851671,0.0175956080851671,7,"LOC126281954","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.43941423411776,1.16513263907724e-09,1.88359250695274,"1038","Higher than gene mean","alcohol dehydrogenase class-3","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","7/334","22/5969",0.000132428819020866,0.0175956080851671,0.0175956080851671,7,"LOC126285375","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.28756702610983,9.10228961014123e-05,2.80495255721639,"1002","Lower than gene mean","sepiapterin reductase-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","7/334","22/5969",0.000132428819020866,0.0175956080851671,0.0175956080851671,7,"LOC126297494","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37221322080482,1.46727259494981e-12,1.73235629177823,"1050","Lower than gene mean","glucose-6-phosphate 1-dehydrogenase","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","7/334","22/5969",0.000132428819020866,0.0175956080851671,0.0175956080851671,7,"LOC126335505","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.5180888832306,6.77477367762524e-09,2.31696691946423,"1002","Higher than gene mean","isocitrate dehydrogenase [NADP] cytoplasmic","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","7/334","22/5969",0.000132428819020866,0.0175956080851671,0.0175956080851671,7,"LOC126336122","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.15906430951041,3.95946935872499e-08,2.62190941391707,"1032","Higher than gene mean","NADP-dependent malic enzyme-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","7/334","22/5969",0.000132428819020866,0.0175956080851671,0.0175956080851671,7,"LOC126336866","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.07808647969435,7.47456554555734e-13,2.95518046465202,"1009","Higher than gene mean","NADP-dependent malic enzyme-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032133","chromosome passenger complex","4/334","6/5969",0.000132067381689399,0.0175956080851671,0.0175956080851671,4,"LOC126278346","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.51029785141249,7.64709225312508e-07,1.96310654208947,"1041","Higher than gene mean","baculoviral IAP repeat-containing protein 5.2-B","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032133","chromosome passenger complex","4/334","6/5969",0.000132067381689399,0.0175956080851671,0.0175956080851671,4,"LOC126334768","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.48419104522222,1.54445129305204e-05,2.0272369749456,"1016","Lower than gene mean","aurora kinase C-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032133","chromosome passenger complex","4/334","6/5969",0.000132067381689399,0.0175956080851671,0.0175956080851671,4,"LOC126334907","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.11399353457135,2.7674622205293e-05,1.78491765020591,"1029","Lower than gene mean","uncharacterized LOC126334907","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032133","chromosome passenger complex","4/334","6/5969",0.000132067381689399,0.0175956080851671,0.0175956080851671,4,"LOC126347975","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.20820871628402,1.26716803068087e-06,2.08737765945395,"1041","Higher than gene mean","calponin homology domain-containing protein DDB_G0272472-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126266657","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60384344902197,0.000294437787544098,2.78253431138757,"1030","Higher than gene mean","UDP-glucose 6-dehydrogenase","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126266744","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.01838286256794,0.033957484727569,2.16054331626357,"1002","Higher than gene mean","nephrin-like","protein_coding"
