"expression_cluster","sample_id","cluster_mean_z","Treatment","Diet","sample_group","outlier_status","sample_label"
"DEG cluster 1","1002",-0.0725908737302621,"Control","83","Control 83","Other sample","1002"
"DEG cluster 1","1003",0.607716566208761,"Control","33","Control 33","Other sample","1003"
"DEG cluster 1","1004",0.658367885775784,"Control","50","Control 50","Other sample","1004"
"DEG cluster 1","1005",0.364858199756601,"Control","83","Control 83","Other sample","1005"
"DEG cluster 1","1006",0.669987694469924,"Control","33","Control 33","Other sample","1006"
"DEG cluster 1","1007",0.574605593529052,"Control","50","Control 50","Discussed outlier","1007 *"
"DEG cluster 1","1009",0.774436629291536,"Control","33","Control 33","Other sample","1009"
"DEG cluster 1","1011",0.522488564893729,"Control","83","Control 83","Other sample","1011"
"DEG cluster 1","1014",-0.115098142771344,"Infected","83","Infected 83","Other sample","1014"
"DEG cluster 1","1015",-0.666827392028578,"Infected","33","Infected 33","Other sample","1015"
"DEG cluster 1","1016",-0.880940027232926,"Infected","50","Infected 50","Other sample","1016"
"DEG cluster 1","1018",-0.240455576678805,"Infected","33","Infected 33","Other sample","1018"
"DEG cluster 1","1020",-0.637740198374514,"Infected","83","Infected 83","Other sample","1020"
"DEG cluster 1","1021",0.0527456805744436,"Infected","33","Infected 33","Other sample","1021"
"DEG cluster 1","1023",-1.16001293133449,"Infected","83","Infected 83","Other sample","1023"
"DEG cluster 1","1024",-0.431278473110637,"Infected","83","Infected 83","Other sample","1024"
"DEG cluster 1","1025",-0.723612071953799,"Infected","50","Infected 50","Other sample","1025"
"DEG cluster 1","1027",-0.887003987561091,"Infected","33","Infected 33","Other sample","1027"
"DEG cluster 1","1028",-0.072440354577833,"Infected","50","Infected 50","Other sample","1028"
"DEG cluster 1","1029",-1.06852474938248,"Infected","83","Infected 83","Other sample","1029"
"DEG cluster 1","1030",0.865510473771229,"Control","33","Control 33","Other sample","1030"
"DEG cluster 1","1031",0.725832881229782,"Control","50","Control 50","Other sample","1031"
"DEG cluster 1","1032",0.77617053089441,"Control","83","Control 83","Other sample","1032"
"DEG cluster 1","1033",0.509906235493384,"Control","33","Control 33","Other sample","1033"
"DEG cluster 1","1034",0.609969050558167,"Control","50","Control 50","Other sample","1034"
"DEG cluster 1","1035",0.371581062378054,"Control","83","Control 83","Other sample","1035"
"DEG cluster 1","1036",0.715579768584551,"Control","33","Control 33","Discussed outlier","1036 *"
"DEG cluster 1","1037",0.735188191059395,"Control","50","Control 50","Discussed outlier","1037 *"
"DEG cluster 1","1038",0.803419088176647,"Control","83","Control 83","Other sample","1038"
