"Diet","PC1_control","PC2_control","PC1_infected","PC2_infected"
"33",-40.1829008430684,6.74520773627903,19.299845378896,-12.2845164800883
"50",-37.757141183628,11.4510516527634,30.7512354370208,-13.1672467721606
"83",-32.5483282002836,5.29476685644812,44.3169796138475,14.7273756141097
