"label","PC1","PC2","Diet","Treatment","Condition"
"1002",-20.7400783499662,11.5951001289422,"83","Control","83 Control"
"1003",-40.0089717660936,4.94679836549096,"33","Control","33 Control"
"1004",-39.0336722189722,2.68075702711743,"50","Control","50 Control"
"1005",-31.4721014296312,1.43581883849673,"83","Control","83 Control"
"1006",-50.4910520897553,4.54655849809128,"33","Control","33 Control"
"1007",-33.9872358426843,28.7877941337948,"50","Control","50 Control"
"1009",-43.2223092125946,4.73498741568623,"33","Control","33 Control"
"1011",-32.9814374503001,-6.66158559626235,"83","Control","83 Control"
"1014",13.7704312871479,-7.91402150946312,"83","Infected","83 Infected"
"1015",40.4527880830223,-19.0173813593481,"33","Infected","33 Infected"
"1016",51.4748317493053,-27.8506466445344,"50","Infected","50 Infected"
"1018",4.73693221371834,-5.89385211152856,"33","Infected","33 Infected"
"1020",17.2360115798489,3.61356374275801,"83","Infected","83 Infected"
"1021",-4.42557335002989,-0.588628541905993,"33","Infected","33 Infected"
"1023",67.7499292821142,-33.1793322043589,"83","Infected","83 Infected"
"1024",11.5807900826638,-5.32680924326989,"33","Infected","33 Infected"
"1025",38.8600215456538,-8.31857186096112,"50","Infected","50 Infected"
"1027",66.3358906682769,-21.685220410815,"33","Infected","33 Infected"
"1028",12.7726908228933,-5.06306120647461,"50","Infected","50 Infected"
"1029",57.8911780044161,-19.5510634901378,"83","Infected","83 Infected"
"1030",-49.5433969962885,8.63638289542836,"33","Control","33 Control"
"1031",-34.6528602049395,8.10287745699773,"50","Control","50 Control"
"1032",-46.8187893541414,3.47242699135602,"83","Control","83 Control"
"1033",-26.0294159490164,1.84420524354937,"33","Control","33 Control"
"1034",-43.6886910827881,7.49725530514704,"50","Control","50 Control"
"1035",-17.8865088089474,7.20873767566057,"83","Control","83 Control"
"1036",-45.6883734427109,15.5349925968048,"33","Control","33 Control"
"1037",-32.150933266686,25.4711318726216,"50","Control","50 Control"
"1038",-36.6768027346796,11.3518021450014,"83","Control","83 Control"
"1039",-26.2967864450194,6.97252913890226,"33","Control","33 Control"
"1040",-43.0294544856982,-3.83350587909797,"50","Control","50 Control"
"1041",-41.2625792743191,8.66106781194225,"83","Control","83 Control"
"1042",5.42826978631838,-13.3164633112325,"33","Infected","33 Infected"
"1043",-5.68596871814709,-7.31055954106466,"50","Infected","50 Infected"
"1045",-6.57329259769675,-15.9071120202057,"33","Infected","33 Infected"
"1046",38.4882281950748,-5.16914365188499,"50","Infected","50 Infected"
"1049",49.0258349795979,-21.8929902204826,"50","Infected","50 Infected"
"1050",0.469571806591585,-12.1337157914583,"83","Infected","83 Infected"
"1051",-17.4488117837156,-7.45739826528901,"33","Infected","33 Infected"
"1052",21.0105942185843,-17.2564497917433,"50","Infected","50 Infected"
"1054",45.7272988532829,-14.526225783878,"33","Infected","33 Infected"
"1055",19.6581989592684,-6.31331441057326,"50","Infected","50 Infected"
"1057",47.1841618331196,-19.1260737534098,"33","Infected","33 Infected"
"1058",51.1566871809563,-19.3304836217268,"50","Infected","50 Infected"
"1044",108.784755722967,157.528822937318,"83","Infected","83 Infected"
