"comparison_type","comparison","gene_id","scenarios_detected","n_scenarios","directions","min_padj","max_abs_lfc"
"Diet contrasts among control","Control 83 vs 33","LOC126336537","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.000313118824216075,3.25000856677663
"Diet contrasts among control","Control 83 vs 33","LOC126266788","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.000437067637750234,2.71831219753861
"Diet contrasts among control","Control 83 vs 33","LOC126355485","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.000672763108497925,1.93698858661934
"Diet contrasts among control","Control 83 vs 33","LOC126285309","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.000803508546896859,2.65702348560598
"Diet contrasts among control","Control 83 vs 33","LOC126281204","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00134911881810927,3.52200728285833
"Diet contrasts among control","Control 83 vs 33","LOC126298067","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00142777432117723,1.41074699588266
"Diet contrasts among control","Control 83 vs 33","LOC126325353","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00159602512352323,1.37342453164183
"Diet contrasts among control","Control 83 vs 33","LOC126324953","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00213731909751795,1.60803967760591
"Diet contrasts among control","Control 83 vs 33","LOC126272354","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00409074584579613,2.04313537275971
"Diet contrasts among control","Control 83 vs 33","LOC126297490","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00630706987536045,1.64986940949162
"Diet contrasts among control","Control 83 vs 33","LOC126293432","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00717318818804162,1.51381197118899
"Diet contrasts among control","Control 83 vs 33","LOC126334600","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00960610484418825,2.10901756108083
"Diet contrasts among control","Control 83 vs 33","LOC126365810","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00987993939980029,2.49819169413764
"Diet contrasts among control","Control 83 vs 33","LOC126278199","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.0140847130275484,1.65022124025903
"Diet contrasts among control","Control 83 vs 33","LOC126347864","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.0159133755882512,2.07634309117432
"Diet contrasts among control","Control 83 vs 33","LOC126267711","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.0165627408516098,2.39863714378733
"Diet contrasts among control","Control 83 vs 33","LOC126336866","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.0182453626736173,1.96873159699774
"Diet contrasts among control","Control 83 vs 33","LOC126298156","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.0274072798894059,4.60404100671943
"Diet contrasts among control","Control 83 vs 33","LOC126268174","Current outliers removed; Expanded outlier set",2,"Upregulated",1.00399770335322e-05,6.38287223973987
"Diet contrasts among control","Control 83 vs 33","LOC126304689","Current outliers removed; Expanded outlier set",2,"Upregulated",0.00161100907559319,6.99686908896394
"Diet contrasts among control","Control 83 vs 33","LOC126272706","Current outliers removed; Expanded outlier set",2,"Upregulated",0.00304963702356112,7.31728837633052
"Diet contrasts among control","Control 83 vs 33","LOC126277947","Current outliers removed; Expanded outlier set",2,"Upregulated",0.00348796220713694,8.52235156756105
"Diet contrasts among control","Control 83 vs 33","LOC126291739","Current outliers removed; Expanded outlier set",2,"Downregulated",0.00405082139102237,1.11543617531089
