"intersection","n_genes","n_sets","intersection_id"
"all_deseq2_results + DESeq2_Infected_diet_33_vs_50",1789,2,"I01"
"all_deseq2_results + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients",345,4,"I02"
"all_deseq2_results",328,1,"I03"
"all_deseq2_results + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",265,6,"I04"
"all_deseq2_results + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33",246,5,"I05"
"all_deseq2_results + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50",244,3,"I06"
"all_deseq2_results + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33",198,3,"I07"
"all_deseq2_results + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_83",116,3,"I08"
"all_deseq2_results + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33",62,4,"I09"
"all_deseq2_results + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_83",61,5,"I10"
"all_deseq2_results + DESeq2_Infected_diet_33_vs_50 + all_model_coefficients + interaction_coefficients",46,4,"I11"
"all_model_coefficients",41,1,"I12"
"all_deseq2_results + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",28,4,"I13"
"all_deseq2_results + DESeq2_Infected_diet_33_vs_50 + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33",28,4,"I14"
"all_deseq2_results + DESeq2_Infected_diet_33_vs_50 + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients",17,5,"I15"
"DESeq2_Infected_diet_33_vs_50",13,1,"I16"
"all_deseq2_results + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_83",12,4,"I17"
"all_diet_pairwise_results + DESeq2_33_vs_50",12,2,"I18"
"all_model_coefficients + all_diet_pairwise_results + DESeq2_33_vs_50",10,3,"I19"
"all_deseq2_results + all_model_coefficients",10,2,"I20"
