sequence_scope,source_sheet,umbrella,figure_scope,target_genes,gene_contrast_cells,original_significant_cells,current_significant_cells,newly_significant_cells,no_longer_significant_cells,net_change
All curated targets,Immune,Cellular Immunity,Diet comparison among infected,8,24,0,0,0,0,0
All curated targets,Immune,Cellular Immunity,Within-diet infection response,8,24,0,6,6,0,6
All curated targets,Immune,Detoxification,Diet comparison among infected,8,24,0,4,4,0,4
All curated targets,Immune,Detoxification,Within-diet infection response,8,24,0,5,5,0,5
All curated targets,Immune,Humoral Immunity,Diet comparison among infected,11,33,0,0,0,0,0
All curated targets,Immune,Humoral Immunity,Within-diet infection response,11,33,0,20,20,0,20
All curated targets,Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,45,135,0,0,0,0,0
All curated targets,Immune,Innate Immune Recognition & Signaling,Within-diet infection response,45,135,0,88,88,0,88
All curated targets,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Diet comparison among infected,18,54,0,6,6,0,6
All curated targets,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Within-diet infection response,18,54,0,11,11,0,11
All curated targets,Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Diet comparison among infected,17,51,0,1,1,0,1
All curated targets,Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Within-diet infection response,17,51,0,22,22,0,22
All curated targets,Protein-Anabolism,Protein Synthesis & Translation,Diet comparison among infected,51,153,0,11,11,0,11
All curated targets,Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,51,153,0,18,18,0,18
All curated targets,Protein-Anabolism,Storage Hexamerins & Reserves,Diet comparison among infected,5,15,0,0,0,0,0
All curated targets,Protein-Anabolism,Storage Hexamerins & Reserves,Within-diet infection response,5,15,0,4,4,0,4
Main chromosome,Immune,Cellular Immunity,Diet comparison among infected,5,15,0,0,0,0,0
Main chromosome,Immune,Cellular Immunity,Within-diet infection response,5,15,0,6,6,0,6
Main chromosome,Immune,Detoxification,Diet comparison among infected,5,15,0,2,2,0,2
Main chromosome,Immune,Detoxification,Within-diet infection response,5,15,0,3,3,0,3
Main chromosome,Immune,Humoral Immunity,Diet comparison among infected,11,33,0,0,0,0,0
Main chromosome,Immune,Humoral Immunity,Within-diet infection response,11,33,0,20,20,0,20
Main chromosome,Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,43,129,0,0,0,0,0
Main chromosome,Immune,Innate Immune Recognition & Signaling,Within-diet infection response,43,129,0,88,88,0,88
Main chromosome,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Diet comparison among infected,10,30,0,5,5,0,5
Main chromosome,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Within-diet infection response,10,30,0,10,10,0,10
Main chromosome,Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Diet comparison among infected,11,33,0,0,0,0,0
Main chromosome,Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Within-diet infection response,11,33,0,21,21,0,21
Main chromosome,Protein-Anabolism,Protein Synthesis & Translation,Diet comparison among infected,9,27,0,0,0,0,0
Main chromosome,Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,9,27,0,13,13,0,13
Main chromosome,Protein-Anabolism,Storage Hexamerins & Reserves,Diet comparison among infected,5,15,0,0,0,0,0
Main chromosome,Protein-Anabolism,Storage Hexamerins & Reserves,Within-diet infection response,5,15,0,4,4,0,4
Unplaced scaffold,Immune,Cellular Immunity,Diet comparison among infected,3,9,0,0,0,0,0
Unplaced scaffold,Immune,Cellular Immunity,Within-diet infection response,3,9,0,0,0,0,0
Unplaced scaffold,Immune,Detoxification,Diet comparison among infected,3,9,0,2,2,0,2
Unplaced scaffold,Immune,Detoxification,Within-diet infection response,3,9,0,2,2,0,2
Unplaced scaffold,Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,2,6,0,0,0,0,0
Unplaced scaffold,Immune,Innate Immune Recognition & Signaling,Within-diet infection response,2,6,0,0,0,0,0
Unplaced scaffold,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Diet comparison among infected,8,24,0,1,1,0,1
Unplaced scaffold,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Within-diet infection response,8,24,0,1,1,0,1
Unplaced scaffold,Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Diet comparison among infected,6,18,0,1,1,0,1
Unplaced scaffold,Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Within-diet infection response,6,18,0,1,1,0,1
Unplaced scaffold,Protein-Anabolism,Protein Synthesis & Translation,Diet comparison among infected,42,126,0,11,11,0,11
Unplaced scaffold,Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,42,126,0,5,5,0,5
