"gene_id","log2FoldChange","padj","source","direction","source_direction","gene_biotype","gene_description","Gene_class","Direction","signed_direction","source_label","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway"
"LOC126354591",-1.67356471240829,0.0413297680209376,"DESeq2_infected_vs_control_diet_33","DOWN","DESeq2_infected_vs_control_diet_33__DOWN","lncRNA","uncharacterized LOC126354591","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126354926",-3.63286817734861,5.36878455862951e-05,"DESeq2_infected_vs_control_diet_33","DOWN","DESeq2_infected_vs_control_diet_33__DOWN","lncRNA","uncharacterized LOC126354926","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126354927",-3.61004305093001,1.2901687763398e-05,"DESeq2_infected_vs_control_diet_33","DOWN","DESeq2_infected_vs_control_diet_33__DOWN","lncRNA","uncharacterized LOC126354927","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126354928",-4.14558756326072,0.000517457539176154,"DESeq2_infected_vs_control_diet_33","DOWN","DESeq2_infected_vs_control_diet_33__DOWN","lncRNA","uncharacterized LOC126354928","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126354929",-3.22739627528938,1.12576890986133e-07,"DESeq2_infected_vs_control_diet_33","DOWN","DESeq2_infected_vs_control_diet_33__DOWN","lncRNA","uncharacterized LOC126354929","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126354946",-3.17301629313251,0.000143993069013945,"DESeq2_infected_vs_control_diet_33","DOWN","DESeq2_infected_vs_control_diet_33__DOWN","lncRNA","uncharacterized LOC126354946","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126267575",1.22591133891519,0.0213239146835759,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126267575","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126272363",1.55204845138894,0.00152402814636079,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126272363","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126273060",6.10320543869221,1.66037820344444e-06,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126273060","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126278127",7.66288286770978,6.36106198684815e-10,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126278127","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
