"label","total_counts","Diet","Treatment"
"1002",5937916,"83","Control"
"1003",7411306,"33","Control"
"1004",11086824,"50","Control"
"1005",8411325,"83","Control"
"1006",5188007,"33","Control"
"1007",9247588,"50","Control"
"1009",11688148,"33","Control"
"1011",7646152,"83","Control"
"1014",4356263,"83","Infected"
"1015",8608305,"33","Infected"
"1016",2133758,"50","Infected"
"1018",18585295,"33","Infected"
"1020",8217094,"83","Infected"
"1021",12154810,"33","Infected"
"1023",4492147,"83","Infected"
"1024",5089522,"83","Infected"
"1025",13080468,"50","Infected"
"1027",5661978,"33","Infected"
"1028",11772026,"50","Infected"
"1029",12725469,"83","Infected"
"1030",20500862,"33","Control"
"1031",12176499,"50","Control"
"1032",13406414,"83","Control"
"1033",17511571,"33","Control"
"1034",12015013,"50","Control"
"1035",13252545,"83","Control"
"1036",12927285,"33","Control"
"1037",13250229,"50","Control"
"1038",9635492,"83","Control"
"1039",15728172,"33","Control"
"1040",13122844,"50","Control"
"1041",7973728,"83","Control"
"1042",11731742,"33","Infected"
"1043",13136203,"50","Infected"
"1045",12238177,"33","Infected"
"1046",8517973,"50","Infected"
"1049",10809671,"50","Infected"
"1050",10894243,"83","Infected"
"1051",11191211,"33","Infected"
"1052",8867625,"50","Infected"
"1054",10188923,"33","Infected"
"1055",10574506,"50","Infected"
"1057",13034731,"33","Infected"
"1058",3891347,"50","Infected"
