Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
mehreen_1002_MERGE_1_val_1	90.1213118129304	58.0	129.02357671500027	147	45.45454545454545	63.337788999999994
mehreen_1002_MERGE_2_val_2	89.45168809869647	58.0	128.9236613232584	147	45.45454545454545	63.337788999999994
mehreen_1003_MERGE_1_val_1	83.71505780209706	57.0	129.5089483053659	147	45.45454545454545	55.673669999999994
mehreen_1003_MERGE_2_val_2	82.5166307056227	58.0	129.47742613339483	147	45.45454545454545	55.673669999999994
mehreen_1004_MERGE_1_val_1	80.71592790526171	55.0	131.3356645786759	147	45.45454545454545	68.77568699999999
mehreen_1004_MERGE_2_val_2	79.29434678138452	56.0	131.2655283108986	147	45.45454545454545	68.77568699999999
mehreen_1005_MERGE_1_val_1	84.29303276103441	57.0	130.86627086136033	147	45.45454545454545	68.52022
mehreen_1005_MERGE_2_val_2	82.98200243682925	58.0	130.80348574479183	147	45.45454545454545	68.52022
mehreen_1006_MERGE_1_val_1	89.38098424727673	58.0	122.50212578546582	132	45.45454545454545	77.28837299999999
mehreen_1006_MERGE_2_val_2	88.70578217644335	59.0	122.5095624797277	132	36.36363636363637	77.28837299999999
mehreen_1007_MERGE_1_val_1	80.60076408008774	52.0	133.202910769742	147	45.45454545454545	56.5761
mehreen_1007_MERGE_2_val_2	78.96895389758342	53.0	133.1634403042981	147	45.45454545454545	56.5761
mehreen_1009_MERGE_1_val_1	78.71420602613313	56.0	131.99117559724831	147	45.45454545454545	78.4682
mehreen_1009_MERGE_2_val_2	77.13448120625716	56.0	131.91648629635955	147	45.45454545454545	78.4682
mehreen_1011_MERGE_1_val_1	81.61454554530543	55.0	128.92155210463403	147	45.45454545454545	67.37800899999999
mehreen_1011_MERGE_2_val_2	80.07485206956	56.0	128.81778479088035	147	45.45454545454545	67.37800899999999
mehreen_1014_MERGE_1_val_1	92.31058069685723	56.0	127.83899337096994	142	45.45454545454545	110.14929699999999
mehreen_1014_MERGE_2_val_2	91.60371890507068	57.0	127.74475296015734	142	27.27272727272727	110.14929699999999
mehreen_1015_MERGE_1_val_1	82.35522988441832	54.0	130.28013114337122	147	45.45454545454545	74.32140799999999
mehreen_1015_MERGE_2_val_2	80.45271197767127	55.0	130.17088139664955	147	45.45454545454545	74.32140799999999
mehreen_1016_MERGE_1_val_1	95.65434488865851	59.0	130.43084323752063	147	45.45454545454545	100.292513
mehreen_1016_MERGE_2_val_2	95.14096510047939	59.0	130.3091287183122	147	36.36363636363637	100.292513
mehreen_1018_MERGE_1_val_1	78.73331068626719	53.0	130.2634288955943	147	45.45454545454545	95.654776
mehreen_1018_MERGE_2_val_2	76.11011044729887	54.0	130.26956413551164	147	45.45454545454545	95.654776
mehreen_1020_MERGE_1_val_1	88.98921595888095	56.0	127.07399621277374	142	45.45454545454545	89.483431
mehreen_1020_MERGE_2_val_2	87.74460851241533	56.0	127.07675286836063	142	36.36363636363637	89.483431
mehreen_1021_MERGE_1_val_1	83.2079962426813	54.0	130.42261644225422	147	45.45454545454545	87.159898
mehreen_1021_MERGE_2_val_2	81.21741321255067	55.0	130.34391522578423	147	45.45454545454545	87.159898
mehreen_1023_MERGE_1_val_1	89.92771569532886	59.0	130.17396793436728	147	45.45454545454545	81.494478
mehreen_1023_MERGE_2_val_2	88.73892248577533	59.0	130.1006087921687	147	36.36363636363637	81.494478
mehreen_1024_MERGE_1_val_1	89.8864532021141	56.0	127.90597524714468	142	45.45454545454545	83.152912
mehreen_1024_MERGE_2_val_2	88.91925945119394	56.0	127.7925347220552	142	36.36363636363637	83.152912
mehreen_1025_MERGE_1_val_1	78.93755724020478	55.0	129.82641666167368	147	45.45454545454545	82.132013
mehreen_1025_MERGE_2_val_2	76.77489260832076	55.0	129.81224971315388	147	36.36363636363637	82.132013
mehreen_1027_MERGE_1_val_1	92.33940048150617	59.0	130.35129835739193	147	45.45454545454545	123.946304
mehreen_1027_MERGE_2_val_2	91.4611481083378	59.0	130.28964137567183	147	36.36363636363637	123.946304
mehreen_1028_MERGE_1_val_1	82.5179177069242	57.0	132.95607378289807	147	45.45454545454545	86.501075
mehreen_1028_MERGE_2_val_2	81.05396968047971	57.0	132.91097133763944	147	45.45454545454545	86.501075
mehreen_1029_MERGE_1_val_1	77.66629087010159	54.0	132.5963289697624	147	45.45454545454545	70.592336
mehreen_1029_MERGE_2_val_2	75.34500868519785	54.0	132.53551507347765	147	45.45454545454545	70.592336
mehreen_1030_MERGE_1_val_1	83.77774778042911	57.0	132.3487683840796	147	45.45454545454545	123.592467
mehreen_1030_MERGE_2_val_2	81.88362254575708	57.0	132.58286509484432	147	45.45454545454545	123.592467
mehreen_1031_MERGE_1_val_1	81.11150347437463	54.0	130.07704334427268	147	45.45454545454545	79.694243
mehreen_1031_MERGE_2_val_2	79.18080508062121	55.0	130.0802267611727	147	45.45454545454545	79.694243
mehreen_1032_MERGE_1_val_1	79.34994614043141	55.0	129.32597896046485	147	45.45454545454545	88.168678
mehreen_1032_MERGE_2_val_2	77.46993424008322	55.0	129.2694297968265	147	45.45454545454545	88.168678
mehreen_1033_MERGE_1_val_1	80.70689329557985	55.0	132.5755268068766	147	45.45454545454545	91.800624
mehreen_1033_MERGE_2_val_2	78.87304765923291	56.0	132.5400677341801	147	45.45454545454545	91.800624
mehreen_1034_MERGE_1_val_1	84.10052947805372	56.0	132.9657584920813	147	45.45454545454545	83.358128
mehreen_1034_MERGE_2_val_2	82.83533221807613	56.0	132.87337320003155	147	45.45454545454545	83.358128
mehreen_1035_MERGE_1_val_1	82.83803835802755	56.0	131.72963945074824	147	45.45454545454545	86.788032
mehreen_1035_MERGE_2_val_2	81.18598400811761	56.0	131.68988062778058	147	45.45454545454545	86.788032
mehreen_1036_MERGE_1_val_1	82.935490003852	56.0	131.2967093416444	147	45.45454545454545	92.666715
mehreen_1036_MERGE_2_val_2	81.26807312434552	56.0	131.22012483122987	147	36.36363636363637	92.666715
mehreen_1037_MERGE_1_val_1	82.50585430570774	55.0	132.24193572590315	147	45.45454545454545	85.299246
mehreen_1037_MERGE_2_val_2	80.86511174873594	55.0	132.18997805678143	147	45.45454545454545	85.299246
mehreen_1038_MERGE_1_val_1	86.8915103202863	53.0	127.27776554353579	137	45.45454545454545	99.561179
mehreen_1038_MERGE_2_val_2	85.63025625924575	53.0	127.20062754580276	137	36.36363636363637	99.561179
mehreen_1039_MERGE_1_val_1	71.57012422455395	50.0	132.88229054314604	147	45.45454545454545	68.48821
mehreen_1039_MERGE_2_val_2	68.33144355582682	51.0	132.86714268047012	147	36.36363636363637	68.48821
mehreen_1040_MERGE_1_val_1	73.94650692760675	53.0	131.9603563441477	147	45.45454545454545	75.252646
mehreen_1040_MERGE_2_val_2	72.10402723416	54.0	131.83336453046448	147	45.45454545454545	75.252646
mehreen_1041_MERGE_1_val_1	81.32870738111242	53.0	128.27630870665223	142	45.45454545454545	63.42254
