Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
mehreen_1041_MERGE_2_val_2	79.54243312544858	54.0	128.19117619697982	142	45.45454545454545	63.42254
mehreen_1042_MERGE_1_val_1	77.12136929548981	55.0	129.61926234408864	147	45.45454545454545	80.726717
mehreen_1042_MERGE_2_val_2	75.20066297333051	55.0	129.54853284817713	147	36.36363636363637	80.726717
mehreen_1043_MERGE_1_val_1	80.71191634781472	55.0	131.28087419173943	147	45.45454545454545	99.975184
mehreen_1043_MERGE_2_val_2	79.20097557030589	55.0	131.15359295562786	147	36.36363636363637	99.975184
mehreen_1045_MERGE_1_val_1	77.74119637839595	53.0	129.85603931620813	147	45.45454545454545	82.290947
mehreen_1045_MERGE_2_val_2	75.79560496933051	53.0	129.68181286089708	147	45.45454545454545	82.290947
mehreen_1046_MERGE_1_val_1	83.92829444328225	53.0	128.41783533603265	142	45.45454545454545	81.04245399999999
mehreen_1046_MERGE_2_val_2	82.10812670093614	54.0	128.3466944127827	142	45.45454545454545	81.04245399999999
mehreen_1049_MERGE_1_val_1	82.72000788769037	52.0	125.49716644420785	137	45.45454545454545	97.394059
mehreen_1049_MERGE_2_val_2	80.74029946505635	53.0	125.40681278105474	137	27.27272727272727	97.394059
mehreen_1050_MERGE_1_val_1	80.27795283335855	54.0	129.97732129429744	147	45.45454545454545	77.994839
mehreen_1050_MERGE_2_val_2	78.42377470304207	55.0	129.8856809999954	147	45.45454545454545	77.994839
mehreen_1051_MERGE_1_val_1	78.9873707336742	53.0	130.8804370735714	147	45.45454545454545	73.265194
mehreen_1051_MERGE_2_val_2	76.77271698710629	54.0	130.70551021812622	147	45.45454545454545	73.265194
mehreen_1052_MERGE_1_val_1	83.51925277492657	53.0	128.55169891649274	147	45.45454545454545	75.96164999999999
mehreen_1052_MERGE_2_val_2	81.65020736021225	54.0	128.4522366220323	147	45.45454545454545	75.96164999999999
mehreen_1054_MERGE_1_val_1	83.52988118016219	55.0	130.841036129737	147	45.45454545454545	86.48125499999999
mehreen_1054_MERGE_2_val_2	81.99942962668263	55.0	130.71668317024307	147	45.45454545454545	86.48125499999999
mehreen_1055_MERGE_1_val_1	83.1532671878455	54.0	131.46689071608807	147	45.45454545454545	86.04292099999999
mehreen_1055_MERGE_2_val_2	81.56405766380277	54.0	131.33875036622712	147	45.45454545454545	86.04292099999999
mehreen_1057_MERGE_1_val_1	74.70515234094422	52.0	131.48569131322506	147	45.45454545454545	71.108657
mehreen_1057_MERGE_2_val_2	72.30441874394948	53.0	131.4336279617825	147	45.45454545454545	71.108657
mehreen_1058_MERGE_1_val_1	88.84672234209097	54.0	125.44391939316479	137	45.45454545454545	66.586512
mehreen_1058_MERGE_2_val_2	87.62223904643157	54.0	125.34438361931318	137	45.45454545454545	66.586512
