Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
mehreen_1007_MERGE_1_val_1	(11.0, 1.0)	(12.0, 1.0)	(13.0, 14.0)	(14.0, 104.0)	(15.0, 551.0)	(16.0, 1673.0)	(17.0, 3756.0)	(18.0, 6610.0)	(19.0, 10214.0)	(20.0, 14258.0)	(21.0, 19716.0)	(22.0, 25827.0)	(23.0, 35219.0)	(24.0, 45964.0)	(25.0, 60217.0)	(26.0, 73689.0)	(27.0, 89303.0)	(28.0, 103233.0)	(29.0, 118585.0)	(30.0, 138112.0)	(31.0, 162228.0)	(32.0, 193012.0)	(33.0, 239488.0)	(34.0, 319467.0)	(35.0, 448216.0)	(36.0, 736947.0)	(37.0, 1332322.0)	(38.0, 3395422.0)	(39.0, 33590846.0)	(40.0, 15411105.0)			
mehreen_1007_MERGE_2_val_2	(9.0, 2.0)	(10.0, 19.0)	(11.0, 200.0)	(12.0, 1150.0)	(13.0, 4098.0)	(14.0, 10540.0)	(15.0, 19817.0)	(16.0, 27481.0)	(17.0, 29826.0)	(18.0, 30501.0)	(19.0, 32212.0)	(20.0, 35729.0)	(21.0, 40556.0)	(22.0, 46198.0)	(23.0, 54486.0)	(24.0, 61740.0)	(25.0, 72654.0)	(26.0, 80565.0)	(27.0, 91217.0)	(28.0, 102684.0)	(29.0, 116552.0)	(30.0, 133677.0)	(31.0, 156609.0)	(32.0, 190376.0)	(33.0, 238788.0)	(34.0, 320809.0)	(35.0, 461080.0)	(36.0, 769720.0)	(37.0, 1425202.0)	(38.0, 3602530.0)	(39.0, 31494012.0)	(40.0, 16925070.0)	
mehreen_1009_MERGE_1_val_1	(12.0, 1.0)	(13.0, 17.0)	(14.0, 167.0)	(15.0, 744.0)	(16.0, 2140.0)	(17.0, 4751.0)	(18.0, 8495.0)	(19.0, 13265.0)	(20.0, 18456.0)	(21.0, 25499.0)	(22.0, 33835.0)	(23.0, 46328.0)	(24.0, 60855.0)	(25.0, 79583.0)	(26.0, 98164.0)	(27.0, 118364.0)	(28.0, 137601.0)	(29.0, 159948.0)	(30.0, 184218.0)	(31.0, 218620.0)	(32.0, 261523.0)	(33.0, 324939.0)	(34.0, 431264.0)	(35.0, 611238.0)	(36.0, 1016800.0)	(37.0, 1831157.0)	(38.0, 4617300.0)	(39.0, 45992209.0)	(40.0, 22170719.0)				
mehreen_1009_MERGE_2_val_2	(9.0, 4.0)	(10.0, 20.0)	(11.0, 161.0)	(12.0, 915.0)	(13.0, 4109.0)	(14.0, 12438.0)	(15.0, 25912.0)	(16.0, 37444.0)	(17.0, 40726.0)	(18.0, 41803.0)	(19.0, 44799.0)	(20.0, 49706.0)	(21.0, 57719.0)	(22.0, 66547.0)	(23.0, 78396.0)	(24.0, 89969.0)	(25.0, 106496.0)	(26.0, 118219.0)	(27.0, 133599.0)	(28.0, 149081.0)	(29.0, 168622.0)	(30.0, 194428.0)	(31.0, 225021.0)	(32.0, 270799.0)	(33.0, 338734.0)	(34.0, 457268.0)	(35.0, 658792.0)	(36.0, 1095776.0)	(37.0, 2015443.0)	(38.0, 5057487.0)	(39.0, 44218173.0)	(40.0, 22709594.0)	
mehreen_1011_MERGE_1_val_1	(13.0, 5.0)	(14.0, 126.0)	(15.0, 512.0)	(16.0, 1530.0)	(17.0, 3513.0)	(18.0, 6332.0)	(19.0, 9590.0)	(20.0, 13734.0)	(21.0, 18749.0)	(22.0, 25294.0)	(23.0, 35219.0)	(24.0, 46723.0)	(25.0, 62566.0)	(26.0, 78727.0)	(27.0, 96500.0)	(28.0, 112719.0)	(29.0, 132436.0)	(30.0, 155358.0)	(31.0, 182930.0)	(32.0, 221233.0)	(33.0, 274626.0)	(34.0, 368387.0)	(35.0, 527199.0)	(36.0, 876745.0)	(37.0, 1595412.0)	(38.0, 4129362.0)	(39.0, 40088697.0)	(40.0, 18313785.0)					
mehreen_1011_MERGE_2_val_2	(9.0, 3.0)	(10.0, 27.0)	(11.0, 143.0)	(12.0, 834.0)	(13.0, 3431.0)	(14.0, 10379.0)	(15.0, 22481.0)	(16.0, 31860.0)	(17.0, 35357.0)	(18.0, 37046.0)	(19.0, 41033.0)	(20.0, 46590.0)	(21.0, 55070.0)	(22.0, 64303.0)	(23.0, 78170.0)	(24.0, 90704.0)	(25.0, 106425.0)	(26.0, 118830.0)	(27.0, 135095.0)	(28.0, 150343.0)	(29.0, 172050.0)	(30.0, 197249.0)	(31.0, 233148.0)	(32.0, 285153.0)	(33.0, 360268.0)	(34.0, 497544.0)	(35.0, 732041.0)	(36.0, 1175761.0)	(37.0, 1992364.0)	(38.0, 4425756.0)	(39.0, 37713164.0)	(40.0, 18565387.0)	
mehreen_1014_MERGE_1_val_1	(12.0, 3.0)	(13.0, 25.0)	(14.0, 194.0)	(15.0, 862.0)	(16.0, 2597.0)	(17.0, 5800.0)	(18.0, 10227.0)	(19.0, 16084.0)	(20.0, 22972.0)	(21.0, 31699.0)	(22.0, 42856.0)	(23.0, 60419.0)	(24.0, 80462.0)	(25.0, 106216.0)	(26.0, 133156.0)	(27.0, 163963.0)	(28.0, 192804.0)	(29.0, 226599.0)	(30.0, 266345.0)	(31.0, 317716.0)	(32.0, 384285.0)	(33.0, 479634.0)	(34.0, 648175.0)	(35.0, 930776.0)	(36.0, 1558553.0)	(37.0, 2826898.0)	(38.0, 7114414.0)	(39.0, 64331126.0)	(40.0, 30194437.0)				
mehreen_1014_MERGE_2_val_2	(9.0, 6.0)	(10.0, 16.0)	(11.0, 104.0)	(12.0, 715.0)	(13.0, 3795.0)	(14.0, 12767.0)	(15.0, 28451.0)	(16.0, 42289.0)	(17.0, 47917.0)	(18.0, 51711.0)	(19.0, 57731.0)	(20.0, 66446.0)	(21.0, 79273.0)	(22.0, 93675.0)	(23.0, 115050.0)	(24.0, 134951.0)	(25.0, 160788.0)	(26.0, 183367.0)	(27.0, 209649.0)	(28.0, 238876.0)	(29.0, 277379.0)	(30.0, 327533.0)	(31.0, 401029.0)	(32.0, 509383.0)	(33.0, 662072.0)	(34.0, 863571.0)	(35.0, 1098651.0)	(36.0, 1597092.0)	(37.0, 2614011.0)	(38.0, 5996690.0)	(39.0, 60375095.0)	(40.0, 33899214.0)	
mehreen_1015_MERGE_1_val_1	(12.0, 2.0)	(13.0, 11.0)	(14.0, 115.0)	(15.0, 597.0)	(16.0, 1753.0)	(17.0, 4071.0)	(18.0, 7286.0)	(19.0, 11446.0)	(20.0, 15984.0)	(21.0, 22581.0)	(22.0, 30377.0)	(23.0, 41387.0)	(24.0, 55314.0)	(25.0, 72708.0)	(26.0, 90406.0)	(27.0, 110541.0)	(28.0, 128518.0)	(29.0, 150288.0)	(30.0, 174411.0)	(31.0, 205919.0)	(32.0, 247064.0)	(33.0, 305657.0)	(34.0, 405893.0)	(35.0, 575858.0)	(36.0, 950779.0)	(37.0, 1708387.0)	(38.0, 4272097.0)	(39.0, 42769317.0)	(40.0, 21962641.0)				
mehreen_1015_MERGE_2_val_2	(8.0, 1.0)	(9.0, 1.0)	(10.0, 26.0)	(11.0, 157.0)	(12.0, 833.0)	(13.0, 3521.0)	(14.0, 11267.0)	(15.0, 24135.0)	(16.0, 35298.0)	(17.0, 39256.0)	(18.0, 41347.0)	(19.0, 45487.0)	(20.0, 52059.0)	(21.0, 61410.0)	(22.0, 71608.0)	(23.0, 86764.0)	(24.0, 101985.0)	(25.0, 119480.0)	(26.0, 134282.0)	(27.0, 152305.0)	(28.0, 171081.0)	(29.0, 196320.0)	(30.0, 227937.0)	(31.0, 272911.0)	(32.0, 340128.0)	(33.0, 435728.0)	(34.0, 579164.0)	(35.0, 777588.0)	(36.0, 1174990.0)	(37.0, 1942516.0)	(38.0, 4380544.0)	(39.0, 41209506.0)	(40.0, 21631773.0)
