Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
mehreen_1024_MERGE_1_val_1	(12.0, 1.0)	(13.0, 16.0)	(14.0, 153.0)	(15.0, 688.0)	(16.0, 2192.0)	(17.0, 4837.0)	(18.0, 8525.0)	(19.0, 13123.0)	(20.0, 18102.0)	(21.0, 24874.0)	(22.0, 33964.0)	(23.0, 47559.0)	(24.0, 62526.0)	(25.0, 82311.0)	(26.0, 102787.0)	(27.0, 124827.0)	(28.0, 147392.0)	(29.0, 170818.0)	(30.0, 199506.0)	(31.0, 237992.0)	(32.0, 285146.0)	(33.0, 354233.0)	(34.0, 474125.0)	(35.0, 679261.0)	(36.0, 1123974.0)	(37.0, 2035902.0)	(38.0, 5260870.0)	(39.0, 49645390.0)	(40.0, 22011818.0)				
mehreen_1024_MERGE_2_val_2	(9.0, 3.0)	(10.0, 25.0)	(11.0, 173.0)	(12.0, 964.0)	(13.0, 4135.0)	(14.0, 13897.0)	(15.0, 29779.0)	(16.0, 42153.0)	(17.0, 46538.0)	(18.0, 48032.0)	(19.0, 51505.0)	(20.0, 57702.0)	(21.0, 66487.0)	(22.0, 76969.0)	(23.0, 92264.0)	(24.0, 106441.0)	(25.0, 124460.0)	(26.0, 138580.0)	(27.0, 157635.0)	(28.0, 176018.0)	(29.0, 201312.0)	(30.0, 234021.0)	(31.0, 278118.0)	(32.0, 345074.0)	(33.0, 440854.0)	(34.0, 580542.0)	(35.0, 768074.0)	(36.0, 1151914.0)	(37.0, 1941865.0)	(38.0, 4599695.0)	(39.0, 46258621.0)	(40.0, 25119062.0)	
mehreen_1025_MERGE_1_val_1	(13.0, 11.0)	(14.0, 137.0)	(15.0, 713.0)	(16.0, 2177.0)	(17.0, 4806.0)	(18.0, 8675.0)	(19.0, 13582.0)	(20.0, 19065.0)	(21.0, 26218.0)	(22.0, 35204.0)	(23.0, 47895.0)	(24.0, 62827.0)	(25.0, 82217.0)	(26.0, 101532.0)	(27.0, 123042.0)	(28.0, 144378.0)	(29.0, 167322.0)	(30.0, 194636.0)	(31.0, 230001.0)	(32.0, 274870.0)	(33.0, 343299.0)	(34.0, 456918.0)	(35.0, 647686.0)	(36.0, 1074105.0)	(37.0, 1934396.0)	(38.0, 4869317.0)	(39.0, 47049815.0)	(40.0, 24217169.0)					
mehreen_1025_MERGE_2_val_2	(9.0, 2.0)	(10.0, 20.0)	(11.0, 182.0)	(12.0, 1135.0)	(13.0, 4472.0)	(14.0, 13943.0)	(15.0, 29832.0)	(16.0, 43775.0)	(17.0, 48462.0)	(18.0, 50305.0)	(19.0, 54301.0)	(20.0, 59752.0)	(21.0, 68821.0)	(22.0, 78261.0)	(23.0, 93257.0)	(24.0, 107332.0)	(25.0, 125240.0)	(26.0, 139822.0)	(27.0, 158806.0)	(28.0, 176055.0)	(29.0, 200097.0)	(30.0, 229414.0)	(31.0, 266630.0)	(32.0, 320918.0)	(33.0, 401607.0)	(34.0, 542668.0)	(35.0, 770268.0)	(36.0, 1239549.0)	(37.0, 2196863.0)	(38.0, 5240065.0)	(39.0, 45939805.0)	(40.0, 23530354.0)	
mehreen_1027_MERGE_1_val_1	(11.0, 1.0)	(12.0, 1.0)	(13.0, 15.0)	(14.0, 176.0)	(15.0, 892.0)	(16.0, 2682.0)	(17.0, 6147.0)	(18.0, 11424.0)	(19.0, 17889.0)	(20.0, 25110.0)	(21.0, 35012.0)	(22.0, 47435.0)	(23.0, 66449.0)	(24.0, 88324.0)	(25.0, 116962.0)	(26.0, 145035.0)	(27.0, 176496.0)	(28.0, 207500.0)	(29.0, 243029.0)	(30.0, 283280.0)	(31.0, 336502.0)	(32.0, 403745.0)	(33.0, 507749.0)	(34.0, 677661.0)	(35.0, 971912.0)	(36.0, 1619278.0)	(37.0, 2938659.0)	(38.0, 7611801.0)	(39.0, 74754157.0)	(40.0, 32650981.0)			
mehreen_1027_MERGE_2_val_2	(9.0, 3.0)	(10.0, 16.0)	(11.0, 133.0)	(12.0, 977.0)	(13.0, 5304.0)	(14.0, 20110.0)	(15.0, 45334.0)	(16.0, 66263.0)	(17.0, 72969.0)	(18.0, 74071.0)	(19.0, 78820.0)	(20.0, 87595.0)	(21.0, 101216.0)	(22.0, 116507.0)	(23.0, 138626.0)	(24.0, 156742.0)	(25.0, 182793.0)	(26.0, 201647.0)	(27.0, 224698.0)	(28.0, 250440.0)	(29.0, 283644.0)	(30.0, 324092.0)	(31.0, 380799.0)	(32.0, 460284.0)	(33.0, 573965.0)	(34.0, 742098.0)	(35.0, 982614.0)	(36.0, 1523372.0)	(37.0, 2635224.0)	(38.0, 6512608.0)	(39.0, 72173970.0)	(40.0, 35529370.0)	
mehreen_1028_MERGE_1_val_1	(13.0, 15.0)	(14.0, 129.0)	(15.0, 640.0)	(16.0, 2053.0)	(17.0, 4662.0)	(18.0, 8491.0)	(19.0, 13225.0)	(20.0, 18331.0)	(21.0, 25104.0)	(22.0, 33604.0)	(23.0, 46899.0)	(24.0, 61177.0)	(25.0, 81442.0)	(26.0, 101595.0)	(27.0, 122932.0)	(28.0, 144369.0)	(29.0, 167935.0)	(30.0, 195559.0)	(31.0, 231924.0)	(32.0, 279241.0)	(33.0, 349737.0)	(34.0, 470038.0)	(35.0, 676845.0)	(36.0, 1144384.0)	(37.0, 2137831.0)	(38.0, 5735767.0)	(39.0, 53648160.0)	(40.0, 20798986.0)					
mehreen_1028_MERGE_2_val_2	(9.0, 3.0)	(10.0, 37.0)	(11.0, 247.0)	(12.0, 1446.0)	(13.0, 5626.0)	(14.0, 16857.0)	(15.0, 33726.0)	(16.0, 45477.0)	(17.0, 48857.0)	(18.0, 49607.0)	(19.0, 53796.0)	(20.0, 59429.0)	(21.0, 68567.0)	(22.0, 77967.0)	(23.0, 92376.0)	(24.0, 106096.0)	(25.0, 123828.0)	(26.0, 136957.0)	(27.0, 156442.0)	(28.0, 171929.0)	(29.0, 196895.0)	(30.0, 225987.0)	(31.0, 264826.0)	(32.0, 321764.0)	(33.0, 405608.0)	(34.0, 549411.0)	(35.0, 781155.0)	(36.0, 1260740.0)	(37.0, 2235324.0)	(38.0, 5615956.0)	(39.0, 51622982.0)	(40.0, 21771157.0)	
mehreen_1029_MERGE_1_val_1	(12.0, 1.0)	(13.0, 12.0)	(14.0, 116.0)	(15.0, 579.0)	(16.0, 1760.0)	(17.0, 4035.0)	(18.0, 7495.0)	(19.0, 11809.0)	(20.0, 16909.0)	(21.0, 22761.0)	(22.0, 30024.0)	(23.0, 40679.0)	(24.0, 53803.0)	(25.0, 70280.0)	(26.0, 85885.0)	(27.0, 103950.0)	(28.0, 121148.0)	(29.0, 141522.0)	(30.0, 164857.0)	(31.0, 194465.0)	(32.0, 233478.0)	(33.0, 290971.0)	(34.0, 386762.0)	(35.0, 549693.0)	(36.0, 914768.0)	(37.0, 1673406.0)	(38.0, 4307199.0)	(39.0, 42356884.0)	(40.0, 18807085.0)				
mehreen_1029_MERGE_2_val_2	(9.0, 5.0)	(10.0, 20.0)	(11.0, 251.0)	(12.0, 1247.0)	(13.0, 4757.0)	(14.0, 14172.0)	(15.0, 29229.0)	(16.0, 40740.0)	(17.0, 44805.0)	(18.0, 46005.0)	(19.0, 49208.0)	(20.0, 54273.0)	(21.0, 61952.0)	(22.0, 70678.0)	(23.0, 83299.0)	(24.0, 95086.0)	(25.0, 110733.0)	(26.0, 122504.0)	(27.0, 138563.0)	(28.0, 153611.0)	(29.0, 174781.0)	(30.0, 199375.0)	(31.0, 233067.0)	(32.0, 281051.0)	(33.0, 352480.0)	(34.0, 477858.0)	(35.0, 678265.0)	(36.0, 1089315.0)	(37.0, 1922724.0)	(38.0, 4630717.0)	(39.0, 40375347.0)	(40.0, 19056218.0)	
mehreen_1030_MERGE_1_val_1	(12.0, 2.0)	(13.0, 34.0)	(14.0, 235.0)	(15.0, 1254.0)	(16.0, 3792.0)	(17.0, 8797.0)	(18.0, 17182.0)	(19.0, 26302.0)	(20.0, 35660.0)	(21.0, 46380.0)	(22.0, 58798.0)	(23.0, 78316.0)	(24.0, 100423.0)	(25.0, 129704.0)	(26.0, 157615.0)	(27.0, 187765.0)	(28.0, 219320.0)	(29.0, 254296.0)	(30.0, 295312.0)	(31.0, 350649.0)	(32.0, 421197.0)	(33.0, 528814.0)	(34.0, 709357.0)	(35.0, 1009325.0)	(36.0, 1692477.0)	(37.0, 3070931.0)	(38.0, 7724561.0)	(39.0, 72748281.0)	(40.0, 33715688.0)				
mehreen_1030_MERGE_2_val_2	(9.0, 5.0)	(10.0, 34.0)	(11.0, 324.0)	(12.0, 1978.0)	(13.0, 8487.0)	(14.0, 31533.0)	(15.0, 74271.0)	(16.0, 110067.0)	(17.0, 125324.0)	(18.0, 124762.0)	(19.0, 123918.0)	(20.0, 124634.0)	(21.0, 136247.0)	(22.0, 145212.0)	(23.0, 165643.0)	(24.0, 182444.0)	(25.0, 209104.0)	(26.0, 231289.0)	(27.0, 262953.0)	(28.0, 294102.0)	(29.0, 333991.0)	(30.0, 377752.0)	(31.0, 430957.0)	(32.0, 504015.0)	(33.0, 613739.0)	(34.0, 795217.0)	(35.0, 1102046.0)	(36.0, 1764210.0)	(37.0, 3144606.0)	(38.0, 7793547.0)	(39.0, 71148916.0)	(40.0, 33231140.0)	
mehreen_1031_MERGE_1_val_1	(12.0, 1.0)	(13.0, 23.0)	(14.0, 147.0)	(15.0, 631.0)	(16.0, 1970.0)	(17.0, 4626.0)	(18.0, 8582.0)	(19.0, 13668.0)	(20.0, 18792.0)	(21.0, 25524.0)	(22.0, 33582.0)	(23.0, 45871.0)	(24.0, 60527.0)	(25.0, 78848.0)	(26.0, 97401.0)	(27.0, 117597.0)	(28.0, 138745.0)	(29.0, 160750.0)	(30.0, 187464.0)	(31.0, 221844.0)	(32.0, 265619.0)	(33.0, 333424.0)	(34.0, 447146.0)	(35.0, 640960.0)	(36.0, 1069934.0)	(37.0, 1968519.0)	(38.0, 5095862.0)	(39.0, 47512051.0)	(40.0, 21144135.0)				
mehreen_1031_MERGE_2_val_2	(10.0, 20.0)	(11.0, 152.0)	(12.0, 832.0)	(13.0, 3544.0)	(14.0, 11542.0)	(15.0, 25096.0)	(16.0, 37671.0)	(17.0, 43453.0)	(18.0, 45462.0)	(19.0, 47626.0)	(20.0, 51229.0)	(21.0, 58563.0)	(22.0, 66598.0)	(23.0, 79494.0)	(24.0, 92652.0)	(25.0, 108035.0)	(26.0, 122586.0)	(27.0, 139069.0)	(28.0, 157217.0)	(29.0, 181311.0)	(30.0, 210832.0)	(31.0, 248310.0)	(32.0, 304987.0)	(33.0, 387605.0)	(34.0, 536014.0)	(35.0, 792546.0)	(36.0, 1265565.0)	(37.0, 2167787.0)	(38.0, 5065236.0)	(39.0, 44530871.0)	(40.0, 22912338.0)		
mehreen_1032_MERGE_1_val_1	(12.0, 1.0)	(13.0, 12.0)	(14.0, 176.0)	(15.0, 773.0)	(16.0, 2248.0)	(17.0, 5153.0)	(18.0, 9466.0)	(19.0, 14496.0)	(20.0, 20212.0)	(21.0, 27300.0)	(22.0, 37186.0)	(23.0, 50593.0)	(24.0, 67399.0)	(25.0, 88449.0)	(26.0, 109363.0)	(27.0, 132704.0)	(28.0, 155414.0)	(29.0, 180832.0)	(30.0, 208998.0)	(31.0, 246859.0)	(32.0, 296372.0)	(33.0, 366867.0)	(34.0, 487829.0)	(35.0, 693327.0)	(36.0, 1148472.0)	(37.0, 2064496.0)	(38.0, 5201694.0)	(39.0, 51084824.0)	(40.0, 25467163.0)				
mehreen_1032_MERGE_2_val_2	(9.0, 5.0)	(10.0, 33.0)	(11.0, 249.0)	(12.0, 1470.0)	(13.0, 5414.0)	(14.0, 15381.0)	(15.0, 31297.0)	(16.0, 44592.0)	(17.0, 48670.0)	(18.0, 50004.0)	(19.0, 53984.0)	(20.0, 60159.0)	(21.0, 68882.0)	(22.0, 79608.0)	(23.0, 94584.0)	(24.0, 109329.0)	(25.0, 127345.0)	(26.0, 142555.0)	(27.0, 161089.0)	(28.0, 179739.0)	(29.0, 204101.0)	(30.0, 233717.0)	(31.0, 272496.0)	(32.0, 326605.0)	(33.0, 407960.0)	(34.0, 548644.0)	(35.0, 797604.0)	(36.0, 1325204.0)	(37.0, 2382676.0)	(38.0, 5696939.0)	(39.0, 48517596.0)	(40.0, 26180747.0)	
mehreen_1033_MERGE_1_val_1	(12.0, 1.0)	(13.0, 19.0)	(14.0, 168.0)	(15.0, 770.0)	(16.0, 2519.0)	(17.0, 5616.0)	(18.0, 10122.0)	(19.0, 15903.0)	(20.0, 22063.0)	(21.0, 30214.0)	(22.0, 40031.0)	(23.0, 55040.0)	(24.0, 72278.0)	(25.0, 94384.0)	(26.0, 116362.0)	(27.0, 140767.0)	(28.0, 163968.0)	(29.0, 190950.0)	(30.0, 221329.0)	(31.0, 262502.0)	(32.0, 315835.0)	(33.0, 394398.0)	(34.0, 531730.0)	(35.0, 761504.0)	(36.0, 1291825.0)	(37.0, 2427392.0)	(38.0, 6451677.0)	(39.0, 55296387.0)	(40.0, 22884870.0)				
mehreen_1033_MERGE_2_val_2	(9.0, 3.0)	(10.0, 37.0)	(11.0, 286.0)	(12.0, 1572.0)	(13.0, 6027.0)	(14.0, 16800.0)	(15.0, 33766.0)	(16.0, 47440.0)	(17.0, 52730.0)	(18.0, 54147.0)	(19.0, 57125.0)	(20.0, 62972.0)	(21.0, 72764.0)	(22.0, 82740.0)	(23.0, 97882.0)	(24.0, 111560.0)	(25.0, 130229.0)	(26.0, 146451.0)	(27.0, 166519.0)	(28.0, 184695.0)	(29.0, 210789.0)	(30.0, 240176.0)	(31.0, 281667.0)	(32.0, 338683.0)	(33.0, 424290.0)	(34.0, 575103.0)	(35.0, 828102.0)	(36.0, 1374306.0)	(37.0, 2514153.0)	(38.0, 6325095.0)	(39.0, 53024623.0)	(40.0, 24337892.0)	
mehreen_1034_MERGE_1_val_1	(13.0, 11.0)	(14.0, 115.0)	(15.0, 513.0)	(16.0, 1661.0)	(17.0, 4016.0)	(18.0, 7345.0)	(19.0, 11531.0)	(20.0, 16210.0)	(21.0, 23136.0)	(22.0, 30984.0)	(23.0, 43031.0)	(24.0, 57180.0)	(25.0, 76312.0)	(26.0, 94801.0)	(27.0, 115926.0)	(28.0, 135818.0)	(29.0, 159677.0)	(30.0, 185803.0)	(31.0, 220820.0)	(32.0, 266494.0)	(33.0, 329491.0)	(34.0, 441067.0)	(35.0, 631309.0)	(36.0, 1058411.0)	(37.0, 1940601.0)	(38.0, 5088713.0)	(39.0, 50947969.0)	(40.0, 21469183.0)					
mehreen_1034_MERGE_2_val_2	(9.0, 3.0)	(10.0, 13.0)	(11.0, 178.0)	(12.0, 1020.0)	(13.0, 3888.0)	(14.0, 11943.0)	(15.0, 24059.0)	(16.0, 33938.0)	(17.0, 37215.0)	(18.0, 38785.0)	(19.0, 42979.0)	(20.0, 48958.0)	(21.0, 58049.0)	(22.0, 68263.0)	(23.0, 82843.0)	(24.0, 96110.0)	(25.0, 114058.0)	(26.0, 128889.0)	(27.0, 146692.0)	(28.0, 164395.0)	(29.0, 189353.0)	(30.0, 220608.0)	(31.0, 265236.0)	(32.0, 329758.0)	(33.0, 424210.0)	(34.0, 579481.0)	(35.0, 833240.0)	(36.0, 1311120.0)	(37.0, 2229142.0)	(38.0, 5219183.0)	(39.0, 47458315.0)	(40.0, 23196204.0)	
mehreen_1035_MERGE_1_val_1	(12.0, 1.0)	(13.0, 22.0)	(14.0, 219.0)	(15.0, 864.0)	(16.0, 2449.0)	(17.0, 5278.0)	(18.0, 9336.0)	(19.0, 14413.0)	(20.0, 20213.0)	(21.0, 27536.0)	(22.0, 36749.0)	(23.0, 50409.0)	(24.0, 66137.0)	(25.0, 86037.0)	(26.0, 106517.0)	(27.0, 129172.0)	(28.0, 150345.0)	(29.0, 175290.0)	(30.0, 202856.0)	(31.0, 241072.0)	(32.0, 288730.0)	(33.0, 356542.0)	(34.0, 474372.0)	(35.0, 675443.0)	(36.0, 1122558.0)	(37.0, 2035808.0)	(38.0, 5244016.0)	(39.0, 51979189.0)	(40.0, 23286459.0)				
mehreen_1035_MERGE_2_val_2	(9.0, 2.0)	(10.0, 16.0)	(11.0, 222.0)	(12.0, 1268.0)	(13.0, 5045.0)	(14.0, 15327.0)	(15.0, 31196.0)	(16.0, 43852.0)	(17.0, 48662.0)	(18.0, 48993.0)	(19.0, 52538.0)	(20.0, 58339.0)	(21.0, 67556.0)	(22.0, 76636.0)	(23.0, 91480.0)	(24.0, 104931.0)	(25.0, 123380.0)	(26.0, 137866.0)	(27.0, 155604.0)	(28.0, 173725.0)	(29.0, 197940.0)	(30.0, 228497.0)	(31.0, 268508.0)	(32.0, 324549.0)	(33.0, 409334.0)	(34.0, 554697.0)	(35.0, 800965.0)	(36.0, 1311732.0)	(37.0, 2321408.0)	(38.0, 5535090.0)	(39.0, 48418972.0)	(40.0, 25179702.0)	
mehreen_1036_MERGE_1_val_1	(13.0, 10.0)	(14.0, 126.0)	(15.0, 641.0)	(16.0, 2072.0)	(17.0, 4481.0)	(18.0, 8448.0)	(19.0, 13281.0)	(20.0, 18947.0)	(21.0, 26453.0)	(22.0, 35279.0)	(23.0, 49349.0)	(24.0, 65442.0)	(25.0, 87099.0)	(26.0, 108498.0)	(27.0, 131847.0)	(28.0, 155548.0)	(29.0, 181235.0)	(30.0, 208928.0)	(31.0, 249221.0)	(32.0, 300356.0)	(33.0, 372615.0)	(34.0, 496889.0)	(35.0, 711682.0)	(36.0, 1191139.0)	(37.0, 2180058.0)	(38.0, 5684308.0)	(39.0, 56088551.0)	(40.0, 24294212.0)					
mehreen_1036_MERGE_2_val_2	(10.0, 24.0)	(11.0, 232.0)	(12.0, 1338.0)	(13.0, 5251.0)	(14.0, 16383.0)	(15.0, 33568.0)	(16.0, 47943.0)	(17.0, 51744.0)	(18.0, 53824.0)	(19.0, 58524.0)	(20.0, 65875.0)	(21.0, 77206.0)	(22.0, 89153.0)	(23.0, 107496.0)	(24.0, 123923.0)	(25.0, 146264.0)	(26.0, 164265.0)	(27.0, 184705.0)	(28.0, 208032.0)	(29.0, 236735.0)	(30.0, 273911.0)	(31.0, 326709.0)	(32.0, 404618.0)	(33.0, 517436.0)	(34.0, 700300.0)	(35.0, 992897.0)	(36.0, 1537954.0)	(37.0, 2594536.0)	(38.0, 6128778.0)	(39.0, 53447533.0)	(40.0, 24069558.0)		
mehreen_1037_MERGE_1_val_1	(12.0, 3.0)	(13.0, 14.0)	(14.0, 135.0)	(15.0, 741.0)	(16.0, 2417.0)	(17.0, 5163.0)	(18.0, 9491.0)	(19.0, 14619.0)	(20.0, 20479.0)	(21.0, 27883.0)	(22.0, 37509.0)	(23.0, 51751.0)	(24.0, 67819.0)	(25.0, 88753.0)	(26.0, 109654.0)	(27.0, 132354.0)	(28.0, 152676.0)	(29.0, 176993.0)	(30.0, 202897.0)	(31.0, 239742.0)	(32.0, 285461.0)	(33.0, 347983.0)	(34.0, 459862.0)	(35.0, 645626.0)	(36.0, 1070397.0)	(37.0, 1928816.0)	(38.0, 4929352.0)	(39.0, 49944139.0)	(40.0, 24346517.0)				
mehreen_1037_MERGE_2_val_2	(9.0, 3.0)	(10.0, 19.0)	(11.0, 178.0)	(12.0, 1059.0)	(13.0, 4240.0)	(14.0, 13774.0)	(15.0, 29092.0)	(16.0, 41725.0)	(17.0, 45921.0)	(18.0, 47486.0)	(19.0, 51189.0)	(20.0, 57903.0)	(21.0, 67928.0)	(22.0, 78246.0)	(23.0, 94539.0)	(24.0, 109358.0)	(25.0, 128802.0)	(26.0, 143040.0)	(27.0, 159610.0)	(28.0, 176854.0)	(29.0, 199013.0)	(30.0, 226423.0)	(31.0, 262907.0)	(32.0, 316488.0)	(33.0, 394564.0)	(34.0, 527649.0)	(35.0, 750488.0)	(36.0, 1218594.0)	(37.0, 2171059.0)	(38.0, 5298956.0)	(39.0, 47608015.0)	(40.0, 25074124.0)	
mehreen_1038_MERGE_1_val_1	(13.0, 11.0)	(14.0, 154.0)	(15.0, 820.0)	(16.0, 2507.0)	(17.0, 5679.0)	(18.0, 10286.0)	(19.0, 16030.0)	(20.0, 22478.0)	(21.0, 30758.0)	(22.0, 41238.0)	(23.0, 57155.0)	(24.0, 76905.0)	(25.0, 101353.0)	(26.0, 126047.0)	(27.0, 153452.0)	(28.0, 182100.0)	(29.0, 211895.0)	(30.0, 247774.0)	(31.0, 294356.0)	(32.0, 355148.0)	(33.0, 439679.0)	(34.0, 589423.0)	(35.0, 845955.0)	(36.0, 1396380.0)	(37.0, 2525231.0)	(38.0, 6400121.0)	(39.0, 58380819.0)	(40.0, 27047425.0)					
mehreen_1038_MERGE_2_val_2	(9.0, 1.0)	(10.0, 17.0)	(11.0, 87.0)	(12.0, 621.0)	(13.0, 2979.0)	(14.0, 10115.0)	(15.0, 22978.0)	(16.0, 35415.0)	(17.0, 40113.0)	(18.0, 43134.0)	(19.0, 48711.0)	(20.0, 57141.0)	(21.0, 68473.0)	(22.0, 82851.0)	(23.0, 102585.0)	(24.0, 122822.0)	(25.0, 146478.0)	(26.0, 168828.0)	(27.0, 193818.0)	(28.0, 222987.0)	(29.0, 257379.0)	(30.0, 303925.0)	(31.0, 368263.0)	(32.0, 460313.0)	(33.0, 596013.0)	(34.0, 840421.0)	(35.0, 1248579.0)	(36.0, 1901275.0)	(37.0, 2920535.0)	(38.0, 5918407.0)	(39.0, 51926314.0)	(40.0, 31449601.0)	
mehreen_1039_MERGE_1_val_1	(12.0, 2.0)	(13.0, 20.0)	(14.0, 108.0)	(15.0, 611.0)	(16.0, 1901.0)	(17.0, 4046.0)	(18.0, 7778.0)	(19.0, 11962.0)	(20.0, 16650.0)	(21.0, 22301.0)	(22.0, 29110.0)	(23.0, 39487.0)	(24.0, 51657.0)	(25.0, 67219.0)	(26.0, 83245.0)	(27.0, 100610.0)	(28.0, 117938.0)	(29.0, 137895.0)	(30.0, 160213.0)	(31.0, 191314.0)	(32.0, 230588.0)	(33.0, 285985.0)	(34.0, 384710.0)	(35.0, 547535.0)	(36.0, 916039.0)	(37.0, 1709160.0)	(38.0, 4547200.0)	(39.0, 41670065.0)	(40.0, 17152861.0)				
mehreen_1039_MERGE_2_val_2	(9.0, 2.0)	(10.0, 36.0)	(11.0, 293.0)	(12.0, 1455.0)	(13.0, 5257.0)	(14.0, 14086.0)	(15.0, 28513.0)	(16.0, 41537.0)	(17.0, 46322.0)	(18.0, 46715.0)	(19.0, 48938.0)	(20.0, 53107.0)	(21.0, 60523.0)	(22.0, 67793.0)	(23.0, 79597.0)	(24.0, 89691.0)	(25.0, 104606.0)	(26.0, 117646.0)	(27.0, 131638.0)	(28.0, 147079.0)	(29.0, 167684.0)	(30.0, 191364.0)	(31.0, 222613.0)	(32.0, 267167.0)	(33.0, 334416.0)	(34.0, 452446.0)	(35.0, 651462.0)	(36.0, 1041863.0)	(37.0, 1824597.0)	(38.0, 4454664.0)	(39.0, 39486600.0)	(40.0, 18308500.0)	
mehreen_1040_MERGE_1_val_1	(12.0, 2.0)	(13.0, 8.0)	(14.0, 89.0)	(15.0, 458.0)	(16.0, 1512.0)	(17.0, 3485.0)	(18.0, 6508.0)	(19.0, 10304.0)	(20.0, 14488.0)	(21.0, 19646.0)	(22.0, 26458.0)	(23.0, 36789.0)	(24.0, 48916.0)	(25.0, 65235.0)	(26.0, 81483.0)	(27.0, 99880.0)	(28.0, 117046.0)	(29.0, 137259.0)	(30.0, 160848.0)	(31.0, 189415.0)	(32.0, 228897.0)	(33.0, 286180.0)	(34.0, 384957.0)	(35.0, 555475.0)	(36.0, 935291.0)	(37.0, 1765156.0)	(38.0, 4853248.0)	(39.0, 47073258.0)	(40.0, 18150355.0)				
mehreen_1040_MERGE_2_val_2	(9.0, 1.0)	(10.0, 15.0)	(11.0, 132.0)	(12.0, 700.0)	(13.0, 2836.0)	(14.0, 8975.0)	(15.0, 19012.0)	(16.0, 27812.0)	(17.0, 30109.0)	(18.0, 31649.0)	(19.0, 34621.0)	(20.0, 39415.0)	(21.0, 46964.0)	(22.0, 54227.0)	(23.0, 65973.0)	(24.0, 76925.0)	(25.0, 90439.0)	(26.0, 102231.0)	(27.0, 116417.0)	(28.0, 130348.0)	(29.0, 149543.0)	(30.0, 172683.0)	(31.0, 202487.0)	(32.0, 249572.0)	(33.0, 315275.0)	(34.0, 435462.0)	(35.0, 641787.0)	(36.0, 1069501.0)	(37.0, 1924349.0)	(38.0, 4783301.0)	(39.0, 43322759.0)	(40.0, 21107126.0)	
mehreen_1041_MERGE_1_val_1	(12.0, 2.0)	(13.0, 10.0)	(14.0, 115.0)	(15.0, 533.0)	(16.0, 1546.0)	(17.0, 3533.0)	(18.0, 6331.0)	(19.0, 10097.0)	(20.0, 13737.0)	(21.0, 18885.0)	(22.0, 25265.0)	(23.0, 35158.0)	(24.0, 46970.0)	(25.0, 61844.0)	(26.0, 76310.0)	(27.0, 92566.0)	(28.0, 109185.0)	(29.0, 127079.0)	(30.0, 147984.0)	(31.0, 175028.0)	(32.0, 210241.0)	(33.0, 260018.0)	(34.0, 346711.0)	(35.0, 491603.0)	(36.0, 810996.0)	(37.0, 1448337.0)	(38.0, 3582865.0)	(39.0, 35661730.0)	(40.0, 19657861.0)				
mehreen_1041_MERGE_2_val_2	(9.0, 3.0)	(10.0, 15.0)	(11.0, 70.0)	(12.0, 546.0)	(13.0, 2244.0)	(14.0, 7541.0)	(15.0, 17114.0)	(16.0, 25272.0)	(17.0, 28306.0)	(18.0, 30101.0)	(19.0, 33710.0)	(20.0, 39138.0)	(21.0, 46581.0)	(22.0, 55195.0)	(23.0, 67324.0)	(24.0, 79652.0)	(25.0, 94631.0)	(26.0, 107804.0)	(27.0, 122328.0)	(28.0, 138901.0)	(29.0, 160471.0)	(30.0, 187411.0)	(31.0, 224964.0)	(32.0, 280522.0)	(33.0, 365353.0)	(34.0, 519147.0)	(35.0, 775040.0)	(36.0, 1182312.0)	(37.0, 1848255.0)	(38.0, 3881779.0)	(39.0, 33667887.0)	(40.0, 19432923.0)	
mehreen_1042_MERGE_1_val_1	(13.0, 8.0)	(14.0, 128.0)	(15.0, 629.0)	(16.0, 1879.0)	(17.0, 4230.0)	(18.0, 7675.0)	(19.0, 12299.0)	(20.0, 17599.0)	(21.0, 23507.0)	(22.0, 31854.0)	(23.0, 44089.0)	(24.0, 58416.0)	(25.0, 78050.0)	(26.0, 95802.0)	(27.0, 117193.0)	(28.0, 137027.0)	(29.0, 160576.0)	(30.0, 186539.0)	(31.0, 220924.0)	(32.0, 266098.0)	(33.0, 331969.0)	(34.0, 445908.0)	(35.0, 637926.0)	(36.0, 1063305.0)	(37.0, 1940172.0)	(38.0, 5091535.0)	(39.0, 48660567.0)	(40.0, 21090813.0)					
mehreen_1042_MERGE_2_val_2	(9.0, 1.0)	(10.0, 23.0)	(11.0, 153.0)	(12.0, 840.0)	(13.0, 3455.0)	(14.0, 11636.0)	(15.0, 25651.0)	(16.0, 37170.0)	(17.0, 40639.0)	(18.0, 42578.0)	(19.0, 45760.0)	(20.0, 51117.0)	(21.0, 59944.0)	(22.0, 69791.0)	(23.0, 83609.0)	(24.0, 97182.0)	(25.0, 113625.0)	(26.0, 128521.0)	(27.0, 144349.0)	(28.0, 160502.0)	(29.0, 183731.0)	(30.0, 211531.0)	(31.0, 248074.0)	(32.0, 302895.0)	(33.0, 381224.0)	(34.0, 511791.0)	(35.0, 728041.0)	(36.0, 1167285.0)	(37.0, 2060557.0)	(38.0, 4966504.0)	(39.0, 45022971.0)	(40.0, 23825567.0)	
