Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
mehreen_1015_MERGE_2_val_2 - polyg	(1, 0.13404482326276704)	(2, 0.13520734160472309)	(3, 0.1369161359268113)	(4, 0.13815938470918096)	(5, 0.1392048439125373)	(6, 0.1405691883555274)	(7, 0.14151642552304713)	(8, 0.14275563778339614)	(9, 0.14364232712060568)	(10, 0.14496899735806945)	(12, 0.14681301516785042)	(14, 0.1480306993107558)	(16, 0.14890191531355274)	(18, 0.149739493632844)	(20, 0.15055218006634102)	(22, 0.15133324707734278)	(24, 0.15204703872133316)	(26, 0.15281532341260273)	(28, 0.15359975419195504)	(30, 0.15437342091258552)	(32, 0.1551329598061436)	(34, 0.1559268091368775)	(36, 0.15670316687218844)	(38, 0.1575467999745107)	(40, 0.1583756324960905)	(42, 0.1592764496603724)	(44, 0.1602008132031083)	(46, 0.16110163036739025)	(48, 0.16205290405693068)	(50, 0.1629691945556252)	(52, 0.1638780847639485)	(54, 0.16474324598371443)	(56, 0.16566559126543995)	(58, 0.16656169915403107)	(60, 0.16744771573757053)	(62, 0.16836871551195587)	(64, 0.1692816422422998)	(66, 0.17024367999056206)	(68, 0.17117006179430833)	(70, 0.17212739026687976)	(72, 0.17347895239013772)	(74, 0.1754413748458587)	(76, 0.1765480546331953)	(78, 0.17764397036181015)	(80, 0.17858851651464946)	(82, 0.17960370180285068)	(84, 0.1805455569410095)	(86, 0.1815197042553338)	(88, 0.1824750144668949)	(90, 0.18342225163441467)	(92, 0.1843829438753367)	(94, 0.18537054626306326)	(96, 0.18630163734250027)	(98, 0.18724416523432924)	(100, 0.18817794732844673)	(102, 0.1891144204372447)	(104, 0.19008856775156896)	(106, 0.19110778956179086)	(108, 0.1922178331174781)	(110, 0.1934691549438891)	(112, 0.19476487851252763)	(114, 0.19610971309908445)	(116, 0.19766915610640745)	(118, 0.19938400521152666)	(120, 0.20180053639457424)	(122, 0.204787562689878)	(124, 0.2080396539312065)	(126, 0.21186964057516242)	(128, 0.2161026066675163)	(130, 0.22039477508284022)	(132, 0.22423619853918805)	(134, 0.2269803607595809)	(136, 0.22908877076171646)
mehreen_1016_MERGE_2_val_2 - polyg	(1, 0.16336314157368856)	(2, 0.165300474622667)	(3, 0.16821993482205397)	(4, 0.16982623618175766)	(5, 0.1714245608742499)	(6, 0.17303983598456646)	(7, 0.17434402107363686)	(8, 0.17596228743415773)	(9, 0.17697831542021486)	(10, 0.178485905523177)	(12, 0.1805453812888306)	(14, 0.18176880262238518)	(16, 0.1826083468463892)	(18, 0.18339355002501534)	(20, 0.1839349663119918)	(22, 0.18436171800780382)	(24, 0.18470471469789573)	(26, 0.18506316618070984)	(28, 0.18539768766188958)	(30, 0.18569780976571998)	(32, 0.18597599603471895)	(34, 0.18624620563650648)	(36, 0.18657374753387623)	(38, 0.18684046734375875)	(40, 0.18708973819411626)	(42, 0.18730311404202227)	(44, 0.1875374286413583)	(46, 0.18776675782368718)	(48, 0.18798811033880464)	(50, 0.18821793806283427)	(52, 0.18845424682897316)	(54, 0.1886880628866085)	(56, 0.18891589644383525)	(58, 0.18913575333385055)	(60, 0.1893670766829823)	(62, 0.189563502113064)	(64, 0.18976939983545932)	(66, 0.1899688165157453)	(68, 0.19018767632235917)	(70, 0.19041899967149092)	(72, 0.19160154058558687)	(74, 0.19430612931196567)	(76, 0.19455739432912605)	(78, 0.19483807330662858)	(80, 0.1950718893642639)	(82, 0.1952752943781556)	(84, 0.19545626501551516)	(86, 0.1956467079451883)	(88, 0.19583216545785426)	(90, 0.19600515942800234)	(92, 0.19621354985890124)	(94, 0.19642642716510653)	(96, 0.19662983217899827)	(98, 0.1968412138601014)	(100, 0.19709098325215962)	(102, 0.1974035688985079)	(104, 0.19781037892629133)	(106, 0.19832686812823208)	(108, 0.19905573609467736)	(110, 0.19996707032358438)	(112, 0.20096664643351791)	(114, 0.20222396860272113)	(116, 0.20399777997386503)	(118, 0.20637831659477912)	(120, 0.21007450476388004)	(122, 0.214909362177414)	(124, 0.22020337649730642)	(126, 0.2271984151000384)	(128, 0.2351710939778725)	(130, 0.24299670305399568)	(132, 0.25024500084069085)	(134, 0.2550220274169419)	(136, 0.25814389554681916)
mehreen_1018_MERGE_1_val_1 - polyg	(1, 0.009726644490809325)	(2, 0.01158854838570737)	(3, 0.013015555020483243)	(4, 0.013997210134076316)	(5, 0.01539599026398849)	(6, 0.016723681418688387)	(7, 0.017946829962781994)	(8, 0.01954005934842187)	(9, 0.02146468880968369)	(10, 0.023316138443521105)	(12, 0.025288334792608787)	(14, 0.027069218164286958)	(16, 0.028751831481995213)	(18, 0.03011663526346034)	(20, 0.031461053235857246)	(22, 0.032824288878163285)	(24, 0.03402652890013563)	(26, 0.03522040551325947)	(28, 0.036424213674390915)	(30, 0.0375438650339843)	(32, 0.03858563214867598)	(34, 0.03967444343814051)	(36, 0.04080820805016573)	(38, 0.04180554455534975)	(40, 0.04276367758155641)	(42, 0.04370978820754334)	(44, 0.0446313313200378)	(46, 0.04560253217257024)	(48, 0.0465538699290875)	(50, 0.04744091398008187)	(52, 0.04831854919612169)	(54, 0.049179457594464494)	(56, 0.05004297955807246)	(58, 0.050982817627423016)	(60, 0.05192631468814479)	(62, 0.052842630670108935)	(64, 0.05379292300052012)	(66, 0.054733283782923706)	(68, 0.055809549959115475)	(70, 0.05771692988962726)	(72, 0.058750333595470446)	(74, 0.059701148638934665)	(76, 0.060568852306966875)	(78, 0.06147680488008252)	(80, 0.062286487399228235)	(82, 0.06309878348363912)	(84, 0.06392257925521669)	(86, 0.06477878323608222)	(88, 0.06555501211983394)	(90, 0.06633124100358564)	(92, 0.06709126578269338)	(94, 0.06777863344742975)	(96, 0.06853813551348445)	(98, 0.06929031959679671)	(100, 0.07019984030907145)	(102, 0.07122906231049039)	(104, 0.07237850831410655)	(106, 0.07363667863275326)	(108, 0.07489171267308178)	(110, 0.07627324327224393)	(112, 0.07780688336983821)	(114, 0.07938390865083411)	(116, 0.08158296246493746)	(118, 0.08457131298911828)	(120, 0.0877656124561935)	(122, 0.09147687513271685)	(124, 0.09563087576515783)	(126, 0.09941113656468131)	(128, 0.10284483861004494)	(130, 0.10579084937693023)	(132, 0.10790417825033641)	(134, 0.10962860861228717)	(136, 0.11109325058688131)
mehreen_1018_MERGE_2_val_2 - polyg	(1, 0.15924766788435113)	(2, 0.1624613077343885)	(3, 0.1673120848665204)	(4, 0.16932871182511577)	(5, 0.17115298038019555)	(6, 0.17303892907553303)	(7, 0.17428612242006608)	(8, 0.1756901296805086)	(9, 0.17673346493435937)	(10, 0.17849971234055267)	(12, 0.18077455954734556)	(14, 0.18218274851221228)	(16, 0.18336303458595732)	(18, 0.18442675564887634)	(20, 0.18533784450031016)	(22, 0.186150140584721)	(24, 0.18689605211139693)	(26, 0.1876299412378531)	(28, 0.18842080608708967)	(30, 0.18927596464184915)	(32, 0.1901143963789116)	(34, 0.19091257921089064)	(36, 0.1917959642705138)	(38, 0.19259362438943978)	(40, 0.19340696589995673)	(42, 0.19423807965427675)	(44, 0.195089579217665)	(46, 0.19598969109498515)	(48, 0.19690705250305535)	(50, 0.1978400953027165)	(52, 0.19881809142493836)	(54, 0.19979347398189506)	(56, 0.200722857790185)	(58, 0.20159003874516418)	(60, 0.20254189921473445)	(62, 0.2034550789183804)	(64, 0.20439230342246578)	(66, 0.20535357272699065)	(68, 0.2063216373012049)	(70, 0.20734092775461624)	(72, 0.20866809619626311)	(74, 0.21048818304691863)	(76, 0.2116057435542999)	(78, 0.21272800847915843)	(80, 0.2137211632799182)	(82, 0.21470543195877642)	(84, 0.21572994954271807)	(86, 0.21675080813528852)	(88, 0.2177810755628135)	(90, 0.21880350229454304)	(92, 0.2197417722247345)	(94, 0.22066122448501685)	(96, 0.22165490199882962)	(98, 0.2226930101221501)	(100, 0.22380900249037225)	(102, 0.22491558602363984)	(104, 0.2262160960995821)	(106, 0.2276237623513958)	(108, 0.22940935014055125)	(110, 0.23178926267100347)	(112, 0.2342888764905999)	(114, 0.23722861470084883)	(116, 0.2409278549771524)	(118, 0.24569395259469323)	(120, 0.2529575731796183)	(122, 0.26313584174824683)	(124, 0.27422833544662734)	(126, 0.2889698889682205)	(128, 0.3068602659212751)	(130, 0.3237323978470244)	(132, 0.33869871798142104)	(134, 0.350214086539704)	(136, 0.35649448387187693)
mehreen_1020_MERGE_2_val_2 - polyg	(1, 0.10923251255307813)	(2, 0.11178605791277717)	(3, 0.11588849336811861)	(4, 0.11757260402766631)	(5, 0.11906226528126755)	(6, 0.12047593481300466)	(7, 0.12154317149506706)	(8, 0.1225366515059084)	(9, 0.12322728215461475)	(10, 0.12456607748980926)	(12, 0.12637535098536845)	(14, 0.12751857938929498)	(16, 0.12846288828598895)	(18, 0.12926694775483072)	(20, 0.1298804691563514)	(22, 0.1304504070703324)	(24, 0.1309655862435583)	(26, 0.13151987880303784)	(28, 0.1320333816882815)	(30, 0.13252006396580837)	(32, 0.13304865344289268)	(34, 0.1335448346856526)	(36, 0.13403598706446562)	(38, 0.1345059064621695)	(40, 0.13503561346457535)	(42, 0.13551391430219076)	(44, 0.13599947905439613)	(46, 0.13647554484136848)	(48, 0.13697675494807526)	(50, 0.13744667434577917)	(52, 0.13794397311386059)	(54, 0.13843680178065593)	(56, 0.13892236653286127)	(58, 0.13942692921553262)	(60, 0.13994378467674087)	(62, 0.14046008137528834)	(64, 0.14093894097556453)	(66, 0.1414485325221828)	(68, 0.14198159210055322)	(70, 0.14257052794500025)	(72, 0.1434874574713167)	(74, 0.1451481000991122)	(76, 0.14573256584227307)	(78, 0.14639525835794115)	(80, 0.14697301894917283)	(82, 0.14754686820177915)	(84, 0.1480715463402381)	(86, 0.1486543357954167)	(88, 0.14918180774717948)	(90, 0.14969251681911927)	(92, 0.15020881351766674)	(94, 0.150725668978875)	(96, 0.1512805203010153)	(98, 0.15180966854076036)	(100, 0.1524075445877796)	(102, 0.1531009690497898)	(104, 0.15392402644909758)	(106, 0.1549035373934198)	(108, 0.15634402753287366)	(110, 0.15857572559997168)	(112, 0.16097114112667404)	(114, 0.1638677667600832)	(116, 0.1679500867596371)	(118, 0.1734801608132348)	(120, 0.18262989938327243)	(122, 0.19557307765724807)	(124, 0.20977570696858952)	(126, 0.2282735448532366)	(128, 0.24986245777723923)	(130, 0.2698600146433813)	(132, 0.28741577868197743)	(134, 0.2997566108076477)	(136, 0.30644946995829875)
mehreen_1021_MERGE_2_val_2 - polyg	(1, 0.1356105304299461)	(2, 0.13842719274407594)	(3, 0.14234642633473482)	(4, 0.14424523534894454)	(5, 0.14597653613591885)	(6, 0.14766997547427144)	(7, 0.1489377603447861)	(8, 0.15018718814930232)	(9, 0.15110389413259753)	(10, 0.15268833839158463)	(12, 0.15475006636653016)	(14, 0.15607923267647697)	(16, 0.1572242546681273)	(18, 0.15825626597222497)	(20, 0.15898137007916185)	(22, 0.15969270638659994)	(24, 0.1603495451543553)	(26, 0.16103793512929537)	(28, 0.16167354853949004)	(30, 0.16232694535737066)	(32, 0.1629665743757525)	(34, 0.1636062033941343)	(36, 0.16425328997057798)	(38, 0.1648871824058353)	(40, 0.16547919778428377)	(42, 0.16616758775922386)	(44, 0.16682557384360408)	(46, 0.16751281650191926)	(48, 0.16822874207585697)	(50, 0.16897105593216732)	(52, 0.1697323005127886)	(54, 0.1704614202279126)	(56, 0.1712679838152174)	(58, 0.17204758546183704)	(60, 0.17287250611514024)	(62, 0.1736945584768812)	(64, 0.17444834549944058)	(66, 0.17524974616193334)	(68, 0.17609359753954737)	(70, 0.17697072109928352)	(72, 0.17813926308174433)	(74, 0.1797684526891025)	(76, 0.18074137718701783)	(78, 0.1817011075437468)	(80, 0.18253176478017447)	(82, 0.18340372541509858)	(84, 0.18423151435996404)	(86, 0.1850552876966423)	(88, 0.1858457888511985)	(90, 0.1866466158553788)	(92, 0.18750538234911657)	(94, 0.18835669128479246)	(96, 0.18922693094477921)	(98, 0.19005758818120694)	(100, 0.19085325226057515)	(102, 0.1917074294878133)	(104, 0.19267519106091657)	(106, 0.19383512816869058)	(108, 0.19530484076518767)	(110, 0.19685716015867755)	(112, 0.19823852937505732)	(114, 0.1997747863357986)	(116, 0.2018061104201843)	(118, 0.20441682940014455)	(120, 0.2078146075847863)	(122, 0.21180095919800182)	(124, 0.21622730673686652)	(126, 0.22211418833922913)	(128, 0.22870265405771814)	(130, 0.23528997245958228)	(132, 0.24188188012794598)	(134, 0.24622332623656812)	(136, 0.24912087437275338)
mehreen_1023_MERGE_2_val_2 - polyg	(1, 0.20698580338167208)	(2, 0.2097774035683743)	(3, 0.21450778542320376)	(4, 0.21677051542068898)	(5, 0.21888845033156726)	(6, 0.22112541171194447)	(7, 0.22283104874909437)	(8, 0.2248864027327103)	(9, 0.2261318858929313)	(10, 0.22820932726263982)	(12, 0.23096963698571088)	(14, 0.23266975217633765)	(16, 0.23385817625581945)	(18, 0.2349950631010852)	(20, 0.23587487731377332)	(22, 0.23657983305322847)	(24, 0.2371387666290715)	(26, 0.23768420235785792)	(28, 0.23819650700750544)	(30, 0.2387664842763948)	(32, 0.23934198339180723)	(34, 0.23988067019706538)	(36, 0.24044267146542125)	(38, 0.24097092811613569)	(40, 0.24146298599519833)	(42, 0.24199615095393334)	(44, 0.24250047960304746)	(46, 0.242987015635587)	(48, 0.24345391843604422)	(50, 0.24396376893168148)	(52, 0.244454599733739)	(54, 0.24492641084221684)	(56, 0.24543258010683866)	(58, 0.24592463798590133)	(60, 0.2463946084788714)	(62, 0.24689648297397523)	(64, 0.2473719753134685)	(66, 0.2478873476556289)	(68, 0.2483941304587533)	(70, 0.248937725572032)	(72, 0.24973041731735493)	(74, 0.2511360340267472)	(76, 0.2517630703763757)	(78, 0.2524164888816148)	(80, 0.2529330883007803)	(82, 0.2534699344905308)	(84, 0.2539957369872349)	(86, 0.25449883855934385)	(88, 0.2549951912079245)	(90, 0.2555099500115824)	(92, 0.2559774663505422)	(94, 0.25651308546328744)	(96, 0.2571051501182694)	(98, 0.25765119938555836)	(100, 0.258223630808458)	(102, 0.2588819576217176)	(104, 0.25973538967879517)	(106, 0.2607023263588485)	(108, 0.2620766526046096)	(110, 0.2639074514962842)	(112, 0.2658646393194886)	(114, 0.2682832080966271)	(116, 0.2716208575506184)	(118, 0.2760211556910641)	(120, 0.2829958613883017)	(122, 0.29212838199908464)	(124, 0.30224563190649556)	(126, 0.3156103411080196)	(128, 0.33097027751990754)	(130, 0.345648572655438)	(132, 0.3591648258670974)	(134, 0.3682390603201361)	(136, 0.37397012347266034)
mehreen_1024_MERGE_2_val_2 - polyg	(1, 0.1291091284932992)	(2, 0.1319051821059496)	(3, 0.13608302737491623)	(4, 0.13799516726485778)	(5, 0.1399157253807299)	(6, 0.14158974973720703)	(7, 0.1429222346416443)	(8, 0.14425952996089902)	(9, 0.14514224107990348)	(10, 0.14676395217524071)	(12, 0.14880717586895814)	(14, 0.15014447118821286)	(16, 0.15128995121662125)	(18, 0.15227728885790554)	(20, 0.15294232870641983)	(22, 0.15360376074382098)	(24, 0.1541605662589423)	(26, 0.1547726915444645)	(28, 0.15530845149475944)	(30, 0.15591877287472505)	(32, 0.15648519921948134)	(34, 0.15704741645127232)	(36, 0.15758197379786293)	(38, 0.15812434806853187)	(40, 0.15867874837624446)	(42, 0.15919646927097392)	(44, 0.15976409821943457)	(46, 0.1603299232623387)	(48, 0.16094505505712176)	(50, 0.1615301217592957)	(52, 0.1620953455003476)	(54, 0.16260885728211177)	(56, 0.16313740161018053)	(58, 0.16367015505121457)	(60, 0.16419749677557893)	(62, 0.16473145282031734)	(64, 0.16527502969469066)	(66, 0.1658156000598031)	(68, 0.16634294178416748)	(70, 0.16693702801412413)	(72, 0.16900249987637234)	(74, 0.17367641917338986)	(76, 0.1742999691941035)	(78, 0.1749223166111128)	(80, 0.1755290301799653)	(82, 0.17605216279136443)	(84, 0.1765662758749808)	(86, 0.17704912126228362)	(88, 0.17755421481811726)	(90, 0.17810681122027333)	(92, 0.1786347542464899)	(94, 0.1791548803486281)	(96, 0.1797152936748625)	(98, 0.18024383800293128)	(100, 0.18078621227360023)	(102, 0.1813953310498615)	(104, 0.18215297138361192)	(106, 0.18303748640817294)	(108, 0.18411802583654557)	(110, 0.18565615597442936)	(112, 0.18720571084750465)	(114, 0.1889085976928866)	(116, 0.19111838199965864)	(118, 0.19425116464953146)	(120, 0.19896717507620176)	(122, 0.20448111306071878)	(124, 0.2102578199546397)	(126, 0.21783542589584837)	(128, 0.22653987150804772)	(130, 0.2350266458497569)	(132, 0.2432025471338875)	(134, 0.24845672271826152)	(136, 0.2516267860829696)
mehreen_1025_MERGE_2_val_2 - polyg	(1, 0.15781909546037792)	(2, 0.15940921842497638)	(3, 0.16178588000759217)	(4, 0.16311666438761216)	(5, 0.1645314598584111)	(6, 0.1661215828230096)	(7, 0.1673281768949216)	(8, 0.1686626139310624)	(9, 0.16968292254081244)	(10, 0.1711963397268736)	(12, 0.1731888636407828)	(14, 0.1744374632580843)	(16, 0.17538898017755877)	(18, 0.1762966652235834)	(20, 0.17710268467424511)	(22, 0.17788739696420203)	(24, 0.1785954034756216)	(26, 0.17926749220185312)	(28, 0.18003089733110522)	(30, 0.18079125858025663)	(32, 0.18156196902175037)	(34, 0.1822961529020359)	(36, 0.18306747211954977)	(38, 0.18385096685746638)	(40, 0.1846636828443496)	(42, 0.18545083023838707)	(44, 0.18629337625025702)	(46, 0.18712983450192558)	(48, 0.18801195095510442)	(50, 0.188817361629746)	(52, 0.18968425868242145)	(54, 0.19056759268764056)	(56, 0.19146492854132285)	(58, 0.19233243437001843)	(60, 0.19326568800888883)	(62, 0.1941532834462489)	(64, 0.1950573158361527)	(66, 0.1959710886423787)	(68, 0.19687268592820195)	(70, 0.19780593956707235)	(72, 0.19945267870154357)	(74, 0.202737025330184)	(76, 0.20386630484753857)	(78, 0.20493227165879888)	(80, 0.20596658211701202)	(82, 0.20698567317472177)	(84, 0.20795971480694136)	(86, 0.20893375643916096)	(88, 0.2098846645826153)	(90, 0.21080391637302254)	(92, 0.2117219506113895)	(94, 0.21263146198547453)	(96, 0.21359271932127122)	(98, 0.21453388704840343)	(100, 0.2154823600877772)	(102, 0.21643996476745309)	(104, 0.21750349647463285)	(106, 0.2186766078654373)	(108, 0.2199921728449539)	(110, 0.22165900158808965)	(112, 0.22339705712558144)	(114, 0.22538288450326915)	(116, 0.2278879978261339)	(118, 0.23097997123241093)	(120, 0.23574729624610563)	(122, 0.24239756549008484)	(124, 0.2497692343179267)	(126, 0.2598834391164868)	(128, 0.27187571793717025)	(130, 0.28330122628310594)	(132, 0.2931707031215709)	(134, 0.30035852159133125)	(136, 0.3045548146981373)
mehreen_1027_MERGE_2_val_2 - polyg	(1, 0.13979763365916906)	(2, 0.14144512126799683)	(3, 0.14414145015570615)	(4, 0.14560095313531898)	(5, 0.14704189969230547)	(6, 0.14858127596931006)	(7, 0.14970595654066457)	(8, 0.15114770989863482)	(9, 0.15194724967353604)	(10, 0.15326959648591054)	(12, 0.15514218156920595)	(14, 0.15624951591940975)	(16, 0.15706236791054295)	(18, 0.1577876819949387)	(20, 0.15835647668848601)	(22, 0.1588591137013654)	(24, 0.1592677583996373)	(26, 0.1596626874811854)	(28, 0.16003139553076146)	(30, 0.16038679136410555)	(32, 0.16075590281417346)	(34, 0.16112582106522516)	(36, 0.16150582432857374)	(38, 0.16189470240274367)	(40, 0.162262603651336)	(42, 0.16262203348959886)	(44, 0.16297581572097544)	(46, 0.16331870613907132)	(48, 0.16367006796749664)	(50, 0.16403191820871077)	(52, 0.1643808596341848)	(54, 0.16473544866654516)	(56, 0.16508842409693797)	(58, 0.16542243970421255)	(60, 0.16580284636805304)	(62, 0.166171957818121)	(64, 0.1665317910568757)	(66, 0.16690453311137055)	(68, 0.16727243435996286)	(70, 0.16764194921052264)	(72, 0.16817201745684968)	(74, 0.1690566747355371)	(76, 0.1694564446229877)	(78, 0.16985419750797892)	(80, 0.17020878654033927)	(82, 0.17054118854564634)	(84, 0.17086390893914835)	(86, 0.17120236195183358)	(88, 0.1715400081635351)	(90, 0.17186676256195588)	(92, 0.17221610738792179)	(94, 0.17259691745225417)	(96, 0.17298297172298094)	(98, 0.17333312334993062)	(100, 0.17373491023984064)	(102, 0.17422383163599617)	(104, 0.1747801209142953)	(106, 0.1754041814752298)	(108, 0.17618718182996407)	(110, 0.17719205245523095)	(112, 0.1782893017931378)	(114, 0.1796148758094473)	(116, 0.18143824603273367)	(118, 0.18378886069890393)	(120, 0.18745899837400556)	(122, 0.19219209634520446)	(124, 0.19734755463139908)	(126, 0.20465717154421967)	(128, 0.2130563731856014)	(130, 0.2216605022768569)	(132, 0.2295619077112618)	(134, 0.2347379394225422)	(136, 0.23794981413887098)
mehreen_1028_MERGE_2_val_2 - polyg	(1, 0.20174431358223005)	(2, 0.20389688798665218)	(3, 0.20668066841943872)	(4, 0.20830839385522087)	(5, 0.21012802442050577)	(6, 0.21200892590063186)	(7, 0.2133141119922498)	(8, 0.2147140945936221)	(9, 0.21576726069589308)	(10, 0.21747186378897604)	(12, 0.2197406217205971)	(14, 0.22090708121257452)	(16, 0.22175620360787424)	(18, 0.22248336220098996)	(20, 0.22309549332190381)	(22, 0.2236532898579584)	(24, 0.22413709887420474)	(26, 0.2246555895403612)	(28, 0.22516309768404613)	(30, 0.22565557711277)	(32, 0.2261359179640253)	(34, 0.2266665472076503)	(36, 0.22717636746132924)	(38, 0.22770179445746774)	(40, 0.22820641246366014)	(42, 0.22872952734980462)	(44, 0.2292647808134176)	(46, 0.22982893565195578)	(48, 0.23035436264809425)	(50, 0.23091736143163538)	(52, 0.23146648755521249)	(54, 0.232006943266312)	(56, 0.2325641617748681)	(58, 0.23312138028342422)	(60, 0.23372310690936499)	(62, 0.23429766624287618)	(64, 0.23485315066893678)	(66, 0.23541730550747492)	(68, 0.23599128681348758)	(70, 0.23660110582440738)	(72, 0.2376606302291619)	(74, 0.23973690500378175)	(76, 0.24040510479205027)	(78, 0.24114035577014506)	(80, 0.2417380362035963)	(82, 0.24235421351699965)	(84, 0.24298599757286254)	(86, 0.24355535465888717)	(88, 0.2441466767898549)	(90, 0.24477210254323428)	(92, 0.24538827985663764)	(94, 0.24599694281256043)	(96, 0.24666340851833346)	(98, 0.24731542353664393)	(100, 0.24799171570989148)	(102, 0.2486830365981001)	(104, 0.24949689931599117)	(106, 0.250386483636186)	(108, 0.25147433138836717)	(110, 0.2528338520648443)	(112, 0.2542095575112795)	(114, 0.2557812142797069)	(116, 0.2577187624546863)	(118, 0.2601487900583894)	(120, 0.2636799600467393)	(122, 0.2681764359575878)	(124, 0.2733029618418037)	(126, 0.2799121282596777)	(128, 0.28691377534903467)	(130, 0.2936818993289968)	(132, 0.29970436783589105)	(134, 0.30391125196998997)	(136, 0.30657942690307605)
mehreen_1029_MERGE_2_val_2 - polyg	(1, 0.19609635810890294)	(2, 0.19790391976828758)	(3, 0.2005812642324232)	(4, 0.20241999074800415)	(5, 0.20411989199507435)	(6, 0.2058637073576939)	(7, 0.20709471917744726)	(8, 0.2086572117403793)	(9, 0.20968706857922934)	(10, 0.21138838641067212)	(12, 0.213769664740943)	(14, 0.21514091841357963)	(16, 0.2161325274743706)	(18, 0.21707951412742596)	(20, 0.21787563454480385)	(22, 0.21866821350125032)	(24, 0.21941829492652007)	(26, 0.22024203873916284)	(28, 0.22099991137848163)	(30, 0.22174078500532973)	(32, 0.2225794029538844)	(34, 0.22339323067591926)	(36, 0.2242389315463367)	(38, 0.22508038266363645)	(40, 0.22592608353405388)	(42, 0.22679303317005972)	(44, 0.22774001982311506)	(46, 0.22862184359503274)	(48, 0.229565997079343)	(50, 0.23045844523405487)	(52, 0.2314167645620907)	(54, 0.2323835833963619)	(56, 0.23334119443221146)	(58, 0.23425064159939402)	(60, 0.23520187800556705)	(62, 0.2362019865725934)	(64, 0.2372290102426983)	(66, 0.23824824269875416)	(68, 0.23932130536096724)	(70, 0.24041278362002358)	(72, 0.24186053284877837)	(74, 0.2441504414870192)	(76, 0.2452745011866444)	(78, 0.24645947401428958)	(80, 0.24755449373427732)	(82, 0.24859639154029411)	(84, 0.24961349911979114)	(86, 0.2506695627695335)	(88, 0.25163142355850077)	(90, 0.252684654039498)	(92, 0.2537166357549069)	(94, 0.2547677413593453)	(96, 0.25590950836362747)	(98, 0.25700736125236034)	(100, 0.2581215048613776)	(102, 0.2592632718656598)	(104, 0.26043407884957936)	(106, 0.26176850132852947)	(108, 0.2632778719774906)	(110, 0.2650160210026199)	(112, 0.26694682550241716)	(114, 0.26912269909866704)	(116, 0.27167255096927234)	(118, 0.2748435750872446)	(120, 0.27956363421660957)	(122, 0.2858008552089847)	(124, 0.29272228645330567)	(126, 0.3021850700619965)	(128, 0.31353899380805306)	(130, 0.32421295705528147)	(132, 0.3334660861768337)	(134, 0.34023452630891826)	(136, 0.34429304053629844)
mehreen_1030_MERGE_1_val_1 - polyg	(1, 0.01534478634527135)	(2, 0.021707633686121015)	(3, 0.024697298096655034)	(4, 0.025614020634445303)	(5, 0.027309916873817237)	(6, 0.02816110143670811)	(7, 0.03005522982238068)	(8, 0.031211449157334162)	(9, 0.0331258053130374)	(10, 0.03462589673851239)	(12, 0.036258277779987996)	(14, 0.03771427266679611)	(16, 0.03920101376405084)	(18, 0.040445426176338076)	(20, 0.0416416964959523)	(22, 0.042904718456667754)	(24, 0.04400146814773104)	(26, 0.044938418455551986)	(28, 0.0457908166846447)	(30, 0.04666991557017791)	(32, 0.04753485501668965)	(34, 0.048380375803971934)	(36, 0.04921214170763336)	(38, 0.04996582841897637)	(40, 0.05067339581464945)	(42, 0.051324325454236625)	(44, 0.05198213253563423)	(46, 0.052662594719466195)	(48, 0.05335236167751227)	(50, 0.05397537699445711)	(52, 0.05459758320060073)	(54, 0.0552812818276376)	(56, 0.05592169302680883)	(58, 0.05661833742666533)	(60, 0.057287472059280115)	(62, 0.05792828781385195)	(64, 0.05858366756284588)	(66, 0.059286784849112206)	(68, 0.060143633187611664)	(70, 0.06153813565352652)	(72, 0.062279685702851126)	(74, 0.06290148735359413)	(76, 0.06349173368308927)	(78, 0.06414994531988749)	(80, 0.06477821985704031)	(82, 0.06536158874472503)	(84, 0.06594738496481342)	(86, 0.06652954018629631)	(88, 0.06712545029140005)	(90, 0.06772985605991666)	(92, 0.06830230195178481)	(94, 0.06887838884225848)	(96, 0.06944152995991253)	(98, 0.07009286415490032)	(100, 0.07078991311015742)	(102, 0.07157110958874216)	(104, 0.07263994495716312)	(106, 0.07389083025586017)	(108, 0.07519471231203759)	(110, 0.07698729729215617)	(112, 0.07908127604573181)	(114, 0.08149202167798786)	(116, 0.08525640968069681)	(118, 0.09093758117151265)	(120, 0.09750998820988013)	(122, 0.10506222842853359)	(124, 0.112828073898711)	(126, 0.11993853961989447)	(128, 0.12640697592030428)	(130, 0.13175479376101457)	(132, 0.1353901285909278)	(134, 0.1381249230990753)	(136, 0.14015255476695032)
