Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
mehreen_1002_MERGE_2_val_2 - polyg	(1, 0.14810589614992717)	(2, 0.14929633871494946)	(3, 0.1512414650280893)	(4, 0.1523229678888854)	(5, 0.15349130674580383)	(6, 0.15480963505056988)	(7, 0.15562431457782652)	(8, 0.15681317830655567)	(9, 0.15752996998363805)	(10, 0.15858384320930433)	(12, 0.1600450561985989)	(14, 0.1608139494733547)	(16, 0.16132154534159693)	(18, 0.161749409977036)	(20, 0.1620620195630763)	(22, 0.16238883867575485)	(24, 0.1626540831730012)	(26, 0.1629714292679209)	(28, 0.1632761446724956)	(30, 0.1635658611322855)	(32, 0.16383978922914408)	(34, 0.1641200326711752)	(36, 0.1644429046931209)	(38, 0.16476893438765283)	(40, 0.16508706990071914)	(42, 0.1654423080666741)	(44, 0.1657786001971114)	(46, 0.16611331349125558)	(48, 0.16646776223906395)	(50, 0.16683799934980365)	(52, 0.16720507878795707)	(54, 0.1675247931373165)	(56, 0.16782556145115834)	(58, 0.16814290754607805)	(60, 0.16849577745759328)	(62, 0.1688557521324276)	(64, 0.16914941568295033)	(66, 0.1695322834840351)	(68, 0.16989462641330913)	(70, 0.17024275981594494)	(72, 0.1712050605366095)	(74, 0.17310045350651568)	(76, 0.17349753083423863)	(78, 0.17388355630790964)	(80, 0.1742940537441242)	(82, 0.17468402630852808)	(84, 0.1750345279656036)	(86, 0.17540555449448986)	(88, 0.17575289847897912)	(90, 0.17609866362717524)	(92, 0.17646574306532867)	(94, 0.1767807209058087)	(96, 0.1771004352551681)	(98, 0.17743909564004517)	(100, 0.17781485867781083)	(102, 0.17817246509820545)	(104, 0.1785569117355833)	(106, 0.17899109171619487)	(108, 0.179520791292541)	(110, 0.18011601257505216)	(112, 0.18070255025795107)	(114, 0.18130171863119504)	(116, 0.18202640448974308)	(118, 0.1829681803385969)	(120, 0.18422335519163763)	(122, 0.1855440517508434)	(124, 0.18697210917798218)	(126, 0.1886946195737903)	(128, 0.19055133105451472)	(130, 0.19262355368925177)	(132, 0.19473130014058432)	(134, 0.19623356287350036)	(136, 0.19749031656283422)
mehreen_1003_MERGE_2_val_2 - polyg	(1, 0.13186305124127798)	(2, 0.1333395121966991)	(3, 0.13574819120061601)	(4, 0.13693367079985924)	(5, 0.13812094658031346)	(6, 0.13937288488436275)	(7, 0.14023325568441958)	(8, 0.14115649282686052)	(9, 0.141901908029415)	(10, 0.14311433034682283)	(12, 0.14459977220829884)	(14, 0.145541869253455)	(16, 0.14625225892239546)	(18, 0.14688631088986948)	(20, 0.14740810153165762)	(22, 0.14789486663983173)	(24, 0.14834301385196988)	(26, 0.1488369636849879)	(28, 0.14932103452134554)	(30, 0.1498060034483087)	(32, 0.15033048836191326)	(34, 0.15080557829221605)	(36, 0.15129503767220664)	(38, 0.15178180278038073)	(40, 0.15227395643218777)	(42, 0.15280113561760883)	(44, 0.1533759136051207)	(46, 0.15385639207905638)	(48, 0.15443835479141216)	(50, 0.15500684614468563)	(52, 0.1555528852328219)	(54, 0.15610251668338015)	(56, 0.15665035195272736)	(58, 0.15724219366174352)	(60, 0.15787085708558463)	(62, 0.15839803627100568)	(64, 0.1589108460067389)	(66, 0.15953861133997455)	(68, 0.16017266330744856)	(70, 0.16074744129496044)	(72, 0.16167247461861234)	(74, 0.16321988473186697)	(76, 0.16389255459537694)	(78, 0.16464156216035336)	(80, 0.16526573513116705)	(82, 0.16591505463893436)	(84, 0.1665544951500413)	(86, 0.16715980821813975)	(88, 0.1677579365613943)	(90, 0.16831026228376897)	(92, 0.168907492536418)	(94, 0.1694876590675628)	(96, 0.1700893797732393)	(98, 0.17062913222713716)	(100, 0.1712281586609972)	(102, 0.17181371373577492)	(104, 0.17249895686776173)	(106, 0.1733063403220948)	(108, 0.1742475392766455)	(110, 0.17536925444289914)	(112, 0.17658257485091244)	(114, 0.1776539969432588)	(116, 0.1790056233045172)	(118, 0.18081258160275765)	(120, 0.1832338338751514)	(122, 0.18582751954379872)	(124, 0.18864842213563432)	(126, 0.19220486093336403)	(128, 0.19634416053405496)	(130, 0.20073672168549334)	(132, 0.20512838474632622)	(134, 0.20798880332480327)	(136, 0.21017385776795386)
mehreen_1004_MERGE_2_val_2 - polyg	(1, 0.14139880565642332)	(2, 0.14301420209731966)	(3, 0.14514722332035737)	(4, 0.14651107738116814)	(5, 0.1478909254661462)	(6, 0.14927513555771532)	(7, 0.150247863027526)	(8, 0.151294744609385)	(9, 0.1521089858397198)	(10, 0.15341831481814205)	(12, 0.15519219749851426)	(14, 0.15626016211223015)	(16, 0.15709766737771735)	(18, 0.15786610753884583)	(20, 0.15849205548466566)	(22, 0.1591369054590469)	(24, 0.15972868435323662)	(26, 0.1602666651661364)	(28, 0.1608606250636217)	(30, 0.16146767098088022)	(32, 0.16211906396514802)	(34, 0.16273919590217978)	(36, 0.16336078184140856)	(38, 0.1639671007575686)	(40, 0.16463157976160964)	(42, 0.1653382248293645)	(44, 0.16605213990810447)	(46, 0.16673406693850984)	(48, 0.1674828780699784)	(50, 0.16822878119705298)	(52, 0.16896087130325577)	(54, 0.16961517229191764)	(56, 0.1703443543937264)	(58, 0.17111861056364291)	(60, 0.17191685776981042)	(62, 0.17263149984964893)	(64, 0.17334468792729035)	(66, 0.17406805402031097)	(68, 0.1747623400693911)	(70, 0.17557948930411993)	(72, 0.17667362595738229)	(74, 0.1783595415048344)	(76, 0.17923993983513387)	(78, 0.1800832611094092)	(80, 0.18090113734523655)	(82, 0.18165867248988732)	(84, 0.18245619269495628)	(86, 0.1832435348846461)	(88, 0.18399525402050873)	(90, 0.1847157121091353)	(92, 0.18544852921643662)	(94, 0.18621551537536804)	(96, 0.1870057655694519)	(98, 0.18776838972179222)	(100, 0.18855718591367904)	(102, 0.18929654603086699)	(104, 0.19016095033699917)	(106, 0.19106970171014068)	(108, 0.1921122212854086)	(110, 0.19311620980245534)	(112, 0.19411729031510802)	(114, 0.1951190978288592)	(116, 0.1962975666095491)	(118, 0.19760180658028176)	(120, 0.19908852382674128)	(122, 0.2006210421424071)	(124, 0.20222480656572722)	(126, 0.20397978721753807)	(128, 0.20589252710772632)	(130, 0.2078692430945837)	(132, 0.21009822846262516)	(134, 0.21162274976620735)	(136, 0.21295098077319097)
mehreen_1005_MERGE_2_val_2 - polyg	(1, 0.1555686773918706)	(2, 0.15679897116500793)	(3, 0.1586655734613812)	(4, 0.15976160029842287)	(5, 0.16115097120236918)	(6, 0.1625563957617182)	(7, 0.16353712816450386)	(8, 0.16470320731603022)	(9, 0.1655540510523755)	(10, 0.1669426922447126)	(12, 0.16873632338016425)	(14, 0.16980024290640047)	(16, 0.17053287336205283)	(18, 0.1712231805443707)	(20, 0.17179965271565095)	(22, 0.17236153065474685)	(24, 0.17290516580361243)	(26, 0.17346631403109913)	(28, 0.17399462523617115)	(30, 0.17452950384572613)	(32, 0.17510451659378795)	(34, 0.17568609674633268)	(36, 0.1763377292133621)	(38, 0.17695798408119529)	(40, 0.17756364471684416)	(42, 0.17818754814272342)	(44, 0.17882969435883306)	(46, 0.17949956961609287)	(48, 0.1801833093939278)	(50, 0.18087653542268253)	(52, 0.18155954548890824)	(54, 0.18224912295961687)	(56, 0.18292921417940572)	(58, 0.18361733222689594)	(60, 0.18428793719576497)	(62, 0.18496875812716304)	(64, 0.1856349848263768)	(66, 0.18625523969420998)	(68, 0.1869543034158384)	(70, 0.18761615184539687)	(72, 0.1886625582930119)	(74, 0.19013292718558114)	(76, 0.190907880914568)	(78, 0.19168502377838248)	(80, 0.1924475724100127)	(82, 0.19317071661474527)	(84, 0.19393910293924915)	(86, 0.19465859858593565)	(88, 0.19540217471572624)	(90, 0.1961202109391943)	(92, 0.19681416667955826)	(94, 0.19749279847612866)	(96, 0.19815318748246868)	(98, 0.19884860264605103)	(100, 0.1995483960792887)	(102, 0.20024600037769874)	(104, 0.20098081996817874)	(106, 0.20178496216153421)	(108, 0.20265550811132832)	(110, 0.20367126667135627)	(112, 0.2046651338831078)	(114, 0.20565681196003166)	(116, 0.20685718755719112)	(118, 0.2082969085621733)	(120, 0.21018467249521383)	(122, 0.21246575098562148)	(124, 0.2147928013074097)	(126, 0.21767808101024777)	(128, 0.22085743449159972)	(130, 0.22402146402915812)	(132, 0.2271891421247626)	(134, 0.229422059648962)	(136, 0.23125874376935743)
mehreen_1006_MERGE_2_val_2 - polyg	(1, 0.05668899253449157)	(2, 0.058273965736088146)	(3, 0.060245801784441756)	(4, 0.06111268508653947)	(5, 0.06209860311071628)	(6, 0.06296548641281399)	(7, 0.06364346678639489)	(8, 0.06430592089187852)	(9, 0.06473159940887875)	(10, 0.06553573071074999)	(12, 0.06655140741544657)	(14, 0.06729537442844087)	(16, 0.06796171010094881)	(18, 0.06856011835053119)	(20, 0.06905695892964392)	(22, 0.06953892016849675)	(24, 0.07000276742790276)	(26, 0.07045044149137414)	(28, 0.0709446943591373)	(30, 0.07147258747444457)	(32, 0.07199077667219105)	(34, 0.07245979935429614)	(36, 0.07293723209828729)	(38, 0.07347288834764318)	(40, 0.07400272224646261)	(42, 0.07454226006284283)	(44, 0.07511673198244191)	(46, 0.07565885751017168)	(48, 0.07621456852248656)	(50, 0.07678515887506132)	(52, 0.07736286543384735)	(54, 0.07792957421939778)	(56, 0.07849951764413517)	(58, 0.07907916498643333)	(60, 0.0796827486587148)	(62, 0.08025075129994003)	(64, 0.08079481761118196)	(66, 0.08135635097403332)	(68, 0.0819825771206233)	(70, 0.08257839765885613)	(72, 0.08345045638365295)	(74, 0.08479994785244088)	(76, 0.08549410142195644)	(78, 0.08611579907368473)	(80, 0.08669479948814551)	(82, 0.08728544460367926)	(84, 0.08789743833784676)	(86, 0.08843180073152788)	(88, 0.08898168939330628)	(90, 0.08953028419940992)	(92, 0.09007046894362752)	(94, 0.0906080659764956)	(96, 0.09114760379287581)	(98, 0.0916742030525083)	(100, 0.09217621905432011)	(102, 0.09272287307691159)	(104, 0.09341185122372805)	(106, 0.0942153355977619)	(108, 0.09523295308597064)	(110, 0.09661543787446528)	(112, 0.09794099301326993)	(114, 0.0993642342555199)	(116, 0.10105400976677306)	(118, 0.10288416861873906)	(120, 0.10518076244146063)	(122, 0.10825949201958229)	(124, 0.11106780576167646)	(126, 0.11398997880315065)	(128, 0.1164618900698039)	(130, 0.11837162104576843)	(132, 0.12000187919598204)	(134, 0.12134425445855873)	(136, 0.12273644316461416)
mehreen_1007_MERGE_1_val_1 - polyg	(1, 0.01786620145255682)	(2, 0.02114320357889639)	(3, 0.023082184880187925)	(4, 0.023955345101553484)	(5, 0.024992885688479766)	(6, 0.025671617520472426)	(7, 0.026558917988337833)	(8, 0.02746742882595301)	(9, 0.02912007013562264)	(10, 0.030427159171452257)	(12, 0.03179434425490622)	(14, 0.03312617872211057)	(16, 0.03449071250934582)	(18, 0.03554681216980315)	(20, 0.036550769671292296)	(22, 0.03759007778903106)	(24, 0.03843584128280316)	(26, 0.03927188335710662)	(28, 0.04012471697412865)	(30, 0.04089889546999528)	(32, 0.041724332359423855)	(34, 0.042446368696322304)	(36, 0.043149845959689695)	(38, 0.043808251187338824)	(40, 0.044511728450706216)	(42, 0.04517366873998031)	(44, 0.04578435063569246)	(46, 0.04645689610984144)	(48, 0.04720986423595829)	(50, 0.04792041162257561)	(52, 0.048585886973474664)	(54, 0.049292015533060785)	(56, 0.04992479156392894)	(58, 0.05063710648135874)	(60, 0.05135118892960101)	(62, 0.051973359775594294)	(64, 0.05259464685618132)	(66, 0.053331707204985854)	(68, 0.05648763347067048)	(70, 0.07416736042251057)	(72, 0.07602591907183423)	(74, 0.07680098133310709)	(76, 0.07751683131216186)	(78, 0.07819909820577947)	(80, 0.07889815664211566)	(82, 0.07958660989357697)	(84, 0.0801990593201016)	(86, 0.08080620615418878)	(88, 0.08142837700018205)	(90, 0.08205496667320653)	(92, 0.08262676289104409)	(94, 0.0831994428742879)	(96, 0.08377035532671923)	(98, 0.08430768469371343)	(100, 0.08504828010414292)	(102, 0.08605047007481958)	(104, 0.08712778010502667)	(106, 0.08824751087473331)	(108, 0.08920993140212917)	(110, 0.09008485915430721)	(112, 0.0909827648070475)	(114, 0.09186653021328794)	(116, 0.09304193820358773)	(118, 0.09454433939419649)	(120, 0.0961306982983981)	(122, 0.09791413688819131)	(124, 0.09971259948989061)	(126, 0.10165246455658838)	(128, 0.1035560952416303)	(130, 0.10509738211011363)	(132, 0.10628781411231952)	(134, 0.10722990803537183)	(136, 0.10808892801023753)
mehreen_1007_MERGE_2_val_2 - polyg	(1, 0.21196052750189567)	(2, 0.2161195275036632)	(3, 0.22180744165822672)	(4, 0.2244357599763858)	(5, 0.22724083137579296)	(6, 0.22951034093901843)	(7, 0.23098976422906492)	(8, 0.23263356788467215)	(9, 0.23382665118309676)	(10, 0.23570200137513897)	(12, 0.23842046376473458)	(14, 0.2400068226689362)	(16, 0.24122023257170433)	(18, 0.24230814778678628)	(20, 0.24317512165030816)	(22, 0.24398641829323692)	(24, 0.24467398777929195)	(26, 0.2454243046091901)	(28, 0.24610303644118275)	(30, 0.24682153771645626)	(32, 0.24760897269341647)	(34, 0.24827886687134673)	(36, 0.2490097408623076)	(38, 0.249687588928894)	(40, 0.2504131603274174)	(42, 0.2511016135788787)	(44, 0.2518810946671828)	(46, 0.25263759785492457)	(48, 0.25334195888369826)	(50, 0.25413116139147096)	(52, 0.25491329377599375)	(54, 0.2556512378902045)	(56, 0.256373274227103)	(58, 0.25710945081050124)	(60, 0.25788804813339905)	(62, 0.25860654940867256)	(64, 0.25931356173366493)	(66, 0.26009215905656274)	(68, 0.2609008044032728)	(70, 0.2617200549348576)	(72, 0.26863110041165794)	(74, 0.28426491044805136)	(76, 0.28523881992572836)	(78, 0.2861685411330933)	(80, 0.2869073690127103)	(82, 0.28770717670535795)	(84, 0.28851582205206794)	(86, 0.28929795443659073)	(88, 0.2900641790438012)	(90, 0.29077649396123095)	(92, 0.291518856902473)	(94, 0.292276243855621)	(96, 0.29313791512670545)	(98, 0.29388646442579114)	(100, 0.2947012961303448)	(102, 0.2955779914133353)	(104, 0.29655278465641854)	(106, 0.2977184712272497)	(108, 0.2992235237140771)	(110, 0.3010891524866507)	(112, 0.30282663527531944)	(114, 0.30465337837001844)	(116, 0.306706365408715)	(118, 0.30930993829549935)	(120, 0.3134556818161732)	(122, 0.31842862975708824)	(124, 0.32402551607480895)	(126, 0.3311203847561073)	(128, 0.33927488815948786)	(130, 0.3474550207596494)	(132, 0.35488483652991276)	(134, 0.35982685268160935)	(136, 0.36314362425122976)
mehreen_1009_MERGE_2_val_2 - polyg	(1, 0.1660048274332787)	(2, 0.16785270976013214)	(3, 0.17070099734669586)	(4, 0.1721499919712699)	(5, 0.17398385588047133)	(6, 0.17545961293874462)	(7, 0.17666392245521115)	(8, 0.17796763529684637)	(9, 0.17895147333569522)	(10, 0.18052727091993953)	(12, 0.18256631348750194)	(14, 0.18383561748580954)	(16, 0.18474617743238664)	(18, 0.18555924565620213)	(20, 0.18625315732997572)	(22, 0.18697701744146036)	(24, 0.18760529743259052)	(26, 0.18831705072883026)	(28, 0.18903326443068658)	(30, 0.1897214412972389)	(32, 0.19045231061754953)	(34, 0.19117935673304598)	(36, 0.19189748203730939)	(38, 0.1926653090041571)	(40, 0.19342294075816702)	(42, 0.1942277253715518)	(44, 0.1950044731496326)	(46, 0.1958137181686339)	(48, 0.1967230037136063)	(50, 0.1976552284874637)	(52, 0.19851481236985175)	(54, 0.19939733548112482)	(56, 0.20021613851216163)	(58, 0.20103876474801258)	(60, 0.2019588827066251)	(62, 0.20283949421549113)	(64, 0.2036474648328877)	(66, 0.20447455147435523)	(68, 0.2053921206297583)	(70, 0.2063319918132441)	(72, 0.2077293731728267)	(74, 0.21001819845491548)	(76, 0.21098164606808872)	(78, 0.21198013972539193)	(80, 0.2128932484751785)	(82, 0.21377131118083503)	(84, 0.21463599266964195)	(86, 0.215502585760856)	(88, 0.21630737037424078)	(90, 0.2171828842766879)	(92, 0.2180169801269814)	(94, 0.2188695548005434)	(96, 0.21979094716076067)	(98, 0.22069131189449995)	(100, 0.22159804863626284)	(102, 0.22252899900851555)	(104, 0.22347141899521078)	(106, 0.22449476348380618)	(108, 0.22576088147810197)	(110, 0.2271391468136137)	(112, 0.22850530533388047)	(114, 0.22996385797048996)	(116, 0.23176076423315434)	(118, 0.23395592099729573)	(120, 0.23700046643098732)	(122, 0.2407828903938156)	(124, 0.24498650408700595)	(126, 0.2504071713127101)	(128, 0.25628853471852286)	(130, 0.2622138649796988)	(132, 0.26764918782385727)	(134, 0.2713984773449627)	(136, 0.27409256233735446)
mehreen_1011_MERGE_2_val_2 - polyg	(1, 0.1235195299403994)	(2, 0.12476622750903785)	(3, 0.12672235536078247)	(4, 0.1278414148450127)	(5, 0.12907475493970147)	(6, 0.1304431539376594)	(7, 0.13144051199257015)	(8, 0.13247348997801345)	(9, 0.13327493841499533)	(10, 0.1344815635617847)	(12, 0.13597166398906207)	(14, 0.13692672337646547)	(16, 0.1377689863171825)	(18, 0.13849251615612446)	(20, 0.1391692948362425)	(22, 0.13981119566771408)	(24, 0.14039744035772858)	(26, 0.14101188415941468)	(28, 0.14163449086184782)	(30, 0.14232017452459897)	(32, 0.14295910702852618)	(34, 0.14361659157960574)	(36, 0.14432082728950923)	(38, 0.14507107207635062)	(40, 0.14582057478130586)	(42, 0.1465619145855141)	(44, 0.1473299693376217)	(46, 0.14814477524855327)	(48, 0.14900707440019487)	(50, 0.14987382604315302)	(52, 0.1507146048200979)	(54, 0.1515249582397129)	(56, 0.15235460578836635)	(58, 0.15317905876381713)	(60, 0.15404877873431969)	(62, 0.1548576479901625)	(64, 0.15566132267280264)	(66, 0.15645683445469577)	(68, 0.15728054534826041)	(70, 0.15815545989196564)	(72, 0.15921218449776395)	(74, 0.16068670120543338)	(76, 0.16161875605436782)	(78, 0.16257678376931559)	(80, 0.16345540872245126)	(82, 0.164365943196689)	(84, 0.16517035996121524)	(86, 0.16604824283246483)	(88, 0.16692835194937267)	(90, 0.16776913072631755)	(92, 0.16860248868440147)	(94, 0.16943733080625756)	(96, 0.17023803716135333)	(98, 0.17104542225342395)	(100, 0.17184316028097535)	(102, 0.17268987571300898)	(104, 0.17355662735596714)	(106, 0.17449313469621816)	(108, 0.17547936152283752)	(110, 0.1766065839078148)	(112, 0.17766701892304357)	(114, 0.17879498338990693)	(116, 0.18014037784939596)	(118, 0.18176776342560078)	(120, 0.18383594564214564)	(122, 0.1863612503005246)	(124, 0.1890282925991476)	(126, 0.19212500030981916)	(128, 0.1955549027873471)	(130, 0.19867832544591812)	(132, 0.2014752320746076)	(134, 0.20371186687929588)	(136, 0.2053548361751087)
mehreen_1014_MERGE_2_val_2 - polyg	(1, 0.09287213153979548)	(2, 0.0940296514103036)	(3, 0.0958508160065697)	(4, 0.09677047689192242)	(5, 0.09774460930059317)	(6, 0.09884765764778326)	(7, 0.09967108550860747)	(8, 0.10064884935216609)	(9, 0.10121716891211752)	(10, 0.10224531891474531)	(12, 0.1035004335978649)	(14, 0.10431886823571829)	(16, 0.10496390185767596)	(18, 0.10555718753248149)	(20, 0.10602337298621162)	(22, 0.10645551373786798)	(24, 0.10685406371681155)	(26, 0.10722537793409612)	(28, 0.10762574363048363)	(30, 0.10806696296935966)	(32, 0.10846823652446914)	(34, 0.10890537049909632)	(36, 0.10931935407631335)	(38, 0.10971245690292514)	(40, 0.11014459765458148)	(42, 0.11054042405735917)	(44, 0.11095803906946405)	(46, 0.111401528055145)	(48, 0.11189812677606104)	(50, 0.11235750328937641)	(52, 0.11281370229716492)	(54, 0.11323903410840652)	(56, 0.11367162878942386)	(58, 0.11410513132916318)	(60, 0.11458629645180576)	(62, 0.11501208219240837)	(64, 0.11543559828620603)	(66, 0.11588998157655059)	(68, 0.11633120091542663)	(70, 0.11681055032062529)	(72, 0.11774609873361244)	(74, 0.11951233787719953)	(76, 0.12003072520744276)	(78, 0.12054684289088109)	(80, 0.12101166655652827)	(82, 0.1214837530919512)	(84, 0.12190999276191476)	(86, 0.12234803459526392)	(88, 0.12278607642861306)	(90, 0.1231778174671419)	(92, 0.1236031492783835)	(94, 0.12402348786665429)	(96, 0.12447877901572083)	(98, 0.12493407016478733)	(100, 0.12537937486791223)	(102, 0.1258251335003981)	(104, 0.12631129184601153)	(106, 0.12686054637280164)	(108, 0.12763948915624945)	(110, 0.1285282828450553)	(112, 0.12950468490053096)	(114, 0.13046610728709418)	(116, 0.1316926244204718)	(118, 0.1333644462569743)	(120, 0.13577844259868493)	(122, 0.13881023680069424)	(124, 0.142021787029653)	(126, 0.1460608504836849)	(128, 0.15046941243755735)	(130, 0.15473907200696885)	(132, 0.15879856228224498)	(134, 0.16148083087629694)	(136, 0.16343181926980432)
