Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
mehreen_1002_MERGE_1_val_1	2.8687723848396414	48.14973253960601
mehreen_1002_MERGE_2_val_2	6.393387050501557	31.119772747356244
mehreen_1003_MERGE_1_val_1	2.4522274173770113	41.65448227142202
mehreen_1003_MERGE_2_val_2	3.6230753244756455	27.45395264943015
mehreen_1004_MERGE_1_val_1	1.7847702488235413	37.18427123817753
mehreen_1004_MERGE_2_val_2	2.6134220949330538	22.611672348689154
mehreen_1005_MERGE_1_val_1	2.351438743191426	41.628421508278876
mehreen_1005_MERGE_2_val_2	3.5857065257525447	27.292191998216
mehreen_1006_MERGE_1_val_1	2.0171934528884443	43.705768007304286
mehreen_1006_MERGE_2_val_2	2.9911976540119434	27.200263356559464
mehreen_1007_MERGE_1_val_1	2.511853945393903	34.95119670673659
mehreen_1007_MERGE_2_val_2	2.6760275098495656	18.986481924346148
mehreen_1009_MERGE_1_val_1	2.1607313535929205	38.6373486329494
mehreen_1009_MERGE_2_val_2	3.8701894525425584	25.05186559650916
mehreen_1011_MERGE_1_val_1	1.6499819696364135	37.83486834702996
mehreen_1011_MERGE_2_val_2	2.3817429808589328	20.642190540239916
mehreen_1014_MERGE_1_val_1	1.7085120388920867	46.72795415117356
mehreen_1014_MERGE_2_val_2	2.472602253648519	30.47538923466756
mehreen_1015_MERGE_1_val_1	1.9323248020274322	37.41714634900351
mehreen_1015_MERGE_2_val_2	2.4987403360280798	22.74187943263938
mehreen_1016_MERGE_1_val_1	3.356322320889497	57.40931828081723
mehreen_1016_MERGE_2_val_2	7.202758993585094	41.336809458548515
mehreen_1018_MERGE_1_val_1	1.8127803676002543	32.099034971343194
mehreen_1018_MERGE_2_val_2	2.419432773539713	17.44650052810745
mehreen_1020_MERGE_1_val_1	2.0093027054360486	40.6779027058093
mehreen_1020_MERGE_2_val_2	2.5895632008120026	26.134157730272992
mehreen_1021_MERGE_1_val_1	1.8529599472454639	36.653762490635316
mehreen_1021_MERGE_2_val_2	2.372906631900831	20.450191440104714
mehreen_1023_MERGE_1_val_1	2.7811810758515443	51.330953981937284
mehreen_1023_MERGE_2_val_2	5.442176094434275	35.373531688858726
mehreen_1024_MERGE_1_val_1	2.0300996794916815	44.420035464302195
mehreen_1024_MERGE_2_val_2	3.5226379083392776	28.808719290552325
mehreen_1025_MERGE_1_val_1	2.2356057436459036	35.10267305879864
mehreen_1025_MERGE_2_val_2	3.282629880263619	19.503262388077594
mehreen_1027_MERGE_1_val_1	2.629577401517354	55.85828521357119
mehreen_1027_MERGE_2_val_2	6.765194063390546	38.69190968372885
mehreen_1028_MERGE_1_val_1	2.1741313619512823	40.92547982785185
mehreen_1028_MERGE_2_val_2	3.7029944425546155	25.073001693909585
mehreen_1029_MERGE_1_val_1	1.6392856017684414	31.91080119518923
mehreen_1029_MERGE_2_val_2	2.7747261402427594	17.313743520259763
mehreen_1030_MERGE_1_val_1	2.863464971534228	37.76392779666741
mehreen_1030_MERGE_2_val_2	3.3993010269792574	24.49746148363557
mehreen_1031_MERGE_1_val_1	1.70307659488026	35.541932432936214
mehreen_1031_MERGE_2_val_2	2.394420133961245	19.08783172706716
mehreen_1032_MERGE_1_val_1	1.9125737600375499	35.86407749019442
mehreen_1032_MERGE_2_val_2	3.1140344420271338	21.286592274866592
mehreen_1033_MERGE_1_val_1	2.5911751972404895	34.30371017957351
mehreen_1033_MERGE_2_val_2	2.930268752857279	21.807510807333944
mehreen_1034_MERGE_1_val_1	1.5361237478845495	37.99242348628558
mehreen_1034_MERGE_2_val_2	2.896746913510342	21.441946249080832
mehreen_1035_MERGE_1_val_1	1.802779673584487	38.14122320460037
mehreen_1035_MERGE_2_val_2	2.918788387781394	22.26945300476453
mehreen_1036_MERGE_1_val_1	2.043937782838207	39.61355595695822
mehreen_1036_MERGE_2_val_2	3.291045765461741	22.919333009700406
mehreen_1037_MERGE_1_val_1	1.9380417500994087	36.94214835146374
mehreen_1037_MERGE_2_val_2	3.526969042610294	21.475937782615336
mehreen_1038_MERGE_1_val_1	1.5768415116900132	32.94865160244838
mehreen_1038_MERGE_2_val_2	0.9598630807696642	18.234551039215795
mehreen_1039_MERGE_1_val_1	1.925727070396496	24.116438435170082
mehreen_1039_MERGE_2_val_2	1.6419541407199867	13.076624429226577
mehreen_1040_MERGE_1_val_1	1.6513864509162905	32.24420839633998
mehreen_1040_MERGE_2_val_2	2.878516723518267	18.962577076691762
mehreen_1041_MERGE_1_val_1	1.1824755047653406	33.77414244210339
mehreen_1041_MERGE_2_val_2	1.3483250591981968	17.33990628568329
mehreen_1042_MERGE_1_val_1	1.8997428075763318	35.2094957608644
mehreen_1042_MERGE_2_val_2	3.117157607189699	19.01809038016497
mehreen_1043_MERGE_1_val_1	1.6905465260258985	37.78195897093823
mehreen_1043_MERGE_2_val_2	3.571418283161149	21.678032620575124
mehreen_1045_MERGE_1_val_1	1.2579147983313401	31.365348122679883
mehreen_1045_MERGE_2_val_2	1.840018926990839	15.731561577484337
mehreen_1046_MERGE_1_val_1	1.7863587891847401	37.7563443476181
mehreen_1046_MERGE_2_val_2	2.9100636562658875	20.780180225046
mehreen_1049_MERGE_1_val_1	1.7402396176957775	32.90485921733686
mehreen_1049_MERGE_2_val_2	1.633618124489503	21.490447379341692
mehreen_1050_MERGE_1_val_1	1.7035191264386094	37.34093867416023
mehreen_1050_MERGE_2_val_2	2.6498714870095443	20.978266267079544
mehreen_1051_MERGE_1_val_1	1.394609014479645	33.07044542869838
mehreen_1051_MERGE_2_val_2	1.8791160233602875	16.570677476128708
mehreen_1052_MERGE_1_val_1	1.4200692059743305	34.23137991341684
mehreen_1052_MERGE_2_val_2	1.3917378045368947	17.816835205659697
mehreen_1054_MERGE_1_val_1	1.6813967373623335	38.47794415101862
mehreen_1054_MERGE_2_val_2	2.971495961754949	22.600956704432654
mehreen_1055_MERGE_1_val_1	1.3603559553725517	35.130905190910475
mehreen_1055_MERGE_2_val_2	1.898200317955268	17.91454290585974
mehreen_1057_MERGE_1_val_1	1.6783019822748164	27.95397893676996
mehreen_1057_MERGE_2_val_2	2.1113870846977183	13.790394044426968
mehreen_1058_MERGE_1_val_1	1.760099703075001	34.29926619373005
mehreen_1058_MERGE_2_val_2	1.3017215858971558	18.97817684158017
