Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
mehreen_1034_MERGE_1_val_1	(1.0, 13.110921603388274)	(2.0, 3.5538534579526755)	(3.0, 1.269531135738259)	(4.0, 0.6416515113102395)	(5.0, 0.44324392802063695)	(6.0, 0.3504278856605303)	(7.0, 0.266511973203387)	(8.0, 0.2328682579376418)	(9.0, 0.19964025825898163)	('>10', 2.8968506711224347)	('>50', 1.3579199365306251)	('>100', 3.8879174199514366)	('>500', 1.9658719329596552)	('>1k', 5.825499281596035)	('>5k', 3.797460490315933)	('>10k+', 60.199830256053176)
mehreen_1034_MERGE_2_val_2	(1.0, 14.550044768455471)	(2.0, 3.4444807266673116)	(3.0, 1.1315437865948335)	(4.0, 0.5508428465009751)	(5.0, 0.3446170984042919)	(6.0, 0.30135318862041705)	(7.0, 0.23208285866429618)	(8.0, 0.19740138798116413)	(9.0, 0.18616925815626062)	('>10', 2.7206364504722536)	('>50', 1.2948890178643793)	('>100', 3.6945781974634704)	('>500', 1.791910483216646)	('>1k', 6.210864962142434)	('>5k', 5.9638812185191545)	('>10k+', 57.384703750276614)
mehreen_1035_MERGE_1_val_1	(1.0, 13.861331862033827)	(2.0, 4.138469471632969)	(3.0, 1.5784545595479322)	(4.0, 0.8432743142751371)	(5.0, 0.5471822973931655)	(6.0, 0.40467212776331374)	(7.0, 0.31908447846013765)	(8.0, 0.2733201534793254)	(9.0, 0.239229018987902)	('>10', 3.248279057321836)	('>50', 1.4184642019750808)	('>100', 3.9584618582661637)	('>500', 1.968322229846764)	('>1k', 5.379923090765054)	('>5k', 3.314508382713183)	('>10k+', 58.507022895538285)
mehreen_1035_MERGE_2_val_2	(1.0, 15.69623678089761)	(2.0, 4.108952252037889)	(3.0, 1.3942331184665475)	(4.0, 0.6594308619980168)	(5.0, 0.46233494278030696)	(6.0, 0.3331821430989079)	(7.0, 0.2630736885192094)	(8.0, 0.23727118452906681)	(9.0, 0.19434610008000405)	('>10', 3.0301238792875043)	('>50', 1.3560067434881655)	('>100', 3.764285455815871)	('>500', 1.668481029686887)	('>1k', 5.2675216696775475)	('>5k', 4.820411590078795)	('>10k+', 56.744108559557645)
mehreen_1036_MERGE_1_val_1	(1.0, 14.111826899526376)	(2.0, 3.804596040445259)	(3.0, 1.3495809258639764)	(4.0, 0.7125463202250447)	(5.0, 0.45462656137910856)	(6.0, 0.3217688799870598)	(7.0, 0.27062428453371595)	(8.0, 0.2302471642610216)	(9.0, 0.21524761446587223)	('>10', 2.8311852509242095)	('>50', 1.3077604954897393)	('>100', 3.639739418235026)	('>500', 1.820504560565998)	('>1k', 5.0570523508342315)	('>5k', 3.1863657507891747)	('>10k+', 60.68632748247412)
mehreen_1036_MERGE_2_val_2	(1.0, 15.99032037409785)	(2.0, 3.656532263288464)	(3.0, 1.1729368038228078)	(4.0, 0.5524581648517712)	(5.0, 0.3700985758118631)	(6.0, 0.2877207542196397)	(7.0, 0.23195136961007384)	(8.0, 0.20944128937705284)	(9.0, 0.1719510489899789)	('>10', 2.8102251927270934)	('>50', 1.3304041299774745)	('>100', 3.570469326544297)	('>500', 1.5335691145960415)	('>1k', 5.158286985935304)	('>5k', 4.491181147221361)	('>10k+', 58.46245345892896)
mehreen_1037_MERGE_1_val_1	(1.0, 13.844760020920132)	(2.0, 4.518525743132308)	(3.0, 1.7642623869147924)	(4.0, 0.9473710842892039)	(5.0, 0.6024653190347973)	(6.0, 0.46942802498882535)	(7.0, 0.36532363829771297)	(8.0, 0.3030960621893727)	(9.0, 0.2803560154614278)	('>10', 3.8168007129094716)	('>50', 1.5696962074252294)	('>100', 3.9726635197105136)	('>500', 1.8936328288902446)	('>1k', 5.149242579717241)	('>5k', 3.214570373744454)	('>10k+', 57.287805482374246)
mehreen_1037_MERGE_2_val_2	(1.0, 15.584881468507053)	(2.0, 4.522736796712733)	(3.0, 1.6722540264129675)	(4.0, 0.842183597352924)	(5.0, 0.5539991179276714)	(6.0, 0.4173437133195448)	(7.0, 0.33182213339193656)	(8.0, 0.27967722707792086)	(9.0, 0.23995620355409808)	('>10', 3.5978269667249463)	('>50', 1.528183223313228)	('>100', 3.726676625542475)	('>500', 1.6498780282155414)	('>1k', 5.9725906629726735)	('>5k', 5.263333375153291)	('>10k+', 53.81665683382104)
mehreen_1038_MERGE_1_val_1	(1.0, 10.53758467056241)	(2.0, 3.1228044754360607)	(3.0, 1.2162885664174319)	(4.0, 0.6557718081492775)	(5.0, 0.459885689809813)	(6.0, 0.3464473792471511)	(7.0, 0.2789457710235704)	(8.0, 0.23809996616207915)	(9.0, 0.20421429502582392)	('>10', 3.071625604160115)	('>50', 1.3703016726408013)	('>100', 3.540932063848939)	('>500', 1.7524908420116128)	('>1k', 6.064171541819973)	('>5k', 4.157391601189424)	('>10k+', 62.98304405249559)
mehreen_1038_MERGE_2_val_2	(1.0, 11.950168045954948)	(2.0, 3.083518711958287)	(3.0, 1.0512380598909603)	(4.0, 0.543904302194756)	(5.0, 0.3856662887691161)	(6.0, 0.29771743025695474)	(7.0, 0.2636734456604113)	(8.0, 0.2154500363358419)	(9.0, 0.18544691545690817)	('>10', 2.780068500260459)	('>50', 1.1694762562772905)	('>100', 2.7394684147061197)	('>500', 1.3125659110405627)	('>1k', 6.816420495992219)	('>5k', 7.203895329321068)	('>10k+', 60.001321855924026)
mehreen_1039_MERGE_1_val_1	(1.0, 22.995657966612054)	(2.0, 6.904489052998038)	(3.0, 2.712211221761702)	(4.0, 1.4146328506148826)	(5.0, 0.8582398291257188)	(6.0, 0.6597399660563839)	(7.0, 0.5150693825108448)	(8.0, 0.42066059744800316)	(9.0, 0.3321787178424127)	('>10', 4.391212588503291)	('>50', 1.7034822167597738)	('>100', 4.142401989899528)	('>500', 1.880130960550099)	('>1k', 5.4282170497891045)	('>5k', 3.439758846874811)	('>10k+', 42.20191676265337)
mehreen_1039_MERGE_2_val_2	(1.0, 26.748481612899074)	(2.0, 6.690758753488933)	(3.0, 2.2010753797299882)	(4.0, 1.0137574141754666)	(5.0, 0.637278599752483)	(6.0, 0.501071397044529)	(7.0, 0.38808073534719156)	(8.0, 0.3339293769129183)	(9.0, 0.2820796855004419)	('>10', 3.8537268116058274)	('>50', 1.466109007556223)	('>100', 3.54110261060461)	('>500', 1.9208143229862158)	('>1k', 7.9740877961771846)	('>5k', 6.105869665695354)	('>10k+', 36.34177683052366)
mehreen_1040_MERGE_1_val_1	(1.0, 21.811616788638062)	(2.0, 5.727057704267309)	(3.0, 1.9413942188819033)	(4.0, 0.9671632495368369)	(5.0, 0.6050688666868119)	(6.0, 0.4170796202881787)	(7.0, 0.3319828508437718)	(8.0, 0.2461875382841664)	(9.0, 0.22073755755735702)	('>10', 3.0634376325782484)	('>50', 1.2950487528443082)	('>100', 3.088791159641206)	('>500', 1.35618492189048)	('>1k', 4.417093572870306)	('>5k', 3.2020522547311283)	('>10k+', 51.309103310459825)
mehreen_1040_MERGE_2_val_2	(1.0, 24.14256777687659)	(2.0, 5.317358152434115)	(3.0, 1.5412455631299844)	(4.0, 0.7054936470268542)	(5.0, 0.413448789108915)	(6.0, 0.3276854404664497)	(7.0, 0.2812931180288228)	(8.0, 0.22947127238464576)	(9.0, 0.1973719040448268)	('>10', 2.785130467588785)	('>50', 1.0882135229445808)	('>100', 2.3595672636256153)	('>500', 1.084764189022197)	('>1k', 5.520999951252019)	('>5k', 5.511486699346353)	('>10k+', 48.49390224271921)
mehreen_1041_MERGE_1_val_1	(1.0, 15.47280423248261)	(2.0, 4.081535467621205)	(3.0, 1.5058993877282763)	(4.0, 0.7715613900495761)	(5.0, 0.5060807306519467)	(6.0, 0.355036842979106)	(7.0, 0.30556828696097094)	(8.0, 0.24233728994046888)	(9.0, 0.22346255560563863)	('>10', 3.128335608330023)	('>50', 1.3407047971863146)	('>100', 3.56107653878695)	('>500', 1.7951537107297255)	('>1k', 5.986600867965867)	('>5k', 4.739442550950132)	('>10k+', 55.984399742031144)
mehreen_1041_MERGE_2_val_2	(1.0, 17.559987378176817)	(2.0, 3.891907889157041)	(3.0, 1.1868334996346477)	(4.0, 0.6057037359047887)	(5.0, 0.4196507891121805)	(6.0, 0.31952191704545163)	(7.0, 0.25269783331401285)	(8.0, 0.22071602618256594)	(9.0, 0.20460344521523538)	('>10', 2.796336289555323)	('>50', 1.1368555558574833)	('>100', 2.7269580601844448)	('>500', 1.5012904014396615)	('>1k', 8.573452290203033)	('>5k', 8.325985938904957)	('>10k+', 50.277498950112395)
mehreen_1042_MERGE_1_val_1	(1.0, 18.732770922167266)	(2.0, 5.511316888666891)	(3.0, 1.9396515689016653)	(4.0, 0.9774156261625975)	(5.0, 0.5929366491276112)	(6.0, 0.4260610038759348)	(7.0, 0.3449253387903298)	(8.0, 0.28317546720727943)	(9.0, 0.2212092486164663)	('>10', 3.136142745767042)	('>50', 1.2429987238813351)	('>100', 3.068559777589327)	('>500', 1.4845949706304837)	('>1k', 4.558312239598048)	('>5k', 3.2589941852446285)	('>10k+', 54.22093464377304)
mehreen_1042_MERGE_2_val_2	(1.0, 21.022325461196292)	(2.0, 5.294510932949561)	(3.0, 1.5994876440612644)	(4.0, 0.7155388923833257)	(5.0, 0.43379629171632006)	(6.0, 0.3468020411940112)	(7.0, 0.2850485138503465)	(8.0, 0.2309840804968165)	(9.0, 0.20650496094632792)	('>10', 2.8313803746951733)	('>50', 1.0715592641831915)	('>100', 2.4700431637046867)	('>500', 1.2443353715502412)	('>1k', 5.20040409087442)	('>5k', 4.909363133222978)	('>10k+', 52.137915782975)
mehreen_1043_MERGE_1_val_1	(1.0, 15.873987263778282)	(2.0, 4.492451964896025)	(3.0, 1.6070140152041916)	(4.0, 0.798155980277182)	(5.0, 0.5016938891182839)	(6.0, 0.3635835333067161)	(7.0, 0.2716183922446251)	(8.0, 0.2563980065851589)	(9.0, 0.19373403410627515)	('>10', 2.766370983801326)	('>50', 1.2006544622575557)	('>100', 2.9971402583026183)	('>500', 1.342235055645028)	('>1k', 4.358483005814824)	('>5k', 2.9033585808343965)	('>10k+', 60.073120573827495)
mehreen_1043_MERGE_2_val_2	(1.0, 17.675463205044405)	(2.0, 4.295687561284112)	(3.0, 1.294600995480303)	(4.0, 0.6140552325703771)	(5.0, 0.42168096393586174)	(6.0, 0.326981902294088)	(7.0, 0.24432664367657703)	(8.0, 0.21575255811057104)	(9.0, 0.16981232869794374)	('>10', 2.7003059806749814)	('>50', 1.1318893663626117)	('>100', 2.434332779820686)	('>500', 1.052513678472602)	('>1k', 4.687633476494013)	('>5k', 4.21948989610084)	('>10k+', 58.5154734309799)
mehreen_1045_MERGE_1_val_1	(1.0, 18.427742580182016)	(2.0, 4.9227456336923225)	(3.0, 1.8403351946779005)	(4.0, 0.9608511236708729)	(5.0, 0.5884866733581571)	(6.0, 0.45202605086549347)	(7.0, 0.33271926749994846)	(8.0, 0.28289483919941155)	(9.0, 0.24800603343475502)	('>10', 3.325480138485982)	('>50', 1.3609894142972623)	('>100', 3.349310001915376)	('>500', 1.5594203364154557)	('>1k', 5.00363296950995)	('>5k', 3.7409308948719646)	('>10k+', 53.60442884792317)
mehreen_1045_MERGE_2_val_2	(1.0, 20.730684540264154)	(2.0, 4.783298396644992)	(3.0, 1.419820737777408)	(4.0, 0.7050006029558085)	(5.0, 0.44804578976686193)	(6.0, 0.32879957287309763)	(7.0, 0.27874166183005145)	(8.0, 0.23671483239266713)	(9.0, 0.21060181736172195)	('>10', 3.0727375014298968)	('>50', 1.24254558040232)	('>100', 2.498835386412578)	('>500', 1.2010485815495273)	('>1k', 6.634012477118062)	('>5k', 6.468161246270858)	('>10k+', 49.74095127495005)
mehreen_1046_MERGE_1_val_1	(1.0, 12.913483585261373)	(2.0, 3.930411527061194)	(3.0, 1.5224270820085408)	(4.0, 0.8015595514292108)	(5.0, 0.5154128999809987)	(6.0, 0.4172924054678081)	(7.0, 0.3152592895889017)	(8.0, 0.27277181711050397)	(9.0, 0.23009268169938046)	('>10', 3.2223478637408043)	('>50', 1.350590722598121)	('>100', 3.3594307861506274)	('>500', 1.6661843999405623)	('>1k', 5.289230342156354)	('>5k', 3.8564279322922093)	('>10k+', 60.33707711351344)
mehreen_1046_MERGE_2_val_2	(1.0, 14.868518957794635)	(2.0, 3.931609397291908)	(3.0, 1.3233888415714516)	(4.0, 0.7102186349750504)	(5.0, 0.4470036320454393)	(6.0, 0.34877060475996646)	(7.0, 0.2890893413442721)	(8.0, 0.24005254189640896)	(9.0, 0.22083954026359134)	('>10', 3.0278531349667346)	('>50', 1.2421517416443797)	('>100', 2.80763767429086)	('>500', 1.5384505711905863)	('>1k', 6.9881302973269985)	('>5k', 6.189946293217605)	('>10k+', 55.826338795420114)
mehreen_1049_MERGE_1_val_1	(1.0, 13.946792834867042)	(2.0, 4.037143163972176)	(3.0, 1.6197945396531723)	(4.0, 0.9015875052965487)	(5.0, 0.6114131192926624)	(6.0, 0.46367125466929965)	(7.0, 0.36878688837959905)	(8.0, 0.3143791425892254)	(9.0, 0.2556672906457847)	('>10', 3.5803845386979236)	('>50', 1.45120075083415)	('>100', 3.410334534104484)	('>500', 1.5909832862311166)	('>1k', 5.1875234032745094)	('>5k', 3.48565759476494)	('>10k+', 58.774680152727456)
mehreen_1049_MERGE_2_val_2	(1.0, 16.12201716125005)	(2.0, 4.032996581956031)	(3.0, 1.4019101395490685)	(4.0, 0.7179452336179505)	(5.0, 0.5098613822552397)	(6.0, 0.3762033285836748)	(7.0, 0.31251723781181323)	(8.0, 0.27019790073191646)	(9.0, 0.23419010171026594)	('>10', 3.2613888502832658)	('>50', 1.2264614710176818)	('>100', 2.548586288922856)	('>500', 1.266436660801622)	('>1k', 5.845414887755108)	('>5k', 5.67076861430503)	('>10k+', 56.203104159448394)
mehreen_1050_MERGE_1_val_1	(1.0, 16.097126350853248)	(2.0, 4.638709278895761)	(3.0, 1.7520931152797217)	(4.0, 0.8763632860500713)	(5.0, 0.6082793266393612)	(6.0, 0.4202566763862483)	(7.0, 0.33945879975448656)	(8.0, 0.28274370941592436)	(9.0, 0.25224338466054425)	('>10', 3.0992281857099275)	('>50', 1.1807954350318235)	('>100', 3.0816238230869675)	('>500', 1.5243677203386106)	('>1k', 4.7487023069177425)	('>5k', 3.433592981317566)	('>10k+', 57.664415619662066)
mehreen_1050_MERGE_2_val_2	(1.0, 18.23816685757925)	(2.0, 4.545626690151601)	(3.0, 1.4364831990074722)	(4.0, 0.7012408653952114)	(5.0, 0.4474627309118782)	(6.0, 0.33734618691588036)	(7.0, 0.2662034933442508)	(8.0, 0.23092134734965541)	(9.0, 0.19751008560043892)	('>10', 2.7431473487920166)	('>50', 1.034807144059836)	('>100', 2.414298163652226)	('>500', 1.2266822452627228)	('>1k', 5.44206267372025)	('>5k', 5.583244016591176)	('>10k+', 55.1547969516661)
mehreen_1051_MERGE_1_val_1	(1.0, 17.156940673039227)	(2.0, 5.000563438744676)	(3.0, 1.8261944832878383)	(4.0, 0.9417599511170741)	(5.0, 0.5792662795997282)	(6.0, 0.4414899047051711)	(7.0, 0.35003256064851435)	(8.0, 0.2758619317179177)	(9.0, 0.22864104540541585)	('>10', 3.287380624295947)	('>50', 1.3822671325382618)	('>100', 3.4833466122158736)	('>500', 1.6827428168970167)	('>1k', 5.415401091054097)	('>5k', 3.7031934785072473)	('>10k+', 54.24491797622601)
mehreen_1051_MERGE_2_val_2	(1.0, 19.677960296420416)	(2.0, 4.836384407578487)	(3.0, 1.4943221367563526)	(4.0, 0.7238366485381431)	(5.0, 0.46754919691928576)	(6.0, 0.33808886043796627)	(7.0, 0.3027244733730593)	(8.0, 0.25956532494784135)	(9.0, 0.21404555958316368)	('>10', 3.1912840755126073)	('>50', 1.197965702946131)	('>100', 2.711065052419875)	('>500', 1.3945409976931917)	('>1k', 6.856675456254136)	('>5k', 6.38786804502921)	('>10k+', 49.946123765590144)
mehreen_1052_MERGE_1_val_1	(1.0, 13.354288362451472)	(2.0, 3.8847552838020167)	(3.0, 1.5018055751676254)	(4.0, 0.8051854861271129)	(5.0, 0.5393239328885586)	(6.0, 0.3957619458241673)	(7.0, 0.3289276013633975)	(8.0, 0.24391234120917704)	(9.0, 0.2101492394940208)	('>10', 3.2144463822896494)	('>50', 1.3036559589319294)	('>100', 3.3728418433135134)	('>500', 1.7164269702226498)	('>1k', 5.859333202377683)	('>5k', 4.637914656972119)	('>10k+', 58.63127121756485)
mehreen_1052_MERGE_2_val_2	(1.0, 15.433277385523692)	(2.0, 3.8280583658549325)	(3.0, 1.2827886320682218)	(4.0, 0.640187460851095)	(5.0, 0.4246907703600993)	(6.0, 0.32006505210697483)	(7.0, 0.2693718764550325)	(8.0, 0.22743505539183853)	(9.0, 0.20602843091954084)	('>10', 2.9302707238827796)	('>50', 1.1621289462293107)	('>100', 2.4231658754402687)	('>500', 1.2955357159106424)	('>1k', 7.350269793477268)	('>5k', 7.764071249365532)	('>10k+', 54.442654666162795)
mehreen_1054_MERGE_1_val_1	(1.0, 13.464769054647268)	(2.0, 3.7878308227934996)	(3.0, 1.4397700116347893)	(4.0, 0.7523366460740777)	(5.0, 0.4869869613467556)	(6.0, 0.3612433342256355)	(7.0, 0.2937757378647665)	(8.0, 0.24318611992043995)	(9.0, 0.2001215839875765)	('>10', 2.958131444022979)	('>50', 1.238855984156941)	('>100', 3.157886086175722)	('>500', 1.5213394002160094)	('>1k', 4.748056128051859)	('>5k', 3.617707757654044)	('>10k+', 61.728002927227564)
mehreen_1054_MERGE_2_val_2	(1.0, 15.211752552498147)	(2.0, 3.645204556979719)	(3.0, 1.2365571410346559)	(4.0, 0.610706770493399)	(5.0, 0.40574588371154696)	(6.0, 0.335855474388728)	(7.0, 0.24438747072746056)	(8.0, 0.22355481972764774)	(9.0, 0.19970735060909212)	('>10', 2.8108189391287923)	('>50', 1.1575936340866357)	('>100', 2.425697017582087)	('>500', 1.1447301194079451)	('>1k', 5.533453945285891)	('>5k', 5.613163544324351)	('>10k+', 59.201070780013865)
mehreen_1055_MERGE_1_val_1	(1.0, 13.86069949499665)	(2.0, 3.686463476099528)	(3.0, 1.4246301605032832)	(4.0, 0.7651884047756118)	(5.0, 0.5251092550815436)	(6.0, 0.3849097277230776)	(7.0, 0.31417713499625083)	(8.0, 0.2552941681156268)	(9.0, 0.24365116120460503)	('>10', 3.174016973434204)	('>50', 1.3178900864488228)	('>100', 3.331976007825027)	('>500', 1.6391996581605748)	('>1k', 5.17120476164581)	('>5k', 3.929340485719873)	('>10k+', 59.97624904326951)
mehreen_1055_MERGE_2_val_2	(1.0, 15.66039596880819)	(2.0, 3.561128548355684)	(3.0, 1.2398541348232148)	(4.0, 0.6442376009282329)	(5.0, 0.4311493960298841)	(6.0, 0.32791780226671524)	(7.0, 0.2875752110864338)	(8.0, 0.23287423848856129)	(9.0, 0.20156017062348455)	('>10', 2.9280271189724703)	('>50', 1.2078580945667476)	('>100', 2.5050691551778472)	('>500', 1.3317409681357772)	('>1k', 6.631398510237807)	('>5k', 6.735139220929902)	('>10k+', 56.07407386056901)
mehreen_1057_MERGE_1_val_1	(1.0, 20.328665995343755)	(2.0, 6.322714021578116)	(3.0, 2.485506663511936)	(4.0, 1.2646593997638347)	(5.0, 0.7486349240343667)	(6.0, 0.5639456271827807)	(7.0, 0.4425909332757693)	(8.0, 0.36281652617012605)	(9.0, 0.33871477201989186)	('>10', 4.20753500887519)	('>50', 1.6944161673038491)	('>100', 3.9016383637580776)	('>500', 1.746135621854672)	('>1k', 5.481110524320553)	('>5k', 3.446563157402105)	('>10k+', 46.66435229360497)
mehreen_1057_MERGE_2_val_2	(1.0, 23.084378214899253)	(2.0, 6.169277507771915)	(3.0, 2.125007360847199)	(4.0, 0.9839211851444745)	(5.0, 0.6086600152766993)	(6.0, 0.4951363614911464)	(7.0, 0.3728504278435628)	(8.0, 0.3133597405996414)	(9.0, 0.2740351293051353)	('>10', 3.8883871191017314)	('>50', 1.4453019037432766)	('>100', 3.147068026432308)	('>500', 1.6037714439068878)	('>1k', 6.835831827574243)	('>5k', 5.5303418632708805)	('>10k+', 43.1226718727917)
mehreen_1058_MERGE_1_val_1	(1.0, 8.954495238721135)	(2.0, 2.6044787577991286)	(3.0, 0.9945636251947554)	(4.0, 0.5559788950130605)	(5.0, 0.41200856114072765)	(6.0, 0.3240722237688497)	(7.0, 0.2653371817397294)	(8.0, 0.23415702828477064)	(9.0, 0.19572556963666946)	('>10', 3.082925850470199)	('>50', 1.387131528612372)	('>100', 3.6099332060017932)	('>500', 2.022859143095188)	('>1k', 7.835862952256288)	('>5k', 5.877216208254827)	('>10k+', 61.64325403001046)
mehreen_1058_MERGE_2_val_2	(1.0, 10.20923756474043)	(2.0, 2.6457895657340904)	(3.0, 0.9405348317337294)	(4.0, 0.5445899112698991)	(5.0, 0.37975084851029806)	(6.0, 0.3065072926316467)	(7.0, 0.2568635813623449)	(8.0, 0.21162224823101447)	(9.0, 0.18603103067809076)	('>10', 2.816763252280017)	('>50', 1.0940726002354886)	('>100', 2.8835200151487417)	('>500', 2.0048346769120107)	('>1k', 11.381414276061754)	('>5k', 9.83999632896821)	('>10k+', 54.298471975502274)
