Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
mehreen_1007_MERGE_2_val_2	(1.0, 17.16937490736307)	(2.0, 5.163377132494718)	(3.0, 1.8229344789388413)	(4.0, 0.8294165388742438)	(5.0, 0.503964813489444)	(6.0, 0.3706209024680045)	(7.0, 0.29483748220241646)	(8.0, 0.2522353281963227)	(9.0, 0.2143164489991841)	('>10', 3.106606657365362)	('>50', 1.4123773553209304)	('>100', 3.5747357850480723)	('>500', 1.9157928343918489)	('>1k', 8.421533065935712)	('>5k', 7.746453069794552)	('>10k+', 47.20142319911732)
mehreen_1009_MERGE_1_val_1	(1.0, 17.651624554119888)	(2.0, 4.867311033042757)	(3.0, 1.657010677852929)	(4.0, 0.8001049789458953)	(5.0, 0.5160923998844271)	(6.0, 0.35563799191637463)	(7.0, 0.29523997217926545)	(8.0, 0.2633301641682084)	(9.0, 0.2145035545375152)	('>10', 2.8600733501327578)	('>50', 1.241008105363672)	('>100', 3.2154432347475814)	('>500', 1.4404410474877096)	('>1k', 4.049493901442748)	('>5k', 2.828565325176452)	('>10k+', 57.74411970900185)
mehreen_1009_MERGE_2_val_2	(1.0, 19.517922541166822)	(2.0, 4.68676203728288)	(3.0, 1.3610533976168997)	(4.0, 0.6226947516810686)	(5.0, 0.40555878180695787)	(6.0, 0.322920101843244)	(7.0, 0.25418189092383436)	(8.0, 0.22548205973045174)	(9.0, 0.19388697156266496)	('>10', 2.703995778365302)	('>50', 1.1535926503473988)	('>100', 2.718418790461838)	('>500', 1.0508752788545959)	('>1k', 4.300508511832793)	('>5k', 4.5125591661465485)	('>10k+', 55.969587290376644)
mehreen_1011_MERGE_1_val_1	(1.0, 15.555601911685816)	(2.0, 3.6671826853667127)	(3.0, 1.2773921981530225)	(4.0, 0.6493692298683531)	(5.0, 0.43779376280757676)	(6.0, 0.3182312092467821)	(7.0, 0.24829256588481696)	(8.0, 0.22986074739601406)	(9.0, 0.18472731094325184)	('>10', 2.8119846085161315)	('>50', 1.2370770719363327)	('>100', 3.285009425976135)	('>500', 1.6057153862079239)	('>1k', 5.346710775663427)	('>5k', 3.831026030543173)	('>10k+', 59.31402507980443)
mehreen_1011_MERGE_2_val_2	(1.0, 17.324421972517573)	(2.0, 3.491554275490309)	(3.0, 1.0407404159198441)	(4.0, 0.5331619539987332)	(5.0, 0.37824248596702853)	(6.0, 0.2850794867069617)	(7.0, 0.24105555161944603)	(8.0, 0.19192575497466371)	(9.0, 0.17803087574657783)	('>10', 2.700422719142345)	('>50', 1.0842889503945514)	('>100', 2.503907881106868)	('>500', 1.26164543591071)	('>1k', 6.912092700546251)	('>5k', 6.815098298293081)	('>10k+', 55.058331241665115)
mehreen_1014_MERGE_1_val_1	(1.0, 6.289145453724773)	(2.0, 1.70656139138509)	(3.0, 0.6324976934529062)	(4.0, 0.335833366352386)	(5.0, 0.23886213363001782)	(6.0, 0.18717743325204517)	(7.0, 0.1571686098385076)	(8.0, 0.13208170955446993)	(9.0, 0.11416707172275117)	('>10', 1.8358848532773493)	('>50', 0.904000008378391)	('>100', 2.4783244391076678)	('>500', 1.310671518645767)	('>1k', 4.823265610946099)	('>5k', 3.474516896378167)	('>10k+', 75.37984181035358)
mehreen_1014_MERGE_2_val_2	(1.0, 7.075748584141792)	(2.0, 1.64912023122772)	(3.0, 0.5610260785924246)	(4.0, 0.28969362497649503)	(5.0, 0.21654120584325237)	(6.0, 0.17071273884514684)	(7.0, 0.14484106933627033)	(8.0, 0.12380796364228758)	(9.0, 0.11327249919174232)	('>10', 1.7974092500967906)	('>50', 0.7322384304467116)	('>100', 1.7429499245522304)	('>500', 1.0482470274103948)	('>1k', 5.1850338535204115)	('>5k', 5.206298094357561)	('>10k+', 73.94305942381872)
mehreen_1015_MERGE_1_val_1	(1.0, 14.485023073450204)	(2.0, 3.953649993362638)	(3.0, 1.480472773444993)	(4.0, 0.8429042524973738)	(5.0, 0.5549457527383277)	(6.0, 0.40706744340174694)	(7.0, 0.3113189423758025)	(8.0, 0.2725600409107455)	(9.0, 0.2297176353573966)	('>10', 3.0285048673806525)	('>50', 1.1883501829324963)	('>100', 3.049977214619232)	('>500', 1.4943619312989316)	('>1k', 5.017719820167155)	('>5k', 3.6830562868641605)	('>10k+', 60.000369789198174)
mehreen_1015_MERGE_2_val_2	(1.0, 16.597181165177386)	(2.0, 3.8729804776656973)	(3.0, 1.3141995024908892)	(4.0, 0.6770859472529841)	(5.0, 0.4346989241754479)	(6.0, 0.32425455436274986)	(7.0, 0.28684753431777005)	(8.0, 0.22785867942070637)	(9.0, 0.2004805904034133)	('>10', 2.715174390598912)	('>50', 0.9818175324977456)	('>100', 2.172832005051547)	('>500', 1.183660048858984)	('>1k', 6.433995727388492)	('>5k', 6.272620631134992)	('>10k+', 56.304312289202265)
mehreen_1016_MERGE_1_val_1	(1.0, 3.4565431638058293)	(2.0, 1.0299258931027873)	(3.0, 0.3928608138524855)	(4.0, 0.22422833808327966)	(5.0, 0.15911308768805657)	(6.0, 0.12668041427280452)	(7.0, 0.10385689601705925)	(8.0, 0.09719586840896956)	(9.0, 0.08511991166531604)	('>10', 1.4544790421247593)	('>50', 0.7663045283751039)	('>100', 2.271908049210781)	('>500', 1.2412005798663492)	('>1k', 4.116458756166438)	('>5k', 3.186409016201422)	('>10k+', 81.28771564115856)
mehreen_1016_MERGE_2_val_2	(1.0, 3.962892549008407)	(2.0, 1.0495761979462364)	(3.0, 0.37926366953943863)	(4.0, 0.21297293947529494)	(5.0, 0.15876797047911084)	(6.0, 0.12499169510776782)	(7.0, 0.11359347609016208)	(8.0, 0.09921657761325306)	(9.0, 0.08945060093275772)	('>10', 1.545999981144988)	('>50', 0.7278525864001711)	('>100', 1.7811044039407025)	('>500', 1.0211747468910526)	('>1k', 4.343296300773024)	('>5k', 3.4874061460003354)	('>10k+', 80.90244015865728)
mehreen_1018_MERGE_1_val_1	(1.0, 16.775357355907488)	(2.0, 5.44129563753517)	(3.0, 2.327417794187683)	(4.0, 1.225187951599068)	(5.0, 0.8262087116685055)	(6.0, 0.5825061555478214)	(7.0, 0.47772493376331593)	(8.0, 0.3821558248458386)	(9.0, 0.3430292809322415)	('>10', 4.21017054978371)	('>50', 1.6644398532978697)	('>100', 4.271099008951322)	('>500', 2.022379691886655)	('>1k', 5.240220870061367)	('>5k', 2.9989413086800423)	('>10k+', 51.211865071351916)
mehreen_1018_MERGE_2_val_2	(1.0, 19.675720374646264)	(2.0, 5.48432174837212)	(3.0, 1.9977282762241648)	(4.0, 0.9531845443745376)	(5.0, 0.6190487127223671)	(6.0, 0.47092262181418704)	(7.0, 0.3567257215438067)	(8.0, 0.3130097004699585)	(9.0, 0.24541387232829018)	('>10', 3.868421535893401)	('>50', 1.6202426431310275)	('>100', 3.9504256821627455)	('>500', 1.696202115969157)	('>1k', 5.192376510047879)	('>5k', 4.519983493000222)	('>10k+', 49.03627244729981)
mehreen_1020_MERGE_1_val_1	(1.0, 8.742261787671596)	(2.0, 2.7121142057870506)	(3.0, 1.0851849262093938)	(4.0, 0.6063317451427125)	(5.0, 0.42280005041204227)	(6.0, 0.3026263362670813)	(7.0, 0.255700458615027)	(8.0, 0.21769967842744203)	(9.0, 0.18475232917617818)	('>10', 2.7199535944350677)	('>50', 1.258107421593203)	('>100', 3.6592741673057776)	('>500', 1.8633064997107422)	('>1k', 6.267309723299408)	('>5k', 4.232920212677696)	('>10k+', 65.46965686326958)
mehreen_1020_MERGE_2_val_2	(1.0, 10.088738067717264)	(2.0, 2.716981080617825)	(3.0, 0.9656811213263509)	(4.0, 0.5334041247717386)	(5.0, 0.334933099022112)	(6.0, 0.26141993821515846)	(7.0, 0.21802987112728733)	(8.0, 0.18415615720074446)	(9.0, 0.15919146417261062)	('>10', 2.5902812539294056)	('>50', 1.182182342017645)	('>100', 3.329782320303228)	('>500', 1.7387311227319437)	('>1k', 6.596129561638003)	('>5k', 5.516370189219995)	('>10k+', 63.583988285988745)
mehreen_1021_MERGE_1_val_1	(1.0, 13.442161150216183)	(2.0, 4.1294938389279405)	(3.0, 1.6305436885573221)	(4.0, 0.896492136171632)	(5.0, 0.5895217182100048)	(6.0, 0.4548876392351051)	(7.0, 0.34321080664002884)	(8.0, 0.28183419176905133)	(9.0, 0.24012234909294478)	('>10', 3.290779307104588)	('>50', 1.3631061609124406)	('>100', 3.5264056816815534)	('>500', 1.741050116690899)	('>1k', 5.469370955676471)	('>5k', 3.476441921930932)	('>10k+', 59.12457833718283)
mehreen_1021_MERGE_2_val_2	(1.0, 15.67591458942321)	(2.0, 4.065729825663674)	(3.0, 1.4003024523834795)	(4.0, 0.6875402846191886)	(5.0, 0.45514692986607747)	(6.0, 0.33532543678592935)	(7.0, 0.2789672098887868)	(8.0, 0.24952425113675047)	(9.0, 0.2183889439570437)	('>10', 2.977508237661651)	('>50', 1.2961602325973514)	('>100', 3.1056259995110636)	('>500', 1.4779222419131288)	('>1k', 5.955017389960401)	('>5k', 5.382779388231785)	('>10k+', 56.438146586400485)
