Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
mehreen_1007_MERGE_1_val_1	mehreen_1007_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56576100.0	7.5 Gbp	0.0	20-148	52.0	19.399235919912257	133.202910769742	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1007_MERGE_2_val_2	mehreen_1007_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56576100.0	7.5 Gbp	0.0	20-148	53.0	21.031046102416575	133.1634403042981	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1009_MERGE_1_val_1	mehreen_1009_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78468200.0	10.3 Gbp	0.0	20-148	56.0	21.285793973866877	131.99117559724831	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1009_MERGE_2_val_2	mehreen_1009_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78468200.0	10.3 Gbp	0.0	20-148	56.0	22.86551879374283	131.91648629635955	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1011_MERGE_1_val_1	mehreen_1011_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67378009.0	8.7 Gbp	0.0	20-148	55.0	18.38545445469457	128.92155210463403	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1011_MERGE_2_val_2	mehreen_1011_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67378009.0	8.6 Gbp	0.0	20-148	56.0	19.92514793044001	128.81778479088035	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1014_MERGE_1_val_1	mehreen_1014_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	110149297.0	14.1 Gbp	0.0	20-148	56.0	7.689419303142773	127.83899337096994	142	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1014_MERGE_2_val_2	mehreen_1014_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	110149297.0	14 Gbp	0.0	20-148	57.0	8.396281094929323	127.74475296015734	142	pass	pass	fail	pass	warn	warn	pass	warn	fail	fail	pass
mehreen_1015_MERGE_1_val_1	mehreen_1015_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74321408.0	9.7 Gbp	0.0	20-148	54.0	17.64477011558167	130.28013114337122	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1015_MERGE_2_val_2	mehreen_1015_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74321408.0	9.6 Gbp	0.0	20-148	55.0	19.547288022328733	130.17088139664955	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1016_MERGE_1_val_1	mehreen_1016_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	100292513.0	13.1 Gbp	0.0	20-148	59.0	4.345655111341489	130.43084323752063	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1016_MERGE_2_val_2	mehreen_1016_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	100292513.0	13 Gbp	0.0	20-148	59.0	4.85903489952061	130.3091287183122	147	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
mehreen_1018_MERGE_1_val_1	mehreen_1018_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	95654776.0	12.4 Gbp	0.0	20-148	53.0	21.266689313732808	130.2634288955943	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1018_MERGE_2_val_2	mehreen_1018_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	95654776.0	12.4 Gbp	0.0	20-148	54.0	23.889889552701128	130.26956413551164	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1020_MERGE_1_val_1	mehreen_1020_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89483431.0	11.3 Gbp	0.0	20-148	56.0	11.01078404111905	127.07399621277374	142	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1020_MERGE_2_val_2	mehreen_1020_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89483431.0	11.3 Gbp	0.0	20-148	56.0	12.25539148758467	127.07675286836063	142	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
mehreen_1021_MERGE_1_val_1	mehreen_1021_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87159898.0	11.3 Gbp	0.0	20-148	54.0	16.79200375731869	130.42261644225422	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1021_MERGE_2_val_2	mehreen_1021_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87159898.0	11.3 Gbp	0.0	20-148	55.0	18.782586787449326	130.34391522578423	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1023_MERGE_1_val_1	mehreen_1023_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81494478.0	10.6 Gbp	0.0	20-148	59.0	10.072284304671147	130.17396793436728	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1023_MERGE_2_val_2	mehreen_1023_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81494478.0	10.6 Gbp	0.0	20-148	59.0	11.261077514224663	130.1006087921687	147	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
mehreen_1024_MERGE_1_val_1	mehreen_1024_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83152912.0	10.6 Gbp	0.0	20-148	56.0	10.113546797885906	127.90597524714468	142	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1024_MERGE_2_val_2	mehreen_1024_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83152912.0	10.6 Gbp	0.0	20-148	56.0	11.080740548806062	127.7925347220552	142	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
mehreen_1025_MERGE_1_val_1	mehreen_1025_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82132013.0	10.6 Gbp	0.0	20-148	55.0	21.06244275979522	129.82641666167368	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1025_MERGE_2_val_2	mehreen_1025_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82132013.0	10.6 Gbp	0.0	20-148	55.0	23.22510739167924	129.81224971315388	147	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
mehreen_1027_MERGE_1_val_1	mehreen_1027_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	123946304.0	16.1 Gbp	0.0	20-148	59.0	7.66059951849382	130.35129835739193	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1027_MERGE_2_val_2	mehreen_1027_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	123946304.0	16.1 Gbp	0.0	20-148	59.0	8.538851891662203	130.28964137567183	147	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
mehreen_1028_MERGE_1_val_1	mehreen_1028_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86501075.0	11.5 Gbp	0.0	20-148	57.0	17.482082293075806	132.95607378289807	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1028_MERGE_2_val_2	mehreen_1028_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86501075.0	11.5 Gbp	0.0	20-148	57.0	18.946030319520293	132.91097133763944	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1029_MERGE_1_val_1	mehreen_1029_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70592336.0	9.3 Gbp	0.0	20-148	54.0	22.333709129898416	132.5963289697624	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1029_MERGE_2_val_2	mehreen_1029_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70592336.0	9.3 Gbp	0.0	20-148	54.0	24.654991314802153	132.53551507347765	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1030_MERGE_1_val_1	mehreen_1030_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	123592467.0	16.4 Gbp	0.0	20-148	57.0	16.222252219570894	132.3487683840796	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1030_MERGE_2_val_2	mehreen_1030_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	123592467.0	16.4 Gbp	0.0	20-148	57.0	18.11637745424292	132.58286509484432	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
