Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
mehreen_1002_MERGE_1_val_1	(1, 0.16575570707086096)	(2, 0.001019928245363917)	(3, 0.05147479966501515)	(4, 0.11118954594389141)	(5, 0.00048312390569869753)	(6, 0.03565801768040877)	(7, 0.0)	(8, 0.08481034915822527)	(9, 1.5788362931329982e-06)	(10, 0.13047566279902825)	(15, 0.051193135270320225)	(20, 0.03942054302716935)	(25, 0.07495297197561546)	(30, 0.08526978209568936)	(35, 0.04558044367706736)	(40, 0.035496954444896534)	(45, 0.05415870244678204)	(50, 0.07899453736872171)	(55, 0.058204242795330534)	(60, 0.0039012053057710006)	(65, 0.0019688398176049295)	(70, 0.018271546743867863)	(75, 0.009418434959192631)	(80, 0.0010968161482261187)	(85, 0.035723513967107726)	(90, 0.021775881391992807)	(95, 0.024902920002290947)	(100, 0.0006529541229839166)	(105, 0.03456636187551934)	(110, 0.0189216140325368)	(115, 0.052279009675575354)	(120, 0.0177883102503203)	(125, 0.00027606645862886264)	(130, 0.008529674775678786)	(135, 0.04806446072210764)	(140, 0.00946648906246408)	(145, 0.05493010371643695)
mehreen_1002_MERGE_2_val_2	(1, 0.001015191736484518)	(2, 0.00013104341233003886)	(3, 0.00011525504939870889)	(4, 0.00196407234865745)	(5, 0.1627906525123572)	(6, 0.0008541504345849521)	(7, 0.0034102863931672763)	(8, 0.00046891437906050056)	(9, 8.052065094978291e-05)	(10, 0.04334000354827668)	(15, 0.0051053250374748635)	(20, 0.03097984621719163)	(25, 0.03033072709621841)	(30, 0.009297060610849828)	(35, 0.04998810337859995)	(40, 0.002471756729626538)	(45, 0.02744759858832311)	(50, 0.0028969638826704495)	(55, 0.014572093252079707)	(60, 0.0025297837263131137)	(65, 0.01804868493087158)	(70, 0.010108437103241613)	(75, 0.0006387404779236267)	(80, 0.004203985709603702)	(85, 0.0026154303128768487)	(90, 0.018164062233900553)	(95, 0.018947645749342476)	(100, 0.023049108638634637)	(105, 0.071555867491798)	(110, 0.010423071379756833)	(115, 0.04955793023128991)	(120, 0.0005976211468070495)	(125, 0.014621073823151866)	(130, 0.018280703573401464)	(135, 0.02112167170128079)	(140, 0.02653512533654752)	(145, 0.012295751127722054)
mehreen_1003_MERGE_1_val_1	(1, 0.1561330517639667)	(2, 0.0008513898940019581)	(3, 0.04920099573101611)	(4, 0.10359295516174881)	(5, 0.00036821714824979206)	(6, 0.03337484308111895)	(7, 0.0)	(8, 0.08128438452144435)	(9, 0.0)	(10, 0.12159428325813622)	(15, 0.048051439755992374)	(20, 0.037228769666923775)	(25, 0.07503595711073831)	(30, 0.08296887716946237)	(35, 0.04628222668091235)	(40, 0.03568106134639366)	(45, 0.053345639503268816)	(50, 0.07970164055435792)	(55, 0.05725005139968118)	(60, 0.003555733095309918)	(65, 0.0017573216848207995)	(70, 0.018542915722198842)	(75, 0.009418569452648335)	(80, 0.0009814746467822779)	(85, 0.03540292548981684)	(90, 0.021198192214556516)	(95, 0.02401851030289485)	(100, 0.0005962910805844725)	(105, 0.034590412523061616)	(110, 0.018463982762467197)	(115, 0.05289769316974478)	(120, 0.017612079162184192)	(125, 0.00022049706513566124)	(130, 0.008239447658687896)	(135, 0.048058988925613416)	(140, 0.009423883047205341)	(145, 0.05461952883860582)
mehreen_1003_MERGE_2_val_2	(1, 0.0008729440685336534)	(2, 0.00010238232902555194)	(3, 0.00012214032234627247)	(4, 0.001833901016405062)	(5, 0.15922787199047592)	(6, 0.0007454152025544571)	(7, 0.003195406374323805)	(8, 0.0003754018730936904)	(9, 8.082815449385679e-05)	(10, 0.04311661149696077)	(15, 0.005026074264549113)	(20, 0.03070217596642317)	(25, 0.029752695123613615)	(30, 0.008861096455685584)	(35, 0.04976036580696177)	(40, 0.0024274618736475928)	(45, 0.026857334626977546)	(50, 0.0026880551959146525)	(55, 0.014441424786793703)	(60, 0.0023499416423199563)	(65, 0.017745116526870976)	(70, 0.010267593731746278)	(75, 0.0005617877197437787)	(80, 0.003856657064759259)	(85, 0.0024078007778721034)	(90, 0.01831531543197335)	(95, 0.01858025494551847)	(100, 0.022386459850166872)	(105, 0.06877815335848188)	(110, 0.010272048168759821)	(115, 0.04805270894921128)	(120, 0.0005194854854813153)	(125, 0.014567442208850718)	(130, 0.017371874973501646)	(135, 0.020854681468263248)	(140, 0.025754048053083362)	(145, 0.011558848340157066)
mehreen_1004_MERGE_1_val_1	(1, 0.15712820142385492)	(2, 0.0008375052654872062)	(3, 0.05044806022802797)	(4, 0.10402367918185972)	(5, 0.0003896725888030752)	(6, 0.03361798479744739)	(7, 0.0)	(8, 0.07941614599938493)	(9, 2.9080043940527994e-06)	(10, 0.1228154943766683)	(15, 0.04796404287462806)	(20, 0.03753353328670025)	(25, 0.07379406502468988)	(30, 0.083666759149049)	(35, 0.04518862487449883)	(40, 0.03570341529059134)	(45, 0.053389938325077345)	(50, 0.07842770353280827)	(55, 0.05786635684431067)	(60, 0.0036508093089897054)	(65, 0.001772582015230419)	(70, 0.01823120777706883)	(75, 0.009383055755893975)	(80, 0.0010277021259448402)	(85, 0.03551699609470711)	(90, 0.02218336973360772)	(95, 0.02460034360734145)	(100, 0.0006258217032212252)	(105, 0.034368354804792674)	(110, 0.01878921370739335)	(115, 0.05168769556640546)	(120, 0.017881277704101778)	(125, 0.0002532198897676345)	(130, 0.008215564582480982)	(135, 0.04760222012208629)	(140, 0.009698325958287886)	(145, 0.055709876086529414)
mehreen_1004_MERGE_2_val_2	(1, 0.0009218373929147374)	(2, 9.451014280671598e-05)	(3, 0.0001366762065204816)	(4, 0.001986167001138062)	(5, 0.15967997527963623)	(6, 0.000782253182000203)	(7, 0.003098478681863258)	(8, 0.00041148262175847117)	(9, 9.451014280671598e-05)	(10, 0.042914293244355375)	(15, 0.005050331231151497)	(20, 0.03146783907885713)	(25, 0.029723534267126997)	(30, 0.009113216959093133)	(35, 0.04895698402538353)	(40, 0.002491229277423955)	(45, 0.02746239335227425)	(50, 0.002792732380607298)	(55, 0.014627960148702214)	(60, 0.002403829321103952)	(65, 0.018382980597468495)	(70, 0.009914773978720903)	(75, 0.0005931055354597295)	(80, 0.00395792256951533)	(85, 0.002448993297859073)	(90, 0.018343386478660097)	(95, 0.019029731561319208)	(100, 0.02261120045711624)	(105, 0.06889207140280498)	(110, 0.010432635491844679)	(115, 0.04836027491502703)	(120, 0.0005483452429386901)	(125, 0.014907819917637892)	(130, 0.017898610831154793)	(135, 0.02108828071643424)	(140, 0.025793185176615916)	(145, 0.012145823295601333)
mehreen_1005_MERGE_1_val_1	(1, 0.1628555775214966)	(2, 0.001205483578424004)	(3, 0.051234511506238596)	(4, 0.11050022898350298)	(5, 0.0004626371602426262)	(6, 0.0353676622754568)	(7, 0.0)	(8, 0.08497637631636326)	(9, 2.918846436861995e-06)	(10, 0.12789684563184414)	(15, 0.051836377641519535)	(20, 0.038640148400587715)	(25, 0.0761274338743611)	(30, 0.08462169135417587)	(35, 0.04807345959918774)	(40, 0.03568405753134751)	(45, 0.05358050691394312)	(50, 0.08309526112736768)	(55, 0.05875551264743775)	(60, 0.0038108770103940314)	(65, 0.0018938176193569348)	(70, 0.019330510135145775)	(75, 0.009418962680022513)	(80, 0.0010127478585615012)	(85, 0.03574308172444843)	(90, 0.020855225716688307)	(95, 0.023751312389274314)	(100, 0.0006574731983910735)	(105, 0.03461624558624439)	(110, 0.018537500383822746)	(115, 0.05425960840745414)	(120, 0.01754271797051665)	(125, 0.00023838358892041265)	(130, 0.008250859523189418)	(135, 0.05064691615843385)	(140, 0.009167815238935784)	(145, 0.054005803567825035)
mehreen_1005_MERGE_2_val_2	(1, 0.0009281931669221143)	(2, 0.0001240509735666348)	(3, 0.00012113212712977279)	(4, 0.0018709805660285387)	(5, 0.1618821422348031)	(6, 0.0009792729795671993)	(7, 0.0036266666978010285)	(8, 0.0004042602315053863)	(9, 0.0001152944342560488)	(10, 0.04320213799663807)	(15, 0.00499210306096507)	(20, 0.03018224777650328)	(25, 0.02987581896739728)	(30, 0.009035189501843092)	(35, 0.050776554727678995)	(40, 0.0024821474478791726)	(45, 0.026610109196767238)	(50, 0.0028772002025820014)	(55, 0.014352964227645686)	(60, 0.002504046248253541)	(65, 0.0175551019043143)	(70, 0.011157645723038356)	(75, 0.0006020677876269686)	(80, 0.004173838418525788)	(85, 0.002592515370688912)	(90, 0.01856101419496821)	(95, 0.01845463178705071)	(100, 0.022832749665832913)	(105, 0.07145580124965832)	(110, 0.010245666869598562)	(115, 0.04839000689413429)	(120, 0.0005869809945592304)	(125, 0.014348083138460258)	(130, 0.01618887200445006)	(135, 0.020531407857534816)	(140, 0.026180896779775448)	(145, 0.01086655002302961)
mehreen_1006_MERGE_1_val_1	(1, 0.16914704621871132)	(2, 0.0010790756327604411)	(3, 0.05297950831491821)	(4, 0.11361993608016564)	(5, 0.00041015224890294947)	(6, 0.03625383600713137)	(7, 0.0)	(8, 0.08641920822941893)	(9, 2.5877113495454225e-06)	(10, 0.13304226238531378)	(15, 0.05156403020671686)	(20, 0.040078588784823156)	(25, 0.07450378764820587)	(30, 0.08580891408933816)	(35, 0.045278180869407)	(40, 0.03565269360277984)	(45, 0.054466116229999126)	(50, 0.07805142324639042)	(55, 0.05805828352730697)	(60, 0.003927602131646268)	(65, 0.0019118169061671053)	(70, 0.018257009972560637)	(75, 0.009331136647240636)	(80, 0.0010655336511241217)	(85, 0.036045961898109595)	(90, 0.021934272936109146)	(95, 0.025433577682686625)	(100, 0.0006634557449667504)	(105, 0.035102945824418176)	(110, 0.01941551055167597)	(115, 0.05179336403346435)	(120, 0.017984545466464354)	(125, 0.00028658352517576364)	(130, 0.008824465718203065)	(135, 0.046794483289009994)	(140, 0.00982517575884322)	(145, 0.058439591578155314)
mehreen_1006_MERGE_2_val_2	(1, 0.0009897995912011243)	(2, 0.00012938556747727113)	(3, 0.00012162243342863487)	(4, 0.0020028885845481573)	(5, 0.16419675440703094)	(6, 0.0009380453642102156)	(7, 0.003490822610536775)	(8, 0.00044896791914613083)	(9, 0.0001022145983070442)	(10, 0.043247125929277874)	(15, 0.00507657212553821)	(20, 0.03134186632476751)	(25, 0.030207397101446154)	(30, 0.009264929255521246)	(35, 0.05007732571543008)	(40, 0.0025638390700929293)	(45, 0.02794848614556744)	(50, 0.0029350175212115087)	(55, 0.014392571935385241)	(60, 0.0025466637336648505)	(65, 0.018409460635284137)	(70, 0.009795717445426249)	(75, 0.0006390191038298767)	(80, 0.004251874247072872)	(85, 0.0026711186212195607)	(90, 0.018254125989589597)	(95, 0.01879580083081254)	(100, 0.02311669489218757)	(105, 0.07246023187770065)	(110, 0.010975952676256428)	(115, 0.05041877992777565)	(120, 0.0006521320153299966)	(125, 0.014917484095017442)	(130, 0.018934771740525404)	(135, 0.02137024837095832)	(140, 0.027814264212141296)	(145, 0.013506285489793882)
mehreen_1007_MERGE_1_val_1	(1, 0.16367512076654278)	(2, 0.0010092600939265873)	(3, 0.052647672780555745)	(4, 0.11015075270299649)	(5, 0.00039769443280819996)	(6, 0.035493786245428725)	(7, 0.0)	(8, 0.08435717555646288)	(9, 1.7675308124808885e-06)	(10, 0.12902161866936745)	(15, 0.05099644549553611)	(20, 0.0388507915221246)	(25, 0.07533739636268426)	(30, 0.08509447641459932)	(35, 0.04653202501489628)	(40, 0.036130426894297685)	(45, 0.054085861680448453)	(50, 0.0806909200660343)	(55, 0.05872933980979851)	(60, 0.0038093128454986225)	(65, 0.0018067416380928426)	(70, 0.018735590231371065)	(75, 0.0094688608653973)	(80, 0.0010144920767686948)	(85, 0.035759568211279645)	(90, 0.021390733344793834)	(95, 0.02426045195315883)	(100, 0.0006203946199378558)	(105, 0.03461033661107883)	(110, 0.018805952459361404)	(115, 0.05326430490191881)	(120, 0.017822811413289417)	(125, 0.00022727099096254264)	(130, 0.00830715108800736)	(135, 0.04897830899977226)	(140, 0.009473003452596584)	(145, 0.053531929834253394)
mehreen_1007_MERGE_2_val_2	(1, 0.0009049757759902149)	(2, 0.00011135444118629598)	(3, 0.00014493752662343286)	(4, 0.001873582661229742)	(5, 0.16242017388968133)	(6, 0.0008236693586160941)	(7, 0.0032858397804019722)	(8, 0.00045072035718262657)	(9, 0.00010074925631141065)	(10, 0.04324122730269495)	(15, 0.0049572169166839)	(20, 0.03073379018936022)	(25, 0.030009944663414858)	(30, 0.009283571469631371)	(35, 0.05043492495846117)	(40, 0.002467341205206136)	(45, 0.026915273951804878)	(50, 0.0028380557051698)	(55, 0.014568986257578227)	(60, 0.002385643355360906)	(65, 0.01786426561744597)	(70, 0.010364755925223108)	(75, 0.00056185327673987)	(80, 0.004038994345793465)	(85, 0.0024395491900927723)	(90, 0.01844223645375908)	(95, 0.01866083837529495)	(100, 0.022910652572020827)	(105, 0.07109446646187968)	(110, 0.01032768727551236)	(115, 0.04941490745424111)	(120, 0.0005670248421183584)	(125, 0.014498781359516617)	(130, 0.017154982680510963)	(135, 0.020902243132950065)	(140, 0.02612809117517327)	(145, 0.011264943920314786)
mehreen_1009_MERGE_1_val_1	(1, 0.16584042962626896)	(2, 0.000995307653291397)	(3, 0.05203126871777357)	(4, 0.11083853076787795)	(5, 0.00041927812795501874)	(6, 0.03624143283521223)	(7, 0.0)	(8, 0.0841512867633003)	(9, 5.097606418906003e-06)	(10, 0.12968081337408022)	(15, 0.05089985497309738)	(20, 0.039344156759942794)	(25, 0.07487203849105775)	(30, 0.08514655282638528)	(35, 0.04572296903034638)	(40, 0.035688405452582256)	(45, 0.05395717308876019)	(50, 0.07889000585834109)	(55, 0.05864339032527483)	(60, 0.0038124987834144315)	(65, 0.001879284901187354)	(70, 0.01849780984355494)	(75, 0.009355950748321722)	(80, 0.0010727919645099953)	(85, 0.036025346186169094)	(90, 0.021842154060744717)	(95, 0.02486750472655199)	(100, 0.0006371299756405599)	(105, 0.03467221870139599)	(110, 0.01898783321638305)	(115, 0.05215941152339991)	(120, 0.017752871049925702)	(125, 0.00024686031455341793)	(130, 0.008410323099276903)	(135, 0.04778693524888664)	(140, 0.009597417596727612)	(145, 0.05530288735116756)
mehreen_1009_MERGE_2_val_2	(1, 0.000951977998730696)	(2, 0.00015165379096245357)	(3, 0.00011597054603011155)	(4, 0.0019791456921402556)	(5, 0.1613558103792364)	(6, 0.000867867492818747)	(7, 0.0034243171119001073)	(8, 0.0004281989391881042)	(9, 8.920811233085506e-05)	(10, 0.04331461662176525)	(15, 0.004982910274480617)	(20, 0.031084318557411086)	(25, 0.029893755743179793)	(30, 0.009349274572913556)	(35, 0.049891728297773365)	(40, 0.002532180619059754)	(45, 0.027420296329375746)	(50, 0.002883202044929817)	(55, 0.01450292583275569)	(60, 0.002471251671107886)	(65, 0.018363347759471228)	(70, 0.010157908972995303)	(75, 0.0006102661865292561)	(80, 0.004174952991583791)	(85, 0.0025086802237072846)	(90, 0.018185359069965604)	(95, 0.018737284682885002)	(100, 0.023008372438563306)	(105, 0.07131445668692755)	(110, 0.010456240964993433)	(115, 0.04964739894529108)	(120, 0.0005509997842993862)	(125, 0.014807422773296488)	(130, 0.018179813253424156)	(135, 0.02111824505971824)	(140, 0.026443491187699078)	(145, 0.01228120667008567)
mehreen_1011_MERGE_1_val_1	(1, 0.16119799562495235)	(2, 0.0009854847447332555)	(3, 0.05187894465685384)	(4, 0.10817624486351325)	(5, 0.0004022083822631209)	(6, 0.035122735668844114)	(7, 0.0)	(8, 0.08211432902388077)	(9, 4.452491316565914e-06)	(10, 0.12752795945632647)	(15, 0.04970969088742293)	(20, 0.038513593930497685)	(25, 0.07450175636417745)	(30, 0.08520361509331986)	(35, 0.045688731777162025)	(40, 0.03567384929644736)	(45, 0.05380163359010494)	(50, 0.07867165801182399)	(55, 0.05821226240721972)	(60, 0.0037886232523662708)	(65, 0.0017910010056877276)	(70, 0.01876161560333067)	(75, 0.009411637961809478)	(80, 0.0010268775686104949)	(85, 0.035904140568525)	(90, 0.022053708929813547)	(95, 0.02493484667142354)	(100, 0.000593763571519709)	(105, 0.03453208581592856)	(110, 0.019000152226738908)	(115, 0.05220322540954837)	(120, 0.018006938649098417)	(125, 0.000215560874621625)	(130, 0.008381942692449592)	(135, 0.04741280122515854)	(140, 0.009620661948991983)	(145, 0.056416129687679235)
mehreen_1011_MERGE_2_val_2	(1, 0.0008786249531356737)	(2, 9.498648142007283e-05)	(3, 0.00013654306704135468)	(4, 0.001968001161922134)	(5, 0.1625085122357949)	(6, 0.0007227877570558667)	(7, 0.003275549445220324)	(8, 0.00039627172717436636)	(9, 7.272402483724327e-05)	(10, 0.04331116403276327)	(15, 0.005006381236346714)	(20, 0.031280324922323015)	(25, 0.029886633774360235)	(30, 0.009195689992619896)	(35, 0.049511491977647974)	(40, 0.0024787688356074206)	(45, 0.027136817234522867)	(50, 0.0027809506491632136)	(55, 0.014535566332310379)	(60, 0.002464904217834094)	(65, 0.01826493368311687)	(70, 0.009974235210720175)	(75, 0.0005858607926037392)	(80, 0.004047875273113084)	(85, 0.0024519632734603313)	(90, 0.01838690873412472)	(95, 0.018823321527266713)	(100, 0.022921789400439357)	(105, 0.07017584176355357)	(110, 0.010688176981046052)	(115, 0.04926046385701918)	(120, 0.0005760401721910794)	(125, 0.014860745774534551)	(130, 0.017967333471467707)	(135, 0.021292714383055703)	(140, 0.026252021123119987)	(145, 0.01222914626625826)
mehreen_1014_MERGE_1_val_1	(1, 0.15356430282074338)	(2, 0.0007562463153986357)	(3, 0.04730034727321047)	(4, 0.10155398449796735)	(5, 0.00034952560795735264)	(6, 0.03265567822915837)	(7, 0.0)	(8, 0.07847258435067453)	(9, 2.723576165901449e-06)	(10, 0.11893439501479523)	(15, 0.047003840614616)	(20, 0.037082777062170245)	(25, 0.07413903141029457)	(30, 0.08236001081602076)	(35, 0.04506461596130822)	(40, 0.03549742340558877)	(45, 0.052763038066793964)	(50, 0.0776042549024545)	(55, 0.05664634840856117)	(60, 0.0035689334625453035)	(65, 0.001768898627539247)	(70, 0.01847700691585507)	(75, 0.009439458913731604)	(80, 0.0009951588302463078)	(85, 0.035404895813173555)	(90, 0.021949991601097063)	(95, 0.024312219567321217)	(100, 0.0006229146581805341)	(105, 0.03444870927292311)	(110, 0.018546183694013396)	(115, 0.05171433339485489)	(120, 0.01781786532158186)	(125, 0.0002463844399356341)	(130, 0.008168651852402313)	(135, 0.046982696618135485)	(140, 0.009827406899764853)	(145, 0.05758504825274605)
mehreen_1014_MERGE_2_val_2	(1, 0.000939633777236)	(2, 0.00011529805768982802)	(3, 0.00011166662280195942)	(4, 0.0018774518370280656)	(5, 0.1590486773601469)	(6, 0.0008061785451068289)	(7, 0.002952356563837171)	(8, 0.0003540649015671884)	(9, 9.623302452851786e-05)	(10, 0.04306228118732342)	(15, 0.004988683677209487)	(20, 0.03119735397711193)	(25, 0.0299648444500422)	(30, 0.008905744184974126)	(35, 0.04894707447746439)	(40, 0.002435081908584234)	(45, 0.027607615511976203)	(50, 0.0027142948871796573)	(55, 0.01459325270691165)	(60, 0.0023520992313722042)	(65, 0.01824053049307458)	(70, 0.009669792694532955)	(75, 0.0005874638311961756)	(80, 0.0039009729979117423)	(85, 0.0024258464688521643)	(90, 0.018315830017627273)	(95, 0.018980149931620317)	(100, 0.02248684908806525)	(105, 0.06824329316002811)	(110, 0.010570990830857586)	(115, 0.04824877093364773)	(120, 0.0005611573018632232)	(125, 0.014691025861450909)	(130, 0.018260270870268352)	(135, 0.020936808988475823)	(140, 0.02640159652917673)	(145, 0.012581555280179386)
mehreen_1015_MERGE_1_val_1	(1, 0.1543781301882763)	(2, 0.0009095629619934002)	(3, 0.04909218081551954)	(4, 0.10155620302564775)	(5, 0.00036059596718081554)	(6, 0.033285160582533634)	(7, 0.0)	(8, 0.08012630761785353)	(9, 2.6910146804538475e-06)	(10, 0.12052758742137931)	(15, 0.047734563909230567)	(20, 0.036631459196084445)	(25, 0.07426695467943094)	(30, 0.08278273077782548)	(35, 0.04560428035372181)	(40, 0.035189363837492466)	(45, 0.0526779319971171)	(50, 0.07942961427530092)	(55, 0.05671113859928782)	(60, 0.003625916056562169)	(65, 0.0017864057574784615)	(70, 0.018664677535661096)	(75, 0.009255258642283234)	(80, 0.0010042297782848356)	(85, 0.03528588969042708)	(90, 0.02113062850147896)	(95, 0.02381651617695383)	(100, 0.000578399481470157)	(105, 0.0342088008217734)	(110, 0.018368123724013412)	(115, 0.0529935591418189)	(120, 0.017742446755190443)	(125, 0.00023588959580353442)	(130, 0.008152333038196772)	(135, 0.04874383369298916)	(140, 0.009407880901779976)	(145, 0.054756909700910496)
mehreen_1015_MERGE_2_val_2	(1, 0.0009216725280554427)	(2, 0.00011167710923883466)	(3, 0.00016953392486859236)	(4, 0.001831235490048843)	(5, 0.1573772660496421)	(6, 0.0008584336830647773)	(7, 0.0033395492184432243)	(8, 0.0004144162607898924)	(9, 9.822203583656543e-05)	(10, 0.04294321227068249)	(15, 0.00495550353405576)	(20, 0.030748033955314023)	(25, 0.02949463440435186)	(30, 0.008854708526182498)	(35, 0.049327512629690595)	(40, 0.002391039986636629)	(45, 0.027073422378144113)	(50, 0.002707604955918352)	(55, 0.01435222378231689)	(60, 0.0023636534808426173)	(65, 0.017621987936066)	(70, 0.010396513325531022)	(75, 0.000564633920596311)	(80, 0.003923819941335873)	(85, 0.00238220190139844)	(90, 0.01820507740083822)	(95, 0.01856719778179279)	(100, 0.022612259339963407)	(105, 0.06866182483528586)	(110, 0.010496926789593875)	(115, 0.04777252434886349)	(120, 0.000519366104987815)	(125, 0.014459581871737829)	(130, 0.017788888992679112)	(135, 0.02101452890673773)	(140, 0.02621727918626588)	(145, 0.011975050907586242)
mehreen_1016_MERGE_1_val_1	(1, 0.16256547485254458)	(2, 0.0009572000653727762)	(3, 0.051346803923439426)	(4, 0.10941793830612262)	(5, 0.00040082752737485)	(6, 0.035215988655105286)	(7, 0.0)	(8, 0.08211879185837133)	(9, 4.985417007149876e-06)	(10, 0.1278605911490123)	(15, 0.04979813398433839)	(20, 0.03884860440182367)	(25, 0.07463486535116565)	(30, 0.08491748190873454)	(35, 0.045071887638947976)	(40, 0.03563861672119195)	(45, 0.05380780853387827)	(50, 0.07859465366598596)	(55, 0.058252806946620224)	(60, 0.003823222905567641)	(65, 0.0018299560019060352)	(70, 0.018782965501692256)	(75, 0.009443415806283667)	(80, 0.0010380879332707125)	(85, 0.035805831566713256)	(90, 0.022028119102298196)	(95, 0.024893254850542678)	(100, 0.0006320885140635752)	(105, 0.03466589910629826)	(110, 0.01891708425728769)	(115, 0.051567836462496595)	(120, 0.01806563343201696)	(125, 0.000241940840561537)	(130, 0.00848030505986668)	(135, 0.04761721442286154)	(140, 0.009677073096787744)	(145, 0.05662840223447085)
mehreen_1016_MERGE_2_val_2	(1, 0.0009851184006128154)	(2, 0.00011267042436158719)	(3, 0.00013959167620019653)	(4, 0.0019851930522470805)	(5, 0.16276987694983772)	(6, 0.0008076375551582797)	(7, 0.003311313976148948)	(8, 0.0004427050302349089)	(9, 9.871125674156755e-05)	(10, 0.043339825376596156)	(15, 0.005055811095290832)	(20, 0.031296056218022464)	(25, 0.0298768830705025)	(30, 0.009276293207878069)	(35, 0.04934598818407685)	(40, 0.0024724514409207726)	(45, 0.02757272733905014)	(50, 0.002825853753822452)	(55, 0.014588098822036516)	(60, 0.0024653752672292883)	(65, 0.018218776734032573)	(70, 0.009950798504650098)	(75, 0.0006020273011294128)	(80, 0.0039912798871618105)	(85, 0.0024237559099143176)	(90, 0.01840324474248841)	(95, 0.018952188777448458)	(100, 0.022951019258610664)	(105, 0.07057254480535188)	(110, 0.010560793401100423)	(115, 0.04974881084334274)	(120, 0.0005961903075514266)	(125, 0.014859006274616681)	(130, 0.01843900052538095)	(135, 0.021041987576317683)	(140, 0.026794195478808062)	(145, 0.012639692544649766)
