GeneID,Description,Pattern,log2FC_50,padj_50,Direction_50,log2FC_83,padj_83,Direction_83,GeneType,Source
LOC126271434,23 kDa integral membrane protein-like,Up_NA,5.20880753360942,0.0205509965519271,Up,NA,NA,NA,protein_coding,File1
LOC126272587,facilitated trehalose transporter Tret1-2 homolog,Up_Up,1.20721661498136,0.00394427557241033,Up,1.09261785946798,0.0134747165302905,Up,protein_coding,File1
LOC126335044,cytochrome P450 6k1-like,Up_NA,1.16385389612768,0.0328253430809116,Up,NA,NA,NA,protein_coding,File1
LOC126356147,luciferin sulfotransferase-like,Up_NA,1.07724327226709,0.0121444183984718,Up,NA,NA,NA,protein_coding,File1
LOC126356047,allantoicase-like,Up_Up,3.60925177789599,0.00331133396106363,Up,7.07614098425827,1.4415502604707398e-11,Up,protein_coding,File1
LOC126272465,vesicular glutamate transporter 1-like,Up_Up,4.25335812781691,2.24599298103269e-7,Up,6.1450607830358,7.33660704926172e-12,Up,protein_coding,File1
LOC126278052,phosphoenolpyruvate carboxykinase [GTP]-like,Down_Down,-1.67075208395922,0.0265881847884999,Down,-6.84476371997924,7.802445011552069e-43,Down,protein_coding,File1
LOC126304687,S-adenosylmethionine decarboxylase proenzyme-like,Up_NA,2.35329818994927,0.0372405911015298,Up,NA,NA,NA,protein_coding,File1
LOC126304746,protein aubergine-like,Up_NA,3.40295183649901,0.0013731408902629,Up,NA,NA,NA,protein_coding,File1
LOC126304743,uncharacterized LOC126304743,Up_NA,2.77838752064482,0.00564723212577234,Up,NA,NA,NA,protein_coding,File1
LOC126304754,LIM domain-containing protein B-like,Up_NA,2.77272032579851,0.022837969385687,Up,NA,NA,NA,protein_coding,File1
LOC126304762,branchpoint-bridging protein-like,Up_NA,2.52501431685484,0.0405285627311257,Up,NA,NA,NA,protein_coding,File1
LOC126304766,actin-related protein 2/3 complex subunit 5-like,Up_NA,2.95058381674363,0.0141568517178185,Up,NA,NA,NA,protein_coding,File1
LOC126304718,protein phosphatase 2A scaffold subunit-like,Up_NA,2.36507634803381,0.0229925814242662,Up,NA,NA,NA,protein_coding,File1
LOC126304696,cysteinylglycine-S-conjugate dipeptidase-like,Up_NA,2.24228636298387,0.0367536693794253,Up,NA,NA,NA,protein_coding,File1
LOC126304732,phosphatidate phosphatase LPIN3-like,Up_NA,2.38388933576501,0.0333538587987908,Up,NA,NA,NA,protein_coding,File1
LOC126304660,tetratricopeptide repeat protein 1-like,Up_NA,2.67463763870583,0.0393080248632908,Up,NA,NA,NA,protein_coding,File1
LOC126304653,cyclic GMP-binding protein C-like,Up_NA,3.73383226664594,1.38884965260192e-5,Up,NA,NA,NA,protein_coding,File1
LOC126304709,phosphatidylinositol-glycan biosynthesis class W protein-like,Up_NA,2.68137354769911,0.013534790677526,Up,NA,NA,NA,protein_coding,File1
LOC126304714,BCAS3 microtubule associated cell migration factor-like,Up_NA,2.93659394844058,0.00621816077516657,Up,NA,NA,NA,protein_coding,File1
LOC126304737,nuclear pore complex protein Nup205-like,Up_NA,3.00176687621407,0.00624286474991313,Up,NA,NA,NA,protein_coding,File1
LOC126304666,uncharacterized LOC126304666,Up_NA,2.6216020538901,0.00630055387263013,Up,NA,NA,NA,protein_coding,File1
LOC126304715,chromodomain-helicase-DNA-binding protein 8-like,Up_NA,2.79711642672446,0.0198005801236597,Up,NA,NA,NA,protein_coding,File1
LOC126304652,rho-related protein racB-like,Up_NA,3.28468941566463,0.00277238865053272,Up,NA,NA,NA,protein_coding,File1
LOC126304702,60S ribosomal protein L34-like,Up_NA,2.67213564240589,0.00606128419865988,Up,NA,NA,NA,protein_coding,File1
LOC126304739,uncharacterized LOC126304739,Up_NA,2.69550621315261,0.0251833833089554,Up,NA,NA,NA,protein_coding,File1
LOC126305013,SNW domain-containing protein 1-like,Up_NA,2.8740089047218502,0.00507984584264322,Up,NA,NA,NA,protein_coding,File1
LOC126305010,RNA-binding protein 5-like,Up_NA,3.33612034940699,0.00380630492278933,Up,NA,NA,NA,protein_coding,File1
LOC126305012,ras GTPase-activating-like protein rgaA,Up_NA,3.06809598489528,0.00263243349650806,Up,NA,NA,NA,protein_coding,File1
LOC126305017,uncharacterized LOC126305017,Up_NA,2.4949790046821,0.0333954438262346,Up,NA,NA,NA,protein_coding,File1
LOC126304973,uncharacterized LOC126304973,Up_NA,2.92026609828374,0.00321399031599182,Up,NA,NA,NA,protein_coding,File1
LOC126304974,rasGAP-activating-like protein 1,Up_NA,3.06846365807599,0.00688282506453424,Up,NA,NA,NA,protein_coding,File1
LOC126304982,probable serine/threonine-protein kinase kinX,Up_NA,3.10802181744537,0.00381364434050152,Up,NA,NA,NA,protein_coding,File1
LOC126304984,receptor of activated protein C kinase 1-like,Up_NA,3.03547585598164,0.00417586711274582,Up,NA,NA,NA,protein_coding,File1
LOC126304989,uncharacterized LOC126304989,Up_NA,2.66093379123314,0.0405951760357052,Up,NA,NA,NA,protein_coding,File1
LOC126304985,hapless 2-like,Up_NA,2.62776050345259,0.0131986217054495,Up,NA,NA,NA,protein_coding,File1
LOC126305008,probable mitochondrial 2-oxodicarboxylate carrier,Up_NA,2.29149830021287,0.0471502605240094,Up,NA,NA,NA,protein_coding,File1
LOC126311252,uncharacterized LOC126311252,Up_NA,2.54475995133114,0.0182983291260779,Up,NA,NA,NA,protein_coding,File1
LOC126311192,2-hydroxyacid dehydrogenase homolog,Up_NA,3.5516838725981,8.8641192168399e-4,Up,NA,NA,NA,protein_coding,File1
LOC126311208,uncharacterized LOC126311208,Up_NA,2.69354592290056,0.0343663539164877,Up,NA,NA,NA,protein_coding,File1
