"contrast","direction","n_significant_genes"
"33_vs_50","Higher in first diet",19
"33_vs_83","Higher in first diet",54
"50_vs_83","Higher in first diet",2
"33_vs_50","Higher in second diet",1695
"33_vs_83","Higher in second diet",1587
"50_vs_83","Higher in second diet",15
