"set","n_genes"
"all_infection_within_diet_results",2371
"DESeq2_infected_vs_control_diet_50",1735
"all_model_coefficients",1733
"DESeq2_infected_vs_control_diet_33",1124
"DESeq2_infected_vs_control_diet_83",657
"all_diet_pairwise_results",375
"DESeq2_33_vs_83",313
"interaction_coefficients",87
"DESeq2_33_vs_50",62
"DESeq2_50_vs_83",43
