"ID","Description","set","p.adjust","Count"
"GO:0044421","GO:0044421","All infection DEGs",7.80643864880636e-10,53
"GO:0005887","GO:0005887","All infection DEGs",1.26241890034028e-05,50
"GO:0044106","GO:0044106","All infection DEGs",1.26241890034028e-05,11
"GO:0031226","GO:0031226","All infection DEGs",3.10602694558628e-05,50
"GO:0042133","GO:0042133","All infection DEGs",0.000139581053737286,10
"GO:0055114","GO:0055114","All infection DEGs",0.00038210258480604,53
"GO:0008514","GO:0008514","All infection DEGs",0.000792090936193529,24
"GO:0044459","GO:0044459","All infection DEGs",0.00225089338628718,66
"GO:0097164","GO:0097164","All infection DEGs",0.00319701571201701,8
"GO:1901044","GO:1901044","All infection DEGs",0.00385346613465216,12
"GO:0006732","GO:0006732","All infection DEGs",0.00604568327443144,19
"GO:1901617","GO:1901617","All infection DEGs",0.00735811483037057,11
"GO:0017144","GO:0017144","All infection DEGs",0.00805626259733023,31
"GO:1901565","GO:1901565","All infection DEGs",0.00865285296457269,49
"GO:1901575","GO:1901575","All infection DEGs",0.024583655413726,67
"GO:0042737","GO:0042737","All infection DEGs",0.025927328513637,9
"GO:0051188","GO:0051188","All infection DEGs",0.0306534577348594,15
"GO:1903825","GO:1903825","All infection DEGs",0.0306534577348594,15
"GO:0051186","GO:0051186","All infection DEGs",0.0367577474027994,23
"GO:0009069","GO:0009069","All infection DEGs",0.0459775591035302,5
"GO:0015318","GO:0015318","All infection DEGs",0.0522136388231563,36
"GO:1901071","GO:1901071","All infection DEGs",0.0597643982747648,8
"GO:0009108","GO:0009108","All infection DEGs",0.0597944811535923,12
"GO:0015248","GO:0015248","All infection DEGs",0.0659116422511814,5
"GO:0017127","GO:0017127","All infection DEGs",0.0659116422511814,5
"GO:0035383","GO:0035383","All infection DEGs",0.07548822824821,7
"GO:0010942","GO:0010942","All infection DEGs",0.0840029797465617,20
"GO:1901615","GO:1901615","All infection DEGs",0.0906620968062844,16
"GO:0005342","GO:0005342","All infection DEGs",0.0906620968062844,13
"GO:0001505","GO:0001505","All infection DEGs",0.0998273591044323,19
"GO:0044421","GO:0044421","Diet 33",6.30986336683061e-06,29
"GO:0005887","GO:0005887","Diet 33",0.0169567477781381,24
"GO:1901044","GO:1901044","Diet 33",0.0169567477781381,8
"GO:0031226","GO:0031226","Diet 33",0.0209764983504931,24
"GO:0044459","GO:0044459","Diet 33",0.0412171998887828,33
"GO:0055114","GO:0055114","Diet 33",0.0508583918650137,25
"GO:0010259","GO:0010259","Diet 33",0.0841892322049474,14
"GO:1901565","GO:1901565","Diet 33",0.0846366268539479,25
"GO:0007568","GO:0007568","Diet 33",0.0978297990912909,14
"GO:0044421","GO:0044421","Diet 50",1.29576038621242e-06,38
"GO:0005887","GO:0005887","Diet 50",1.88511019284818e-06,42
"GO:0031226","GO:0031226","Diet 50",3.03116638992237e-06,42
"GO:0044459","GO:0044459","Diet 50",0.000122690248697512,55
"GO:1901044","GO:1901044","Diet 50",0.000207008399721645,12
"GO:0097164","GO:0097164","Diet 50",0.00229885798667134,7
"GO:0008514","GO:0008514","Diet 50",0.00257741256222635,18
"GO:1901565","GO:1901565","Diet 50",0.00322785439536265,39
"GO:0044106","GO:0044106","Diet 50",0.00327027093307657,7
"GO:0042133","GO:0042133","Diet 50",0.0208386115226515,6
"GO:0071310","GO:0071310","Diet 50",0.0208386115226515,26
"GO:1901575","GO:1901575","Diet 50",0.0250219777054121,50
"GO:0010942","GO:0010942","Diet 50",0.0340399386625922,17
"GO:1901617","GO:1901617","Diet 50",0.0359066880954493,8
"GO:0010259","GO:0010259","Diet 50",0.0692019545024047,18
"GO:0015318","GO:0015318","Diet 50",0.070041543674609,27
"GO:0055114","GO:0055114","Diet 50",0.0703446852340699,32
"GO:0017144","GO:0017144","Diet 50",0.0703446852340699,21
"GO:1903827","GO:1903827","Diet 50",0.0703446852340699,12
"GO:1903825","GO:1903825","Diet 50",0.075376340394418,11
"GO:0007568","GO:0007568","Diet 50",0.0800163084399798,18
"GO:0006732","GO:0006732","Diet 50",0.0960618226066838,12
"GO:0044106","GO:0044106","Diet 83",1.66108129175419e-05,9
"GO:0044421","GO:0044421","Diet 83",0.00021663494190469,27
"GO:0008514","GO:0008514","Diet 83",0.0208502343761751,14
"GO:0097164","GO:0097164","Diet 83",0.0672586550050995,5
"GO:0005887","GO:0005887","Diet 83",0.0699989569044961,23
"GO:0042133","GO:0042133","Diet 83",0.0792352701073624,5
"GO:0031226","GO:0031226","Diet 83",0.0904096429822529,23
