"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","family","comparison","direction","plot_label","n_genes","source_file","pathway_theme","pathway_scope"
"GO:1900181","negative regulation of protein localization to nucleus","8/154","35/5278",0.228571428571429,7.83376623376623,7.03159030813221,5.27718304581011e-06,0.000826406864973863,0.000826406864973863,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:1904590","negative regulation of protein import","8/154","35/5278",0.228571428571429,7.83376623376623,7.03159030813221,5.27718304581011e-06,0.000826406864973863,0.000826406864973863,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0051051","negative regulation of transport","10/154","59/5278",0.169491525423729,5.80893682588598,6.43918312482221,6.13730976119562e-06,0.00090128240801113,0.00090128240801113,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126335605/LOC126294955/LOC126278382/LOC126292145/LOC126278128",10,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0051788","response to misfolded protein","8/154","36/5278",0.222222222222222,7.61616161616162,6.90491273742018,6.61861283022222e-06,0.00090128240801113,0.00090128240801113,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0071218","cellular response to misfolded protein","8/154","36/5278",0.222222222222222,7.61616161616162,6.90491273742018,6.61861283022222e-06,0.00090128240801113,0.00090128240801113,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:1901565","GO:1901565","23/154","288/5278",0.0798611111111111,2.73705808080808,5.25544696670542,7.86307596764796e-06,0.000992296655690822,0.000992296655690822,"LOC126267343/LOC126267478/LOC126334613/LOC126294945/LOC126295191/LOC126295040/LOC126356122/LOC126285462/LOC126293188/LOC126268068/LOC126346580/LOC126294949/LOC126354995/LOC126267215/LOC126266748/LOC126354914/LOC126295425/LOC126346021/LOC126294955/LOC126354672/LOC126292145/LOC126278128/LOC126267216",23,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0046823","negative regulation of nucleocytoplasmic transport","8/154","37/5278",0.216216216216216,7.41031941031941,6.78301533673683,8.23745627329546e-06,0.000992296655690822,0.000992296655690822,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0090317","negative regulation of intracellular protein transport","8/154","37/5278",0.216216216216216,7.41031941031941,6.78301533673683,8.23745627329546e-06,0.000992296655690822,0.000992296655690822,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0006515","protein quality control for misfolded or incompletely synthesized proteins","8/154","38/5278",0.210526315789474,7.21531100478469,6.66558647036721,1.01784107455397e-05,0.00109926836051829,0.00109926836051829,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0051224","negative regulation of protein transport","8/154","38/5278",0.210526315789474,7.21531100478469,6.66558647036721,1.01784107455397e-05,0.00109926836051829,0.00109926836051829,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
