"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","ontology","neg_log10_padj","term_label","set_label"
"GO:0009617","response to bacterium","25/541","81/5278",0.308641975308642,3.01111339312202,6.16372418365854,2.26955666868688e-07,6.46204680575211e-05,6.46204680575211e-05,"LOC126278673/LOC126272361/LOC126267343/LOC126271975/LOC126293178/LOC126298648/LOC126267038/LOC126336373/LOC126268068/LOC126352738/LOC126267163/LOC126267876/LOC126282030/LOC126334929/LOC126322960/LOC126267216/LOC126272362/LOC126285462/LOC126267652/LOC126293181/LOC126297857/LOC126334779/LOC126365918/LOC126267215/LOC126335036",25,"All infection DEGs","GO","Biological process",4.18962990063496,"response to bacterium [GO:0009617]","All infection DEGs"
"GO:0042133","GO:0042133","10/541","16/5278",0.625,6.09750462107209,6.90053375899175,5.34793309338259e-07,0.000139581053737286,0.000139581053737286,"LOC126333165/LOC126339265/LOC126293404/LOC126267350/LOC126354995/LOC126271955/LOC126356585/LOC126334613/LOC126325353/LOC126356204",10,"All infection DEGs","GO",NA,3.85517352738451,"GO:0042133 [GO:0042133]","All infection DEGs"
"GO:0042834","peptidoglycan binding","8/541","11/5278",0.727272727272727,7.09527810452025,6.83830860796938,1.44688556808476e-06,0.000335796774251321,0.000335796774251321,"LOC126267343/LOC126268068/LOC126267163/LOC126267216/LOC126285462/LOC126267652/LOC126365918/LOC126267215",8,"All infection DEGs","GO","Molecular function",3.47392348012048,"peptidoglycan binding [GO:0042834]","All infection DEGs"
"GO:0015711","organic anion transport","28/541","106/5278",0.264150943396226,2.57705855683047,5.54258013596238,1.52300863993825e-06,0.000335796774251321,0.000335796774251321,"LOC126354478/LOC126336638/LOC126281351/LOC126278890/LOC126337983/LOC126336688/LOC126282005/LOC126299447/LOC126285413/LOC126267409/LOC126324835/LOC126268194/LOC126356039/LOC126363354/LOC126336682/LOC126279835/LOC126354788/LOC126284897/LOC126354562/LOC126355684/LOC126353931/LOC126356065/LOC126355940/LOC126355939/LOC126298679/LOC126278232/LOC126273067/LOC126272718",28,"All infection DEGs","GO","Biological process",3.47392348012048,"organic anion transport [GO:0015711]","All infection DEGs"
"GO:0005539","glycosaminoglycan binding","11/541","21/5278",0.523809523809524,5.11028958718423,6.3775455181483,1.6082220989048e-06,0.000335796774251321,0.000335796774251321,"LOC126272081/LOC126267343/LOC126281165/LOC126268068/LOC126267163/LOC126267216/LOC126278442/LOC126285462/LOC126267652/LOC126365918/LOC126267215",11,"All infection DEGs","GO","Molecular function",3.47392348012048,"glycosaminoglycan binding [GO:0005539]","All infection DEGs"
"GO:0055114","GO:0055114","53/541","272/5278",0.194852941176471,1.90098673480483,5.15582197933528,1.95199277040122e-06,0.00038210258480604,0.00038210258480604,"LOC126335352/LOC126267222/LOC126272746/LOC126334959/LOC126281446/LOC126333165/LOC126298770/LOC126278180/LOC126353855/LOC126339265/LOC126353887/LOC126266657/LOC126285378/LOC126269416/LOC126276148/LOC126295101/LOC126355885/LOC126284662/LOC126277880/LOC126336244/LOC126339036/LOC126336714/LOC126297511/LOC126349195/LOC126354904/LOC126291591/LOC126335505/LOC126299185/LOC126272888/LOC126267953/LOC126335256/LOC126365745/LOC126297871/LOC126323251/LOC126285283/LOC126282517/LOC126336866/LOC126270657/LOC126336931/LOC126299043/LOC126353777/LOC126336251/LOC126336122/LOC126293326/LOC126281954/LOC126299150/LOC126305900/LOC126297494/LOC126283383/LOC126266828/LOC126320178/LOC126354620/LOC126281672",53,"All infection DEGs","GO",NA,3.41782002443354,"GO:0055114 [GO:0055114]","All infection DEGs"
"GO:0006026","aminoglycan catabolic process","11/541","22/5278",0.5,4.87800369685767,6.15931433052863,2.9214880604518e-06,0.000538241212078531,0.000538241212078531,"LOC126267343/LOC126268068/LOC126278279/LOC126346580/LOC126346606/LOC126267216/LOC126285462/LOC126267652/LOC126346622/LOC126365918/LOC126267215",11,"All infection DEGs","GO","Biological process",3.26902305221875,"aminoglycan catabolic process [GO:0006026]","All infection DEGs"
"GO:0022857","transmembrane transporter activity","58/541","313/5278",0.185303514376997,1.80782245634342,4.9793075482905,3.40570516327425e-06,0.00059259269840972,0.00059259269840972,"LOC126354186/LOC126279309/LOC126354478/LOC126354018/LOC126336638/LOC126272139/LOC126281351/LOC126278890/LOC126355391/LOC126354017/LOC126324336/LOC126336688/LOC126282005/LOC126334955/LOC126299447/LOC126285413/LOC126334835/LOC126277871/LOC126267409/LOC126278946/LOC126324835/LOC126272767/LOC126268194/LOC126356039/LOC126358740/LOC126363354/LOC126356304/LOC126336682/LOC126282259/LOC126279835/LOC126354788/LOC126356316/LOC126355303/LOC126366011/LOC126284897/LOC126278191/LOC126334943/LOC126354562/LOC126355684/LOC126335539/LOC126299550/LOC126353931/LOC126365875/LOC126335259/LOC126297555/LOC126267806/LOC126356065/LOC126355940/LOC126269352/LOC126355939/LOC126336038/LOC126292020/LOC126336928/LOC126298679/LOC126357744/LOC126278232/LOC126272718/LOC126336375",58,"All infection DEGs","GO","Molecular function",3.22724370395267,"transmembrane transporter activity [GO:0022857]","All infection DEGs"
"GO:0016491","oxidoreductase activity","42/541","201/5278",0.208955223880597,2.03856870913455,5.07306197560768,3.85015432510558e-06,0.000600530482510266,0.000600530482510266,"LOC126267222/LOC126334959/LOC126281446/LOC126333165/LOC126298770/LOC126278180/LOC126353855/LOC126339265/LOC126266657/LOC126269416/LOC126276148/LOC126355885/LOC126284662/LOC126277880/LOC126339036/LOC126336714/LOC126297511/LOC126354904/LOC126335505/LOC126272888/LOC126267953/LOC126335256/LOC126365745/LOC126297871/LOC126323251/LOC126285283/LOC126282517/LOC126336866/LOC126270657/LOC126336931/LOC126299043/LOC126353777/LOC126336122/LOC126293326/LOC126281954/LOC126299150/LOC126305900/LOC126297494/LOC126266828/LOC126320178/LOC126354620/LOC126281672",42,"All infection DEGs","GO","Molecular function",3.22146494321526,"oxidoreductase activity [GO:0016491]","All infection DEGs"
"GO:0050830","defense response to Gram-positive bacterium","8/541","12/5278",0.666666666666667,6.50400492914356,6.45014528730345,3.95169962322071e-06,0.000600530482510266,0.000600530482510266,"LOC126272361/LOC126271975/LOC126298648/LOC126352738/LOC126267876/LOC126272362/LOC126285462/LOC126334779",8,"All infection DEGs","GO","Biological process",3.22146494321526,"defense response to Gram-positive bacterium [GO:0050830]","All infection DEGs"
"GO:0098656","monoatomic anion transmembrane transport","29/541","117/5278",0.247863247863248,2.41815567878414,5.24192010072494,4.02654538081596e-06,0.000600530482510266,0.000600530482510266,"LOC126354478/LOC126336638/LOC126281351/LOC126278890/LOC126337983/LOC126336688/LOC126282005/LOC126299447/LOC126285413/LOC126267409/LOC126324835/LOC126268194/LOC126356039/LOC126363354/LOC126336682/LOC126279835/LOC126354788/LOC126366011/LOC126284897/LOC126354562/LOC126355684/LOC126353931/LOC126356065/LOC126355940/LOC126269352/LOC126355939/LOC126298679/LOC126278232/LOC126272718",29,"All infection DEGs","GO","Biological process",3.22146494321526,"monoatomic anion transmembrane transport [GO:0098656]","All infection DEGs"
"GO:0006820","monoatomic anion transport","35/541","157/5278",0.222929936305732,2.17490610687922,5.05028732127786,5.62030663919317e-06,0.000792090936193529,0.000792090936193529,"LOC126354478/LOC126336638/LOC126281351/LOC126278890/LOC126355391/LOC126337983/LOC126336688/LOC126282005/LOC126334955/LOC126299447/LOC126285413/LOC126334835/LOC126267409/LOC126324835/LOC126268194/LOC126356039/LOC126363354/LOC126336682/LOC126279835/LOC126354788/LOC126366011/LOC126284897/LOC126354562/LOC126355684/LOC126353931/LOC126335259/LOC126356065/LOC126355940/LOC126269352/LOC126355939/LOC126298679/LOC126278232/LOC126273067/LOC126272718/LOC126336375",35,"All infection DEGs","GO","Biological process",3.10122495626409,"monoatomic anion transport [GO:0006820]","All infection DEGs"
"GO:0008514","GO:0008514","24/541","89/5278",0.269662921348315,2.63083345448504,5.24328261666367,5.81675974854763e-06,0.000792090936193529,0.000792090936193529,"LOC126336638/LOC126281351/LOC126278890/LOC126336688/LOC126282005/LOC126299447/LOC126285413/LOC126267409/LOC126324835/LOC126268194/LOC126356039/LOC126363354/LOC126336682/LOC126279835/LOC126354788/LOC126284897/LOC126354562/LOC126355684/LOC126353931/LOC126356065/LOC126355940/LOC126355939/LOC126298679/LOC126272718",24,"All infection DEGs","GO",NA,3.10122495626409,"GO:0008514 [GO:0008514]","All infection DEGs"
"GO:0044283","small molecule biosynthetic process","30/541","126/5278",0.238095238095238,2.32285890326556,5.07868593853571,6.62547443742836e-06,0.000864624414084401,0.000864624414084401,"LOC126353854/LOC126292259/LOC126267222/LOC126284573/LOC126333165/LOC126278180/LOC126281958/LOC126299253/LOC126298530/LOC126278002/LOC126276148/LOC126355885/LOC126336244/LOC126293368/LOC126281861/LOC126347783/LOC126347864/LOC126272037/LOC126266959/LOC126365957/LOC126298001/LOC126354995/LOC126299150/LOC126305900/LOC126298220/LOC126334613/LOC126325353/LOC126320178/LOC126284002/LOC126356204",30,"All infection DEGs","GO","Biological process",3.06317250561426,"small molecule biosynthetic process [GO:0044283]","All infection DEGs"
"GO:0006027","glycosaminoglycan catabolic process","7/541","10/5278",0.7,6.82920517560074,6.23486344345825,1.04307845319261e-05,0.00130676868615971,0.00130676868615971,"LOC126267343/LOC126268068/LOC126267216/LOC126285462/LOC126267652/LOC126365918/LOC126267215",7,"All infection DEGs","GO","Biological process",2.88380128098493,"glycosaminoglycan catabolic process [GO:0006027]","All infection DEGs"
"GO:0097367","carbohydrate derivative binding","24/541","93/5278",0.258064516129032,2.51767932741041,4.98985125549695,1.32249939353155e-05,0.00155155723979509,0.00155155723979509,"LOC126272081/LOC126267343/LOC126298297/LOC126336809/LOC126281165/LOC126268068/LOC126267163/LOC126278279/LOC126335256/LOC126346580/LOC126346606/LOC126335605/LOC126266959/LOC126267216/LOC126278442/LOC126285462/LOC126267652/LOC126281245/LOC126278382/LOC126273842/LOC126346622/LOC126365918/LOC126267215/LOC126365865",24,"All infection DEGs","GO","Molecular function",2.80923219786351,"carbohydrate derivative binding [GO:0097367]","All infection DEGs"
"GO:0004497","monooxygenase activity","9/541","17/5278",0.529411764705882,5.16494509079048,5.81219367166189,1.33754934465094e-05,0.00155155723979509,0.00155155723979509,"LOC126333165/LOC126339265/LOC126272888/LOC126365745/LOC126270657/LOC126299150/LOC126305900/LOC126266828/LOC126320178",9,"All infection DEGs","GO","Molecular function",2.80923219786351,"monooxygenase activity [GO:0004497]","All infection DEGs"
"GO:0006082","organic acid metabolic process","45/541","233/5278",0.1931330472103,1.88420743655447,4.66489664162127,1.53616594043389e-05,0.00165905921566861,0.00165905921566861,"LOC126267535/LOC126335352/LOC126267222/LOC126281446/LOC126266657/LOC126298530/LOC126278002/LOC126276148/LOC126295101/LOC126293404/LOC126336244/LOC126293368/LOC126339036/LOC126281861/LOC126347783/LOC126336714/LOC126267350/LOC126349195/LOC126335966/LOC126335505/LOC126267953/LOC126335256/LOC126297871/LOC126323251/LOC126266748/LOC126282517/LOC126336866/LOC126347864/LOC126299043/LOC126272037/LOC126281994/LOC126336251/LOC126365957/LOC126298001/LOC126354995/LOC126336122/LOC126271955/LOC126281245/LOC126355485/LOC126298220/LOC126334613/LOC126325353/LOC126284002/LOC126356204/LOC126281672",45,"All infection DEGs","GO","Biological process",2.78013811272238,"organic acid metabolic process [GO:0006082]","All infection DEGs"
"GO:0043436","oxoacid metabolic process","45/541","233/5278",0.1931330472103,1.88420743655447,4.66489664162127,1.53616594043389e-05,0.00165905921566861,0.00165905921566861,"LOC126267535/LOC126335352/LOC126267222/LOC126281446/LOC126266657/LOC126298530/LOC126278002/LOC126276148/LOC126295101/LOC126293404/LOC126336244/LOC126293368/LOC126339036/LOC126281861/LOC126347783/LOC126336714/LOC126267350/LOC126349195/LOC126335966/LOC126335505/LOC126267953/LOC126335256/LOC126297871/LOC126323251/LOC126266748/LOC126282517/LOC126336866/LOC126347864/LOC126299043/LOC126272037/LOC126281994/LOC126336251/LOC126365957/LOC126298001/LOC126354995/LOC126336122/LOC126271955/LOC126281245/LOC126355485/LOC126298220/LOC126334613/LOC126325353/LOC126284002/LOC126356204/LOC126281672",45,"All infection DEGs","GO","Biological process",2.78013811272238,"oxoacid metabolic process [GO:0043436]","All infection DEGs"
"GO:0007367","segment polarity determination","17/541","55/5278",0.309090909090909,3.01549319442111,5.07742076896556,1.96332547394564e-05,0.00202353688175667,0.00202353688175667,"LOC126295087/LOC126295191/LOC126295040/LOC126295133/LOC126266657/LOC126294945/LOC126336752/LOC126293373/LOC126278128/LOC126324835/LOC126281663/LOC126294949/LOC126292145/LOC126284041/LOC126295425/LOC126294955/LOC126291991",17,"All infection DEGs","GO","Biological process",2.69388887558305,"segment polarity determination [GO:0007367]","All infection DEGs"
