"foreground_set","pathway_theme","pathway_scope","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj"
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126266657","UDP-glucose 6-dehydrogenase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.90797128679859,5.50656974051229e-05
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126266939","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.96172010083739,0.0318642825516157
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126272831","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.03834218381793,9.34556240088431e-06
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126272926","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.4863053203802,0.00295989405924728
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126272928","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.25705843217751,0.0122121280453716
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126278567","xylulose kinase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.19329504106269,5.50245184413185e-06
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126281399","sorbitol dehydrogenase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.4690155740824,0.000125395264872002
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126281562","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.38782890369349,3.78583820764714e-09
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126281694","trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.84841150588984,2.4795050759783e-05
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126283957","aldo-keto reductase family 1 member B1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.92256546015585,5.30845871046262e-06
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126283960","aldo-keto reductase family 1 member B1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.85723375393321,1.18748025045249e-06
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126291591","UTP--glucose-1-phosphate uridylyltransferase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.56720615785429,1.5084528198661e-05
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126335523","L-xylulose reductase-like","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.30193381205088,0.000429898077824099
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126336625","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",4.11319359875358,2.62134798120712e-07
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126336627","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","infection_average_all_diets","Average infected",2.0686583912327,0.00691426834221871
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126336628","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.52770989936731,0.0116996631994891
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126341237","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.96787523034327,0.00134241665768644
"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain","ko00040","Pentose and glucuronate interconversions","18/260","43/3456",3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,18,"LOC126357545","aldo-keto reductase family 1 member B1-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.14412579457218,0.00105197622655255
