"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","contrast","significant"
1.77302499712586,0.0209153635980488,0.498831001657181,0.0419287564898038,0.966555492185846,NA,"LOC126266589","33_vs_50",FALSE
71.0221631556006,-3.86694600276233,0.802450679597757,-4.81892046586677,1.44337073818917e-06,0.00112742448028766,"LOC126266590","33_vs_50",TRUE
268.833610927155,0.0800698440861827,0.143793639811148,0.556838565261597,0.577637732073704,0.908737098044669,"LOC126266591","33_vs_50",FALSE
51.109929424994,0.0253351652830074,0.113268606707558,0.223673319725906,0.8230115077579,0.969350362414575,"LOC126266592","33_vs_50",FALSE
1810.42327796798,0.270129088420649,0.17630079097431,1.53220576565655,0.125471666210954,0.494147852112446,"LOC126266593","33_vs_50",FALSE
168.121255703392,0.00547988708390508,0.133501260393954,0.0410474557898124,0.967258063469849,0.994050060242091,"LOC126266594","33_vs_50",FALSE
186.440372975869,0.0801164295013776,0.0641764727771858,1.2483769524002,0.21189304523608,0.655146809239304,"LOC126266595","33_vs_50",FALSE
1545.19008740576,0.19540257386092,0.233053617826908,0.838444713636877,0.401780985856657,0.831405138043285,"LOC126266596","33_vs_50",FALSE
34.3870330128733,0.101067805698687,0.45407966322687,0.22257725655551,0.823864539070625,0.969378983896656,"LOC126266597","33_vs_50",FALSE
187.940175793776,0.124275189577223,0.087897051499944,1.41387210897857,0.157399456470073,0.566049736002667,"LOC126266598","33_vs_50",FALSE
472.218611044453,0.173314173884493,0.2913815376814,0.594801493820096,0.551976168926256,0.901082588608596,"LOC126266599","33_vs_50",FALSE
635.531797940279,0.080449196304896,0.0603496064611728,1.33305254205186,0.182514561892319,0.606679318452034,"LOC126266600","33_vs_50",FALSE
130.746173939363,-0.0356228031965372,0.159410987364673,-0.223465168778143,0.823173489004864,0.969350362414575,"LOC126266601","33_vs_50",FALSE
120.87475507736,0.0439705351580098,0.0807192032326697,0.544734504269902,0.585936130261474,0.909270230885525,"LOC126266602","33_vs_50",FALSE
12.7591461450165,-0.153190311409467,0.338504528226487,-0.452550257487162,0.650872624153214,0.930124054340242,"LOC126266603","33_vs_50",FALSE
280.178157992244,0.532074635235619,0.329853393465913,1.61306400290407,0.106730603449346,0.443818684727303,"LOC126266604","33_vs_50",FALSE
745.62584577172,0.0308393024118886,0.0603448616795144,0.511051008380351,0.60931533983421,0.916882479735743,"LOC126266605","33_vs_50",FALSE
21.1998076415948,0.0269457285653364,0.188729369988175,0.142774431806903,0.88646833064017,0.981129668691268,"LOC126266606","33_vs_50",FALSE
