"contrast","direction","n_significant_genes"
"33_vs_50","Higher in first diet",15
"33_vs_83","Higher in first diet",33
"50_vs_83","Higher in first diet",9
"33_vs_50","Higher in second diet",167
"33_vs_83","Higher in second diet",74
"50_vs_83","Higher in second diet",38
