gene_id,Description,gene_biotype,meeting_theme,called_in_diets,n_called_diets,max_abs_log2FC,min_padj,response_directions
LOC126267478,cystatin-like,protein_coding,Immune pathway,33,1,1.99428858785503,0.0132734617939986,Higher in infected
LOC126267477,kininogen-1-like,protein_coding,Immune pathway,50,1,1.10069509506705,0.0135775659922472,Higher in infected
LOC126273193,uncharacterized LOC126273193,protein_coding,Immune pathway,50,1,3.2992511824827,0.0140658246169577,Higher in control
LOC126284941,lithostathine-1-like,protein_coding,Immune pathway,50;83,2,1.25683044705549,0.0160199174640387,Higher in infected
LOC126355051,dorsal-ventral patterning protein Sog-like,protein_coding,Immune pathway,50;83,2,1.25669792663726,0.0165354307946123,Higher in infected
LOC126267519,cystatin-like,protein_coding,Immune pathway,50,1,1.48091246045094,0.0200282634547044,Higher in infected
LOC126329244,sushi%2C von Willebrand factor type A%2C EGF and pentraxin domain-containing protein 1,protein_coding,Immune pathway,50,1,1.04169328236584,0.0213743822851899,Higher in control
LOC126334779,defensin-1-like,protein_coding,Immune pathway,50,1,2.46320850490736,0.0220154709649927,Higher in control
LOC126335546,leukocyte elastase inhibitor-like,protein_coding,Immune pathway,50,1,1.45621460390554,0.0247823626556668,Higher in infected
LOC126335167,serine protease inhibitor 88Ea-like,protein_coding,Immune pathway,50,1,1.09759162928682,0.0293347059233268,Higher in infected
LOC126336322,defensin-like,protein_coding,Immune pathway,50,1,3.81755314878956,0.0333613598570248,Higher in infected
LOC126272361,lysozyme-like,protein_coding,Immune pathway,50;83,2,2.57489138616382,0.0345180924208013,Higher in infected
LOC126269044,serine-rich adhesin for platelets-like,protein_coding,Immune pathway,50,1,1.75647244743393,0.0354188817483493,Higher in control
LOC126355865,uncharacterized LOC126355865,protein_coding,Immune pathway,50,1,2.20616235260785,0.0437894584133356,Higher in control
LOC126335465,serpin B6-like,protein_coding,Immune pathway,33,1,1.45843185672817,0.0488723470669604,Higher in control
LOC126299332,uncharacterized LOC126299332,protein_coding,Protein storage and synthesis,33;50;83,3,2.10623606034734,5.681095977085199e-13,Higher in infected
LOC126334818,ribosomal protein S6 kinase alpha-5-like,protein_coding,Protein storage and synthesis,33;50;83,3,2.03950973740125,1.5297817224306697e-11,Higher in infected
LOC126272860,translation initiation factor IF-2-like,protein_coding,Protein storage and synthesis,33;50;83,3,4.20813792015494,1.5872593810914002e-10,Higher in control
LOC126272858,growth arrest and DNA damage-inducible protein GADD45 gamma,protein_coding,Protein storage and synthesis,33;50;83,3,2.34398618069625,4.72827457373764e-9,Higher in infected
LOC126334879,hexamerin-like,protein_coding,Protein storage and synthesis,50,1,4.37424173914471,4.86148515122781e-5,Higher in control
LOC126334929,eukaryotic translation initiation factor 4E-binding protein,protein_coding,Protein storage and synthesis,33;50,2,1.17194422591992,0.0019999215641091,Higher in control
LOC126336417,hexamerin-like,protein_coding,Protein storage and synthesis,50,1,3.83612056350969,0.00238881890911941,Higher in control
LOC126293382,39S ribosomal protein L32%2C mitochondrial,protein_coding,Protein storage and synthesis,50,1,1.22702728637362,0.00255189906272746,Higher in control
LOC126336409,hexamerin-like,protein_coding,Protein storage and synthesis,33,1,2.21365859844968,0.00377699409706012,Higher in control
LOC126299533,vitellogenin-like,protein_coding,Protein storage and synthesis,50,1,2.82241252780418,0.00677205992751267,Higher in control
LOC126325369,39S ribosomal protein L18%2C mitochondrial,protein_coding,Protein storage and synthesis,83,1,1.39010473106763,0.0091225314499564,Higher in control
LOC126278019,39S ribosomal protein L14%2C mitochondrial,protein_coding,Protein storage and synthesis,83,1,1.12984714588285,0.0127435273669752,Higher in control
LOC126311246,ribosome biogenesis protein BOP1 homolog,protein_coding,Protein storage and synthesis,33,1,6.96727170291322,0.0167609378029817,Higher in control
LOC126334873,hexamerin-like,protein_coding,Protein storage and synthesis,50,1,2.228489967154,0.0290043023490223,Higher in control
LOC126334733,39S ribosomal protein L12%2C mitochondrial-like,protein_coding,Protein storage and synthesis,83,1,1.46169854252426,0.0304390821007885,Higher in control
LOC126323922,60S ribosomal protein L7a-like,protein_coding,Protein storage and synthesis,33,1,6.2296501738593,0.0407642458102225,Higher in control
LOC126298104,aminoacylase-1A-like,protein_coding,Protein storage and synthesis,33,1,1.4194917290453,0.0420507077892961,Higher in control
LOC126315212,40S ribosomal protein S6-like,protein_coding,Protein storage and synthesis,33,1,5.59895576403106,0.044389773644171,Higher in control
LOC126355534,translation initiation factor IF-2-like,protein_coding,Protein storage and synthesis,50,1,1.84040051468868,0.0456769648254863,Higher in infected
LOC126285457,putative fatty acyl-CoA reductase CG5065,protein_coding,Lipid metabolism,33;50;83,3,3.52170047946278,2.1602476876449499e-16,Higher in infected
LOC126297421,pancreatic triacylglycerol lipase-like,protein_coding,Lipid metabolism,33;50,2,4.89184666175547,2.88286843465595e-13,Higher in infected
LOC126282077,lipase 3-like,protein_coding,Lipid metabolism,50,1,2.06905411639209,2.2341995819009e-11,Higher in infected
LOC126360117,long-chain fatty acid transport protein 1-like,protein_coding,Lipid metabolism,50,1,1.48325419752624,1.16212119673953e-10,Higher in infected
LOC126284038,cholesterol transporter ABCA5-like,protein_coding,Lipid metabolism,33;50,2,1.61364380980224,3.22676567380012e-8,Higher in infected
LOC126298001,elongation of very long chain fatty acids protein AAEL008004,protein_coding,Lipid metabolism,50,1,1.9170147008296,7.94195429456726e-8,Higher in infected
LOC126354620,putative fatty acyl-CoA reductase CG5065,protein_coding,Lipid metabolism,33,1,2.3495100223854,2.41296214602274e-7,Higher in control
