"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"LOC126266590",33.1886094292765,-7.17128007802503,2.88035930566884,8.23981080427058,0.0162460512110158,0.983065162334529,FALSE
"LOC126266591",43.8414396501504,0.459489416422623,0.422947561733598,1.19761434479796,0.549466664351548,0.999781581310749,FALSE
"LOC126266592",17.8125819325333,-0.135960293313276,0.406599317088147,0.295352025956163,0.862710576699132,0.999781581310749,FALSE
"LOC126266593",341.777130980486,-0.276286733617413,0.493852459602033,0.525891230075104,0.768783706447262,0.999781581310749,FALSE
"LOC126266594",20.8267573042507,0.342728837296338,0.438127368758141,1.04052979800088,0.594363080928649,0.999781581310749,FALSE
"LOC126266595",51.8737402956971,0.100196728196174,0.226545184613495,0.28905333400138,0.865431833624083,0.999781581310749,FALSE
"LOC126266596",115.891092539591,-0.375057054844882,0.655062398706375,0.452651581314854,0.797458254891016,0.999781581310749,FALSE
"LOC126266598",31.8198265123688,0.345565678708608,0.357518782585737,2.06315063683724,0.356445003675325,0.999781581310749,FALSE
"LOC126266599",62.0252855092897,-0.82148814657256,0.543120123680384,6.73916836888225,0.0344039400631849,0.999781581310749,FALSE
"LOC126266600",129.367885908423,0.321352886913912,0.245598355301984,4.06004130813801,0.131332808563589,0.999781581310749,FALSE
"LOC126266601",15.131493102817,-0.12690210383442,0.553126979484894,0.107519234630956,0.947659880150285,0.999781581310749,FALSE
"LOC126266602",35.8516564590072,0.157662197999477,0.298847242061475,1.24641199271167,0.536222551343482,0.999781581310749,FALSE
"LOC126266604",55.0921124862535,0.886254010944487,0.730786421162535,1.49633035861177,0.473234056280539,0.999781581310749,FALSE
"LOC126266605",189.901765965046,0.40517164705652,0.216692340023002,3.95061153387525,0.138718890107424,0.999781581310749,FALSE
"LOC126266606",20.7876546366382,-0.848382163405466,0.384811070186178,5.74021438311394,0.0566928492593529,0.999781581310749,FALSE
"LOC126266607",230.119062473922,0.210295637644859,0.241152452428761,2.14629595670539,0.34193043181645,0.999781581310749,FALSE
"LOC126266608",634.160263331869,-0.137797388016007,0.431813633663387,0.145027527069828,0.930052945755995,0.999781581310749,FALSE
"LOC126266610",69.0122854143992,0.379598803483737,0.720451261175367,0.280615989959188,0.869090518656657,0.999781581310749,FALSE
"LOC126266611",16.0000117526729,-0.620780395411243,0.453006053008505,2.03624212634281,0.361273112208062,0.999781581310749,FALSE
"LOC126266612",67.2686917469262,-0.00393057056894675,0.308178043269281,0.000438239432924092,0.99978090428851,1,FALSE
"LOC126266613",64.6099877392924,0.0213307256188809,0.395650973523938,0.00982942222236716,0.995097346320451,0.999781581310749,FALSE
"LOC126266614",439.594698640457,-0.118051864640736,0.369890563886687,0.746814611005561,0.688384792821304,0.999781581310749,FALSE
"LOC126266615",24.0830712978079,-0.0763257288710959,0.41145774736613,0.802015551583906,0.669644853998623,0.999781581310749,FALSE
"LOC126266616",11.6380345768295,0.00310732390547665,0.473551134553296,1.35161148444277,0.508746337015195,0.999781581310749,FALSE
"LOC126266618",72.8951934479782,0.0552217933798329,0.23484794809137,3.04225999262599,0.218464882909463,0.999781581310749,FALSE
"LOC126266619",85.1938542653185,-0.514322247918447,0.839410516052867,0.529422485960538,0.767427518067622,0.999781581310749,FALSE
"LOC126266620",25.5162504282331,0.0976237483461144,0.408651145039182,0.54507978215878,0.761443053784046,0.999781581310749,FALSE
"LOC126266623",5.69310837849071,-0.878030018700587,1.2081366967131,0.97903393560668,0.612922383937866,0.999781581310749,FALSE
"LOC126266624",81.9538887928606,-0.279214548290705,0.288461201022416,1.65194077488405,0.437809940997262,0.999781581310749,FALSE
"LOC126266625",36.2759894461302,-0.0885133602700009,0.329711221789722,0.0920746970527944,0.955006293446871,0.999781581310749,FALSE
"LOC126266626",19.4676311837707,-4.55763183825463,2.02555877244254,5.97122917155963,0.050508452231761,0.999781581310749,FALSE
"LOC126266627",123.696824500779,-0.075482804272318,0.321212112793002,0.535838514289367,0.764969544434605,0.999781581310749,FALSE
"LOC126266628",41.116797188864,0.366049852087198,0.359637408380916,1.15127811381103,0.562345383252875,0.999781581310749,FALSE
"LOC126266629",40.7294852492314,0.183713900974601,0.991573397416115,0.0700756044325885,0.965568914922686,0.999781581310749,FALSE
"LOC126266630",41.079406955633,0.481222062288311,0.26579439673928,3.68309428900972,0.158571902578008,0.999781581310749,FALSE
"LOC126266631",10.6871317656735,-0.0885356893143063,0.529679446385374,0.406376633193844,0.81612453715803,0.999781581310749,FALSE
"LOC126266632",343.640625181934,-0.507191439752425,0.300053106796197,4.41289104617169,0.110091270755725,0.999781581310749,FALSE
"LOC126266633",83.3516644879405,0.18747343235063,0.202468711010502,0.962763657049663,0.617928929760628,0.999781581310749,FALSE
"LOC126266634",1122.93974693,0.144055717365781,0.215208068962878,0.448896461062191,0.798956937205624,0.999781581310749,FALSE
"LOC126266635",32.1787198616041,-0.0791493050400508,0.367073986145426,4.06130585081485,0.131249796838673,0.999781581310749,FALSE
