"database","background","n_significant_terms"
"GO","All fat body DEGs in heatmap",49
"GO","Expressed rRNA-filtered genes",41
"KEGG_pathway","All fat body DEGs in heatmap",13
"KEGG_pathway","Expressed rRNA-filtered genes",34
