"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","expression_cluster","n_cluster_genes","pathway_theme","pathway_scope"
"ko00260","Glycine, serine and threonine metabolism","13/275","18/560",0.722222222222222,1.47070707070707,1.99221934191117,0.0385623825708578,0.310105826507315,0.310105826507315,"LOC126329483/LOC126267350/LOC126325353/LOC126350022/LOC126281672/LOC126266840/LOC126335010/LOC126323251/LOC126293404/LOC126295405/LOC126365930/LOC126354727/LOC126293368",13,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00053","Ascorbate and aldarate metabolism","14/275","20/560",0.7,1.42545454545455,1.90160848560788,0.0459909086669409,0.337418031576575,0.337418031576575,"LOC126336628/LOC126277893/LOC126281562/LOC126350022/LOC126272831/LOC126266840/LOC126266657/LOC126281446/LOC126336625/LOC126272926/LOC126341237/LOC126266939/LOC126277892/LOC126272928",14,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00981","Insect hormone biosynthesis","8/275","10/560",0.8,1.62909090909091,1.97007103306153,0.0472035588215934,0.337418031576575,0.337418031576575,"LOC126299150/LOC126343748/LOC126305900/LOC126293679/LOC126281446/LOC126268026/LOC126320178/LOC126343702",8,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
"ko01524","Platinum drug resistance","8/275","10/560",0.8,1.62909090909091,1.97007103306153,0.0472035588215934,0.337418031576575,0.337418031576575,"LOC126336713/LOC126299541/LOC126336724/LOC126331335/LOC126282396/LOC126336888/LOC126281404/LOC126278346",8,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko00020","Citrate cycle (TCA cycle)","6/275","7/560",0.857142857142857,1.74545454545455,1.94785866856086,0.0557259546058329,0.358503641297525,0.358503641297525,"LOC126334596/LOC126278052/LOC126365941/LOC126335505/LOC126297871/LOC126349195",6,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00680","Methane metabolism","6/275","7/560",0.857142857142857,1.74545454545455,1.94785866856086,0.0557259546058329,0.358503641297525,0.358503641297525,"LOC126281954/LOC126325353/LOC126284898/LOC126295405/LOC126293368/LOC126281958",6,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko04914","Progesterone-mediated oocyte maturation","6/275","7/560",0.857142857142857,1.74545454545455,1.94785866856086,0.0557259546058329,0.358503641297525,0.358503641297525,"LOC126281636/LOC126272743/LOC126299541/LOC126282371/LOC126284276/LOC126279072",6,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko00830","Retinol metabolism","9/275","12/560",0.75,1.52727272727273,1.81211382223422,0.0626898682109516,0.378098267647302,0.378098267647302,"LOC126281954/LOC126336628/LOC126281562/LOC126272831/LOC126336625/LOC126272926/LOC126341237/LOC126266939/LOC126272928",9,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko04111","Cell cycle - yeast","9/275","12/560",0.75,1.52727272727273,1.81211382223422,0.0626898682109516,0.378098267647302,0.378098267647302,"LOC126355331/LOC126293483/LOC126266967/LOC126284276/LOC126272289/LOC126354268/LOC126336750/LOC126356254/LOC126326589",9,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Cellular process","Eukaryote/metazoan-compatible"
"ko00983","Drug metabolism - other enzymes","17/275","26/560",0.653846153846154,1.33146853146853,1.69866668984756,0.0663798740581485,0.388221687673414,0.388221687673414,"LOC126336713/LOC126336628/LOC126281562/LOC126272831/LOC126336724/LOC126284573/LOC126331335/LOC126282396/LOC126277880/LOC126336625/LOC126336888/LOC126272926/LOC126341237/LOC126266939/LOC126281404/LOC126272928/LOC126292317",17,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko00380","Tryptophan metabolism","7/275","9/560",0.777777777777778,1.58383838383838,1.73295753193159,0.0796651424392033,0.439296356879036,0.439296356879036,"LOC126350022/LOC126336244/LOC126266840/LOC126336251/LOC126335010/LOC126267535/LOC126281446",7,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko04114","Oocyte meiosis","7/275","9/560",0.777777777777778,1.58383838383838,1.73295753193159,0.0796651424392033,0.439296356879036,0.439296356879036,"LOC126272743/LOC126270526/LOC126353858/LOC126282371/LOC126284276/LOC126354268/LOC126279072",7,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Cellular process","Eukaryote/metazoan-compatible"
"ko00230","Purine metabolism","15/275","23/560",0.652173913043478,1.32806324110672,1.57682743371939,0.0856552097707901,0.459207096826736,0.459207096826736,"LOC126335182/LOC126354610/LOC126281265/LOC126298865/LOC126272511/LOC126267230/LOC126324953/LOC126293737/LOC126299364/LOC126277880/LOC126266788/LOC126299365/LOC126359832/LOC126335184/LOC126335481",15,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00140","Steroid hormone biosynthesis","8/275","11/560",0.727272727272727,1.48099173553719,1.58123932117153,0.0999290400914084,0.470723345269999,0.470723345269999,"LOC126336628/LOC126281562/LOC126272831/LOC126336625/LOC126272926/LOC126341237/LOC126266939/LOC126272928",8,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
