"gene_id","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","phase_class","n_context_families","single_context","DEG_context","Description","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","heatmap_row_order"
"LOC126334884",1,"infection_average_all_diets","Average control",1.80528845407363,0.0257120945083355,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","juvenile hormone esterase-like",2.90115561201665,"1037","Higher than gene mean",1
"LOC126335010",1,"infected_diet33_vs50","Infected diet 50",6.1803799958528,0.0284402407316152,"Not evaluated in this chromosome-only figure",1,"Diet in infected","Diet in infected","amine oxidase [flavin-containing]-like",3.07298220747233,"1037","Higher than gene mean",2
"LOC126273233",3,"infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",2.83881388687041,0.00906521886194402,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","venom carboxylesterase-6-like",3.0029149540799,"1037","Higher than gene mean",3
"LOC126322933",1,"infection_average_all_diets","Average control",1.01049943960349,0.0392563356704193,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126322933",3.03603071675262,"1037","Higher than gene mean",4
"LOC126268174",2,"infected_diet33_vs50; infection_average_all_diets","Average control; Infected diet 50",4.37736402672394,0.0188876028130617,"Not evaluated in this chromosome-only figure",2,"Diet in infected","Infection + diet","sodium-coupled monocarboxylate transporter 1-like",2.80645235150206,"1007","Higher than gene mean",5
"LOC126268172",3,"infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",5.56534515491202,0.00139053735387521,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","sodium-coupled monocarboxylate transporter 2-like",3.19275458620053,"1007","Higher than gene mean",6
"LOC126268173",2,"infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",5.34691730551301,0.0127573566261294,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","sodium-coupled monocarboxylate transporter 1-like",2.50895473768841,"1007","Higher than gene mean",7
"LOC126284566",2,"infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",5.87930051164036,0.0280076327764939,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","sodium-coupled monocarboxylate transporter 1-like",2.54037394538123,"1007","Higher than gene mean",8
"LOC126293755",2,"infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",6.70858247703973,0.0071313866435593,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","synaptic vesicle glycoprotein 2B-like",2.86041547868089,"1007","Higher than gene mean",9
"LOC126335461",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",5.40533465386555,0.0151382052670633,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","sodium-independent sulfate anion transporter",3.14899035392543,"1037","Higher than gene mean",10
"LOC126281438",3,"infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",6.4816748026813,0.00963599879586685,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","sorbitol dehydrogenase-like",3.61568191315628,"1007","Higher than gene mean",11
"LOC126354705",1,"infection_average_all_diets","Average control",2.57187696617817,0.0117577394326975,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","juvenile hormone esterase-like",3.24882664744362,"1007","Higher than gene mean",12
"LOC126291795",1,"infection_diet33","Control diet 33",5.16821811579941,0.0484526498592338,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","luciferin sulfotransferase-like",2.93817199001007,"1007","Higher than gene mean",13
"LOC126336149",1,"infection_diet33","Control diet 33",5.31192717211069,0.0227843113054227,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126336149",3.05294609449736,"1037","Higher than gene mean",14
"LOC126266841",1,"infection_average_all_diets","Average control",1.62945804386277,0.0464167300902252,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","FAD-dependent oxidoreductase domain-containing protein 1-like",3.04051341035845,"1007","Higher than gene mean",15
"LOC126281049",2,"infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",7.72518296280546,0.0115535967347969,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","retinal dehydrogenase 2-like",3.07370297044316,"1007","Higher than gene mean",16
"LOC126285310",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",6.01071458709509,0.00957738140196123,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","UDP-glycosyltransferase UGT5-like",3.69971269559784,"1007","Higher than gene mean",17
"LOC126272706",1,"infected_diet33_vs50","Infected diet 50",5.06783639744786,0.0181705328655284,"Not evaluated in this chromosome-only figure",1,"Diet in infected","Diet in infected","probable salivary secreted peptide",2.38126951477607,"1037","Higher than gene mean",18
"LOC126278585",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",4.61132732249668,0.0118829185760315,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","dipeptidase 1-like",3.55927655409898,"1037","Higher than gene mean",19
"LOC126298104",1,"infection_average_all_diets","Average control",1.06226329551259,0.0180617015262272,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","aminoacylase-1A-like",3.02422399609352,"1037","Higher than gene mean",20
"LOC126334647",1,"infection_diet33","Control diet 33",5.08427198981432,0.0333425244487727,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","ATP-binding cassette sub-family C member 4-like",2.74444913986077,"1007","Higher than gene mean",21
"LOC126354828",1,"infected_diet33_vs50","Infected diet 50",6.31201349128003,0.0300773740357552,"Not evaluated in this chromosome-only figure",1,"Diet in infected","Diet in infected","monocarboxylate transporter 13-like",2.75619137005527,"1007","Higher than gene mean",22
"LOC126266862",4,"infected_diet33_vs50; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50; Infected diet 50",2.24825444510051,0.00426023389544947,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","UNC93-like protein",3.06320800177247,"1037","Higher than gene mean",23
