"expression_cluster","database","background","pathway_theme","pathway_scope","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","Description","gene_biotype"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126266788","Diet in controls","Not evaluated in this chromosome-only figure",1,"control_diet83_vs33","Control diet 83",2.68704161314133,0.0373030293662961,"trifunctional purine biosynthetic protein adenosine-3-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126266840","Infection + diet","Not evaluated in this chromosome-only figure",3,"infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",4.98329605267363,0.00605159809351458,"alpha-aminoadipic semialdehyde dehydrogenase-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126267350","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.06367326368541,0.0192423308843258,"glycine cleavage system H protein, mitochondrial","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126268218","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.39923892708506,1.3940119845647e-08,"isopentenyl-diphosphate Delta-isomerase 1-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126272037","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.02749778313012,8.75446855424673e-05,"aspartate aminotransferase, mitochondrial","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126278052","Infection + diet","Not evaluated in this chromosome-only figure",4,"control_diet83_vs33; control_diet83_vs50; infected_diet83_vs33; infected_diet83_vs50","Control diet 83; Infected diet 83",6.90573030420674,1.11837551463672e-20,"phosphoenolpyruvate carboxykinase [GTP]-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126278485","Infection + diet","Not evaluated in this chromosome-only figure",4,"infected_diet33_vs50; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50; Infected diet 50",8.32593042897526,2.32113900728805e-13,"ornithine decarboxylase-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126278697","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.23167492746111,0.00105017761286138,"ornithine decarboxylase 1-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126281265","Infection + diet","Not evaluated in this chromosome-only figure",3,"control_diet83_vs33; control_diet83_vs50; infected_diet83_vs33","Control diet 83; Infected diet 83",1.56762853883165,0.00144356490364581,"phosphoribosylformylglycinamidine synthase","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126281446","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.49819110159171,1.30251900098959e-06,"aldehyde dehydrogenase, mitochondrial","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126281532","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.77179390695898,3.54336447477083e-15,"transaldolase","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126281672","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.49642633667361,0.000181539916064202,"D-aspartate oxidase","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126281954","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.3647247464475,2.79215933844294e-08,"alcohol dehydrogenase class-3","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126281958","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37081141966285,5.31175965474024e-08,"fructose-1,6-bisphosphatase 1","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126284811","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",2.39357497208033,7.95851805589176e-09,"glucose dehydrogenase [FAD, quinone]-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126284812","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.26987701625151,1.91449559037136e-11,"glucose dehydrogenase [FAD, quinone]-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126284898","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.66352709028333,1.17303274043337e-05,"fructose-bisphosphate aldolase-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126291591","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.56720615785429,1.5084528198661e-05,"UTP--glucose-1-phosphate uridylyltransferase-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126293368","Infection + diet","Not evaluated in this chromosome-only figure",6,"control_diet83_vs33; infected_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83; Infected diet 83",1.74697070714962,1.44834041646204e-07,"phosphoserine aminotransferase","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126293404","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.28346254478214,0.00889411731114794,"aminomethyltransferase, mitochondrial","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Detoxification and secondary metabolism","Broad KEGG reference map","ko01130","Biosynthesis of antibiotics","43/275","56/560",8.17662844740529e-06,0.00157808929034922,0.00157808929034922,43,"LOC126293737","Infection + diet","Not evaluated in this chromosome-only figure",3,"infected_diet83_vs33; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 83",2.38616070446513,0.0001436772129325,"bifunctional purine biosynthesis protein ATIC","protein_coding"
