"Diet","centroid_PC1_control","centroid_PC2_control","centroid_PC1_infected","centroid_PC2_infected"
"33",-39.4266032883728,2.11651455554351,24.3209458538403,-5.86112140248988
"50",-38.297241248746,1.60732353942559,35.0395287299457,-1.92146473642051
"83",-31.4962938639944,6.16014512256849,31.9999093841621,0.410452711142748
