"gene_id","tissue","baseMean","log2FoldChange","pvalue","padj","significant","direction"
"LOC126320407","Head",699.476574922731,1.06050948448701,9.82676123228077e-21,1.60831325501662e-18,TRUE,"Gregarious-up"
"LOC126325647","Head",167.181431607957,1.313463424482,1.1991957882313e-24,3.18936113178348e-22,TRUE,"Gregarious-up"
"LOC126284877","Head",91.7165814556865,1.20138429989289,1.46902770599433e-12,6.69552578545374e-11,TRUE,"Gregarious-up"
"LOC126334754","Head",50.7496074135397,1.41273272938485,0.011867113404585,0.0338537585973033,TRUE,"Gregarious-up"
"LOC126330262","Head",18.6557633908556,1.04274287228528,0.000177832241572447,0.00104137908069443,TRUE,"Gregarious-up"
"LOC126337358","Head",10.5037968282096,1.15892788853272,0.00242268792082638,0.00925711882588134,TRUE,"Gregarious-up"
"LOC126336728","Head",80.4665915085313,-1.06395301872357,5.05517291969997e-12,2.05336770059225e-10,TRUE,"Solitarious-up"
"LOC126336768","Head",11.5971602228642,-1.03961013213065,0.00437168144303196,0.015055000081399,TRUE,"Solitarious-up"
"LOC126339334","Head",15.0466355040622,1.34133682321351,0.00404070082614552,0.014109296156065,TRUE,"Gregarious-up"
"LOC126340263","Head",73.8655687895563,1.21008537752094,1.11103864334673e-14,6.6903393023417e-13,TRUE,"Gregarious-up"
"LOC126339036","Head",19.3332037589569,-1.7018477474331,0.000472581364942966,0.00237799515367044,TRUE,"Solitarious-up"
"LOC126339755","Head",76.2984725034265,-1.20038327528611,0.000481000925388283,0.00241370197071809,TRUE,"Solitarious-up"
"LOC126339798","Head",26.3296068598918,1.790556379624,1.38239489332026e-10,4.27303951770617e-09,TRUE,"Gregarious-up"
"LOC126340300","Head",7668.37140233022,1.95944519233949,2.00768128992366e-20,3.20375741839568e-18,TRUE,"Gregarious-up"
"LOC126340284","Head",99.5159753995253,3.46243402176008,6.94774975067328e-25,1.97099940704656e-22,TRUE,"Gregarious-up"
"LOC126340122","Head",1549.55251657566,3.3487556546936,8.99881300241754e-42,1.64112638269803e-38,TRUE,"Gregarious-up"
