"set","n_genes"
"all_model_coefficients",1733
"interaction_coefficients",87
"all_diet_pairwise_results",375
"DESeq2_33_vs_50",62
"DESeq2_33_vs_83",313
"DESeq2_50_vs_83",43
"all_infection_within_diet_results",2371
"DESeq2_infected_vs_control_diet_33",1124
"DESeq2_infected_vs_control_diet_50",1735
"DESeq2_infected_vs_control_diet_83",657
