"gene_id","removal_source"
"LOC126287007","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287018","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287029","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287040","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287062","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287073","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287084","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287095","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287106","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287117","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287128","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287139","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287150","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287162","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287184","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287195","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287206","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287217","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287228","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287239","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287250","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126287261","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126337464","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126337199","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126337084","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126337315","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126337463","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126337526","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126337429","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356795","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356798","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356794","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357247","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356797","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356796","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357248","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357246","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356752","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356753","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356756","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357244","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356757","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357226","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356758","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357245","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356759","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357236","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357271","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356760","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357275","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356761","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357232","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356762","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357228","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357274","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356763","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357239","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357273","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356764","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357215","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357261","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356765","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357231","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356767","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357216","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357257","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356768","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357217","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357265","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356769","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357234","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356770","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357233","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356772","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356774","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357238","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356775","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357241","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357267","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356776","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357237","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357262","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356777","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357227","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357269","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356778","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357219","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356780","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357214","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357255","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356781","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357242","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357264","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356782","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357235","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357259","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356783","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357220","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357258","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356784","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357221","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357254","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356785","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357222","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357263","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356786","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357253","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356787","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357223","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357268","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356788","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357230","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356789","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357224","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356791","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357225","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357256","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356793","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357213","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356448","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356503","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356459","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356497","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356470","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356482","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356494","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356506","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356496","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356518","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356530","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356541","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356553","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356565","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356577","data/excluded_loci/gregaria_rrna_list.txt"
