"intersection","n_genes"
"Diet 50",438
"Diet 33 + Diet 50 + Diet 83",380
"Diet 83",241
"Diet 33",226
"Diet 33 + Diet 50",201
"Diet 50 + Diet 83",97
"Diet 33 + Diet 83",50
