"DEG_context","coordinate_class","n_degs","proportion"
"Infection within diets","Named chromosomes 1-11/X",2594,1
"Diet DEGs in controls","Named chromosomes 1-11/X",110,1
"Diet DEGs in infected","Named chromosomes 1-11/X",398,1
"Infection vs control","Named chromosomes 1-11/X",1691,1
