"DEG_context","comparison_type","comparison","numerator","denominator","diet","gene_id","log2FoldChange"
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266596",-1.08314799155857
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266610",1.21206730992497
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266629",-1.60627106471304
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266641",1.90685991126796
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266656",1.04046719813264
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266657",-1.60384344902197
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266672",1.17655438950266
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266675",1.13076742613805
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266685",1.50603252045451
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266696",-2.07331284016797
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266725",1.12213662543667
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266728",1.6027911567384
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266748",1.57799174373271
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266750",-2.15761131332288
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266751",-2.4557555283495
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266759",2.77234075114962
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266760",1.88813104346764
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266789",4.12530992204373
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266822",-1.34559694511248
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266832",-1.25510089145613
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266835",-1.28438711367776
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266859",1.14549271785677
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266862",-1.98208125642753
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266899",1.0366280741982
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266913",-1.71579892124648
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266938",-1.96999093831314
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266948",1.11319566941679
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266958",-1.08827875891238
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266982",2.19671583179415
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267002",1.88315812854753
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267038",1.07643480561012
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267061",3.94338458849814
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267080",-1.46329648139663
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267154",1.35568599503381
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267162",1.6887785971228
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267163",3.39435617789813
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267179",-1.45512060804274
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267190",-2.5552015027808
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267194",1.35924511819421
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267215",4.14929499297098
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267216",2.65729334990049
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267217",3.8335222748899
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267222",-1.07115893569605
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267226",3.33858858353881
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267253",-1.53106745918039
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267259",5.78671941750658
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267263",-2.09478339747999
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267295",-1.17882139709768
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267333",1.68867846486697
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267343",1.45672940692803
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267351",1.54150581578665
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267391",1.77804519005538
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267422",1.85618651641837
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267442",3.00018086538776
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267449",-3.02048790065788
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267462",1.79131513069924
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267464",-1.2069976363195
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267471",-1.19145506759472
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267472",-1.76934042507122
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267473",2.2674814223088
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267545",3.19830422394458
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267568",-3.68366235317908
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267581",2.50731509619651
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267583",3.80513517082358
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267629",2.31281404916257
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267652",2.38259027457213
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267743",-1.21115034058239
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267912",-1.44757809598432
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267970",-2.02416978847254
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267973",1.20218071761555
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267980",4.45937313932393
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267982",-1.82360079590164
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267984",-1.38441695275054
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268014",3.92229549378972
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268015",4.96420821456474
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268068",2.04567842924337
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268069",-1.14993333559863
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268085",-1.23001983529441
