"intersection","n_genes"
"Diet 50",1069
"Diet 33 + Diet 50 + Diet 83",467
"Diet 83",320
"Diet 33 + Diet 50",284
"Diet 33",211
"Diet 50 + Diet 83",189
"Diet 33 + Diet 83",54
