"coefficient","direction","n_significant_genes"
"Diet_33_vs_50","Positive coefficient",3
"Diet_83_vs_50","Positive coefficient",17
"Treatment_Infected_vs_Control","Positive coefficient",734
"Diet33.TreatmentInfected","Positive coefficient",0
"Diet83.TreatmentInfected","Positive coefficient",2
"Diet_33_vs_50","Negative coefficient",0
"Diet_83_vs_50","Negative coefficient",3
"Treatment_Infected_vs_Control","Negative coefficient",330
"Diet33.TreatmentInfected","Negative coefficient",65
"Diet83.TreatmentInfected","Negative coefficient",0
