"label","PC1","PC2","Diet","Treatment"
"1003",-32.414997159795,11.5974910593779,"33","Control"
"1006",-40.24335777164,18.5594345293543,"33","Control"
"1009",-39.4117163716054,-1.32251111762602,"33","Control"
"1015",44.113121193798,6.32947248500141,"33","Infected"
"1018",17.8958274776147,10.7506713836601,"33","Infected"
"1021",5.86668606797693,12.6447401565857,"33","Infected"
"1027",54.8896827942272,1.54107873899735,"33","Infected"
"1030",-42.2734400606021,4.35817048592507,"33","Control"
"1033",-19.2959694236545,4.80723428308888,"33","Control"
"1036",-44.8196868673343,0.490439651190401,"33","Control"
"1039",-22.013846861482,-27.7072242195974,"33","Control"
"1042",12.1602613337905,-30.2770078498445,"33","Infected"
"1045",13.9895463488089,-6.7455449522683,"33","Infected"
"1051",-3.89239039230618,-15.8380454740107,"33","Infected"
"1054",49.0953999834768,10.6133765623479,"33","Infected"
"1057",46.3548797087265,0.198224277817848,"33","Infected"
