"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1,"LOC126278183","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.26633663145843,0.0490907518983524,2.88314715422226,"1036","Lower than gene average"
2,"LOC126278612","Immunoglobulin","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.32562507014158,0.00598285402713305,2.72855506696662,"1016","Higher than gene average"
3,"LOC126278604","Immunoglobulin","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.21251126115364,0.0086434436731973,2.23305147385349,"1018","Higher than gene average"
4,"LOC126272139","Calcium channel","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.28815452436995,0.000774870541499466,3.5416256025744,"1016","Higher than gene average"
5,"LOC126317480","Acetylgalactosaminyltransferase activity","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.65192506751018,0.0219033051512064,4.02768484356314,"1016","Higher than gene average"
6,"LOC126355037","Hydrolase activity, hydrolyzing O-glycosyl compounds. It is involved in the biological process described with carbohydrate metabolic process","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.68666891193167,0.00313294250528545,2.2416684701106,"1052","Higher than gene average"
7,"LOC126267933","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.07944292956506,0.0454105095449637,2.06735380147781,"1052","Higher than gene average"
8,"LOC126285286","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","DEG in 1 diet",1,"33","Higher in infected","Diet 33: infected vs control",2.47644719608772,0.00966716150600333,4.10040946079789,"1018","Higher than gene average"
9,"LOC126299097","7 transmembrane receptor (rhodopsin family)","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.21229823331173,0.016948710491284,2.67480296285048,"1052","Higher than gene average"
10,"LOC126355932","Sulfatase","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.55513336654533,0.00810165142335526,2.8357909477617,"1055","Higher than gene average"
11,"LOC126282015","Belongs to the glycosyl hydrolase 1 family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.32283478744309,0.0435353799518707,1.98918027596828,"1024","Higher than gene average"
12,"LOC126354067","Belongs to the type-B carboxylesterase lipase family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.12959839952515,0.0436321895471913,3.29594329048467,"1004","Lower than gene average"
13,"LOC126334708","Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.55161508586833,0.00155012370793522,2.23721231755517,"1016","Higher than gene average"
14,"LOC126324201","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.226140014387,0.0098499996911754,2.09860598429684,"1020","Higher than gene average"
15,"LOC126278555","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.1479007742164,8.71171768187004e-06,2.0808661349317,"1007","Lower than gene average"
16,"LOC126278651","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.30039018205796,0.00974702435123056,1.75427119131398,"1014","Higher than gene average"
17,"LOC126267978","Trypsin-like serine protease","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.39496666425234,0.00272359716683937,3.66347704307815,"1006","Lower than gene average"
18,"LOC126335242","Isocitrate/isopropylmalate dehydrogenase","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.60376578205696,0.00302314499631068,2.48807960715757,"1014","Higher than gene average"
19,"LOC126284648","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.44107865085051,0.0167814225305922,2.11357154727804,"1014","Higher than gene average"
20,"LOC126282460","arginase","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.27385218307281,0.00159644402485212,2.8349932169685,"1050","Higher than gene average"
21,"LOC126294954","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.77161531735434,6.17058201564145e-05,2.97771430852874,"1020","Lower than gene average"
22,"LOC126334701","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.20114252649104,0.00354559919728002,2.80409074493813,"1024","Lower than gene average"
23,"LOC126267259","CRAL/TRIO domain","DEG in 1 diet",1,"33","Higher in infected","Diet 33: infected vs control",5.78671941750658,0.000565233173609251,4.31082496911306,"1027","Higher than gene average"
24,"LOC126299329","chitin binding. It is involved in the biological process described with chitin metabolic process","DEG in 1 diet",1,"33","Higher in infected","Diet 33: infected vs control",2.93806735583029,0.0057747225974677,2.96275149527389,"1027","Higher than gene average"
25,"LOC126282431","no description","DEG in 1 diet",1,"33","Higher in infected","Diet 33: infected vs control",2.61110355484739,0.00789485672604493,3.90751009076575,"1045","Higher than gene average"
26,"LOC126351095","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.26402943335267,0.00268493473270193,3.62528482718461,"1055","Higher than gene average"
27,"LOC126281993","zinc finger","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.73897873928034,0.0164658427023592,3.24271333188152,"1055","Higher than gene average"
28,"LOC126294959","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.2130980925695,0.000723711848066604,3.54050302720991,"1055","Higher than gene average"
29,"LOC126284005","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",4.62712600833903,6.45127689502073e-06,4.69780250430874,"1055","Higher than gene average"
30,"LOC126354625","Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.23137069584609,0.0142748084230572,3.26425403773732,"1055","Higher than gene average"
31,"LOC126349798","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.34096500349114,0.0360524350398824,3.11749276853622,"1055","Higher than gene average"
32,"LOC126282076","Belongs to the AB hydrolase superfamily. Lipase family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.85560649027563,0.00271598233118366,3.10124398263894,"1055","Higher than gene average"
33,"LOC126278163","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.47236154517568,0.033957484727569,3.32774003392479,"1055","Higher than gene average"
34,"LOC126334848","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.06263180557386,0.0245227361616502,3.84590438669218,"1016","Lower than gene average"
35,"LOC126282243","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.52480386858313,0.0315818410244453,2.82618367770263,"1016","Lower than gene average"
36,"LOC126355450","ionotropic glutamate receptor activity","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.6888463495673,0.0369977971657391,3.12193040101784,"1043","Higher than gene average"
37,"LOC126292297","Calponin homology domain","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.05400879681272,0.0478165364311348,3.4945937846437,"1016","Lower than gene average"
38,"LOC126268097","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.80479197375581,0.0449252402180814,2.13489680442426,"1028","Higher than gene average"
39,"LOC126268096","cytochrome P450","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.28742166879545,0.0128581351906048,1.93494217498641,"1050","Higher than gene average"
40,"LOC126281237","Belongs to the glycosyl hydrolase 18 family","DEG in 1 diet",1,"83","Higher in infected","Diet 83: infected vs control",2.13035830667096,0.0258197272090254,2.58305337358895,"1050","Higher than gene average"
41,"LOC126283959","Aldo/keto reductase family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.87570841765414,0.00193214244772801,2.54206420924299,"1058","Higher than gene average"
42,"LOC126335801","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.74749843737988,0.00905508656280654,2.44761849670223,"1016","Lower than gene average"
43,"LOC126355866","Sulfatase","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.53252397624023,0.0102545389685513,2.83171180528574,"1055","Higher than gene average"
44,"LOC126335582","heme binding. It is involved in the biological process described with oxidation-reduction process","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.16205170370267,0.0428240514677577,3.00434032260026,"1003","Lower than gene average"
45,"LOC126291991","Speckle-type poz protein","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.49946606557896,0.0337104818815267,2.07279506593939,"1023","Higher than gene average"
46,"LOC126322854","Destabilase","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.43165160014018,0.0292421098654007,2.76190618315265,"1023","Higher than gene average"
47,"LOC126343224","no description","DEG in 1 diet",1,"83","Higher in infected","Diet 83: infected vs control",2.07113275825646,0.0125137427074151,4.17925117955806,"1023","Higher than gene average"
48,"LOC126292038","no description","DEG in 2 diets",2,"50; 83","Higher in infected","Diet 50; Diet 83: infected vs control",1.85898999295029,0.000249752958520693,3.24897436522028,"1023","Higher than gene average"
49,"LOC126293472","no description","DEG in 2 diets",2,"50; 83","Higher in infected","Diet 50; Diet 83: infected vs control",4.32218114216329,0.00087568126966654,2.88106017886293,"1023","Higher than gene average"
50,"LOC126336487","G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.20563445038085,0.0492053934068815,2.56428078613591,"1023","Higher than gene average"
51,"LOC126295079","no description","DEG in 2 diets",2,"50; 83","Higher in infected","Diet 50; Diet 83: infected vs control",2.22042250404242,0.0218286125520026,3.54591786001527,"1023","Higher than gene average"
52,"LOC126299255","no description","DEG in 1 diet",1,"83","Higher in infected","Diet 83: infected vs control",1.77050611729005,0.0322643286079039,4.20558867317612,"1023","Higher than gene average"
53,"LOC126334998","no description","DEG in 2 diets",2,"50; 83","Higher in infected","Diet 50; Diet 83: infected vs control",2.82964619700572,0.00200772431081209,3.25744130860917,"1023","Higher than gene average"
54,"LOC126355041","Hydrolase activity, hydrolyzing O-glycosyl compounds. It is involved in the biological process described with carbohydrate metabolic process","DEG in 2 diets",2,"50; 83","Higher in infected","Diet 50; Diet 83: infected vs control",2.30712143770986,0.00616864853604154,2.94124735431206,"1023","Higher than gene average"
55,"LOC126293270","EGF domain, unclasssified subfamily","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",1.55339221521276,0.00188018591363383,3.21151765387284,"1023","Higher than gene average"
56,"LOC126336645","no description","DEG in 2 diets",2,"50; 83","Higher in infected","Diet 50; Diet 83: infected vs control",2.39482235222429,0.0144171374356451,2.70356255121223,"1023","Higher than gene average"
57,"LOC126331082","Immunoglobulin","DEG in 2 diets",2,"50; 83","Higher in infected","Diet 50; Diet 83: infected vs control",1.79998346426874,0.003334197072094,3.42308784334274,"1023","Higher than gene average"
58,"LOC126362556","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.18699034190802,0.0211076828076097,2.17972835234442,"1023","Higher than gene average"
59,"LOC126276893","Munc13 (mammalian uncoordinated) homology domain","DEG in 1 diet",1,"83","Higher in infected","Diet 83: infected vs control",1.75210905397203,0.00401538540462415,3.7497645098413,"1023","Higher than gene average"
60,"LOC126281729","Belongs to the peptidase C14A family","DEG in 1 diet",1,"83","Higher in infected","Diet 83: infected vs control",1.69719575796489,0.0464119306561588,2.5505105915053,"1023","Higher than gene average"
