"diet","direction","signed_direction","Gene_class","n_significant_genes","signed_n","burden_class"
"33","Higher in infected",1,"Coding genes",524,524,"Higher in infected - Coding genes"
"33","Higher in infected",1,"Long non-coding RNA",28,28,"Higher in infected - Long non-coding RNA"
"33","Higher in control",-1,"Coding genes",441,-441,"Higher in control - Coding genes"
"33","Higher in control",-1,"Long non-coding RNA",23,-23,"Higher in control - Long non-coding RNA"
"50","Higher in infected",1,"Coding genes",1163,1163,"Higher in infected - Coding genes"
"50","Higher in infected",1,"Long non-coding RNA",100,100,"Higher in infected - Long non-coding RNA"
"50","Higher in control",-1,"Coding genes",714,-714,"Higher in control - Coding genes"
"50","Higher in control",-1,"Long non-coding RNA",32,-32,"Higher in control - Long non-coding RNA"
"83","Higher in infected",1,"Coding genes",613,613,"Higher in infected - Coding genes"
"83","Higher in infected",1,"Long non-coding RNA",45,45,"Higher in infected - Long non-coding RNA"
"83","Higher in control",-1,"Coding genes",355,-355,"Higher in control - Coding genes"
"83","Higher in control",-1,"Long non-coding RNA",17,-17,"Higher in control - Long non-coding RNA"
