name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hymenobacteraceae	1853232	F	109	0	109	0.00002
Cytophagaceae	89373	F	75	0	75	0.00001
Leadbetterellaceae	3141702	F	66	0	66	0.00001
Marivirgaceae	2762301	F	54	0	54	0.00001
Reichenbachiellaceae	2762302	F	47	0	47	0.00001
Bernardetiaceae	1937968	F	45	1	46	0.00001
Catalimonadaceae	1522127	F	23	0	23	0.00000
Fulvivirgaceae	2762286	F	19	0	19	0.00000
Flectobacillaceae	3141701	F	18	0	18	0.00000
Roseivirgaceae	2762306	F	16	0	16	0.00000
Persicobacteraceae	1853234	F	13	0	13	0.00000
Sphingobacteriaceae	84566	F	545	18	563	0.00008
Chitinophagaceae	563835	F	266	1	267	0.00004
Saprospiraceae	89374	F	19	0	19	0.00000
Haliscomenobacteraceae	1937961	F	11	0	11	0.00000
Chlorobiaceae	191412	F	15	0	15	0.00000
Candidatus Palauibacteraceae	3056649	F	18	0	18	0.00000
Archangiaceae	39	F	2538	31	2569	0.00039
Myxococcaceae	31	F	171	1	172	0.00003
Anaeromyxobacteraceae	1524215	F	18	0	18	0.00000
Polyangiaceae	49	F	159	54	213	0.00003
Sandaracinaceae	1055686	F	23	2	25	0.00000
Nannocystaceae	224463	F	16	2	18	0.00000
Arcobacteraceae	2808963	F	316	71	387	0.00006
Campylobacteraceae	72294	F	239	201	440	0.00007
Helicobacteraceae	72293	F	94	24	118	0.00002
Sulfurimonadaceae	2771471	F	50	2	52	0.00001
Sulfurospirillaceae	2932623	F	22	2	24	0.00000
Sulfurovaceae	2771472	F	17	2	19	0.00000
Hydrogenimonadaceae	292630	F	15	4	19	0.00000
Nautiliaceae	224467	F	17	3	20	0.00000
Nitratiruptoraceae	2795691	F	12	0	12	0.00000
Planctomycetaceae	126	F	96	0	96	0.00001
Pirellulaceae	2691357	F	48	7	55	0.00001
Lacipirellulaceae	2691359	F	24	0	24	0.00000
Gemmataceae	1914233	F	51	0	51	0.00001
Isosphaeraceae	1763524	F	27	5	32	0.00000
Candidatus Uabimicrobiaceae	2897348	F	13	0	13	0.00000
Verrucomicrobiaceae	203557	F	153	0	153	0.00002
Akkermansiaceae	1647988	F	24	0	24	0.00000
Opitutaceae	134623	F	40	2	42	0.00001
Chlamydiaceae	809	F	30	0	30	0.00000
Parachlamydiaceae	92713	F	19	0	19	0.00000
Treponemataceae	2845253	F	163	94	257	0.00004
Borreliaceae	1643685	F	169	21	190	0.00003
Sphaerochaetaceae	2791015	F	43	5	48	0.00001
Spirochaetaceae	137	F	31	3	34	0.00001
Brachyspiraceae	143786	F	37	5	42	0.00001
Leptospiraceae	170	F	46	0	46	0.00001
Desulfovibrionaceae	194924	F	237	2	239	0.00004
Desulfosarcinaceae	3031624	F	55	2	57	0.00001
Desulfococcaceae	2931039	F	22	0	22	0.00000
Desulfobacteraceae	213119	F	10	0	10	0.00000
Geobacteraceae	213422	F	26	0	26	0.00000
Desulfuromonadaceae	213421	F	19	0	19	0.00000
Desulfocapsaceae	2886822	F	27	0	27	0.00000
Endomicrobiaceae	1783343	F	225	0	225	0.00003
Holophagaceae	574976	F	95	0	95	0.00001
Acidobacteriaceae	204434	F	43	0	43	0.00001
Vicinamibacteraceae	2211325	F	12	0	12	0.00000
Pseudobdellovibrionaceae	213483	F	71	0	71	0.00001
Silvanigrellaceae	2024974	F	25	3	28	0.00000
Halobacteriovoraceae	1652132	F	12	0	12	0.00000
Bacteriovoracaceae	263369	F	10	0	10	0.00000
Aquificaceae	64898	F	24	0	24	0.00000
Desulfurobacteriaceae	558314	F	19	1	20	0.00000
Nitrospiraceae	189779	F	17	4	21	0.00000
Thermodesulfovibrionaceae	2811504	F	11	0	11	0.00000
Dictyoglomaceae	203488	F	11	0	11	0.00000
Streptomycetaceae	2062	F	253880	118546	372426	0.05593
Cellulomonadaceae	85016	F	745	111	856	0.00013
Micrococcaceae	1268	F	715	104	819	0.00012
Microbacteriaceae	85023	F	567	93	660	0.00010
Promicromonosporaceae	85017	F	251	130	381	0.00006
Dermabacteraceae	85020	F	54	19	73	0.00001
Intrasporangiaceae	85021	F	31	27	58	0.00001
Ornithinimicrobiaceae	2805590	F	16	2	18	0.00000
Brevibacteriaceae	85019	F	12	3	15	0.00000
Ruaniaceae	1331736	F	12	0	12	0.00000
Pseudonocardiaceae	2070	F	2020	68	2088	0.00031
Mycobacteriaceae	1762	F	713	12	725	0.00011
Nocardiaceae	85025	F	355	8	363	0.00005
Corynebacteriaceae	1653	F	174	21	195	0.00003
Gordoniaceae	85026	F	90	3	93	0.00001
Tsukamurellaceae	85028	F	14	0	14	0.00000
Dietziaceae	85029	F	14	4	18	0.00000
Micromonosporaceae	28056	F	408	23	431	0.00006
Nocardioidaceae	85015	F	215	15	230	0.00003
Propionibacteriaceae	31957	F	61	5	66	0.00001
Kribbellaceae	2726069	F	56	3	59	0.00001
Streptosporangiaceae	2004	F	175	7	182	0.00003
Thermomonosporaceae	2012	F	61	8	69	0.00001
Nocardiopsidaceae	83676	F	49	1	50	0.00001
Candidatus Nanopelagicaceae	2162846	F	152	0	152	0.00002
Actinomycetaceae	2049	F	92	5	97	0.00001
Bifidobacteriaceae	31953	F	89	12	101	0.00002
Jatrophihabitantaceae	2805416	F	22	0	22	0.00000
Nakamurellaceae	85031	F	20	0	20	0.00000
Kineosporiaceae	83778	F	20	1	21	0.00000
Allobogoriellaceae	145358	F	19	5	24	0.00000
Geodermatophilaceae	85030	F	15	1	16	0.00000
Frankiaceae	74712	F	11	298	309	0.00005
Egibacteraceae	1747769	F	56	0	56	0.00001
Iamiaceae	633392	F	20	0	20	0.00000
Candidatus Poriferisodalaceae	2983189	F	13	0	13	0.00000
Eggerthellaceae	1643826	F	19	4	23	0.00000
Bacillaceae	186817	F	15942	22527	38469	0.00578
Paenibacillaceae	186822	F	2028	584	2612	0.00039
Staphylococcaceae	90964	F	580	1220	1800	0.00027
Caryophanaceae	186818	F	310	91	401	0.00006
Listeriaceae	186820	F	121	45	166	0.00002
Pasteuriaceae	538998	F	75	148	223	0.00003
Alicyclobacillaceae	186823	F	45	2	47	0.00001
Fictibacillaceae	3120697	F	40	6	46	0.00001
Anoxybacillaceae	3120669	F	38	11	49	0.00001
Gemellaceae	539738	F	35	12	47	0.00001
Thermoactinomycetaceae	186824	F	16	0	16	0.00000
Sporolactobacillaceae	186821	F	13	1	14	0.00000
Guptibacillaceae	3421337	F	10	12	22	0.00000
Lactobacillaceae	33958	F	975	238	1213	0.00018
Streptococcaceae	1300	F	434	2391	2825	0.00042
Enterococcaceae	81852	F	296	2407	2703	0.00041
Carnobacteriaceae	186828	F	73	77	150	0.00002
Aerococcaceae	186827	F	29	31	60	0.00001
Clostridiaceae	31979	F	1612	334	1946	0.00029
Oscillospiraceae	216572	F	123	44	167	0.00003
Desulfitobacteriaceae	2937909	F	77	12	89	0.00001
Eubacteriaceae	186806	F	23	9	32	0.00000
Peptococcaceae	186807	F	21	1	22	0.00000
Syntrophomonadaceae	68298	F	15	7	22	0.00000
Lachnospiraceae	186803	F	603	264	867	0.00013
Vallitaleaceae	2603322	F	22	1	23	0.00000
Defluviitaleaceae	1185407	F	18	4	22	0.00000
Peptostreptococcaceae	186804	F	346	239	585	0.00009
Anaerovoracaceae	543314	F	43	1	44	0.00001
Caminicellaceae	3118654	F	23	1	24	0.00000
Natronincolaceae	3118656	F	16	5	21	0.00000
Neomoorellaceae	3039168	F	79	0	79	0.00001
Natranaerofabaceae	2807496	F	72	0	72	0.00001
Thermoanaerobacteraceae	186814	F	56	7	63	0.00001
Lutisporaceae	3120708	F	55	44	99	0.00001
Halothermotrichaceae	3046412	F	15	0	15	0.00000
Acetivibrionaceae	3120654	F	18	9	27	0.00000
Monoglobaceae	3085657	F	13	9	22	0.00000
Veillonellaceae	31977	F	168	67	235	0.00004
Sporomusaceae	1843490	F	61	5	66	0.00001
Selenomonadaceae	1843491	F	22	1	23	0.00000
Acidaminococcaceae	909930	F	19	0	19	0.00000
Peptoniphilaceae	1570339	F	95	129	224	0.00003
Tissierellaceae	1737406	F	25	1	26	0.00000
Tepidimicrobiaceae	2992719	F	20	6	26	0.00000
Sporanaerobacteraceae	2992718	F	13	1	14	0.00000
Limnochordaceae	1676650	F	163	0	163	0.00002
Erysipelotrichaceae	128827	F	71	180	251	0.00004
Coprobacillaceae	2810280	F	53	42	95	0.00001
Turicibacteraceae	2810281	F	16	10	26	0.00000
Caldicellulosiruptoraceae	3071002	F	74	14	88	0.00001
Spiroplasmataceae	2131	F	9764	16	9780	0.00147
Entomoplasmataceae	33925	F	13	4	17	0.00000
Mycoplasmataceae	2092	F	102	12	114	0.00002
Acholeplasmataceae	2146	F	66	9	75	0.00001
Candidatus Izemoplasmataceae	2975520	F	17	0	17	0.00000
Metamycoplasmataceae	2895623	F	163	26	189	0.00003
Mycoplasmoidaceae	2790998	F	11	0	11	0.00000
Nostocaceae	1162	F	477	12	489	0.00007
Aphanizomenonaceae	1892259	F	27	4	31	0.00000
Nodulariaceae	3079761	F	23	1	24	0.00000
Hapalosiphonaceae	1892263	F	18	1	19	0.00000
Calotrichaceae	2661849	F	17	0	17	0.00000
Chlorogloeopsidaceae	1892261	F	13	0	13	0.00000
Scytonemataceae	1182	F	12	0	12	0.00000
Rivulariaceae	1185	F	10	0	10	0.00000
Geminocystaceae	2815910	F	103	4	107	0.00002
Aphanothecaceae	1890450	F	44	0	44	0.00001
Microcystaceae	1890449	F	27	0	27	0.00000
Microcoleaceae	1892252	F	71	2	73	0.00001
Oscillatoriaceae	1892254	F	20	1	21	0.00000
