name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vibrionaceae	641	F	687351	1049788	1737139	0.21777
Lysobacteraceae	32033	F	41664	18287	59951	0.00752
Rhodanobacteraceae	1775411	F	44	14	58	0.00001
Enterobacteriaceae	543	F	7345	489430	496775	0.06228
Morganellaceae	1903414	F	698	1854	2552	0.00032
Erwiniaceae	1903409	F	427	104	531	0.00007
Yersiniaceae	1903411	F	363	888	1251	0.00016
Pectobacteriaceae	1903410	F	64	19	83	0.00001
Hafniaceae	1903412	F	25	31	56	0.00001
Bruguierivoracaceae	2812006	F	21	1	22	0.00000
Marinobacteraceae	2887365	F	1450	10	1460	0.00018
Pseudomonadaceae	135621	F	1171	1941	3112	0.00039
Pseudoalteromonadaceae	267888	F	250	33	283	0.00004
Alteromonadaceae	72275	F	178	10	188	0.00002
Shewanellaceae	267890	F	129	23	152	0.00002
Idiomarinaceae	267893	F	98	20	118	0.00001
Colwelliaceae	267889	F	80	5	85	0.00001
Moritellaceae	267891	F	22	3	25	0.00000
Psychromonadaceae	267894	F	15	1	16	0.00000
Moraxellaceae	468	F	410	407	817	0.00010
Halomonadaceae	28256	F	79	21	100	0.00001
Hahellaceae	224379	F	78	0	78	0.00001
Oceanospirillaceae	135620	F	69	7	76	0.00001
Saccharospirillaceae	255527	F	32	0	32	0.00000
Endozoicomonadaceae	2066474	F	15	0	15	0.00000
Alcanivoracaceae	224372	F	10	0	10	0.00000
Pleioneaceae	2823145	F	10	0	10	0.00000
Zooshikellaceae	2898533	F	10	0	10	0.00000
Aeromonadaceae	84642	F	239	376	615	0.00008
Pasteurellaceae	712	F	211	1570	1781	0.00022
Microbulbiferaceae	1706373	F	49	0	49	0.00001
Cellvibrionaceae	1706371	F	34	1	35	0.00000
Francisellaceae	34064	F	31	8	39	0.00000
Piscirickettsiaceae	135616	F	28	3	31	0.00000
Thiotrichaceae	135617	F	20	8	28	0.00000
Candidatus Pseudothioglobaceae	3399801	F	60	11	71	0.00001
Legionellaceae	444	F	50	1	51	0.00001
Coxiellaceae	118968	F	15	0	15	0.00000
Chromatiaceae	1046	F	34	1	35	0.00000
Methylococcaceae	403	F	25	1	26	0.00000
Orbaceae	1240483	F	25	9	34	0.00000
Anaplasmataceae	942	F	5231	5535	10766	0.00135
Rickettsiaceae	775	F	95	6	101	0.00001
Methylobacteriaceae	119045	F	2199	2060	4259	0.00053
Brucellaceae	118882	F	254	11	265	0.00003
Rhizobiaceae	82115	F	166	28	194	0.00002
Nitrobacteraceae	41294	F	149	5	154	0.00002
Phyllobacteriaceae	69277	F	128	30	158	0.00002
Stappiaceae	2821832	F	68	2	70	0.00001
Bartonellaceae	772	F	39	1	40	0.00001
Alloboseaceae	2831100	F	23	0	23	0.00000
Aurantimonadaceae	255475	F	22	6	28	0.00000
Devosiaceae	2831106	F	18	0	18	0.00000
Reyranellaceae	2844375	F	17	0	17	0.00000
Methylocystaceae	31993	F	12	0	12	0.00000
Afifellaceae	2829802	F	12	1	13	0.00000
Xanthobacteraceae	335928	F	12	0	12	0.00000
Sphingomonadaceae	41297	F	183	17	200	0.00003
Erythrobacteraceae	335929	F	87	1	88	0.00001
Sphingobiaceae	3423717	F	35	9	44	0.00001
Sphingopyxidaceae	3423718	F	17	3	20	0.00000
Paracoccaceae	31989	F	203	33	236	0.00003
Roseobacteraceae	2854170	F	99	27	126	0.00002
Azospirillaceae	2829815	F	83	12	95	0.00001
Rhodospirillaceae	41295	F	37	0	37	0.00000
Thalassospiraceae	2844866	F	11	0	11	0.00000
Acetobacteraceae	433	F	52	5	57	0.00001
Roseomonadaceae	3385906	F	24	2	26	0.00000
Acidocellaceae	3385905	F	11	0	11	0.00000
Caulobacteraceae	76892	F	82	1704	1786	0.00022
