name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vibrionaceae	641	F	1115645	1463212	2578857	0.22382
Lysobacteraceae	32033	F	36477	21422	57899	0.00503
Rhodanobacteraceae	1775411	F	88	12	100	0.00001
Enterobacteriaceae	543	F	3973	168194	172167	0.01494
Morganellaceae	1903414	F	522	1096	1618	0.00014
Erwiniaceae	1903409	F	407	102	509	0.00004
Yersiniaceae	1903411	F	372	317	689	0.00006
Pectobacteriaceae	1903410	F	117	43	160	0.00001
Hafniaceae	1903412	F	21	5	26	0.00000
Bruguierivoracaceae	2812006	F	21	2	23	0.00000
Pseudomonadaceae	135621	F	1307	2215	3522	0.00031
Marinobacteraceae	2887365	F	843	29	872	0.00008
Ketobacteraceae	3085096	F	14	0	14	0.00000
Pseudoalteromonadaceae	267888	F	341	63	404	0.00004
Alteromonadaceae	72275	F	240	19	259	0.00002
Shewanellaceae	267890	F	174	32	206	0.00002
Colwelliaceae	267889	F	84	6	90	0.00001
Idiomarinaceae	267893	F	53	10	63	0.00001
Psychromonadaceae	267894	F	21	1	22	0.00000
Moritellaceae	267891	F	18	3	21	0.00000
Aeromonadaceae	84642	F	656	1417	2073	0.00018
Moraxellaceae	468	F	595	606	1201	0.00010
Halomonadaceae	28256	F	158	55	213	0.00002
Oceanospirillaceae	135620	F	131	13	144	0.00001
Hahellaceae	224379	F	54	0	54	0.00000
Alcanivoracaceae	224372	F	35	5	40	0.00000
Pleioneaceae	2823145	F	35	0	35	0.00000
Endozoicomonadaceae	2066474	F	25	0	25	0.00000
Zooshikellaceae	2898533	F	11	0	11	0.00000
Pasteurellaceae	712	F	309	2423	2732	0.00024
Legionellaceae	444	F	110	8	118	0.00001
Coxiellaceae	118968	F	21	0	21	0.00000
Piscirickettsiaceae	135616	F	46	6	52	0.00000
Francisellaceae	34064	F	41	0	41	0.00000
Thiotrichaceae	135617	F	40	14	54	0.00000
Candidatus Pseudothioglobaceae	3399801	F	106	18	124	0.00001
Cellvibrionaceae	1706371	F	38	0	38	0.00000
Microbulbiferaceae	1706373	F	35	0	35	0.00000
Halieaceae	1706372	F	13	0	13	0.00000
Chromatiaceae	1046	F	43	4	47	0.00000
Ectothiorhodospiraceae	72276	F	20	0	20	0.00000
Methylococcaceae	403	F	72	2	74	0.00001
Orbaceae	1240483	F	29	16	45	0.00000
Brucellaceae	118882	F	2558	16	2574	0.00022
Methylobacteriaceae	119045	F	1565	47	1612	0.00014
Nitrobacteraceae	41294	F	309	13	322	0.00003
Rhizobiaceae	82115	F	293	63	356	0.00003
Phyllobacteriaceae	69277	F	128	34	162	0.00001
Bartonellaceae	772	F	84	5	89	0.00001
Stappiaceae	2821832	F	65	11	76	0.00001
Aurantimonadaceae	255475	F	62	22	84	0.00001
Alloboseaceae	2831100	F	39	0	39	0.00000
Devosiaceae	2831106	F	24	0	24	0.00000
Ancalomicrobiaceae	2172021	F	15	1	16	0.00000
Xanthobacteraceae	335928	F	14	0	14	0.00000
Methylocystaceae	31993	F	11	0	11	0.00000
Anaplasmataceae	942	F	6601	5894	12495	0.00108
Rickettsiaceae	775	F	108	1	109	0.00001
Sphingomonadaceae	41297	F	198	26	224	0.00002
Erythrobacteraceae	335929	F	117	5	122	0.00001
Sphingobiaceae	3423717	F	110	11	121	0.00001
Sphingosinicellaceae	2820280	F	38	2	40	0.00000
Sphingopyxidaceae	3423718	F	20	4	24	0.00000
Sphingorhabdaceae	3423719	F	14	0	14	0.00000
