name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vibrionaceae	641	F	827840	1106401	1934241	0.20785
Lysobacteraceae	32033	F	29732	14091	43823	0.00471
Rhodanobacteraceae	1775411	F	76	6	82	0.00001
Enterobacteriaceae	543	F	5067	177945	183012	0.01967
Morganellaceae	1903414	F	549	1472	2021	0.00022
Yersiniaceae	1903411	F	452	1093	1545	0.00017
Erwiniaceae	1903409	F	281	82	363	0.00004
Pectobacteriaceae	1903410	F	106	34	140	0.00002
Bruguierivoracaceae	2812006	F	22	1	23	0.00000
Hafniaceae	1903412	F	15	21	36	0.00000
Pseudomonadaceae	135621	F	1201	1882	3083	0.00033
Marinobacteraceae	2887365	F	735	31	766	0.00008
Ketobacteraceae	3085096	F	18	0	18	0.00000
Pseudoalteromonadaceae	267888	F	355	53	408	0.00004
Alteromonadaceae	72275	F	248	15	263	0.00003
Shewanellaceae	267890	F	186	22	208	0.00002
Colwelliaceae	267889	F	94	6	100	0.00001
Idiomarinaceae	267893	F	58	10	68	0.00001
Psychromonadaceae	267894	F	28	2	30	0.00000
Moritellaceae	267891	F	25	5	30	0.00000
Moraxellaceae	468	F	589	404	993	0.00011
Aeromonadaceae	84642	F	412	823	1235	0.00013
Halomonadaceae	28256	F	155	61	216	0.00002
Oceanospirillaceae	135620	F	117	8	125	0.00001
Hahellaceae	224379	F	40	0	40	0.00000
Endozoicomonadaceae	2066474	F	28	0	28	0.00000
Pleioneaceae	2823145	F	22	0	22	0.00000
Saccharospirillaceae	255527	F	19	0	19	0.00000
Alcanivoracaceae	224372	F	12	1	13	0.00000
Pasteurellaceae	712	F	277	1895	2172	0.00023
Candidatus Pseudothioglobaceae	3399801	F	125	12	137	0.00001
Piscirickettsiaceae	135616	F	59	6	65	0.00001
Francisellaceae	34064	F	39	0	39	0.00000
Thiotrichaceae	135617	F	24	5	29	0.00000
Cellvibrionaceae	1706371	F	65	4	69	0.00001
Microbulbiferaceae	1706373	F	35	1	36	0.00000
Halieaceae	1706372	F	16	1	17	0.00000
Legionellaceae	444	F	82	1	83	0.00001
Coxiellaceae	118968	F	16	0	16	0.00000
Methylococcaceae	403	F	81	3	84	0.00001
Chromatiaceae	1046	F	39	1	40	0.00000
Orbaceae	1240483	F	35	27	62	0.00001
Kangiellaceae	1920240	F	10	0	10	0.00000
Methylobacteriaceae	119045	F	1335	43	1378	0.00015
Rhizobiaceae	82115	F	327	55	382	0.00004
Brucellaceae	118882	F	316	29	345	0.00004
Nitrobacteraceae	41294	F	176	8	184	0.00002
Aurantimonadaceae	255475	F	136	32	168	0.00002
Phyllobacteriaceae	69277	F	129	31	160	0.00002
Bartonellaceae	772	F	106	5	111	0.00001
Stappiaceae	2821832	F	76	6	82	0.00001
Alloboseaceae	2831100	F	40	2	42	0.00000
Devosiaceae	2831106	F	25	1	26	0.00000
Xanthobacteraceae	335928	F	19	1	20	0.00000
