"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC126318536",90.7945344344895,0.261865557264252,0.156850167283863,0.0741221064899798,0.223119644037235
"LOC126318656",9.27340781896786,-0.407461686825937,0.327889654001759,0.107176311891828,0.285087136973457
"LOC126319294",75.9763543592274,-0.339956553555416,0.228212860550407,0.0885130315111868,0.251623596692064
"LOC126319460",22.4688734631583,-0.259912533614432,0.412632880990903,0.301479021322332,0.549796720675064
"LOC126320026",21.3050702771185,-0.142929212100473,0.250016171923206,0.496924886370499,0.696635165253028
"LOC126320178",16.8025822866687,-1.66540565829984,0.673935846770331,0.000904099657601979,0.0121504677128203
"LOC126320326",13.2603759461844,-0.785944160132301,0.438238848474503,0.0141994282963073,0.075475234066866
"LOC126320407",62.6372633201538,-0.40952822742477,0.413587465228963,0.1354464410111,0.335088397794021
"LOC126320662",23.9546015938845,0.0237857625628888,0.190381677199828,0.892116856458165,0.942006617277427
"LOC126320757",95.3881466626182,-0.970032085362265,0.321882681933629,0.000446084072873883,0.00760090807806875
"LOC126320910",285.659504206776,-0.0809793921179278,0.250049116365554,0.699856112594599,0.82716543017936
"LOC126322280",320.785925556319,0.892593225385093,0.202293746814934,1.95334100939056e-06,0.000108512676723833
"LOC126322412",96.0347885654786,0.550421215899498,0.196427329872051,0.00205461760955778,0.0212476181289483
"LOC126323097",9.37734717036788,-0.343111702003273,0.276315813130015,0.131825480170303,0.329306897542309
"LOC126322565",26.0262935468383,0.16155889259517,0.211092063852146,0.399915943980978,0.630707188940238
"LOC126322939",17.6246486856452,1.04137814657664,0.74725822964197,0.0107950671703818,0.0625431075368357
"LOC126323250",310.782512384169,-0.260219342585435,0.120162987888031,0.0247357922743531,0.108752677576499
"LOC126323807",562.814287899972,-0.323580338067864,0.204549983107553,0.078095167871094,0.230968372708129
"LOC126323387",174.888878581156,0.0188227100444908,0.105097051171817,0.855746679532393,0.920513413266977
"LOC126324212",33.2554262996269,-0.284936565153459,0.229386264123784,0.154799221670188,0.364005260247686
"LOC126324319",537.191355973627,-0.105564639510679,0.34972923887249,0.654181196393598,0.798931765881324
"LOC126325221",256.133661158481,-0.0622429083975438,0.0879420177424746,0.488640087682935,0.691053713398247
"LOC126326003",40.2230094324378,0.0729318766775342,0.158749340856047,0.628916552032582,0.78408220745796
"LOC126326117",319.251490462087,-0.399137219388471,0.119060484263506,0.000510898267353082,0.00831046779918523
"LOC126326285",51.1013859667855,0.0621382759304265,0.174119862444489,0.702422008356049,0.829001725967054
"LOC126326982",20.3047921430875,0.0521177765773937,0.262367111887026,0.812267485608671,0.895843604320036
"LOC126326589",118.049411668133,-1.36244748442973,0.39746264134472,6.89619987508354e-05,0.00190518354897281
"LOC126326728",198.697774784386,-0.102816482582499,0.15605618872002,0.473639998725015,0.680575508489043
"LOC126284877",20.7685468100975,0.344838063730445,0.282193122301401,0.131967788339793,0.329509410388827
"LOC126327189",192.396277217344,0.309275435516802,0.273308639689087,0.167010547277509,0.38203631656107
"LOC126328052",116.20484798178,0.446441435457379,0.176314792142069,0.00612556414155909,0.0431396709429342
"LOC126328694",60.139342945198,-0.139845127238202,0.134397783007382,0.276204365090069,0.526084016586952
"LOC126328850",2.79322268841612,-0.106241338548335,0.385588215394947,0.633556996206282,0.786521242128393
"LOC126328952",13.1633621262626,0.336591276898501,0.462565548421885,0.191153233378962,0.417487279813696
"LOC126329352",88.5831772844874,0.20279319262471,0.210412424841605,0.2858184023607,0.535329276741296
"LOC126329909",112.535014288573,-0.501839903992777,0.207575702607546,0.00754124826125863,0.0492968259321358
"LOC126330208",544.031488018874,0.539741070518075,0.305469745810808,0.0276195913594286,0.117018246651676
"LOC126330470",422.640975688386,0.201153379212627,0.105980400245896,0.0497186512088136,0.17211937115888
"LOC126331335",74.0135370450623,-1.02358001993501,0.531449897439243,0.00665243171548106,0.0454967196612545
"LOC126331179",3.5605059910358,1.06564066120406,1.18725140042826,0.0155755334516571,0.0804282915282215
"LOC126331633",24.568918128739,-0.162609087388978,0.217188350807996,0.398297898427898,0.629458919983434
"LOC126331791",4.83683666839136,-0.517886688833665,0.630482057464617,0.0769895137091565,0.229133775314303
"LOC126331946",68.5210549372747,0.0889067130907943,0.185824336222614,0.607980209768888,0.770016806185549
"LOC126332104",74.7261664450339,-0.43912025458334,0.173426692876246,0.00647608513577804,0.0446756257836077
"LOC126333037",5.25236616607772,0.141217113862774,0.37350844323713,0.550514623282921,0.731357940350305
"LOC126333298",4.04257387841979,0.0462797306613742,0.412431523208601,0.819088265526628,0.900037862748054
"LOC126333611",20.3767019399019,-0.210672228142482,0.287723436006877,0.364073931266921,0.606146024232653
"LOC126333456",49.3808969956816,0.0578472382053893,0.184189116725177,0.730395961963568,0.846909280588907
"LOC126333765",41.02914406477,-0.337725226239305,0.283034597244654,0.144370180075613,0.348973975966625
"LOC126334020",47.5434159670815,0.0242771381769344,0.247557800885668,0.90760417466475,0.950599852963598
"LOC126334429",356.568335503201,-0.390943830469597,0.276927861593266,0.0896081998438801,0.253749000103213
"LOC126334511",268.131510491917,-0.970573281777344,0.385112595400285,0.00185851991481956,0.0199865486492557
"LOC126334525",250.559284592757,-0.399689296470135,0.442401964229818,0.150105816981525,0.357228217067763
"LOC126334532",16.2111390268015,0.434910638570312,0.369481054663959,0.10272594846841,0.27727537187018
"LOC126334539",75.2853115134217,-0.276633955726429,0.162162830184676,0.0678156311596606,0.211116110112251
"LOC126334578",19.7172060177651,0.0578791335490461,0.224594172076179,0.770859871834834,0.870728867730384
"LOC126334570",41.9345031477329,0.050634924909959,0.183141129524669,0.76395445852576,0.866819224350416
"LOC126334620",30.7563667083622,0.319983186070383,0.373985331333385,0.211149596530164,0.444908940354123
"LOC126334628",8.23797212012086,-0.543488698531249,0.392208793948043,0.0542717267518153,0.182862564321641
"LOC126334652",77.7381381543704,0.333500103905724,0.138253486194079,0.0116747252024694,0.0659083911850085
"LOC126334644",46.0859173418449,-0.129015073293281,0.250532998885725,0.541226143829608,0.725550892691746
"LOC126334636",86.309173243466,-0.117296264797061,0.241686100313447,0.55904378447307,0.737531357636454
"LOC126334676",238.672840409653,-0.035888774015718,0.166610599969044,0.812975668977445,0.896031237597928
"LOC126334692",927.397275737496,0.134100170955662,0.189980450326966,0.442693179793958,0.658107574053199
"LOC126334712",1139.3169333817,0.0730421991626397,0.305033061304916,0.755974668782941,0.861699126165326
"LOC126334738",30.0999132225654,-0.304235998593534,0.251118422415829,0.152555638782836,0.360991260893476
"LOC126334732",40.3177924569685,0.487461349194623,0.291105771305437,0.0391006099932526,0.145898319267202
"LOC126334747",28.8812946867751,-0.806183491556417,0.515441659926596,0.0193478558116145,0.092276477243879
"LOC126328798",66.3639939612153,-0.303100362446564,0.201083052451586,0.0960157854929269,0.265401635919734
