"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC126318536",90.7945344344895,-0.067486708931356,0.145364466367853,-0.464258636361495,0.642462455347269,0.917741505341954
"LOC126318656",9.27340781896786,-0.0568924738846664,0.343004636544773,-0.165865028699809,0.868263169279626,0.972013808914992
"LOC126319294",75.9763543592274,0.13274812570358,0.220025394039532,0.603330930427647,0.546288560479579,0.87953699139387
"LOC126319460",22.4688734631583,0.413330012516328,0.530281009989478,0.779454675407912,0.435711926971555,0.821503964505651
"LOC126320026",21.3050702771185,0.169010942261419,0.262515480940363,0.643813239722095,0.51969654731346,0.863821222540822
"LOC126320178",16.8025822866687,0.149640696573375,0.575252618959777,0.260130404697624,0.794763185455729,0.951748011210125
"LOC126320326",13.2603759461844,0.40009728947336,0.400323366791992,0.999435263246199,0.317583884557013,0.741361123204256
"LOC126320407",62.6372633201538,-0.0563809455940099,0.439037504858109,-0.128419428796252,0.897817056501495,0.979349296331454
"LOC126320662",23.9546015938845,0.0255793458758529,0.189887908228884,0.134707607843152,0.892843057832699,0.979004278473263
"LOC126320757",95.3881466626182,0.496114282728805,0.286063626814416,1.73427949667526,0.0828685036050414,0.358742385450606
"LOC126320910",285.659504206776,0.313491848309133,0.263177078058972,1.19118219041434,0.233582069537018,0.65098826578875
"LOC126322280",320.785925556319,0.0386648156299719,0.177504172748812,0.217824826488371,0.827565600246742,0.961926095492955
"LOC126322412",96.0347885654786,0.129996630783144,0.174536013085329,0.744812652043277,0.456384985262567,0.832777702020001
"LOC126323097",9.37734717036788,0.149928277029116,0.286074585166695,0.524088069346506,0.600217286294988,0.901691640008815
"LOC126322565",26.0262935468383,-0.0646231786933604,0.208840100543242,-0.309438553827835,0.756987946753794,0.944281651557349
"LOC126322939",17.6246486856452,-0.555763592183264,0.551527432520105,-1.00768077780611,0.313607735886603,0.738877133149316
"LOC126323250",310.782512384169,0.0972033632333572,0.111093282328956,0.87497066605279,0.381589866803778,0.788042355626788
"LOC126323807",562.814287899972,0.196480708052884,0.193594978397064,1.01490601502019,0.310150630671675,0.735977941046216
"LOC126323387",174.888878581156,0.21398841390653,0.0969555609927193,2.20707726009237,0.0273086621630665,0.154556499218277
"LOC126324212",33.2554262996269,0.376521191138214,0.225512198609513,1.66962671403059,0.094993241609588,0.393156367198261
"LOC126324319",537.191355973627,-0.207155513716573,0.454511294952926,-0.455776382274566,0.648550789195031,0.918939661997643
"LOC126325221",256.133661158481,0.129299049886175,0.0809933078866212,1.59641646032256,0.110395843545994,0.433296040776509
"LOC126326003",40.2230094324378,0.058895606546049,0.152370582102297,0.386528723152795,0.699105134352474,0.932427880622558
"LOC126326117",319.251490462087,0.275297887793348,0.108947811390563,2.52687855111144,0.0115081291166635,0.0855951083748061
"LOC126326285",51.1013859667855,0.159712841572354,0.168466718373563,0.948037945502106,0.343110137121344,0.7596136770113
"LOC126326982",20.3047921430875,0.332737994260714,0.280787376906157,1.18501763835316,0.236010473099752,0.653797185928166
"LOC126326589",118.049411668133,0.239202313553005,0.348659796066283,0.686062219538301,0.492673873829274,0.851337457873432
"LOC126326728",198.697774784386,0.308104164108518,0.14819169239155,2.07909201343385,0.0376088940344249,0.198432681997061
"LOC126284877",20.7685468100975,-0.633298237319778,0.27916489979347,-2.26854535720035,0.0232959877688768,0.138166952991719
"LOC126327189",192.396277217344,-0.41431890395704,0.268236861793909,-1.54460092168603,0.122442823127705,0.460917205339123
"LOC126328052",116.20484798178,0.0176352761197434,0.159308475595154,0.110698919526162,0.911855102808315,0.982888927477445
"LOC126328694",60.139342945198,0.052556423789267,0.128518661341552,0.408940018831915,0.682583679694941,0.928462101940012
"LOC126328850",2.79322268841612,1.04245669182339,0.549473522762848,1.89719185481721,0.0578026214728858,NA
"LOC126328952",13.1633621262626,-0.304585043006595,0.54308472441477,-0.560842589219972,0.574904850326193,0.890591985754994
"LOC126329352",88.5831772844874,0.0399929717794906,0.203227976739272,0.196788711973445,0.843992884933344,0.967387850136313
"LOC126329909",112.535014288573,0.155142411723515,0.192553895377101,0.805709027177462,0.420410643222703,0.813214799156653
"LOC126330208",544.031488018874,0.00621753391358123,0.277411579369611,0.0224126690302904,0.982118774466126,0.99596095337554
"LOC126330470",422.640975688386,0.0623034423689477,0.0966890115319702,0.644369420907225,0.51933590886357,0.863821222540822
"LOC126331335",74.0135370450623,-0.0202173844195124,0.454947965889221,-0.0444388939732843,0.964554559349749,0.993872938413706
"LOC126331179",3.5605059910358,0.171636566519719,0.676957855532175,0.253540992422328,0.799850188324089,NA
"LOC126331633",24.568918128739,0.576310288089649,0.215609483750809,2.67293570794743,0.0075190659441889,0.06713147155842
"LOC126331791",4.83683666839136,1.19158351866603,0.69900327899318,1.70468945493695,0.0882523575802232,0.374308706416157
"LOC126331946",68.5210549372747,-0.0136284832149946,0.181346015122045,-0.0751518207103845,0.94009391739623,0.989234815026747
"LOC126332104",74.7261664450339,-0.11390434640437,0.164271468042767,-0.693390932469876,0.488064251125872,0.849214117550345
"LOC126333037",5.25236616607772,0.223157867116882,0.490784054081276,0.454696653774995,0.64932748856511,0.918939661997643
"LOC126333298",4.04257387841979,-0.999645567485329,0.787712855537796,-1.26904818228825,0.204423879878216,NA
"LOC126333611",20.3767019399019,-0.0574348988134448,0.314791040133156,-0.182454045671535,0.855226415206938,0.969028634711484
"LOC126333456",49.3808969956816,-0.233790810004325,0.182781468370731,-1.27907282991147,0.20087141038653,0.607372388767977
"LOC126333765",41.02914406477,0.422465483772434,0.282300233279721,1.49651128114311,0.134520470352911,0.488973972403898
"LOC126334020",47.5434159670815,0.0975977279020008,0.261721897702699,0.372906236576606,0.70921823017308,0.933113636545454
"LOC126334429",356.568335503201,-0.0889393305540626,0.267942127559988,-0.331934852365276,0.739938452603061,0.93944336334523
"LOC126334511",268.131510491917,-0.142154537033136,0.337183895520534,-0.421593495186601,0.673321755024293,0.924851319058144
"LOC126334525",250.559284592757,0.091869788907516,0.484132726478833,0.189761575458239,0.849495967078794,0.968648759630274
"LOC126334532",16.2111390268015,0.678608291662076,0.348041237928253,1.94979277657312,0.0512008228724268,0.253216216153373
"LOC126334539",75.2853115134217,0.221480329869488,0.15349596730766,1.44290650597722,0.149046810187642,0.520671660145142
"LOC126334578",19.7172060177651,0.494269033321711,0.22513173234373,2.19546586425703,0.0281301969643644,0.157664857906677
"LOC126334570",41.9345031477329,-0.215166672587332,0.182166339822004,-1.18115494222244,0.237541177053103,0.655519619553301
"LOC126334620",30.7563667083622,0.345384632029472,0.396840036544226,0.870337164156017,0.38411617477663,0.789131458686598
"LOC126334628",8.23797212012086,0.410815532690393,0.388387732112489,1.05774590370277,0.290171301454257,0.715425514138522
"LOC126334652",77.7381381543704,0.10712736542404,0.124768099597688,0.858611822809437,0.39055471313604,0.794021929798206
"LOC126334644",46.0859173418449,-0.207653885500513,0.26467325678933,-0.78456693365812,0.432707523580993,0.818828670230716
"LOC126334636",86.309173243466,0.109658292449317,0.250223628816136,0.438241156393322,0.661211476957752,0.921415599320305
"LOC126334676",238.672840409653,-0.153624201761217,0.160659609177961,-0.956209233591807,0.338966535859155,0.756549076040548
"LOC126334692",927.397275737496,-0.0100929586453244,0.183752495855279,-0.0549269200309173,0.95619668516407,0.992771366021082
"LOC126334712",1139.3169333817,-0.0576841094793695,0.35413586882305,-0.162886944129888,0.870607450613345,0.973192512190105
"LOC126334738",30.0999132225654,0.0667611199322738,0.250309890257331,0.26671387160787,0.789689472703083,0.951272533281718
"LOC126334732",40.3177924569685,-0.217311735495342,0.26654640686735,-0.815286681405122,0.414908230622275,0.81021313256401
"LOC126334747",28.8812946867751,1.06307413282468,0.452942442600842,2.347040225951,0.0189232116799002,0.119377999239762
"LOC126328798",66.3639939612153,0.145831069250781,0.193388878596783,0.754081983974064,0.450799994681796,0.82998414870886
"LOC126334766",103.768812502035,0.0815961649120193,0.198204515818377,0.411676618845502,0.680576464656035,0.927160326652299
"LOC126334773",111.966868631515,-0.172002589593954,0.217765503805465,-0.789852325497833,0.429614016383381,0.816814180829576
"LOC126334812",84.0049742894257,-0.0042930867670113,0.225036324259046,-0.019077305768954,0.984779435508663,0.996287315032506
"LOC126333297",64.4039136854751,0.201305243482173,0.676377742798394,0.297622512901309,0.765991290020323,0.945124220312655
"LOC126334833",38.3482163491219,-0.0155925944546822,0.196763134596361,-0.0792455074812097,0.936837348643073,0.988741557566048
"LOC126334841",37.9780061054301,-0.156034272905411,0.271945108746203,-0.573771205611322,0.566122636274407,0.886318339859488
"LOC126334849",72.4207027168234,-0.175553595207654,0.221631356822138,-0.792097281381253,0.428303955163483,0.816351136921813
"LOC126334819",126.12049966517,-0.0588367296717601,0.181124463205237,-0.324841430199799,0.745301086699684,0.941587048078973
"LOC126334861",24.8950448062344,0.991043433172098,0.576358876472053,1.71949018854081,0.0855251526675394,0.366215136943598
"LOC126334868",24.4382986280999,0.599018907101399,0.756086328701214,0.792262582145056,0.428207584604492,0.816351136921813
"LOC126284981",6.96090734941028,1.69219562879051,1.03957193092658,1.62778118420553,0.103571291596479,0.417462436319413
"LOC126334892",9.15673322436025,0.216347435319384,0.423811175117346,0.510480723542699,0.609714715983806,0.903943743738193
"LOC126334921",18.5599185267586,0.699787075934647,0.794166950358775,0.881158647584755,0.378231957801754,0.785898787119964
"LOC126334908",676.722553224585,0.0934964576015607,0.283061400410452,0.330304511551157,0.741169884342486,0.94024855324995
"LOC126334901",240.944590651238,0.0918722116369859,0.190763959939275,0.481601512498647,0.630089051535404,0.912203103219081
"LOC126334915",96.5575602975709,-0.822186609653389,0.561425293863929,-1.46446307040213,0.143067466251134,0.508120021258318
"LOC126334924",145.264390944325,0.05160481603859,0.102383490218148,0.504034546279249,0.614237100896124,0.905007200963707
"LOC126334937",36.29512932493,0.0320666513089555,0.17974770217614,0.178398115362457,0.858410329287674,0.969149188581639
"LOC126334976",15.0425895534589,-0.601468335303663,0.712829055435134,-0.843776401533615,0.398794364753896,0.798567065687306
"LOC126334946",59.262970222553,0.220532564686282,0.393241208101596,0.560807362358898,0.57492886716523,0.890591985754994
"LOC126334986",45.2754428535575,-0.365395639281142,0.302050061421963,-1.20971880476027,0.226386811569354,0.641791663290553
"LOC126334981",12.3734487875753,0.495885476700924,0.311096068194235,1.59399467688326,0.110937227169284,0.434325708844253
"LOC126334993",78.6710460792477,0.0130638617387655,0.195588253304427,0.0667926704086466,0.946746758546791,0.991020598540889
