"Test","Sig_padj","Sig_padj_and_absLFC","Up","Down"
"Infection_within_Diet50",2369,1634,1216,418
"Infection_within_Diet33",1769,1274,573,701
"Infection_within_Diet83",1304,855,570,285
"Diet33_vs_50_inControls",14,14,12,2
"Diet83_vs_50_inControls",36,36,31,5
"Diet33_vs_83_inControls",105,103,24,79
"Diet33_vs_50_within_Infected",1086,1076,14,1062
"Diet83_vs_50_within_Infected",21,21,17,4
"Diet33_vs_83_within_Infected",176,167,27,140
"Interaction_Diet33_vs_50",80,80,2,78
"Interaction_Diet83_vs_50",4,4,1,3
