"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC126318536",90.7945344344895,0.28976229898468,0.16225374713496,1.78585890373096,0.0741221064899798,0.223119644037235
"LOC126318656",9.27340781896786,-0.5816750888178,0.361061104255739,-1.61101564793808,0.107176311891828,0.285087136973457
"LOC126319294",75.9763543592274,-0.413852670339161,0.242971929442753,-1.70329416771853,0.0885130315111868,0.251623596692064
"LOC126319460",22.4688734631583,-0.608449771141735,0.588860227587864,-1.03326688174224,0.301479021322332,0.549796720675064
"LOC126320026",21.3050702771185,-0.19603338472344,0.288566095385983,-0.67933616546749,0.496924886370499,0.696635165253028
"LOC126320178",16.8025822866687,-2.06604109789335,0.622529332818214,-3.31878513826859,0.000904099657601979,0.0121504677128203
"LOC126320326",13.2603759461844,-1.05754578648025,0.431267900124475,-2.45217830071521,0.0141994282963073,0.075475234066866
"LOC126320407",62.6372633201538,-0.726752224310999,0.486784616985735,-1.49296464792004,0.1354464410111,0.335088397794021
"LOC126320662",23.9546015938845,0.0282951240968904,0.208625922186979,0.135626118750148,0.892116856458165,0.942006617277427
"LOC126320757",95.3881466626182,-1.11155052813004,0.316572586343516,-3.51120272594888,0.000446084072873883,0.00760090807806875
"LOC126320910",285.659504206776,-0.113346692915303,0.294013927244968,-0.385514706658314,0.699856112594599,0.82716543017936
"LOC126322280",320.785925556319,0.950038618380073,0.199663759557529,4.75819257578558,1.95334100939056e-06,0.000108512676723833
"LOC126322412",96.0347885654786,0.609458612205672,0.197733542317605,3.08222168612518,0.00205461760955778,0.0212476181289483
"LOC126323097",9.37734717036788,-0.456100334829573,0.302666116127441,-1.50694217332715,0.131825480170303,0.329306897542309
"LOC126322565",26.0262935468383,0.195062502927771,0.231728603970203,0.841771363507859,0.399915943980978,0.630707188940238
"LOC126322939",17.6246486856452,1.59624544826884,0.626159432889944,2.54926359713469,0.0107950671703818,0.0625431075368357
"LOC126323250",310.782512384169,-0.276018563631349,0.122920536766113,-2.24550405402593,0.0247357922743531,0.108752677576499
"LOC126323807",562.814287899972,-0.380554764353,0.215997635150945,-1.76184690210639,0.078095167871094,0.230968372708129
"LOC126323387",174.888878581156,0.0196281413069473,0.107970867181723,0.181791086978228,0.855746679532393,0.920513413266977
"LOC126324212",33.2554262996269,-0.353288114174307,0.248307888994556,-1.4227824802701,0.154799221670188,0.364005260247686
"LOC126324319",537.191355973627,-0.227484216523763,0.507821246072887,-0.447961203441087,0.654181196393598,0.798931765881324
"LOC126325221",256.133661158481,-0.0620307916431755,0.0895785918049076,-0.692473395633098,0.488640087682935,0.691053713398247
"LOC126326003",40.2230094324378,0.081562534338342,0.168778341857897,0.483252373737703,0.628916552032582,0.78408220745796
"LOC126326117",319.251490462087,-0.418794968040668,0.120517355520851,-3.47497641506258,0.000510898267353082,0.00831046779918523
"LOC126326285",51.1013859667855,0.0717007062040491,0.187672116138362,0.382053059769346,0.702422008356049,0.829001725967054
"LOC126326982",20.3047921430875,0.0748456426099006,0.315137095550157,0.237501848137673,0.812267485608671,0.895843604320036
"LOC126326589",118.049411668133,-1.5354109894457,0.385797276196911,-3.97983885366267,6.89619987508354e-05,0.00190518354897281
"LOC126326728",198.697774784386,-0.118327868072423,0.165131127390347,-0.716569128682277,0.473639998725015,0.680575508489043
"LOC126284877",20.7685468100975,0.462054460552298,0.306730195967959,1.5063872635499,0.131967788339793,0.329509410388827
"LOC126327189",192.396277217344,0.413811340190737,0.299456745821448,1.38187349580521,0.167010547277509,0.38203631656107
"LOC126328052",116.20484798178,0.491396127204515,0.179277322493559,2.74098318945035,0.00612556414155909,0.0431396709429342
"LOC126328694",60.139342945198,-0.151900996105649,0.139501344262086,-1.08888553661725,0.276204365090069,0.526084016586952
"LOC126328850",2.79322268841612,-0.29978524125702,0.628841348301844,-0.47672635087781,0.633556996206282,0.786521242128393
"LOC126328952",13.1633621262626,0.798991444524428,0.611235185254484,1.30717514927053,0.191153233378962,0.417487279813696
"LOC126329352",88.5831772844874,0.242405108266023,0.227111458232525,1.06733984340781,0.2858184023607,0.535329276741296
"LOC126329909",112.535014288573,-0.567368611131391,0.21234273720141,-2.67194733669292,0.00754124826125863,0.0492968259321358
"LOC126330208",544.031488018874,0.683747388906007,0.310420680835682,2.20264766852935,0.0276195913594286,0.117018246651676
"LOC126330470",422.640975688386,0.21197753649505,0.108020821766814,1.96237663283704,0.0497186512088136,0.17211937115888
"LOC126331335",74.0135370450623,-1.36702276990656,0.503737510733166,-2.71376012462705,0.00665243171548106,0.0454967196612545
"LOC126331179",3.5605059910358,2.11985779295206,0.876440483934922,2.41871277263987,0.0155755334516571,0.0804282915282215
"LOC126331633",24.568918128739,-0.203430841560416,0.240842035797227,-0.844665014091192,0.398297898427898,0.629458919983434
"LOC126331791",4.83683666839136,-1.33656438222064,0.755792710493985,-1.76842719394192,0.0769895137091565,0.229133775314303
"LOC126331946",68.5210549372747,0.103331523161759,0.201442187999566,0.512958701391693,0.607980209768888,0.770016806185549
"LOC126332104",74.7261664450339,-0.482222200499294,0.177115091344663,-2.72264885413349,0.00647608513577804,0.0446756257836077
"LOC126333037",5.25236616607772,0.334264627148226,0.559917422358474,0.596989151972164,0.550514623282921,0.731357940350305
"LOC126333298",4.04257387841979,0.194595940146482,0.850812430025556,0.228717791700148,0.819088265526628,0.900037862748054
"LOC126333611",20.3767019399019,-0.311507862327657,0.343210325101317,-0.907629635663493,0.364073931266921,0.606146024232653
"LOC126333456",49.3808969956816,0.0690766469010281,0.200455238418107,0.344598861302636,0.730395961963568,0.846909280588907
"LOC126333765",41.02914406477,-0.45597360097612,0.31237303397224,-1.45970859000793,0.144370180075613,0.348973975966625
"LOC126334020",47.5434159670815,0.0338086136857236,0.291300310534295,0.116061028646735,0.90760417466475,0.950599852963598
"LOC126334429",356.568335503201,-0.506744242450189,0.298529466760094,-1.69746808564604,0.0896081998438801,0.253749000103213
"LOC126334511",268.131510491917,-1.16793052403636,0.375304278525208,-3.1119563268126,0.00185851991481956,0.0199865486492557
"LOC126334525",250.559284592757,-0.777690619052832,0.540378974201479,-1.4391578062452,0.150105816981525,0.357228217067763
"LOC126334532",16.2111390268015,0.658561026594037,0.403584572861422,1.63177948533768,0.10272594846841,0.27727537187018
"LOC126334539",75.2853115134217,-0.307882282043326,0.168589000178151,-1.82622995401824,0.0678156311596606,0.211116110112251
"LOC126334578",19.7172060177651,0.0744907571411529,0.255761965882207,0.29125033069014,0.770859871834834,0.870728867730384
"LOC126334570",41.9345031477329,0.0597730340878089,0.19904972578208,0.300291969019081,0.76395445852576,0.866819224350416
"LOC126334620",30.7563667083622,0.560076660879218,0.447914199943508,1.25041059414918,0.211149596530164,0.444908940354123
"LOC126334628",8.23797212012086,-0.797142094776988,0.414172630931451,-1.92466144608411,0.0542717267518153,0.182862564321641
"LOC126334652",77.7381381543704,0.356425703710557,0.141336326609247,2.5218265697252,0.0116747252024694,0.0659083911850085
"LOC126334644",46.0859173418449,-0.178011902356439,0.291364309491741,-0.610959875857703,0.541226143829608,0.725550892691746
"LOC126334636",86.309173243466,-0.162615227369577,0.278325675505791,-0.584262400779454,0.55904378447307,0.737531357636454
"LOC126334676",238.672840409653,-0.0422375351406641,0.178527059280354,-0.236588981585897,0.812975668977445,0.896031237597928
"LOC126334692",927.397275737496,0.157639353098275,0.20535227345279,0.767653313244256,0.442693179793958,0.658107574053199
"LOC126334712",1139.3169333817,0.12302693460272,0.395876414687021,0.31077106399477,0.755974668782941,0.861699126165326
"LOC126334738",30.0999132225654,-0.390483795929173,0.272958219904073,-1.4305625090404,0.152555638782836,0.360991260893476
"LOC126334732",40.3177924569685,0.617809211726063,0.299452897582947,2.06312651075594,0.0391006099932526,0.145898319267202
"LOC126334747",28.8812946867751,-1.17346695932799,0.5017474809392,-2.33876004146832,0.0193478558116145,0.092276477243879
"LOC126328798",66.3639939612153,-0.353948013922767,0.212647316589258,-1.66448380162934,0.0960157854929269,0.265401635919734
"LOC126334766",103.768812502035,0.43816185796623,0.222552588712799,1.96880144374178,0.0489758964533335,0.170165856820293
"LOC126334773",111.966868631515,0.501260577328821,0.243733155718302,2.05659577110699,0.0397251253600362,0.147419428236513
"LOC126334812",84.0049742894257,0.447032269386728,0.252273312336117,1.77201569697204,0.0763919516037646,0.22763736469379
"LOC126333297",64.4039136854751,-1.65178880988118,0.751362134378536,-2.19839240534447,0.0279211544415671,0.11778435893363
"LOC126334833",38.3482163491219,0.391042982706506,0.221402275311188,1.76621031629816,0.0773605709390431,0.230033958679309
"LOC126334841",37.9780061054301,0.209942872633883,0.302276627963797,0.694538886608948,0.487344322843961,0.690094287157047
"LOC126334849",72.4207027168234,-0.368564596036965,0.243408790330703,-1.51417948191691,0.129980324158148,0.326362287555904
"LOC126334819",126.12049966517,0.478155077319042,0.203128876572401,2.35394930246963,0.0185751442961777,0.0900618853237435
"LOC126334861",24.8950448062344,-2.04364789831876,0.632623054531323,-3.23043538119677,0.00123601840619371,0.015225548003295
"LOC126334868",24.4382986280999,-0.859874189519423,0.842138540916911,-1.02106025047043,0.307225894112989,0.555184428723363
