"Gene","n_samples_ge_minCount","kept"
"LOC126335234",14,TRUE
"LOC126335246",0,FALSE
"LOC126335249",44,TRUE
"LOC126335260",25,TRUE
"LOC126335267",22,TRUE
"LOC126335304",33,TRUE
"LOC126335360",0,FALSE
"LOC126335271",36,TRUE
"LOC126335275",44,TRUE
"LOC126335370",5,FALSE
"LOC126335363",41,TRUE
"LOC126335338",44,TRUE
"LOC126335375",44,TRUE
"LOC126335385",44,TRUE
"LOC126335394",36,TRUE
"LOC126335399",44,TRUE
"LOC126335414",44,TRUE
"LOC126335421",44,TRUE
"LOC126335442",44,TRUE
"LOC126335446",44,TRUE
"LOC126335630",26,TRUE
"LOC126335608",1,FALSE
"LOC126335645",44,TRUE
"LOC126335656",41,TRUE
"LOC126335482",0,FALSE
"Trnan-guu",0,FALSE
"LOC126335679",10,TRUE
"LOC126335700",27,TRUE
"LOC126335709",32,TRUE
"LOC126335720",34,TRUE
"LOC126335868",38,TRUE
"LOC126335878",0,FALSE
"LOC126335888",5,FALSE
"LOC126335915",6,TRUE
"LOC126335542",0,FALSE
"LOC126284998",0,FALSE
"LOC126335931",44,TRUE
"LOC126335947",44,TRUE
"LOC126335974",37,TRUE
"LOC126336011",44,TRUE
"LOC126336029",44,TRUE
"LOC126336039",44,TRUE
"LOC126336048",37,TRUE
"LOC126336059",1,FALSE
"LOC126336072",44,TRUE
"LOC126336096",0,FALSE
"LOC126335607",0,FALSE
"LOC126336103",43,TRUE
"Trnai-uau",0,FALSE
"LOC126336114",44,TRUE
"LOC126336125",44,TRUE
"LOC126285004",1,FALSE
"LOC126286243",0,FALSE
"LOC126336147",44,TRUE
"LOC126336190",9,TRUE
"LOC126285006",0,FALSE
"LOC126285012",17,TRUE
"LOC126335704",0,FALSE
"LOC126335801",0,FALSE
"LOC126285019",38,TRUE
"LOC126335897",0,FALSE
"LOC126285037",0,FALSE
"LOC126285041",0,FALSE
"LOC126335988",0,FALSE
"LOC126336086",0,FALSE
"LOC126285045",0,FALSE
"Trnaa-ugc",0,FALSE
"LOC126285049",0,FALSE
"LOC126336176",0,FALSE
"LOC126336196",36,TRUE
"LOC126336213",29,TRUE
"LOC126336227",4,FALSE
"LOC126285050",24,TRUE
"LOC126336338",0,FALSE
"LOC126336240",44,TRUE
"LOC126336248",44,TRUE
"Trnap-ugg",0,FALSE
"LOC126336388",0,FALSE
"LOC126336257",44,TRUE
"LOC126336272",44,TRUE
"LOC126336294",27,TRUE
"LOC126336310",44,TRUE
"LOC126336369",44,TRUE
"LOC126336389",43,TRUE
"LOC126336394",43,TRUE
"LOC126336454",38,TRUE
"LOC126336513",0,FALSE
"LOC126336400",44,TRUE
"LOC126336406",1,FALSE
"LOC126336571",44,TRUE
"LOC126336442",43,TRUE
"LOC126336429",44,TRUE
"LOC126336461",39,TRUE
"LOC126336462",44,TRUE
"LOC126336481",44,TRUE
"LOC126336828",0,FALSE
"LOC126336470",40,TRUE
"LOC126336497",44,TRUE
"LOC126336501",43,TRUE
"LOC126285058",0,FALSE
"LOC126285061",0,FALSE
"LOC126336950",0,FALSE
"LOC126285078",0,FALSE
"LOC126336505",7,TRUE
"LOC126336510",0,FALSE
"LOC126336523",1,FALSE
"LOC126336518",1,FALSE
"LOC126285092",1,FALSE
"LOC126285101",0,FALSE
"LOC126337014",3,FALSE
"LOC126285111",0,FALSE
"LOC126337070",0,FALSE
"LOC126337202",10,TRUE
"LOC126336530",44,TRUE
"LOC126337358",0,FALSE
"LOC126336536",44,TRUE
"LOC126337614",0,FALSE
"LOC126336544",44,TRUE
"LOC126336556",0,FALSE
"LOC126336563",39,TRUE
"LOC126336572",44,TRUE
"LOC126336638",33,TRUE
"LOC126336610",44,TRUE
"LOC126336658",0,FALSE
"LOC126336669",0,FALSE
"LOC126336586",0,FALSE
"LOC126337769",0,FALSE
"LOC126336647",43,TRUE
"LOC126336676",44,TRUE
"LOC126336686",44,TRUE
"LOC126336728",44,TRUE
"Trnah-gug",0,FALSE
"LOC126336714",21,TRUE
"LOC126336694",44,TRUE
"LOC126336733",0,FALSE
"LOC126336741",44,TRUE
"LOC126337927",1,FALSE
"LOC126336754",44,TRUE
"LOC126336768",3,FALSE
"LOC126336773",44,TRUE
"LOC126336788",44,TRUE
"LOC126336798",44,TRUE
"LOC126336822",42,TRUE
"LOC126336805",44,TRUE
"LOC126336829",44,TRUE
"LOC126336831",1,FALSE
"LOC126336847",0,FALSE
"LOC126336852",4,FALSE
"LOC126336859",1,FALSE
"LOC126336885",44,TRUE
"LOC126336877",44,TRUE
"LOC126336896",44,TRUE
"LOC126336904",42,TRUE
"LOC126336920",44,TRUE
"LOC126336924",44,TRUE
"LOC126336941",44,TRUE
"Trnav-uac",0,FALSE
"LOC126336947",0,FALSE
"Trnar-acg",0,FALSE
"LOC126336957",0,FALSE
"LOC126338393",0,FALSE
"LOC126336948",27,TRUE
"LOC126336962",44,TRUE
"LOC126336972",44,TRUE
