"Gene","n_samples_ge_minCount","kept"
"LOC126335889",0,FALSE
"LOC126335890",0,FALSE
"LOC126334528",22,TRUE
"LOC126334529",43,TRUE
"LOC126334533",33,TRUE
"LOC126334531",44,TRUE
"LOC126334534",44,TRUE
"LOC126334535",42,TRUE
"LOC126334536",44,TRUE
"LOC126334537",31,TRUE
"LOC126334538",44,TRUE
"LOC126334540",20,TRUE
"LOC126334541",44,TRUE
"LOC126334542",44,TRUE
"LOC126335891",0,FALSE
"LOC126334543",20,TRUE
"LOC126334545",9,TRUE
"LOC126335892",0,FALSE
"LOC126334544",4,FALSE
"LOC126334546",44,TRUE
"LOC126334548",44,TRUE
"LOC126334549",44,TRUE
"LOC126336251",44,TRUE
"LOC126334550",38,TRUE
"LOC126334551",42,TRUE
"LOC126334552",44,TRUE
"LOC126334553",0,FALSE
"LOC126334554",42,TRUE
"LOC126334555",0,FALSE
"LOC126334556",44,TRUE
"LOC126334557",44,TRUE
"LOC126334558",42,TRUE
"LOC126334561",44,TRUE
"LOC126334562",41,TRUE
"LOC126334563",44,TRUE
"LOC126334564",0,FALSE
"LOC126335893",33,TRUE
"LOC126334565",44,TRUE
"LOC126334568",0,FALSE
"LOC126334567",44,TRUE
"LOC126334566",7,TRUE
"LOC126336252",21,TRUE
"LOC126334569",13,TRUE
"LOC126334571",42,TRUE
"LOC126335894",31,TRUE
"LOC126334572",40,TRUE
"LOC126335895",0,FALSE
"LOC126334573",44,TRUE
"LOC126334575",44,TRUE
"LOC126334577",0,FALSE
"LOC126334579",36,TRUE
"LOC126334580",0,FALSE
"LOC126334581",40,TRUE
"LOC126334582",31,TRUE
"LOC126334583",0,FALSE
"LOC126335896",0,FALSE
"LOC126334584",44,TRUE
"LOC126334585",40,TRUE
"LOC126334586",6,TRUE
"LOC126334587",44,TRUE
"LOC126334588",44,TRUE
"LOC126335898",0,FALSE
"LOC126335899",3,FALSE
"LOC126336255",0,FALSE
"LOC126336256",0,FALSE
"LOC126336258",1,FALSE
"LOC126334589",44,TRUE
"LOC126334591",40,TRUE
"LOC126335900",0,FALSE
"LOC126334592",43,TRUE
"LOC126334593",44,TRUE
"LOC126334596",5,FALSE
"LOC126334594",44,TRUE
"LOC126334595",44,TRUE
"LOC126335901",44,TRUE
"LOC126334597",44,TRUE
"LOC126334598",13,TRUE
"LOC126334599",0,FALSE
"LOC126334600",42,TRUE
"LOC126334602",44,TRUE
"LOC126334604",44,TRUE
"LOC126334605",41,TRUE
"LOC126334606",37,TRUE
"LOC126334607",0,FALSE
"LOC126334608",0,FALSE
"LOC126334610",44,TRUE
"LOC126334611",43,TRUE
"LOC126334609",44,TRUE
"LOC126334612",42,TRUE
"LOC126334613",44,TRUE
"LOC126335902",1,FALSE
"LOC126334614",40,TRUE
"LOC126334615",44,TRUE
"LOC126334616",44,TRUE
"LOC126334617",44,TRUE
"LOC126334618",44,TRUE
"LOC126334619",44,TRUE
"LOC126334623",44,TRUE
"LOC126334622",43,TRUE
"LOC126334624",44,TRUE
"LOC126334625",44,TRUE
"LOC126334626",44,TRUE
"LOC126334627",44,TRUE
"LOC126334630",40,TRUE
"LOC126334629",43,TRUE
"LOC126334631",0,FALSE
"LOC126334632",44,TRUE
"LOC126334633",1,FALSE
"LOC126336268",0,FALSE
"LOC126335903",1,FALSE
"LOC126334634",43,TRUE
"LOC126334635",44,TRUE
"LOC126334637",41,TRUE
"LOC126334638",42,TRUE
"LOC126334639",44,TRUE
"LOC126334640",44,TRUE
"LOC126334641",40,TRUE
"LOC126334643",44,TRUE
"LOC126334642",44,TRUE
"LOC126334645",0,FALSE
"LOC126334646",44,TRUE
"LOC126335904",8,TRUE
"LOC126334648",12,TRUE
"LOC126334647",12,TRUE
"LOC126335905",3,FALSE
"LOC126335906",0,FALSE
"LOC126335907",0,FALSE
"LOC126335908",0,FALSE
"LOC126336283",0,FALSE
"LOC126334649",44,TRUE
"LOC126334650",44,TRUE
"LOC126334651",0,FALSE
"LOC126334653",44,TRUE
"LOC126335909",44,TRUE
"LOC126334654",1,FALSE
"LOC126334656",43,TRUE
"LOC126334655",43,TRUE
"LOC126334657",38,TRUE
"LOC126335910",0,FALSE
"LOC126334658",44,TRUE
"LOC126334661",44,TRUE
"LOC126334660",44,TRUE
"LOC126334663",44,TRUE
"LOC126334662",42,TRUE
"LOC126334664",0,FALSE
"LOC126334659",44,TRUE
"LOC126334665",44,TRUE
"LOC126334666",44,TRUE
"LOC126334667",0,FALSE
"LOC126334669",42,TRUE
"LOC126334668",28,TRUE
"LOC126334671",44,TRUE
"LOC126334672",0,FALSE
"LOC126334673",44,TRUE
"LOC126334674",41,TRUE
"LOC126334675",0,FALSE
"LOC126334677",0,FALSE
"LOC126334678",41,TRUE
"LOC126334679",44,TRUE
"LOC126334680",0,FALSE
"LOC126335911",0,FALSE
"LOC126334681",33,TRUE
"LOC126334682",0,FALSE
"LOC126335912",0,FALSE
"LOC126337513",0,FALSE
"LOC126335913",0,FALSE
"LOC126335914",31,TRUE
"LOC126335916",0,FALSE
"LOC126336620",0,FALSE
"LOC126335917",2,FALSE
"LOC126334684",44,TRUE
"LOC126334683",44,TRUE
"LOC126335918",1,FALSE
"LOC126335919",0,FALSE
"LOC126335047",0,FALSE
"LOC126335920",0,FALSE
"LOC126334685",43,TRUE
"LOC126334686",44,TRUE
"LOC126334688",43,TRUE
"LOC126334689",44,TRUE
"LOC126335921",0,FALSE
"LOC126334691",44,TRUE
"LOC126334690",44,TRUE
"LOC126334693",43,TRUE
"LOC126335923",0,FALSE
"LOC126334694",44,TRUE
"LOC126334695",44,TRUE
"LOC126334696",44,TRUE
"LOC126334697",26,TRUE
"LOC126334698",14,TRUE
"LOC126334699",27,TRUE
"LOC126334700",41,TRUE
"LOC126334702",32,TRUE
"LOC126334701",44,TRUE
"LOC126336290",0,FALSE
"LOC126335924",0,FALSE
"LOC126335925",7,TRUE
"LOC126334703",0,FALSE
"LOC126334704",44,TRUE
"LOC126334705",41,TRUE
"LOC126335926",1,FALSE
"LOC126337315",0,FALSE
"LOC126334706",44,TRUE
"LOC126336291",0,FALSE
"LOC126336292",0,FALSE
"LOC126334708",0,FALSE
"LOC126334709",44,TRUE
"LOC126336452",0,FALSE
"LOC126334710",3,FALSE
"LOC126334711",11,TRUE
"LOC126335927",0,FALSE
"LOC126335928",0,FALSE
"LOC126334713",44,TRUE
"LOC126334714",44,TRUE
"LOC126334715",44,TRUE
"LOC126337515",1,FALSE
"LOC126334716",44,TRUE
"LOC126334717",44,TRUE
"LOC126334719",44,TRUE
"LOC126334718",44,TRUE
"LOC126334720",17,TRUE
"LOC126334721",43,TRUE
"LOC126334723",33,TRUE
"LOC126334724",0,FALSE
"LOC126335929",0,FALSE
"LOC126334725",42,TRUE
"LOC126334726",41,TRUE
"LOC126336303",40,TRUE
"LOC126335930",0,FALSE
"LOC126334727",44,TRUE
"LOC126334728",0,FALSE
"LOC126335932",37,TRUE
"LOC126335933",0,FALSE
"LOC126336330",0,FALSE
"LOC126335934",0,FALSE
"LOC126334729",44,TRUE
"LOC126334730",42,TRUE
"LOC126334731",44,TRUE
"LOC126334733",41,TRUE
"LOC126334734",40,TRUE
"LOC126334735",44,TRUE
"LOC126334736",39,TRUE
"LOC126336304",40,TRUE
"LOC126337497",0,FALSE
"LOC126334737",44,TRUE
"LOC126334739",28,TRUE
"LOC126334740",44,TRUE
"LOC126335935",44,TRUE
"LOC126334741",39,TRUE
"LOC126334742",44,TRUE
"LOC126334743",44,TRUE
"LOC126334744",44,TRUE
"LOC126334745",44,TRUE
"LOC126334746",44,TRUE
"LOC126334749",43,TRUE
"LOC126334748",43,TRUE
"LOC126334750",44,TRUE
"LOC126334751",41,TRUE
"LOC126334753",7,TRUE
"LOC126334752",11,TRUE
"LOC126336306",1,FALSE
"LOC126336307",10,TRUE
"LOC126337468",0,FALSE
"LOC126337469",0,FALSE
"LOC126337470",0,FALSE
"LOC126337471",0,FALSE
"LOC126337472",0,FALSE
"LOC126337473",0,FALSE
"LOC126337474",0,FALSE
"LOC126337475",0,FALSE
"LOC126337476",0,FALSE
"LOC126337477",0,FALSE
"LOC126337478",0,FALSE
"LOC126337479",0,FALSE
"LOC126337480",0,FALSE
"LOC126337481",0,FALSE
"LOC126337482",0,FALSE
"LOC126337483",0,FALSE
"LOC126334755",6,TRUE
"LOC126334756",44,TRUE
"LOC126334757",44,TRUE
"LOC126334758",20,TRUE
"LOC126334759",26,TRUE
"LOC126334761",44,TRUE
"LOC126334762",0,FALSE
"LOC126334763",44,TRUE
"LOC126334760",28,TRUE
"LOC126334764",0,FALSE
"LOC126334765",39,TRUE
"LOC126336309",27,TRUE
"LOC126334767",0,FALSE
"LOC126334768",38,TRUE
"LOC126336317",8,TRUE
"LOC126335936",6,TRUE
"LOC126334770",43,TRUE
"LOC126334769",44,TRUE
"LOC126334771",44,TRUE
"LOC126334774",44,TRUE
"LOC126334772",44,TRUE
"LOC126334775",0,FALSE
"LOC126334776",30,TRUE
"LOC126334777",21,TRUE
"LOC126334778",44,TRUE
"LOC126334779",44,TRUE
"LOC126334780",41,TRUE
"LOC126335937",0,FALSE
"LOC126336320",0,FALSE
"LOC126336321",0,FALSE
"LOC126336322",3,FALSE
"LOC126336324",13,TRUE
"LOC126336325",24,TRUE
"LOC126334781",0,FALSE
"LOC126334782",0,FALSE
"LOC126335938",0,FALSE
"LOC126334783",13,TRUE
"LOC126335939",10,TRUE
"LOC126334785",5,FALSE
"LOC126334786",40,TRUE
"LOC126334787",44,TRUE
"LOC126334788",0,FALSE
"LOC126334791",0,FALSE
"LOC126334789",44,TRUE
"LOC126334792",44,TRUE
"LOC126334790",38,TRUE
"LOC126334793",44,TRUE
"LOC126334794",13,TRUE
"LOC126334795",38,TRUE
"LOC126334796",26,TRUE
"LOC126334799",7,TRUE
"LOC126334800",5,FALSE
"LOC126335940",12,TRUE
"LOC126334798",10,TRUE
"LOC126334797",1,FALSE
"LOC126335941",13,TRUE
"LOC126336332",5,FALSE
"LOC126336335",6,TRUE
"LOC126335942",16,TRUE
"LOC126334803",30,TRUE
"LOC126334802",9,TRUE
"LOC126334801",13,TRUE
"LOC126334804",0,FALSE
"LOC126334806",8,TRUE
"LOC126334805",23,TRUE
"LOC126335943",24,TRUE
"LOC126334807",17,TRUE
"LOC126336336",0,FALSE
"LOC126334809",10,TRUE
"LOC126334811",23,TRUE
"LOC126334810",13,TRUE
"LOC126335944",20,TRUE
"LOC126334808",23,TRUE
"LOC126335945",35,TRUE
"LOC126334813",18,TRUE
"LOC126334814",7,TRUE
"LOC126334815",2,FALSE
"LOC126334816",44,TRUE
"LOC126334817",20,TRUE
"LOC126334818",44,TRUE
"LOC126334820",44,TRUE
"LOC126334821",44,TRUE
"LOC126334822",43,TRUE
"LOC126334823",36,TRUE
"LOC126335946",1,FALSE
"LOC126334825",0,FALSE
"LOC126334826",0,FALSE
"LOC126334827",0,FALSE
"LOC126334828",0,FALSE
"LOC126334824",30,TRUE
"LOC126334829",44,TRUE
"LOC126335948",0,FALSE
"LOC126334830",0,FALSE
"LOC126334831",39,TRUE
"LOC126334832",35,TRUE
"LOC126334834",31,TRUE
"LOC126336118",0,FALSE
"LOC126335949",0,FALSE
"LOC126334835",44,TRUE
"LOC126334836",44,TRUE
"LOC126334837",43,TRUE
"LOC126334840",38,TRUE
"LOC126334838",44,TRUE
"LOC126334839",0,FALSE
"LOC126334842",44,TRUE
"LOC126334843",44,TRUE
"LOC126334844",4,FALSE
"LOC126334846",16,TRUE
"LOC126334845",0,FALSE
"LOC126334847",1,FALSE
"LOC126335950",0,FALSE
"LOC126334850",44,TRUE
"LOC126334851",9,TRUE
"LOC126335951",0,FALSE
"LOC126335952",0,FALSE
"LOC126334852",44,TRUE
"LOC126334853",25,TRUE
"LOC126335953",0,FALSE
"LOC126334854",44,TRUE
"LOC126334855",0,FALSE
"LOC126334857",43,TRUE
"LOC126334856",44,TRUE
"LOC126334860",44,TRUE
"LOC126334859",44,TRUE
"LOC126336480",0,FALSE
"LOC126334862",44,TRUE
"LOC126334863",21,TRUE
"LOC126334864",44,TRUE
"LOC126334865",44,TRUE
"LOC126334866",44,TRUE
"LOC126334867",44,TRUE
"LOC126334869",44,TRUE
"LOC126334870",44,TRUE
"LOC126335954",0,FALSE
"LOC126334871",44,TRUE
"LOC126334881",44,TRUE
"LOC126336422",0,FALSE
"LOC126334882",44,TRUE
"LOC126334885",5,FALSE
"LOC126334884",10,TRUE
"LOC126334886",42,TRUE
"LOC126334887",44,TRUE
"LOC126334888",44,TRUE
"LOC126334889",43,TRUE
"LOC126334890",43,TRUE
"LOC126336419",0,FALSE
"LOC126337503",0,FALSE
"LOC126334891",44,TRUE
"LOC126334893",44,TRUE
"LOC126334894",44,TRUE
"LOC126334895",43,TRUE
"LOC126334896",44,TRUE
"LOC126334898",44,TRUE
"LOC126334897",44,TRUE
"LOC126334899",39,TRUE
"LOC126334900",44,TRUE
"LOC126335955",0,FALSE
"LOC126336420",2,FALSE
"LOC126336421",0,FALSE
"LOC126334902",0,FALSE
"LOC126334904",44,TRUE
"LOC126334903",44,TRUE
"LOC126334905",25,TRUE
"LOC126334906",42,TRUE
"LOC126334909",5,FALSE
"LOC126334907",32,TRUE
"LOC126337463",25,TRUE
"LOC126334910",44,TRUE
"LOC126334911",30,TRUE
"LOC126334912",43,TRUE
"LOC126334913",44,TRUE
"LOC126334916",33,TRUE
"LOC126334914",44,TRUE
"LOC126334917",40,TRUE
"LOC126334918",42,TRUE
"LOC126337496",0,FALSE
"LOC126334919",0,FALSE
"LOC126334920",2,FALSE
"LOC126335957",4,FALSE
"LOC126334922",10,TRUE
"LOC126334923",1,FALSE
"LOC126334927",43,TRUE
"LOC126334925",44,TRUE
"LOC126334929",44,TRUE
"LOC126334928",15,TRUE
"LOC126334926",44,TRUE
"LOC126335958",0,FALSE
"LOC126334930",44,TRUE
"LOC126334931",43,TRUE
"LOC126334932",44,TRUE
"LOC126334933",43,TRUE
"LOC126334935",0,FALSE
"LOC126334934",0,FALSE
"LOC126335960",43,TRUE
"LOC126334936",1,FALSE
"LOC126334939",44,TRUE
"LOC126334938",21,TRUE
"LOC126334940",41,TRUE
"LOC126334942",44,TRUE
"LOC126334941",44,TRUE
"LOC126334943",44,TRUE
"LOC126334944",0,FALSE
"LOC126334945",0,FALSE
"LOC126334947",44,TRUE
"LOC126334948",37,TRUE
"LOC126335961",1,FALSE
"LOC126334950",44,TRUE
"LOC126334949",44,TRUE
"LOC126334951",43,TRUE
"LOC126334952",0,FALSE
"LOC126334953",44,TRUE
"LOC126334954",44,TRUE
"LOC126334956",43,TRUE
"LOC126334955",16,TRUE
"LOC126334957",44,TRUE
"LOC126335962",23,TRUE
"LOC126334959",44,TRUE
"LOC126334958",44,TRUE
"LOC126334960",0,FALSE
"LOC126334962",44,TRUE
"LOC126334963",44,TRUE
"LOC126334964",1,FALSE
"LOC126334968",44,TRUE
"LOC126334966",44,TRUE
"LOC126334969",43,TRUE
"LOC126334967",44,TRUE
"LOC126334965",44,TRUE
"LOC126334970",44,TRUE
"LOC126334971",42,TRUE
"LOC126335963",17,TRUE
"LOC126334972",0,FALSE
"LOC126334973",44,TRUE
"LOC126334974",44,TRUE
"LOC126334977",40,TRUE
"LOC126334975",44,TRUE
"LOC126334978",44,TRUE
"LOC126334980",44,TRUE
"LOC126334982",44,TRUE
"LOC126336453",0,FALSE
"LOC126334983",43,TRUE
"LOC126334985",34,TRUE
"LOC126334984",28,TRUE
"LOC126334987",44,TRUE
"LOC126334988",44,TRUE
"LOC126334989",44,TRUE
"LOC126334990",42,TRUE
"LOC126334991",43,TRUE
"LOC126334992",20,TRUE
"LOC126334994",28,TRUE
"LOC126334995",0,FALSE
"LOC126334996",12,TRUE
"LOC126334997",1,FALSE
"LOC126335964",0,FALSE
"LOC126334998",43,TRUE
"LOC126335965",7,TRUE
"LOC126336456",0,FALSE
"LOC126334999",44,TRUE
"LOC126335966",28,TRUE
"LOC126335001",15,TRUE
"LOC126335002",44,TRUE
"LOC126335003",44,TRUE
"LOC126335967",0,FALSE
"LOC126335004",44,TRUE
"LOC126335005",42,TRUE
"LOC126336457",1,FALSE
"LOC126335006",20,TRUE
"LOC126335968",2,FALSE
"LOC126335007",44,TRUE
"LOC126335008",0,FALSE
"LOC126335969",39,TRUE
"LOC126335970",0,FALSE
"LOC126335009",44,TRUE
"LOC126335010",9,TRUE
"LOC126335011",44,TRUE
"LOC126335012",0,FALSE
"LOC126335015",0,FALSE
"LOC126335014",44,TRUE
"LOC126336469",33,TRUE
"LOC126335971",0,FALSE
"LOC126335016",15,TRUE
"LOC126335972",0,FALSE
"LOC126336472",0,FALSE
"LOC126335973",0,FALSE
"LOC126335017",44,TRUE
"LOC126335018",4,FALSE
"LOC126335019",44,TRUE
"LOC126335021",42,TRUE
"LOC126335975",1,FALSE
"LOC126335022",44,TRUE
"LOC126335023",44,TRUE
"LOC126335024",44,TRUE
"LOC126335025",44,TRUE
"LOC126335026",30,TRUE
"LOC126335028",44,TRUE
"LOC126335029",15,TRUE
"LOC126335030",44,TRUE
"LOC126335031",25,TRUE
"LOC126335032",16,TRUE
"LOC126336473",30,TRUE
"LOC126335976",0,FALSE
"LOC126335977",43,TRUE
"LOC126335033",44,TRUE
"LOC126337520",43,TRUE
"LOC126335034",20,TRUE
"LOC126335035",8,TRUE
"LOC126335036",44,TRUE
"LOC126335037",44,TRUE
"LOC126335038",0,FALSE
"LOC126335039",44,TRUE
"LOC126335041",12,TRUE
"LOC126335042",44,TRUE
"LOC126336474",2,FALSE
"LOC126335043",44,TRUE
"LOC126336475",0,FALSE
"LOC126336478",18,TRUE
"LOC126336479",0,FALSE
"LOC126335979",0,FALSE
"LOC126336482",0,FALSE
"LOC126336483",4,FALSE
"LOC126336484",6,TRUE
"LOC126335980",0,FALSE
"LOC126335045",33,TRUE
"LOC126335044",43,TRUE
"LOC126335046",3,FALSE
"LOC126336495",0,FALSE
"LOC126335048",41,TRUE
"LOC126335049",2,FALSE
"LOC126336498",17,TRUE
"LOC126335050",44,TRUE
"LOC126335051",44,TRUE
"LOC126335052",5,FALSE
"LOC126335053",44,TRUE
"LOC126335981",0,FALSE
"LOC126335054",44,TRUE
"LOC126336502",0,FALSE
"LOC126335056",44,TRUE
"LOC126335057",14,TRUE
"LOC126336503",40,TRUE
"LOC126335063",43,TRUE
"LOC126335061",43,TRUE
"LOC126335058",44,TRUE
"LOC126335059",38,TRUE
"LOC126335060",44,TRUE
"LOC126335064",0,FALSE
"LOC126335065",0,FALSE
"LOC126335983",0,FALSE
"LOC126335066",0,FALSE
"LOC126335067",0,FALSE
"LOC126336507",0,FALSE
"LOC126335068",2,FALSE
"LOC126335069",44,TRUE
"LOC126335070",44,TRUE
"LOC126335074",1,FALSE
"LOC126335073",41,TRUE
"LOC126335071",34,TRUE
"LOC126335984",5,FALSE
"LOC126335075",42,TRUE
"LOC126336508",31,TRUE
"LOC126335076",44,TRUE
"LOC126335985",0,FALSE
"LOC126335078",44,TRUE
"LOC126336509",0,FALSE
"LOC126335079",44,TRUE
"LOC126335080",27,TRUE
"LOC126335091",0,FALSE
"LOC126335085",44,TRUE
"LOC126335088",44,TRUE
"LOC126335089",44,TRUE
"LOC126335082",43,TRUE
"LOC126335087",17,TRUE
"LOC126335084",30,TRUE
"LOC126335083",44,TRUE
"LOC126335090",7,TRUE
"LOC126335081",41,TRUE
"LOC126335094",44,TRUE
"LOC126335092",44,TRUE
"LOC126335098",44,TRUE
"LOC126335100",29,TRUE
"LOC126335103",44,TRUE
"LOC126335096",44,TRUE
"LOC126335095",42,TRUE
"LOC126335102",44,TRUE
"LOC126335104",44,TRUE
"LOC126335107",44,TRUE
"LOC126335105",44,TRUE
"LOC126335108",43,TRUE
"LOC126335106",43,TRUE
"LOC126336511",23,TRUE
"LOC126335109",0,FALSE
"LOC126335110",1,FALSE
"LOC126335111",44,TRUE
"LOC126335986",0,FALSE
"LOC126335113",40,TRUE
"LOC126335114",44,TRUE
"LOC126335117",44,TRUE
"LOC126335118",0,FALSE
"LOC126335115",39,TRUE
"LOC126335119",4,FALSE
"LOC126335120",38,TRUE
"LOC126335121",44,TRUE
"LOC126335123",42,TRUE
"LOC126335122",43,TRUE
"LOC126335125",0,FALSE
"LOC126335126",9,TRUE
"LOC126335987",0,FALSE
"LOC126335989",0,FALSE
"LOC126335128",0,FALSE
"LOC126335127",1,FALSE
"LOC126335132",11,TRUE
"LOC126335133",1,FALSE
"LOC126335129",0,FALSE
"LOC126335130",0,FALSE
"LOC126335131",0,FALSE
"LOC126335135",2,FALSE
"LOC126335139",0,FALSE
"LOC126335138",0,FALSE
"LOC126335137",0,FALSE
"LOC126335990",0,FALSE
"LOC126335136",44,TRUE
"LOC126335140",42,TRUE
"LOC126335141",12,TRUE
"LOC126335142",44,TRUE
"LOC126335146",42,TRUE
"LOC126335991",0,FALSE
"LOC126335145",0,FALSE
"LOC126335143",1,FALSE
"LOC126335147",30,TRUE
"LOC126335148",11,TRUE
"LOC126335149",26,TRUE
"LOC126335153",26,TRUE
"LOC126335151",44,TRUE
"LOC126335152",14,TRUE
"LOC126335154",44,TRUE
"LOC126335156",11,TRUE
"LOC126335155",4,FALSE
"LOC126336512",0,FALSE
"LOC126336514",0,FALSE
"LOC126335992",0,FALSE
"LOC126335160",0,FALSE
"LOC126335161",0,FALSE
"LOC126335993",0,FALSE
"LOC126335158",0,FALSE
"LOC126335994",0,FALSE
"LOC126335995",0,FALSE
"LOC126335996",0,FALSE
"LOC126335997",0,FALSE
"LOC126335163",0,FALSE
"LOC126335159",0,FALSE
"LOC126335162",0,FALSE
"LOC126335157",0,FALSE
"LOC126335998",0,FALSE
"LOC126335164",0,FALSE
"LOC126335165",0,FALSE
"LOC126335166",44,TRUE
"LOC126335167",44,TRUE
"LOC126335168",44,TRUE
"LOC126335169",44,TRUE
"LOC126335170",44,TRUE
"LOC126335171",42,TRUE
"LOC126335173",44,TRUE
"LOC126335172",44,TRUE
"LOC126335174",38,TRUE
"LOC126337526",0,FALSE
"LOC126335175",44,TRUE
"LOC126335999",0,FALSE
"LOC126335177",44,TRUE
"LOC126335179",0,FALSE
"LOC126335178",43,TRUE
"LOC126335180",11,TRUE
"LOC126335181",42,TRUE
"LOC126336000",24,TRUE
"LOC126335182",41,TRUE
"LOC126335184",43,TRUE
"LOC126335183",44,TRUE
"LOC126335185",38,TRUE
"LOC126335186",21,TRUE
"LOC126335189",44,TRUE
"LOC126335187",44,TRUE
"LOC126335188",42,TRUE
"LOC126336001",0,FALSE
"LOC126336002",5,FALSE
"LOC126336003",0,FALSE
"LOC126335190",44,TRUE
"LOC126335191",22,TRUE
"LOC126335193",43,TRUE
"LOC126335192",44,TRUE
"LOC126335195",44,TRUE
"LOC126336004",3,FALSE
"LOC126335196",44,TRUE
"LOC126335197",34,TRUE
"LOC126335198",44,TRUE
"LOC126335199",18,TRUE
"LOC126335200",22,TRUE
"LOC126337498",0,FALSE
"LOC126335202",36,TRUE
"LOC126335203",4,FALSE
"LOC126335204",44,TRUE
"LOC126335205",44,TRUE
"LOC126336574",0,FALSE
"LOC126335206",0,FALSE
"LOC126335207",3,FALSE
"LOC126335208",0,FALSE
"LOC126335209",0,FALSE
"LOC126335212",44,TRUE
"LOC126335211",44,TRUE
"LOC126335213",39,TRUE
"LOC126335214",44,TRUE
"LOC126335216",44,TRUE
"LOC126335217",44,TRUE
"LOC126335218",44,TRUE
"LOC126336006",0,FALSE
"LOC126335219",35,TRUE
"LOC126336007",14,TRUE
"LOC126336008",3,FALSE
"LOC126337506",0,FALSE
"LOC126336576",0,FALSE
"LOC126335220",44,TRUE
"LOC126335222",32,TRUE
"LOC126335228",0,FALSE
"LOC126335224",43,TRUE
"LOC126335223",44,TRUE
"LOC126336009",0,FALSE
"LOC126336010",0,FALSE
"LOC126335225",2,FALSE
"LOC126336012",0,FALSE
"LOC126335227",42,TRUE
"LOC126335230",0,FALSE
"LOC126335229",44,TRUE
"LOC126335231",44,TRUE
"LOC126335232",16,TRUE
"LOC126336013",0,FALSE
"LOC126335233",3,FALSE
"LOC126335236",0,FALSE
"LOC126335235",2,FALSE
"LOC126335237",17,TRUE
"LOC126335238",0,FALSE
"LOC126336014",0,FALSE
"LOC126336015",0,FALSE
"LOC126336016",0,FALSE
"LOC126336017",0,FALSE
"LOC126336018",0,FALSE
"LOC126336019",0,FALSE
"LOC126336020",0,FALSE
"LOC126335239",0,FALSE
"LOC126336021",0,FALSE
"LOC126336022",0,FALSE
"LOC126336023",0,FALSE
"LOC126336024",0,FALSE
"LOC126335240",0,FALSE
"LOC126336025",0,FALSE
"LOC126336026",0,FALSE
"LOC126336027",0,FALSE
"LOC126336028",0,FALSE
"LOC126336030",0,FALSE
"LOC126336031",0,FALSE
"LOC126336032",0,FALSE
"LOC126335241",15,TRUE
"LOC126335242",44,TRUE
"LOC126335243",44,TRUE
"LOC126336583",44,TRUE
"LOC126336584",1,FALSE
"LOC126336585",12,TRUE
"LOC126336588",0,FALSE
"LOC126335255",4,FALSE
"LOC126335244",44,TRUE
"LOC126335253",0,FALSE
"LOC126335254",41,TRUE
"LOC126335252",39,TRUE
"LOC126335251",25,TRUE
"LOC126335250",27,TRUE
"LOC126335247",23,TRUE
"LOC126335248",32,TRUE
"LOC126335245",28,TRUE
"LOC126335256",44,TRUE
"LOC126335258",43,TRUE
"LOC126335257",4,FALSE
"LOC126335261",10,TRUE
"LOC126335259",7,TRUE
"LOC126335262",0,FALSE
"LOC126336590",10,TRUE
"LOC126335265",39,TRUE
"LOC126335263",44,TRUE
"LOC126336033",43,TRUE
"LOC126335264",44,TRUE
"LOC126335266",44,TRUE
"LOC126335268",4,FALSE
"LOC126335269",44,TRUE
"LOC126335270",44,TRUE
"LOC126335272",44,TRUE
"LOC126335276",31,TRUE
"LOC126335274",44,TRUE
"LOC126335273",44,TRUE
"LOC126335277",44,TRUE
"LOC126335278",44,TRUE
"LOC126336034",0,FALSE
"LOC126336035",0,FALSE
"LOC126335280",44,TRUE
"LOC126335279",44,TRUE
"LOC126335281",44,TRUE
"LOC126336600",0,FALSE
"LOC126336036",44,TRUE
"LOC126335282",0,FALSE
"LOC126335283",0,FALSE
"LOC126336037",0,FALSE
"LOC126335285",44,TRUE
"LOC126335284",5,FALSE
"LOC126335286",44,TRUE
"LOC126335287",44,TRUE
"LOC126335288",44,TRUE
"LOC126335289",0,FALSE
"LOC126335290",0,FALSE
"LOC126336606",0,FALSE
"LOC126335291",44,TRUE
"LOC126335292",44,TRUE
"LOC126335293",44,TRUE
"LOC126335294",44,TRUE
"LOC126335295",35,TRUE
"LOC126335296",44,TRUE
"LOC126335300",43,TRUE
"LOC126335299",44,TRUE
"LOC126335297",44,TRUE
"LOC126335301",0,FALSE
"LOC126335302",42,TRUE
"LOC126335298",44,TRUE
"LOC126335303",44,TRUE
"LOC126335305",44,TRUE
"LOC126335306",0,FALSE
"LOC126335307",44,TRUE
"LOC126336612",27,TRUE
"LOC126336613",2,FALSE
"LOC126335308",14,TRUE
"LOC126335309",44,TRUE
"LOC126336614",9,TRUE
"LOC126335310",0,FALSE
"LOC126335311",0,FALSE
"LOC126335312",5,FALSE
"LOC126335313",44,TRUE
"LOC126335314",0,FALSE
"LOC126335315",44,TRUE
"LOC126335316",0,FALSE
"LOC126335317",26,TRUE
"LOC126335318",36,TRUE
"LOC126335326",41,TRUE
"LOC126335320",44,TRUE
"LOC126335321",44,TRUE
"LOC126335319",44,TRUE
"LOC126335325",0,FALSE
"LOC126335324",44,TRUE
"LOC126335323",2,FALSE
"LOC126335322",43,TRUE
"LOC126335327",0,FALSE
"LOC126335328",44,TRUE
"LOC126336038",36,TRUE
