"contrast","direction","n_significant_genes"
"33_vs_50","Higher in first diet",6
"33_vs_83","Higher in first diet",36
"50_vs_83","Higher in first diet",8
"33_vs_50","Higher in second diet",56
"33_vs_83","Higher in second diet",277
"50_vs_83","Higher in second diet",35
