"family","plot_label","direction","pathway_scope","n_enriched_pathways"
"Infected animals only","83 vs 33","Downregulated","Eukaryote/metazoan-compatible",0
"Infected animals only","83 vs 33","Downregulated","Core metabolism or cross-domain",0
"Infected animals only","83 vs 33","Downregulated","Broad KEGG reference map",0
"Infected animals only","83 vs 33","Downregulated","Microbial/prokaryote-associated label",0
"Infected animals only","83 vs 33","Downregulated","Reference disease pathway",0
"Infected animals only","83 vs 33","Downregulated","Unclassified KEGG reference label",0
"Infected animals only","83 vs 50","Upregulated","Eukaryote/metazoan-compatible",0
"Infected animals only","83 vs 50","Upregulated","Core metabolism or cross-domain",0
"Infected animals only","83 vs 50","Upregulated","Broad KEGG reference map",0
"Infected animals only","83 vs 50","Upregulated","Microbial/prokaryote-associated label",0
"Infected animals only","83 vs 50","Upregulated","Reference disease pathway",0
"Infected animals only","83 vs 50","Upregulated","Unclassified KEGG reference label",0
"Infected animals only","83 vs 50","Downregulated","Eukaryote/metazoan-compatible",0
"Infected animals only","83 vs 50","Downregulated","Core metabolism or cross-domain",0
"Infected animals only","83 vs 50","Downregulated","Broad KEGG reference map",0
"Infected animals only","83 vs 50","Downregulated","Microbial/prokaryote-associated label",0
"Infected animals only","83 vs 50","Downregulated","Reference disease pathway",0
"Infected animals only","83 vs 50","Downregulated","Unclassified KEGG reference label",0
