"gene_id","Infection within diets","Head phase DEGs","Thorax phase DEGs","intersection"
"LOC126266590",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266593",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266596",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266597",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266604",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266613",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266623",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266629",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266649",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266652",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266655",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266657",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266662",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266665",TRUE,TRUE,TRUE,"Infection within diets + Head phase DEGs + Thorax phase DEGs"
"LOC126266667",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266671",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126266672",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266675",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266677",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266679",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266681",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266696",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126266713",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266714",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126266728",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266729",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266746",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266748",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126266750",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266759",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266760",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266767",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126266785",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126266793",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266817",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266822",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266828",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266832",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266835",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266870",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126266872",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266875",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266909",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266913",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266926",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266929",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266935",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266937",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266938",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266950",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266957",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266959",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266982",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126266984",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266987",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126267000",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267002",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267011",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267017",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267030",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267032",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267038",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267060",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267081",FALSE,FALSE,TRUE,"Thorax phase DEGs"
