"DEG_context","comparison","contrast_label","signed_direction","Gene_class","direction_class","n_DEGs","signed_n"
"Infection vs control","All diets: infected vs control","All diets
infected vs control","Downregulated","Coding genes","Downregulated - Coding genes",666,-666
"Infection vs control","All diets: infected vs control","All diets
infected vs control","Downregulated","Long non-coding RNA","Downregulated - Long non-coding RNA",32,-32
"Infection vs control","All diets: infected vs control","All diets
infected vs control","Downregulated","Other / unknown","Downregulated - Other / unknown",1,-1
"Infection vs control","All diets: infected vs control","All diets
infected vs control","Upregulated","Coding genes","Upregulated - Coding genes",677,677
"Infection vs control","All diets: infected vs control","All diets
infected vs control","Upregulated","Long non-coding RNA","Upregulated - Long non-coding RNA",45,45
"Infection vs control","All diets: infected vs control","All diets
infected vs control","Upregulated","Other / unknown","Upregulated - Other / unknown",1,1
"Infection within diets","Diet 33: infected vs control","Diet 33
infected vs control","Downregulated","Coding genes","Downregulated - Coding genes",343,-343
"Infection within diets","Diet 33: infected vs control","Diet 33
infected vs control","Downregulated","Long non-coding RNA","Downregulated - Long non-coding RNA",15,-15
"Infection within diets","Diet 33: infected vs control","Diet 33
infected vs control","Downregulated","Other / unknown","Downregulated - Other / unknown",0,0
"Infection within diets","Diet 33: infected vs control","Diet 33
infected vs control","Upregulated","Coding genes","Upregulated - Coding genes",417,417
"Infection within diets","Diet 33: infected vs control","Diet 33
infected vs control","Upregulated","Long non-coding RNA","Upregulated - Long non-coding RNA",22,22
"Infection within diets","Diet 33: infected vs control","Diet 33
infected vs control","Upregulated","Other / unknown","Upregulated - Other / unknown",0,0
"Infection within diets","Diet 50: infected vs control","Diet 50
infected vs control","Downregulated","Coding genes","Downregulated - Coding genes",376,-376
"Infection within diets","Diet 50: infected vs control","Diet 50
infected vs control","Downregulated","Long non-coding RNA","Downregulated - Long non-coding RNA",12,-12
"Infection within diets","Diet 50: infected vs control","Diet 50
infected vs control","Downregulated","Other / unknown","Downregulated - Other / unknown",1,-1
"Infection within diets","Diet 50: infected vs control","Diet 50
infected vs control","Upregulated","Coding genes","Upregulated - Coding genes",670,670
