"sample_id","count_file","tissue","phase","rearing_condition","replicate","source","display_group","reference_role","sample_label","sample_block","treatment_or_phase","diet","file_present"
"1025",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1025","Experiment fat body","Infected","50",TRUE
"1028",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1028","Experiment fat body","Infected","50",TRUE
"1043",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1043","Experiment fat body","Infected","50",TRUE
"1046",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1046","Experiment fat body","Infected","50",TRUE
"1049",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1049","Experiment fat body","Infected","50",TRUE
"1052",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1052","Experiment fat body","Infected","50",TRUE
"1055",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1055","Experiment fat body","Infected","50",TRUE
"1058",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1058","Experiment fat body","Infected","50",TRUE
"1014",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_83","Fat body Infected diet 83","1014","Experiment fat body","Infected","83",TRUE
"1020",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_83","Fat body Infected diet 83","1020","Experiment fat body","Infected","83",TRUE
"1023",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_83","Fat body Infected diet 83","1023","Experiment fat body","Infected","83",TRUE
"1024",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_83","Fat body Infected diet 83","1024","Experiment fat body","Infected","83",TRUE
"1029",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_83","Fat body Infected diet 83","1029","Experiment fat body","Infected","83",TRUE
"1050",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_83","Fat body Infected diet 83","1050","Experiment fat body","Infected","83",TRUE
"GREG_G_CCT_11_FAT","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/external/timecourse_fatbody_reference/readcounts/GREG_G_CCT_11_FAT_featurecounts.txt","Fat body","Gregarious","Crowded",11,"Time-course fat body phase control","Fat body: gregarious/crowded control","Gregarious crowded control","FAT-G","FAT controls","Gregarious","Reference",TRUE
"GREG_S_ICT_9_FAT","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/external/timecourse_fatbody_reference/readcounts/GREG_S_ICT_9_FAT_featurecounts.txt","Fat body","Solitarious","Isolated",9,"Time-course fat body phase control","Fat body: solitarious/isolated control","Solitarious isolated control","FAT-S","FAT controls","Solitarious","Reference",TRUE
"SGRE-HEAD-CRD-1_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-1_MERGE_featurecounts.txt","Head","Gregarious","Crowded",1,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 1","H-CRD-1","Head reference","Gregarious","Reference",TRUE
"SGRE-HEAD-CRD-2_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-2_MERGE_featurecounts.txt","Head","Gregarious","Crowded",2,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 2","H-CRD-2","Head reference","Gregarious","Reference",TRUE
"SGRE-HEAD-CRD-3_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-3_MERGE_featurecounts.txt","Head","Gregarious","Crowded",3,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 3","H-CRD-3","Head reference","Gregarious","Reference",TRUE
"SGRE-HEAD-CRD-4_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-4_MERGE_featurecounts.txt","Head","Gregarious","Crowded",4,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 4","H-CRD-4","Head reference","Gregarious","Reference",TRUE
"SGRE-HEAD-CRD-5_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-5_MERGE_featurecounts.txt","Head","Gregarious","Crowded",5,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 5","H-CRD-5","Head reference","Gregarious","Reference",TRUE
"SGRE-HEAD-CRD-6_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-6_MERGE_featurecounts.txt","Head","Gregarious","Crowded",6,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 6","H-CRD-6","Head reference","Gregarious","Reference",TRUE
"SGRE-HEAD-ISO-1_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-1_MERGE_featurecounts.txt","Head","Solitarious","Isolated",1,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 1","H-ISO-1","Head reference","Solitarious","Reference",TRUE
"SGRE-HEAD-ISO-2_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-2_MERGE_featurecounts.txt","Head","Solitarious","Isolated",2,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 2","H-ISO-2","Head reference","Solitarious","Reference",TRUE
"SGRE-HEAD-ISO-3_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-3_MERGE_featurecounts.txt","Head","Solitarious","Isolated",3,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 3","H-ISO-3","Head reference","Solitarious","Reference",TRUE
"SGRE-HEAD-ISO-4_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-4_MERGE_featurecounts.txt","Head","Solitarious","Isolated",4,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 4","H-ISO-4","Head reference","Solitarious","Reference",TRUE
"SGRE-HEAD-ISO-5_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-5_MERGE_featurecounts.txt","Head","Solitarious","Isolated",5,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 5","H-ISO-5","Head reference","Solitarious","Reference",TRUE
"SGRE-HEAD-ISO-6_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-6_MERGE_featurecounts.txt","Head","Solitarious","Isolated",6,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 6","H-ISO-6","Head reference","Solitarious","Reference",TRUE
"SGRE-THOX-CRD-1_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-1_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",1,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 1","T-CRD-1","Thorax reference","Gregarious","Reference",TRUE
"SGRE-THOX-CRD-2_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-2_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",2,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 2","T-CRD-2","Thorax reference","Gregarious","Reference",TRUE
"SGRE-THOX-CRD-3_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-3_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",3,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 3","T-CRD-3","Thorax reference","Gregarious","Reference",TRUE
"SGRE-THOX-CRD-4_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-4_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",4,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 4","T-CRD-4","Thorax reference","Gregarious","Reference",TRUE
"SGRE-THOX-CRD-5_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-5_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",5,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 5","T-CRD-5","Thorax reference","Gregarious","Reference",TRUE
"SGRE-THOX-CRD-6_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-6_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",6,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 6","T-CRD-6","Thorax reference","Gregarious","Reference",TRUE
"SGRE-THOX-ISO-1_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-1_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",1,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 1","T-ISO-1","Thorax reference","Solitarious","Reference",TRUE
"SGRE-THOX-ISO-2_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-2_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",2,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 2","T-ISO-2","Thorax reference","Solitarious","Reference",TRUE
"SGRE-THOX-ISO-3_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-3_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",3,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 3","T-ISO-3","Thorax reference","Solitarious","Reference",TRUE
"SGRE-THOX-ISO-4_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-4_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",4,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 4","T-ISO-4","Thorax reference","Solitarious","Reference",TRUE
"SGRE-THOX-ISO-5_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-5_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",5,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 5","T-ISO-5","Thorax reference","Solitarious","Reference",TRUE
"SGRE-THOX-ISO-6_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-6_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",6,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 6","T-ISO-6","Thorax reference","Solitarious","Reference",TRUE
